entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
org.activiti.bpmn.model.Activity#isAsynchronous();;;;;;org.activiti.bpmn.model.FlowNode#isAsynchronous();;;;;;MethodDeclaration;PULL_UP;53036cece662f9c796d2a187b0077059c3d9088a;53036cece;;;;;;;;;1129294;Pull Up Method public isAsynchronous() : boolean from class org.activiti.bpmn.model.Activity to public isAsynchronous() : boolean from class org.activiti.bpmn.model.FlowNode
org.activiti.bpmn.model.Gateway#isAsynchronous();;;;;;org.activiti.bpmn.model.FlowNode#isAsynchronous();;;;;;MethodDeclaration;PULL_UP;53036cece662f9c796d2a187b0077059c3d9088a;53036cece;;;;;;;;;1129294;Pull Up Method public isAsynchronous() : boolean from class org.activiti.bpmn.model.Gateway to public isAsynchronous() : boolean from class org.activiti.bpmn.model.FlowNode
org.activiti.bpmn.model.Activity#isNotExclusive();;;;;;org.activiti.bpmn.model.FlowNode#isNotExclusive();;;;;;MethodDeclaration;PULL_UP;53036cece662f9c796d2a187b0077059c3d9088a;53036cece;;;;;;;;;1129294;Pull Up Method public isNotExclusive() : boolean from class org.activiti.bpmn.model.Activity to public isNotExclusive() : boolean from class org.activiti.bpmn.model.FlowNode
org.activiti.bpmn.model.Gateway#isNotExclusive();;;;;;org.activiti.bpmn.model.FlowNode#isNotExclusive();;;;;;MethodDeclaration;PULL_UP;53036cece662f9c796d2a187b0077059c3d9088a;53036cece;;;;;;;;;1129294;Pull Up Method public isNotExclusive() : boolean from class org.activiti.bpmn.model.Gateway to public isNotExclusive() : boolean from class org.activiti.bpmn.model.FlowNode
org.activiti.bpmn.model.Activity#setAsynchronous(boolean);;;;;;org.activiti.bpmn.model.FlowNode#setAsynchronous(boolean);;;;;;MethodDeclaration;PULL_UP;53036cece662f9c796d2a187b0077059c3d9088a;53036cece;;;;;;;;;1129294;Pull Up Method public setAsynchronous(asynchronous boolean) : void from class org.activiti.bpmn.model.Activity to public setAsynchronous(asynchronous boolean) : void from class org.activiti.bpmn.model.FlowNode
org.activiti.bpmn.model.Gateway#setAsynchronous(boolean);;;;;;org.activiti.bpmn.model.FlowNode#setAsynchronous(boolean);;;;;;MethodDeclaration;PULL_UP;53036cece662f9c796d2a187b0077059c3d9088a;53036cece;;;;;;;;;1129294;Pull Up Method public setAsynchronous(asynchronous boolean) : void from class org.activiti.bpmn.model.Gateway to public setAsynchronous(asynchronous boolean) : void from class org.activiti.bpmn.model.FlowNode
org.activiti.bpmn.model.Activity#boolean.asynchronous;;;;;;org.activiti.bpmn.model.FlowNode#boolean.asynchronous;;;;;;AttributeDeclaration;PULL_UP;53036cece662f9c796d2a187b0077059c3d9088a;53036cece;;;;;;;;;1129294;Pull Up Attribute protected asynchronous : boolean from class org.activiti.bpmn.model.Activity to protected asynchronous : boolean from class org.activiti.bpmn.model.FlowNode
org.activiti.bpmn.model.Gateway#boolean.asynchronous;;;;;;org.activiti.bpmn.model.FlowNode#boolean.asynchronous;;;;;;AttributeDeclaration;PULL_UP;53036cece662f9c796d2a187b0077059c3d9088a;53036cece;;;;;;;;;1129294;Pull Up Attribute protected asynchronous : boolean from class org.activiti.bpmn.model.Gateway to protected asynchronous : boolean from class org.activiti.bpmn.model.FlowNode
org.activiti.bpmn.model.Activity#boolean.notExclusive;;;;;;org.activiti.bpmn.model.FlowNode#boolean.notExclusive;;;;;;AttributeDeclaration;PULL_UP;53036cece662f9c796d2a187b0077059c3d9088a;53036cece;;;;;;;;;1129294;Pull Up Attribute protected notExclusive : boolean from class org.activiti.bpmn.model.Activity to protected notExclusive : boolean from class org.activiti.bpmn.model.FlowNode
org.activiti.bpmn.model.Gateway#boolean.notExclusive;;;;;;org.activiti.bpmn.model.FlowNode#boolean.notExclusive;;;;;;AttributeDeclaration;PULL_UP;53036cece662f9c796d2a187b0077059c3d9088a;53036cece;;;;;;;;;1129294;Pull Up Attribute protected notExclusive : boolean from class org.activiti.bpmn.model.Gateway to protected notExclusive : boolean from class org.activiti.bpmn.model.FlowNode
