entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
tachyon.worker.block.meta.BlockMetaBase#long.mBlockSize;;;;;;tachyon.worker.block.meta.BlockMeta#long.mBlockSize;;;;;;AttributeDeclaration;PUSH_DOWN;6d10621465c0e6ae81ad8d240d70a55c72caeea6;6d1062146;;;;;;;;;1109425;Push Down Attribute protected mBlockSize : long from class tachyon.worker.block.meta.BlockMetaBase to private mBlockSize : long from class tachyon.worker.block.meta.BlockMeta
tachyon.worker.block.meta.BlockMetaBase#getBlockSize();;;;;;tachyon.worker.block.meta.BlockMeta#getBlockSize();;;;;;MethodDeclaration;PUSH_DOWN;6d10621465c0e6ae81ad8d240d70a55c72caeea6;6d1062146;;;;;;;;;1109425;Push Down Method public getBlockSize() : long from class tachyon.worker.block.meta.BlockMetaBase to public getBlockSize() : long from class tachyon.worker.block.meta.BlockMeta
tachyon.worker.block.meta.BlockMetaBase#getBlockSize();;;;;;tachyon.worker.block.meta.TempBlockMeta#getBlockSize();;;;;;MethodDeclaration;PUSH_DOWN;6d10621465c0e6ae81ad8d240d70a55c72caeea6;6d1062146;;;;;;;;;1109425;Push Down Method public getBlockSize() : long from class tachyon.worker.block.meta.BlockMetaBase to public getBlockSize() : long from class tachyon.worker.block.meta.TempBlockMeta
tachyon.worker.block.meta.BlockMeta#getTmpPath(long);;;;;;tachyon.worker.block.meta.TempBlockMeta#getPath();;;;;;MethodDeclaration;MOVE_RENAME;0ba343846f21649e29ffc600f30a7f3e463fb24c;0ba343846;;;;;;;;;1109449;Move And Rename Method public getTmpPath(userId long) : String from class tachyon.worker.block.meta.BlockMeta to public getPath() : String from class tachyon.worker.block.meta.TempBlockMeta
tachyon.worker.block.meta.StorageDir#addBlockMeta(BlockMeta);;;;;;tachyon.worker.block.meta.StorageDir#reserveSpace(long);;;;;;MethodDeclaration;EXTRACT;ed966510ccf8441115614e2258aea61df0ea55f5;ed966510c;;;;;;;;;1120023;Extract Method private reserveSpace(size long) : void extracted from public addBlockMeta(block BlockMeta) : Optional<BlockMeta> in class tachyon.worker.block.meta.StorageDir
tachyon.worker.block.meta.StorageDir#removeTempBlockMeta(TempBlockMeta);;;;;;tachyon.worker.block.meta.StorageDir#reclaimSpace(long);;;;;;MethodDeclaration;EXTRACT;ed966510ccf8441115614e2258aea61df0ea55f5;ed966510c;;;;;;;;;1120023;Extract Method private reclaimSpace(size long) : void extracted from public removeTempBlockMeta(tempBlockMeta TempBlockMeta) : boolean in class tachyon.worker.block.meta.StorageDir
tachyon.worker.block.meta.StorageDir#removeBlockMeta(BlockMeta);;;;;;tachyon.worker.block.meta.StorageDir#reclaimSpace(long);;;;;;MethodDeclaration;EXTRACT;ed966510ccf8441115614e2258aea61df0ea55f5;ed966510c;;;;;;;;;1120023;Extract Method private reclaimSpace(size long) : void extracted from public removeBlockMeta(block BlockMeta) : boolean in class tachyon.worker.block.meta.StorageDir
tachyon.worker.block.meta.StorageDir#addTempBlockMeta(TempBlockMeta);;;;;;tachyon.worker.block.meta.StorageDir#reserveSpace(long);;;;;;MethodDeclaration;EXTRACT;ed966510ccf8441115614e2258aea61df0ea55f5;ed966510c;;;;;;;;;1120023;Extract Method private reserveSpace(size long) : void extracted from public addTempBlockMeta(tempBlockMeta TempBlockMeta) : boolean in class tachyon.worker.block.meta.StorageDir
tachyon.worker.block.TieredBlockStore#requestSpaceNoLock(long,long,long);;;;;;tachyon.worker.block.meta.StorageDir#resizeTempBlockMeta(TempBlockMeta,long);;;;;;MethodDeclaration;EXTRACT_MOVE;ed966510ccf8441115614e2258aea61df0ea55f5;ed966510c;;;;;;;;;1120023;Extract And Move Method public resizeTempBlockMeta(tempBlockMeta TempBlockMeta, newSize long) : void extracted from private requestSpaceNoLock(userId long, blockId long, moreBytes long) : boolean in class tachyon.worker.block.TieredBlockStore & moved to class tachyon.worker.block.meta.StorageDir
tachyon.client.BlockOutStreamIntegrationTest#disableLocalWriteTest();;;;;;tachyon.client.BlockOutStreamIntegrationTest#getBlockOutStream(String,boolean);;;;;;MethodDeclaration;EXTRACT;b0938501f1014cf663e33b44ed5bb9b24d19a358;b0938501f;;;;;;;;;1136909;Extract Method private getBlockOutStream(filename String, isLocalWrite boolean) : BlockOutStream extracted from public disableLocalWriteTest() : void in class tachyon.client.BlockOutStreamIntegrationTest
tachyon.client.BlockOutStreamIntegrationTest#enableLocalWriteTest();;;;;;tachyon.client.BlockOutStreamIntegrationTest#getBlockOutStream(String,boolean);;;;;;MethodDeclaration;EXTRACT;b0938501f1014cf663e33b44ed5bb9b24d19a358;b0938501f;;;;;;;;;1136909;Extract Method private getBlockOutStream(filename String, isLocalWrite boolean) : BlockOutStream extracted from public enableLocalWriteTest() : void in class tachyon.client.BlockOutStreamIntegrationTest
tachyon.worker.block.allocator.MaxFreeAllocator#allocateBlock(long,long,long,BlockStoreLocation);;;;;;tachyon.worker.block.allocator.MaxFreeAllocator#getCandidateDirInTier(StorageTier,long);;;;;;MethodDeclaration;EXTRACT;9aeefcd8120bb3b89cdb437d8c32d2ed84b8a825;9aeefcd81;;;;;;;;;1138074;Extract Method private getCandidateDirInTier(tier StorageTier, blockSize long) : StorageDir extracted from public allocateBlock(userId long, blockId long, blockSize long, location BlockStoreLocation) : TempBlockMeta in class tachyon.worker.block.allocator.MaxFreeAllocator
tachyon.worker.block.evictor.LRUEvictor#freeSpace(long,BlockStoreLocation);;;;;;tachyon.worker.block.evictor.LRUEvictor#freeSpaceWithView(long,BlockStoreLocation,BlockMetadataManagerView);;;;;;MethodDeclaration;INLINE;5b184ac783784c1ca4baf1437888c79bd9460763;5b184ac78;;;;;;;;;1139562;Inline Method private freeSpace(bytesToBeAvailable long, location BlockStoreLocation) : EvictionPlan inlined to public freeSpaceWithView(bytesToBeAvailable long, location BlockStoreLocation, view BlockMetadataManagerView) : EvictionPlan in class tachyon.worker.block.evictor.LRUEvictor
