id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;com.android.server.power.PowerManagerService#cleanupProximity();;;;;;com.android.server.power.PowerManagerService#cleanupProximityLocked();;;;;;MethodDeclaration;EXTRACT;96a2c3410f3c71d3ab20857036422f1d64c3a6d3;96a2c3410;;;;;;;;;1107119;Extract Method private cleanupProximityLocked() : void extracted from private cleanupProximity() : void in class com.android.server.power.PowerManagerService
1;com.android.systemui.statusbar.phone.PhoneStatusBar#makeStatusBarView();;;;;;com.android.systemui.statusbar.phone.PhoneStatusBar#initTickerView();;;;;;MethodDeclaration;EXTRACT;658a918eebcbdeb4f920c2947ca8d0e79ad86d89;658a918ee;;;;;;;;;1112638;Extract Method private initTickerView() : void extracted from protected makeStatusBarView() : PhoneStatusBarView in class com.android.systemui.statusbar.phone.PhoneStatusBar
2;com.android.keyguard.KeyguardAbsKeyInputView#reset();;;;;;com.android.keyguard.KeyguardAbsKeyInputView#reset(boolean);;;;;;MethodDeclaration;EXTRACT;15fd4f9caea01e53725086e290d3b35ec4bd4cd9;15fd4f9ca;;;;;;;;;1118131;Extract Method protected reset(animateTransition boolean) : void extracted from public reset() : void in class com.android.keyguard.KeyguardAbsKeyInputView
3;com.android.server.am.ActivityManagerService#removeLruProcessLocked(ProcessRecord);;;;;;com.android.server.am.ActivityManagerService#killProcessGroup(int,int);;;;;;MethodDeclaration;EXTRACT;5d1a70a4d32ac4c96a32535c68c69b20288d8968;5d1a70a4d;;;;;;;;;1120496;Extract Method public killProcessGroup(uid int, pid int) : void extracted from package removeLruProcessLocked(app ProcessRecord) : void in class com.android.server.am.ActivityManagerService
4;com.android.server.am.ActivityManagerService#appDiedLocked(ProcessRecord,int,IApplicationThread,boolean);;;;;;com.android.server.am.ActivityManagerService#killProcessGroup(int,int);;;;;;MethodDeclaration;EXTRACT;5d1a70a4d32ac4c96a32535c68c69b20288d8968;5d1a70a4d;;;;;;;;;1120496;Extract Method public killProcessGroup(uid int, pid int) : void extracted from package appDiedLocked(app ProcessRecord, pid int, thread IApplicationThread, fromBinderDied boolean) : void in class com.android.server.am.ActivityManagerService
5;com.android.server.am.ActivityManagerService#startProcessLocked(String,ApplicationInfo,boolean,int,String,ComponentName,boolean,boolean,int,boolean,String,String,String[],Runnable);;;;;;com.android.server.am.ActivityManagerService#killProcessGroup(int,int);;;;;;MethodDeclaration;EXTRACT;5d1a70a4d32ac4c96a32535c68c69b20288d8968;5d1a70a4d;;;;;;;;;1120496;Extract Method public killProcessGroup(uid int, pid int) : void extracted from package startProcessLocked(processName String, info ApplicationInfo, knownToBeDead boolean, intentFlags int, hostingType String, hostingName ComponentName, allowWhileBooting boolean, isolated boolean, isolatedUid int, keepIfLarge boolean, abiOverride String, entryPoint String, entryPointArgs String[], crashHandler Runnable) : ProcessRecord in class com.android.server.am.ActivityManagerService
6;com.android.server.am.ActivityManagerService#crashApplication(ProcessRecord,ApplicationErrorReport.CrashInfo);;;;;;com.android.server.am.ActivityManagerService#killProcessGroup(int,int);;;;;;MethodDeclaration;EXTRACT;5d1a70a4d32ac4c96a32535c68c69b20288d8968;5d1a70a4d;;;;;;;;;1120496;Extract Method public killProcessGroup(uid int, pid int) : void extracted from private crashApplication(r ProcessRecord, crashInfo ApplicationErrorReport.CrashInfo) : void in class com.android.server.am.ActivityManagerService
7;com.android.server.am.ProcessRecord#kill(String,boolean);;;;;;com.android.server.am.ActivityManagerService#killProcessGroup(int,int);;;;;;MethodDeclaration;EXTRACT_MOVE;5d1a70a4d32ac4c96a32535c68c69b20288d8968;5d1a70a4d;;;;;;;;;1120496;Extract And Move Method public killProcessGroup(uid int, pid int) : void extracted from package kill(reason String, noisy boolean) : void in class com.android.server.am.ProcessRecord & moved to class com.android.server.am.ActivityManagerService
8;com.android.systemui.usb.StorageNotification#start();;;;;;com.android.systemui.usb.StorageNotification#startAsync();;;;;;MethodDeclaration;EXTRACT;4587c32ab8a1c8e2169e4f93491a8c927216a6ab;4587c32ab;;;;;;;;;1132646;Extract Method private startAsync() : void extracted from public start() : void in class com.android.systemui.usb.StorageNotification
9;com.android.systemui.BatteryMeterView.NormalBatteryMeterDrawable#loadBoltPoints(Resources);;;;;;com.android.systemui.BatteryMeterView.NormalBatteryMeterDrawable#getBoltPointsArrayResource();;;;;;MethodDeclaration;EXTRACT;910397f2390d6821a006991ed6035c76cbc74897;910397f23;;;;;;;;;1137231;Extract Method protected getBoltPointsArrayResource() : int extracted from private loadBoltPoints(res Resources) : float[] in class com.android.systemui.BatteryMeterView.NormalBatteryMeterDrawable
10;com.android.systemui.BatteryMeterView.CircleBatteryMeterDrawable#loadBoltPoints(Resources);;;;;;com.android.systemui.BatteryMeterView.CircleBatteryMeterDrawable#getBoltPointsArrayResource();;;;;;MethodDeclaration;EXTRACT;910397f2390d6821a006991ed6035c76cbc74897;910397f23;;;;;;;;;1137231;Extract Method protected getBoltPointsArrayResource() : int extracted from private loadBoltPoints(res Resources) : float[] in class com.android.systemui.BatteryMeterView.CircleBatteryMeterDrawable
11;com.android.internal.os.BatteryStatsHelper#storeStatsHistoryInFile(String);;;;;;com.android.internal.os.BatteryStatsHelper#internalStoreStatsHistoryInFile(BatteryStats,String);;;;;;MethodDeclaration;EXTRACT;910397f2390d6821a006991ed6035c76cbc74897;910397f23;;;;;;;;;1137231;Extract Method public internalStoreStatsHistoryInFile(stats BatteryStats, fname String) : void extracted from public storeStatsHistoryInFile(fname String) : void in class com.android.internal.os.BatteryStatsHelper
12;com.android.internal.os.BatteryStatsImpl#readSummaryFromParcel(Parcel);;;;;;com.android.internal.os.BatteryStatsImpl#setCpuSpeedSteps(int);;;;;;MethodDeclaration;EXTRACT;910397f2390d6821a006991ed6035c76cbc74897;910397f23;;;;;;;;;1137231;Extract Method protected setCpuSpeedSteps(numSpeedSteps int) : void extracted from public readSummaryFromParcel(in Parcel) : void in class com.android.internal.os.BatteryStatsImpl
13;com.android.internal.os.BatteryStatsImpl#setNumSpeedSteps(int);;;;;;com.android.internal.os.BatteryStatsImpl#setCpuSpeedSteps(int);;;;;;MethodDeclaration;EXTRACT;910397f2390d6821a006991ed6035c76cbc74897;910397f23;;;;;;;;;1137231;Extract Method protected setCpuSpeedSteps(numSpeedSteps int) : void extracted from public setNumSpeedSteps(steps int) : void in class com.android.internal.os.BatteryStatsImpl
14;com.android.internal.os.BatteryStatsImpl#readFromParcelLocked(Parcel);;;;;;com.android.internal.os.BatteryStatsImpl#setCpuSpeedSteps(int);;;;;;MethodDeclaration;EXTRACT;910397f2390d6821a006991ed6035c76cbc74897;910397f23;;;;;;;;;1137231;Extract Method protected setCpuSpeedSteps(numSpeedSteps int) : void extracted from package readFromParcelLocked(in Parcel) : void in class com.android.internal.os.BatteryStatsImpl
