id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;com.jetbrains.edu.stepic.EduStepicConnector#getCourses();;;;;;com.jetbrains.edu.stepic.EduStepicConnector#addCoursesFromStepic(List<CourseInfo>,int);;;;;;MethodDeclaration;EXTRACT;7ed3f273ab0caf0337c22f0b721d51829bb0c877;7ed3f273a;;;;;;;;;1100842;Extract Method private addCoursesFromStepic(result List<CourseInfo>, pageNumber int) : boolean extracted from public getCourses() : List<CourseInfo> in class com.jetbrains.edu.stepic.EduStepicConnector
1;com.intellij.codeInsight.JavaExternalDocumentationTest#getJarFile(String);;;;;;com.intellij.codeInsight.JavaExternalDocumentationTest#getDataFile(String);;;;;;MethodDeclaration;EXTRACT;7a4dab88185553bd09e827839fdf52e870ef7088;7a4dab881;;;;;;;;;1100856;Extract Method private getDataFile(name String) : File extracted from private getJarFile(name String) : VirtualFile in class com.intellij.codeInsight.JavaExternalDocumentationTest
2;com.intellij.codeInsight.JavaExternalDocumentationTest#testImagesInsideJavadocJar();;;;;;com.intellij.codeInsight.JavaExternalDocumentationTest#getDocumentationText(String);;;;;;MethodDeclaration;EXTRACT;7a4dab88185553bd09e827839fdf52e870ef7088;7a4dab881;;;;;;;;;1100856;Extract Method private getDocumentationText(sourceEditorText String) : String extracted from public testImagesInsideJavadocJar() : void in class com.intellij.codeInsight.JavaExternalDocumentationTest
3;com.intellij.debugger.engine.RemappedSourcePosition#getLine();;;;;;com.intellij.debugger.engine.RemappedSourcePosition#checkRemap();;;;;;MethodDeclaration;EXTRACT;7655200f58293e5a30bf8b3cbb29ebadae374564;7655200f5;;;;;;;;;1100868;Extract Method private checkRemap() : void extracted from public getLine() : int in class com.intellij.debugger.engine.RemappedSourcePosition
4;com.intellij.debugger.engine.RemappedSourcePosition#getOffset();;;;;;com.intellij.debugger.engine.RemappedSourcePosition#checkRemap();;;;;;MethodDeclaration;EXTRACT;7655200f58293e5a30bf8b3cbb29ebadae374564;7655200f5;;;;;;;;;1100868;Extract Method private checkRemap() : void extracted from public getOffset() : int in class com.intellij.debugger.engine.RemappedSourcePosition
5;com.intellij.util.ui.UIUtil#getHTMLEditorKit();;;;;;com.intellij.util.ui.UIUtil#getHTMLEditorKit(boolean);;;;;;MethodDeclaration;EXTRACT;138911ce88b05039242b8d1b2bb5b7a59008f5ee;138911ce8;;;;;;;;;1105941;Extract Method public getHTMLEditorKit(noGapsBetweenParagraphs boolean) : HTMLEditorKit extracted from public getHTMLEditorKit() : HTMLEditorKit in class com.intellij.util.ui.UIUtil
6;com.siyeh.ig.migration.UnnecessaryBoxingInspection.UnnecessaryBoxingVisitor#canBeUnboxed(PsiExpression);;;;;;com.siyeh.ig.migration.UnnecessaryBoxingInspection.UnnecessaryBoxingVisitor#canBinaryExpressionBeUnboxed(PsiExpression,PsiExpression);;;;;;MethodDeclaration;EXTRACT;cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b;cc0eaf7fa;;;;;;;;;1105950;Extract Method private canBinaryExpressionBeUnboxed(lhs PsiExpression, rhs PsiExpression) : boolean extracted from private canBeUnboxed(expression PsiExpression) : boolean in class com.siyeh.ig.migration.UnnecessaryBoxingInspection.UnnecessaryBoxingVisitor
7;com.intellij.remoteServer.impl.runtime.log.DeploymentLogManagerImpl#addAdditionalLog(String);;;;;;com.intellij.remoteServer.impl.runtime.log.DeploymentLogManagerImpl#addAdditionalLoggingHandler(LoggingHandlerBase);;;;;;MethodDeclaration;EXTRACT;219d6ddfd1db62c11efb57e0216436874e087834;219d6ddfd;;;;;;;;;1107345;Extract Method private addAdditionalLoggingHandler(loggingHandler LoggingHandlerBase) : void extracted from public addAdditionalLog(presentableName String) : LoggingHandler in class com.intellij.remoteServer.impl.runtime.log.DeploymentLogManagerImpl
8;com.intellij.compiler.options.AnnotationProcessorsPanel.MyTreeModel#removeNode(TreePath);;;;;;com.intellij.compiler.options.AnnotationProcessorsPanel.MyTreeModel#removeNodes(Collection<TreePath>);;;;;;MethodDeclaration;EXTRACT;484038e916dc40bf87eca10c77889d79eca96c4d;484038e91;;;;;;;;;1107379;Extract Method public removeNodes(paths Collection<TreePath>) : void extracted from public removeNode(nodePath TreePath) : void in class com.intellij.compiler.options.AnnotationProcessorsPanel.MyTreeModel
9;org.jetbrains.debugger.sourcemap.SourceResolver#canonicalizeUrl(String,Url,boolean,int,boolean);;;;;;org.jetbrains.debugger.sourcemap.SourceResolver#canonicalizePath(String,Url,boolean);;;;;;MethodDeclaration;EXTRACT;d71154ed21e2d5c65bb0ddb000bcb04ca5735048;d71154ed2;;;;;;;;;1110282;Extract Method public canonicalizePath(url String, baseUrl Url, baseUrlIsFile boolean) : String extracted from protected canonicalizeUrl(url String, baseUrl Url, trimFileScheme boolean, sourceIndex int, baseUrlIsFile boolean) : Url in class org.jetbrains.debugger.sourcemap.SourceResolver
10;org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper#bindToElement(PsiElement);;;;;;org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper#setNewName(String);;;;;;MethodDeclaration;EXTRACT;a97341973c3b683d62d1422e5404ed5c7ccf45f8;a97341973;;;;;;;;;1110287;Extract Method private setNewName(newText String) : PsiElement extracted from public bindToElement(element PsiElement) : PsiElement in class org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper
11;org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper#handleElementRename(String);;;;;;org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper#setNewName(String);;;;;;MethodDeclaration;EXTRACT;a97341973c3b683d62d1422e5404ed5c7ccf45f8;a97341973;;;;;;;;;1110287;Extract Method private setNewName(newText String) : PsiElement extracted from public handleElementRename(newElementName String) : PsiElement in class org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper
12;org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper#handleElementRename(String);;;;;;org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper#getOldName();;;;;;MethodDeclaration;EXTRACT;a97341973c3b683d62d1422e5404ed5c7ccf45f8;a97341973;;;;;;;;;1110287;Extract Method private getOldName() : String extracted from public handleElementRename(newElementName String) : PsiElement in class org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper
13;org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper#bindToElement(PsiElement);;;;;;org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper#getOldName();;;;;;MethodDeclaration;EXTRACT;a97341973c3b683d62d1422e5404ed5c7ccf45f8;a97341973;;;;;;;;;1110287;Extract Method private getOldName() : String extracted from public bindToElement(element PsiElement) : PsiElement in class org.jetbrains.plugins.javaFX.fxml.refs.FxmlReferencesContributor.MyJavaClassReferenceProvider.JavaClassReferenceWrapper
14;org.jetbrains.idea.maven.project.MavenProject#getAnnotationProcessorOptionsFromCompilerConfig(Element);;;;;;org.jetbrains.idea.maven.project.MavenProject#addAnnotationProcessorOption(String,Map<String,String>);;;;;;MethodDeclaration;EXTRACT;e1625136ba12907696ef4c6e922ce073293f3a2c;e1625136b;;;;;;;;;1137311;Extract Method private addAnnotationProcessorOption(compilerArg String, optionsMap Map<String,String>) : void extracted from private getAnnotationProcessorOptionsFromCompilerConfig(compilerConfig Element) : Map<String,String> in class org.jetbrains.idea.maven.project.MavenProject
15;com.intellij.openapi.editor.impl.EditorGutterComponentImpl#mouseReleased(MouseEvent);;;;;;com.intellij.openapi.editor.impl.EditorGutterComponentImpl#isNavigationBlocked(GutterIconRenderer,Project);;;;;;MethodDeclaration;EXTRACT;af618666043f21b3db7e6a1be2aa225ae0f432b4;af6186660;;;;;;;;;1139897;Extract Method private isNavigationBlocked(renderer GutterIconRenderer, project Project) : boolean extracted from public mouseReleased(e MouseEvent) : void in class com.intellij.openapi.editor.impl.EditorGutterComponentImpl
16;com.intellij.ide.util.gotoByName.ChooseByNameBase.CalcElementsThread#computeInReadAction(ProgressIndicator);;;;;;com.intellij.ide.util.gotoByName.ChooseByNameBase.CalcElementsThread#fillWithScopeExpansion(Set<Object>,String);;;;;;MethodDeclaration;EXTRACT;619a6012da868d0d42d9628460f2264effe9bdba;619a6012d;;;;;;;;;1140896;Extract Method private fillWithScopeExpansion(elements Set<Object>, pattern String) : boolean extracted from public computeInReadAction(indicator ProgressIndicator) : void in class com.intellij.ide.util.gotoByName.ChooseByNameBase.CalcElementsThread
17;com.intellij.execution.junit.JUnit4Framework#getLibraryPath();;;;;;com.intellij.execution.junit.JUnit4Framework#getLibraryPaths();;;;;;MethodDeclaration;EXTRACT;10f769a60c7c7b73982e978959d381df487bbe2d;10f769a60;;;;;;;;;1140931;Extract Method public getLibraryPaths() : List<String> extracted from public getLibraryPath() : String in class com.intellij.execution.junit.JUnit4Framework
18;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#addJarToRoots(String,Module,PsiElement);;;;;;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#addJarsToRoots(List<String>,String,Module,PsiElement);;;;;;MethodDeclaration;EXTRACT;7c59f2a4f9b03a9e48ca15554291a03477aa19c1;7c59f2a4f;;;;;;;;;1140956;Extract Method public addJarsToRoots(jarPaths List<String>, libraryName String, module Module, location PsiElement) : void extracted from public addJarToRoots(libPath String, module Module, location PsiElement) : void in class com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix
19;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#addJUnit4Library(boolean,Module);;;;;;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#addJarsToRoots(List<String>,String,Module,PsiElement);;;;;;MethodDeclaration;EXTRACT;7c59f2a4f9b03a9e48ca15554291a03477aa19c1;7c59f2a4f;;;;;;;;;1140956;Extract Method public addJarsToRoots(jarPaths List<String>, libraryName String, module Module, location PsiElement) : void extracted from public addJUnit4Library(inTests boolean, currentModule Module) : void in class com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix
20;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#registerFixes(QuickFixActionRegistrar,PsiReference);;;;;;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#addJarsToRootsAndImportClass(List<String>,String,Module,Editor,PsiReference,String);;;;;;MethodDeclaration;EXTRACT;7c59f2a4f9b03a9e48ca15554291a03477aa19c1;7c59f2a4f;;;;;;;;;1140956;Extract Method public addJarsToRootsAndImportClass(jarPaths List<String>, libraryName String, currentModule Module, editor Editor, reference PsiReference, className String) : void extracted from public registerFixes(registrar QuickFixActionRegistrar, reference PsiReference) : List<LocalQuickFix> in class com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix
21;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#addBundledJarToRoots(Project,Editor,Module,PsiReference,String,String);;;;;;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#addJarsToRootsAndImportClass(List<String>,String,Module,Editor,PsiReference,String);;;;;;MethodDeclaration;EXTRACT;7c59f2a4f9b03a9e48ca15554291a03477aa19c1;7c59f2a4f;;;;;;;;;1140956;Extract Method public addJarsToRootsAndImportClass(jarPaths List<String>, libraryName String, currentModule Module, editor Editor, reference PsiReference, className String) : void extracted from public addBundledJarToRoots(project Project, editor Editor, currentModule Module, reference PsiReference, className String, libVirtFile String) : void in class com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix
22;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#registerFixes(QuickFixActionRegistrar,PsiReference);;;;;;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#getJUnit4JarPaths();;;;;;MethodDeclaration;EXTRACT;7c59f2a4f9b03a9e48ca15554291a03477aa19c1;7c59f2a4f;;;;;;;;;1140956;Extract Method private getJUnit4JarPaths() : List<String> extracted from public registerFixes(registrar QuickFixActionRegistrar, reference PsiReference) : List<LocalQuickFix> in class com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix
23;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#addJUnit4Library(boolean,Module);;;;;;com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix#getJUnit4JarPaths();;;;;;MethodDeclaration;EXTRACT;7c59f2a4f9b03a9e48ca15554291a03477aa19c1;7c59f2a4f;;;;;;;;;1140956;Extract Method private getJUnit4JarPaths() : List<String> extracted from public addJUnit4Library(inTests boolean, currentModule Module) : void in class com.intellij.codeInsight.daemon.impl.quickfix.OrderEntryFix
24;com.intellij.openapi.util.io.FileUtil#toCanonicalPath(String,char,boolean);;;;;;com.intellij.openapi.util.io.FileUtil#toCanonicalPath(String,char,boolean,boolean);;;;;;MethodDeclaration;EXTRACT;a9379ee529ed87e28c0736c3c6657dcd6a0680e4;a9379ee52;;;;;;;;;1140981;Extract Method private toCanonicalPath(path String, separatorChar char, removeLastSlash boolean, resolveSymlinksIfNecessary boolean) : String extracted from private toCanonicalPath(path String, separatorChar char, removeLastSlash boolean) : String in class com.intellij.openapi.util.io.FileUtil
25;com.intellij.lang.java.parser.ReferenceParser#parseTypeParameter(PsiBuilder);;;;;;com.intellij.lang.java.parser.ReferenceParser#dummy(PsiBuilder);;;;;;MethodDeclaration;EXTRACT;9f7de200c9aef900596b09327a52d33241a68d9c;9f7de200c;;;;;;;;;1140982;Extract Method private dummy(builder PsiBuilder) : void extracted from public parseTypeParameter(builder PsiBuilder) : PsiBuilder.Marker in class com.intellij.lang.java.parser.ReferenceParser
26;com.intellij.lang.java.parser.ReferenceParser#parseTypeParameter(PsiBuilder);;;;;;com.intellij.lang.java.parser.ReferenceParser#isKeywordAny(PsiBuilder);;;;;;MethodDeclaration;EXTRACT;9f7de200c9aef900596b09327a52d33241a68d9c;9f7de200c;;;;;;;;;1140982;Extract Method private isKeywordAny(builder PsiBuilder) : boolean extracted from public parseTypeParameter(builder PsiBuilder) : PsiBuilder.Marker in class com.intellij.lang.java.parser.ReferenceParser
27;com.intellij.lang.java.parser.ReferenceParser#parseTypeParameter(PsiBuilder);;;;;;com.intellij.lang.java.parser.ReferenceParser#dummy(PsiBuilder);;;;;;MethodDeclaration;EXTRACT;106d1d51754f454fa673976665e41f463316e084;106d1d517;;;;;;;;;1141018;Extract Method private dummy(builder PsiBuilder) : void extracted from public parseTypeParameter(builder PsiBuilder) : PsiBuilder.Marker in class com.intellij.lang.java.parser.ReferenceParser
28;com.intellij.lang.java.parser.ReferenceParser#parseTypeParameter(PsiBuilder);;;;;;com.intellij.lang.java.parser.ReferenceParser#isKeywordAny(PsiBuilder);;;;;;MethodDeclaration;EXTRACT;106d1d51754f454fa673976665e41f463316e084;106d1d517;;;;;;;;;1141018;Extract Method private isKeywordAny(builder PsiBuilder) : boolean extracted from public parseTypeParameter(builder PsiBuilder) : PsiBuilder.Marker in class com.intellij.lang.java.parser.ReferenceParser
29;org.jetbrains.idea.maven.utils.library.RepositoryAttachHandler#resolveAndDownload(Project,String,boolean,boolean,String,List<MavenRepositoryInfo>);;;;;;org.jetbrains.idea.maven.utils.library.RepositoryAttachHandler#resolveAndDownloadImpl(Project,String,boolean,boolean,String,List<MavenRepositoryInfo>);;;;;;MethodDeclaration;EXTRACT;e1f0dbc2f09541fc64ce88ee22d8f8f4648004fe;e1f0dbc2f;;;;;;;;;1142230;Extract Method public resolveAndDownloadImpl(project Project, coord String, attachJavaDoc boolean, attachSources boolean, copyTo String, repositories List<MavenRepositoryInfo>) : List<OrderRoot> extracted from public resolveAndDownload(project Project, coord String, attachJavaDoc boolean, attachSources boolean, copyTo String, repositories List<MavenRepositoryInfo>) : NewLibraryConfiguration in class org.jetbrains.idea.maven.utils.library.RepositoryAttachHandler
