entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
com.jetbrains.edu.stepic.EduStepicConnector#getCourses();;;;;;com.jetbrains.edu.stepic.EduStepicConnector#addCoursesFromStepic(List<CourseInfo>,int);;;;;;MethodDeclaration;EXTRACT;7ed3f273ab0caf0337c22f0b721d51829bb0c877;7ed3f273a;;;;;;;;;1100842;Extract Method private addCoursesFromStepic(result List<CourseInfo>, pageNumber int) : boolean extracted from public getCourses() : List<CourseInfo> in class com.jetbrains.edu.stepic.EduStepicConnector
com.intellij.codeInsight.JavaExternalDocumentationTest#getJarFile(String);;;;;;com.intellij.codeInsight.JavaExternalDocumentationTest#getDataFile(String);;;;;;MethodDeclaration;EXTRACT;7a4dab88185553bd09e827839fdf52e870ef7088;7a4dab881;;;;;;;;;1100856;Extract Method private getDataFile(name String) : File extracted from private getJarFile(name String) : VirtualFile in class com.intellij.codeInsight.JavaExternalDocumentationTest
com.intellij.codeInsight.JavaExternalDocumentationTest#testImagesInsideJavadocJar();;;;;;com.intellij.codeInsight.JavaExternalDocumentationTest#getDocumentationText(String);;;;;;MethodDeclaration;EXTRACT;7a4dab88185553bd09e827839fdf52e870ef7088;7a4dab881;;;;;;;;;1100856;Extract Method private getDocumentationText(sourceEditorText String) : String extracted from public testImagesInsideJavadocJar() : void in class com.intellij.codeInsight.JavaExternalDocumentationTest
com.intellij.debugger.engine.RemappedSourcePosition#getLine();;;;;;com.intellij.debugger.engine.RemappedSourcePosition#checkRemap();;;;;;MethodDeclaration;EXTRACT;7655200f58293e5a30bf8b3cbb29ebadae374564;7655200f5;;;;;;;;;1100868;Extract Method private checkRemap() : void extracted from public getLine() : int in class com.intellij.debugger.engine.RemappedSourcePosition
com.intellij.debugger.engine.RemappedSourcePosition#getOffset();;;;;;com.intellij.debugger.engine.RemappedSourcePosition#checkRemap();;;;;;MethodDeclaration;EXTRACT;7655200f58293e5a30bf8b3cbb29ebadae374564;7655200f5;;;;;;;;;1100868;Extract Method private checkRemap() : void extracted from public getOffset() : int in class com.intellij.debugger.engine.RemappedSourcePosition
com.intellij.util.ui.UIUtil#getHTMLEditorKit();;;;;;com.intellij.util.ui.UIUtil#getHTMLEditorKit(boolean);;;;;;MethodDeclaration;EXTRACT;138911ce88b05039242b8d1b2bb5b7a59008f5ee;138911ce8;;;;;;;;;1105941;Extract Method public getHTMLEditorKit(noGapsBetweenParagraphs boolean) : HTMLEditorKit extracted from public getHTMLEditorKit() : HTMLEditorKit in class com.intellij.util.ui.UIUtil
com.intellij.testIntegration.createTest.CreateTestAction#checkForTestRoots(Module,Set<VirtualFile>,Set<Module>);;;;;;com.intellij.testIntegration.createTest.CreateTestAction#checkForTestRoots(Module,Set<VirtualFile>);;;;;;MethodDeclaration;INLINE;04397f41107bd6de41b31d45a4e8e2ed65628bbe;04397f411;;;;;;;;;1105947;Inline Method private checkForTestRoots(srcModule Module, testFolders Set<VirtualFile>, processed Set<Module>) : void inlined to protected checkForTestRoots(srcModule Module, testFolders Set<VirtualFile>) : void in class com.intellij.testIntegration.createTest.CreateTestAction
com.siyeh.ig.migration.UnnecessaryBoxingInspection.UnnecessaryBoxingVisitor#canBeUnboxed(PsiExpression);;;;;;com.siyeh.ig.migration.UnnecessaryBoxingInspection.UnnecessaryBoxingVisitor#canBinaryExpressionBeUnboxed(PsiExpression,PsiExpression);;;;;;MethodDeclaration;EXTRACT;cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b;cc0eaf7fa;;;;;;;;;1105950;Extract Method private canBinaryExpressionBeUnboxed(lhs PsiExpression, rhs PsiExpression) : boolean extracted from private canBeUnboxed(expression PsiExpression) : boolean in class com.siyeh.ig.migration.UnnecessaryBoxingInspection.UnnecessaryBoxingVisitor
com.siyeh.ig.psiutils.SwitchUtils#isAnnotatedNotNull(PsiExpression);;;;;;com.siyeh.ig.psiutils.ExpressionUtils#isAnnotated(PsiExpression,boolean);;;;;;MethodDeclaration;MOVE_RENAME;cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b;cc0eaf7fa;;;;;;;;;1105950;Move And Rename Method private isAnnotatedNotNull(expression PsiExpression) : boolean from class com.siyeh.ig.psiutils.SwitchUtils to private isAnnotated(expression PsiExpression, nullable boolean) : boolean from class com.siyeh.ig.psiutils.ExpressionUtils
com.siyeh.ig.psiutils.SwitchUtils#isAnnotatedNullable(PsiExpression);;;;;;com.siyeh.ig.psiutils.ExpressionUtils#isAnnotated(PsiExpression,boolean);;;;;;MethodDeclaration;MOVE_RENAME;cc0eaf7faa408a04b68e2b5820f3ebcc75420b5b;cc0eaf7fa;;;;;;;;;1105950;Move And Rename Method private isAnnotatedNullable(expression PsiExpression) : boolean from class com.siyeh.ig.psiutils.SwitchUtils to private isAnnotated(expression PsiExpression, nullable boolean) : boolean from class com.siyeh.ig.psiutils.ExpressionUtils
