id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;org.voltdb.iv2.SpScheduler#setMpDRGateway(PartitionDRGateway);;;;;;org.voltdb.iv2.SpScheduler#setMpUniqueIdListener(DurableMpUniqueIdListener);;;;;;MethodDeclaration;EXTRACT;e9efc045fbc6fa893c66a03b72b7eedb388cf96c;e9efc045f;;;;;;;;;1110153;Extract Method public setMpUniqueIdListener(listener DurableMpUniqueIdListener) : void extracted from public setMpDRGateway(mpGateway PartitionDRGateway) : void in class org.voltdb.iv2.SpScheduler
1;org.voltdb.regressionsuites.RegressionSuite#getClient(long,ClientAuthHashScheme);;;;;;org.voltdb.regressionsuites.RegressionSuite#getClient(long,ClientAuthHashScheme,boolean);;;;;;MethodDeclaration;EXTRACT;669e0722324965e3c99f29685517ac24d4ff2848;669e07223;;;;;;;;;1110155;Extract Method public getClient(timeout long, scheme ClientAuthHashScheme, useAdmin boolean) : Client extracted from public getClient(timeout long, scheme ClientAuthHashScheme) : Client in class org.voltdb.regressionsuites.RegressionSuite
2;org.voltdb.TestClientInterface#testPausedMode();;;;;;org.voltdb.TestClientInterface#runPausedMode(boolean);;;;;;MethodDeclaration;EXTRACT;669e0722324965e3c99f29685517ac24d4ff2848;669e07223;;;;;;;;;1110155;Extract Method private runPausedMode(isAdmin boolean) : void extracted from public testPausedMode() : void in class org.voltdb.TestClientInterface
3;org.voltdb.compiler.AdHocPlannerWork#makeStoredProcAdHocPlannerWork(long,String,Object[],boolean,CatalogContext,AsyncCompilerWorkCompletionHandler);;;;;;org.voltdb.compiler.AdHocPlannerWork#makeStoredProcAdHocPlannerWork(long,String,Object[],boolean,CatalogContext,AsyncCompilerWorkCompletionHandler,boolean);;;;;;MethodDeclaration;EXTRACT;669e0722324965e3c99f29685517ac24d4ff2848;669e07223;;;;;;;;;1110155;Extract Method public makeStoredProcAdHocPlannerWork(replySiteId long, sql String, userParams Object[], singlePartition boolean, context CatalogContext, completionHandler AsyncCompilerWorkCompletionHandler, isAdmin boolean) : AdHocPlannerWork extracted from public makeStoredProcAdHocPlannerWork(replySiteId long, sql String, userParams Object[], singlePartition boolean, context CatalogContext, completionHandler AsyncCompilerWorkCompletionHandler) : AdHocPlannerWork in class org.voltdb.compiler.AdHocPlannerWork
4;org.voltdb.compiler.AdHocPlannedStmtBatch#mockStatementBatch(long,String,Object[],VoltType[],Object[],int,byte[]);;;;;;org.voltdb.compiler.AdHocPlannedStmtBatch#mockStatementBatch(long,String,Object[],VoltType[],Object[],int,byte[],boolean,boolean);;;;;;MethodDeclaration;EXTRACT;669e0722324965e3c99f29685517ac24d4ff2848;669e07223;;;;;;;;;1110155;Extract Method public mockStatementBatch(replySiteId long, sql String, extractedValues Object[], paramTypes VoltType[], userParams Object[], partitionParamIndex int, catalogHash byte[], readOnly boolean, isAdmin boolean) : AdHocPlannedStmtBatch extracted from public mockStatementBatch(replySiteId long, sql String, extractedValues Object[], paramTypes VoltType[], userParams Object[], partitionParamIndex int, catalogHash byte[]) : AdHocPlannedStmtBatch in class org.voltdb.compiler.AdHocPlannedStmtBatch
5;org.voltdb.regressionsuites.LocalCluster#getListenerAddress(int);;;;;;org.voltdb.regressionsuites.LocalCluster#getListenerAddress(int,boolean);;;;;;MethodDeclaration;EXTRACT;669e0722324965e3c99f29685517ac24d4ff2848;669e07223;;;;;;;;;1110155;Extract Method private getListenerAddress(hostId int, useAdmin boolean) : String extracted from public getListenerAddress(hostId int) : String in class org.voltdb.regressionsuites.LocalCluster
6;org.voltdb.ClientInterface#handleRead(ByteBuffer,ClientInputHandler,Connection);;;;;;org.voltdb.ClientInterface#allowPauseModeExecution(ClientInputHandler,Procedure,StoredProcedureInvocation);;;;;;MethodDeclaration;EXTRACT;669e0722324965e3c99f29685517ac24d4ff2848;669e07223;;;;;;;;;1110155;Extract Method private allowPauseModeExecution(handler ClientInputHandler, procedure Procedure, invocation StoredProcedureInvocation) : boolean extracted from package handleRead(buf ByteBuffer, handler ClientInputHandler, ccxn Connection) : ClientResponseImpl in class org.voltdb.ClientInterface
7;org.voltdb.ClientInterface.processFinishedCompilerWork.ft.create.newRunnable#run();;;;;;org.voltdb.ClientInterface.processFinishedCompilerWork.ft.create.newRunnable#writeResponseToConnection(ClientResponseImpl);;;;;;MethodDeclaration;EXTRACT;669e0722324965e3c99f29685517ac24d4ff2848;669e07223;;;;;;;;;1110155;Extract Method private writeResponseToConnection(response ClientResponseImpl) : void extracted from public run() : void in class org.voltdb.ClientInterface.processFinishedCompilerWork.ft.create.new Runnable
8;org.voltdb.utils.PBDRegularSegment#open(boolean);;;;;;org.voltdb.utils.PBDRegularSegment#open(boolean,boolean);;;;;;MethodDeclaration;EXTRACT;c9b2006381301c99b66c50c4b31f329caac06137;c9b200638;;;;;;;;;1117296;Extract Method private open(forWrite boolean, truncate boolean) : void extracted from public open(forWrite boolean) : void in class org.voltdb.utils.PBDRegularSegment
9;org.voltdb.utils.PBDMMapSegment#open(boolean);;;;;;org.voltdb.utils.PBDMMapSegment#open(boolean,boolean);;;;;;MethodDeclaration;EXTRACT;c9b2006381301c99b66c50c4b31f329caac06137;c9b200638;;;;;;;;;1117296;Extract Method private open(forWrite boolean, truncate boolean) : void extracted from public open(forWrite boolean) : void in class org.voltdb.utils.PBDMMapSegment
