id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;org.antlr.v4.runtime.tree.Trees#getPS(Tree,List<String>);;;;;;org.antlr.v4.gui.Trees#getPS(Tree,List<String>);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public getPS(t Tree, ruleNames List<String>) : String from class org.antlr.v4.runtime.tree.Trees to public getPS(t Tree, ruleNames List<String>) : String from class org.antlr.v4.gui.Trees
1;org.antlr.v4.runtime.tree.Trees#writePS(Tree,List<String>,String);;;;;;org.antlr.v4.gui.Trees#writePS(Tree,List<String>,String);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public writePS(t Tree, ruleNames List<String>, fileName String) : void from class org.antlr.v4.runtime.tree.Trees to public writePS(t Tree, ruleNames List<String>, fileName String) : void from class org.antlr.v4.gui.Trees
2;org.antlr.v4.runtime.RuleContext#save(Parser,String,String,int);;;;;;org.antlr.v4.gui.Trees#save(Parser,String,String,int);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public save(parser Parser, fileName String, fontName String, fontSize int) : void from class org.antlr.v4.runtime.RuleContext to public save(t Tree, parser Parser, fileName String, fontName String, fontSize int) : void from class org.antlr.v4.gui.Trees
3;org.antlr.v4.runtime.RuleContext#save(Parser,String);;;;;;org.antlr.v4.gui.Trees#save(Parser,String);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public save(parser Parser, fileName String) : void from class org.antlr.v4.runtime.RuleContext to public save(t Tree, parser Parser, fileName String) : void from class org.antlr.v4.gui.Trees
4;org.antlr.v4.runtime.tree.Trees#writePS(Tree,List<String>,String,String,int);;;;;;org.antlr.v4.gui.Trees#writePS(Tree,List<String>,String,String,int);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public writePS(t Tree, ruleNames List<String>, fileName String, fontName String, fontSize int) : void from class org.antlr.v4.runtime.tree.Trees to public writePS(t Tree, ruleNames List<String>, fileName String, fontName String, fontSize int) : void from class org.antlr.v4.gui.Trees
5;org.antlr.v4.runtime.RuleContext#inspect(List<String>);;;;;;org.antlr.v4.gui.Trees#inspect(List<String>);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public inspect(ruleNames List<String>) : Future<JDialog> from class org.antlr.v4.runtime.RuleContext to public inspect(t Tree, ruleNames List<String>) : Future<JDialog> from class org.antlr.v4.gui.Trees
6;org.antlr.v4.runtime.tree.Trees#getPS(Tree,List<String>,String,int);;;;;;org.antlr.v4.gui.Trees#getPS(Tree,List<String>,String,int);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public getPS(t Tree, ruleNames List<String>, fontName String, fontSize int) : String from class org.antlr.v4.runtime.tree.Trees to public getPS(t Tree, ruleNames List<String>, fontName String, fontSize int) : String from class org.antlr.v4.gui.Trees
7;org.antlr.v4.runtime.RuleContext#inspect(Parser);;;;;;org.antlr.v4.gui.Trees#inspect(Parser);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public inspect(parser Parser) : Future<JDialog> from class org.antlr.v4.runtime.RuleContext to public inspect(t Tree, parser Parser) : Future<JDialog> from class org.antlr.v4.gui.Trees
8;org.antlr.v4.runtime.RuleContext#save(List<String>,String,String,int);;;;;;org.antlr.v4.gui.Trees#save(List<String>,String,String,int);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public save(ruleNames List<String>, fileName String, fontName String, fontSize int) : void from class org.antlr.v4.runtime.RuleContext to public save(t Tree, ruleNames List<String>, fileName String, fontName String, fontSize int) : void from class org.antlr.v4.gui.Trees
9;org.antlr.v4.runtime.RuleContext#save(List<String>,String);;;;;;org.antlr.v4.gui.Trees#save(List<String>,String);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public save(ruleNames List<String>, fileName String) : void from class org.antlr.v4.runtime.RuleContext to public save(t Tree, ruleNames List<String>, fileName String) : void from class org.antlr.v4.gui.Trees
