entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
org.antlr.v4.runtime.tree.Trees#descendants(ParseTree);;;;;;org.antlr.v4.runtime.tree.Trees#getDescendants(ParseTree);;;;;;MethodDeclaration;EXTRACT;a9ca2efae56815dc464189b055ffe9da23766f7f;a9ca2efae;;;;;;;;;1119661;Extract Method public getDescendants(t ParseTree) : List<ParseTree> extracted from public descendants(t ParseTree) : List<ParseTree> in class org.antlr.v4.runtime.tree.Trees
org.antlr.v4.tool.GrammarParserInterpreter#getAllPossibleParseTrees(Grammar,Parser,TokenStream,int,BitSet,int,int,int);;;;;;org.antlr.v4.tool.GrammarParserInterpreter#getAmbuityParserInterpreter(Grammar,Parser,TokenStream);;;;;;MethodDeclaration;EXTRACT;a9ca2efae56815dc464189b055ffe9da23766f7f;a9ca2efae;;;;;;;;;1119661;Extract Method public getAmbuityParserInterpreter(g Grammar, originalParser Parser, tokens TokenStream) : ParserInterpreter extracted from public getAllPossibleParseTrees(g Grammar, originalParser Parser, tokens TokenStream, decision int, alts BitSet, startIndex int, stopIndex int, startRuleIndex int) : List<ParserRuleContext> in class org.antlr.v4.tool.GrammarParserInterpreter
org.antlr.v4.runtime.tree.Trees#toStringTree(Tree,TreeTextProvider);;;;;;org.antlr.v4.runtime.tree.Trees#toStringTree(Tree,List<String>);;;;;;MethodDeclaration;INLINE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Inline Method public toStringTree(t Tree, nodeTextProvider TreeTextProvider) : String inlined to public toStringTree(t Tree, ruleNames List<String>) : String in class org.antlr.v4.runtime.tree.Trees
org.antlr.v4.runtime.tree.Trees#getPS(Tree,List<String>);;;;;;org.antlr.v4.gui.Trees#getPS(Tree,List<String>);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public getPS(t Tree, ruleNames List<String>) : String from class org.antlr.v4.runtime.tree.Trees to public getPS(t Tree, ruleNames List<String>) : String from class org.antlr.v4.gui.Trees
org.antlr.v4.runtime.tree.Trees#writePS(Tree,List<String>,String);;;;;;org.antlr.v4.gui.Trees#writePS(Tree,List<String>,String);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public writePS(t Tree, ruleNames List<String>, fileName String) : void from class org.antlr.v4.runtime.tree.Trees to public writePS(t Tree, ruleNames List<String>, fileName String) : void from class org.antlr.v4.gui.Trees
org.antlr.v4.runtime.RuleContext#save(Parser,String,String,int);;;;;;org.antlr.v4.gui.Trees#save(Parser,String,String,int);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public save(parser Parser, fileName String, fontName String, fontSize int) : void from class org.antlr.v4.runtime.RuleContext to public save(t Tree, parser Parser, fileName String, fontName String, fontSize int) : void from class org.antlr.v4.gui.Trees
org.antlr.v4.runtime.RuleContext#save(Parser,String);;;;;;org.antlr.v4.gui.Trees#save(Parser,String);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public save(parser Parser, fileName String) : void from class org.antlr.v4.runtime.RuleContext to public save(t Tree, parser Parser, fileName String) : void from class org.antlr.v4.gui.Trees
org.antlr.v4.runtime.tree.Trees#writePS(Tree,List<String>,String,String,int);;;;;;org.antlr.v4.gui.Trees#writePS(Tree,List<String>,String,String,int);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public writePS(t Tree, ruleNames List<String>, fileName String, fontName String, fontSize int) : void from class org.antlr.v4.runtime.tree.Trees to public writePS(t Tree, ruleNames List<String>, fileName String, fontName String, fontSize int) : void from class org.antlr.v4.gui.Trees
org.antlr.v4.runtime.RuleContext#inspect(List<String>);;;;;;org.antlr.v4.gui.Trees#inspect(List<String>);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public inspect(ruleNames List<String>) : Future<JDialog> from class org.antlr.v4.runtime.RuleContext to public inspect(t Tree, ruleNames List<String>) : Future<JDialog> from class org.antlr.v4.gui.Trees
org.antlr.v4.runtime.tree.Trees#getPS(Tree,List<String>,String,int);;;;;;org.antlr.v4.gui.Trees#getPS(Tree,List<String>,String,int);;;;;;MethodDeclaration;MOVE;b395127e733b33c27f344695ebf155ecf5edeeab;b395127e7;;;;;;;;;1141310;Move Method public getPS(t Tree, ruleNames List<String>, fontName String, fontSize int) : String from class org.antlr.v4.runtime.tree.Trees to public getPS(t Tree, ruleNames List<String>, fontName String, fontSize int) : String from class org.antlr.v4.gui.Trees
