id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;org.apache.cassandra.db.compaction.CompactionManager#submitBackground(ColumnFamilyStore);;;;;;org.apache.cassandra.db.compaction.CompactionManager#submitBackground(ColumnFamilyStore,boolean);;;;;;MethodDeclaration;EXTRACT;ec52e77ecde749e7c5a483b26cbd8041f2a5a33c;ec52e77ec;;;;;;;;;1117885;Extract Method public submitBackground(cfs ColumnFamilyStore, autoFill boolean) : List<Future<?>> extracted from public submitBackground(cfs ColumnFamilyStore) : List<Future<?>> in class org.apache.cassandra.db.compaction.CompactionManager
1;org.apache.cassandra.dht.Murmur3Partitioner#getRandomToken();;;;;;org.apache.cassandra.dht.Murmur3Partitioner#getRandomToken(Random);;;;;;MethodDeclaration;EXTRACT;9a3fa887cfa03c082f249d1d4003d87c14ba5d24;9a3fa887c;;;;;;;;;1122401;Extract Method public getRandomToken(r Random) : LongToken extracted from public getRandomToken() : LongToken in class org.apache.cassandra.dht.Murmur3Partitioner
2;org.apache.cassandra.dht.BootStrapperTest#generateFakeEndpoints(int);;;;;;org.apache.cassandra.dht.BootStrapperTest#generateFakeEndpoints(TokenMetadata,int,int);;;;;;MethodDeclaration;EXTRACT;9a3fa887cfa03c082f249d1d4003d87c14ba5d24;9a3fa887c;;;;;;;;;1122401;Extract Method private generateFakeEndpoints(tmd TokenMetadata, numOldNodes int, numVNodes int) : void extracted from private generateFakeEndpoints(numOldNodes int) : void in class org.apache.cassandra.dht.BootStrapperTest
3;org.apache.cassandra.dht.BootStrapper#getBootstrapTokens(TokenMetadata);;;;;;org.apache.cassandra.dht.BootStrapper#getSpecifiedTokens(TokenMetadata,Collection<String>);;;;;;MethodDeclaration;EXTRACT;9a3fa887cfa03c082f249d1d4003d87c14ba5d24;9a3fa887c;;;;;;;;;1122401;Extract Method private getSpecifiedTokens(metadata TokenMetadata, initialTokens Collection<String>) : Collection<Token> extracted from public getBootstrapTokens(metadata TokenMetadata) : Collection<Token> in class org.apache.cassandra.dht.BootStrapper
4;org.apache.cassandra.utils.UUIDGen#fromUnixTimestamp(long);;;;;;org.apache.cassandra.utils.UUIDGen#fromUnixTimestamp(long,long);;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method private fromUnixTimestamp(timestamp long, nanos long) : long extracted from private fromUnixTimestamp(timestamp long) : long in class org.apache.cassandra.utils.UUIDGen
5;org.apache.cassandra.cql3.CQLTester#createTable(String);;;;;;org.apache.cassandra.cql3.CQLTester#createTableName();;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method protected createTableName() : String extracted from protected createTable(query String) : String in class org.apache.cassandra.cql3.CQLTester
6;org.apache.cassandra.cql3.statements.ModificationStatement#executeWithCondition(QueryState,QueryOptions);;;;;;org.apache.cassandra.cql3.statements.ModificationStatement#makeCasRequest(QueryState,QueryOptions);;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method private makeCasRequest(queryState QueryState, options QueryOptions) : CQL3CasRequest extracted from public executeWithCondition(queryState QueryState, options QueryOptions) : ResultMessage in class org.apache.cassandra.cql3.statements.ModificationStatement
7;org.apache.cassandra.cql3.statements.BatchStatement#executeInternal(QueryState,QueryOptions);;;;;;org.apache.cassandra.cql3.statements.BatchStatement#executeInternalWithoutCondition(QueryState,QueryOptions);;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method private executeInternalWithoutCondition(queryState QueryState, options QueryOptions) : ResultMessage extracted from public executeInternal(queryState QueryState, options QueryOptions) : ResultMessage in class org.apache.cassandra.cql3.statements.BatchStatement
8;org.apache.cassandra.cql3.statements.BatchStatement#executeWithConditions(BatchQueryOptions,QueryState);;;;;;org.apache.cassandra.cql3.statements.BatchStatement#makeCasRequest(BatchQueryOptions,QueryState);;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method private makeCasRequest(options BatchQueryOptions, state QueryState) : Pair<CQL3CasRequest,Set<ColumnDefinition>> extracted from private executeWithConditions(options BatchQueryOptions, state QueryState) : ResultMessage in class org.apache.cassandra.cql3.statements.BatchStatement
9;org.apache.cassandra.cql3.CQLTester#assertInvalidMessage(String,String,Object...);;;;;;org.apache.cassandra.cql3.CQLTester#assertInvalidThrowMessage(String,Class<?,String,Object...);;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method protected assertInvalidThrowMessage(errorMessage String, exception Class<? extends Throwable>, query String, values Object...) : void extracted from protected assertInvalidMessage(errorMessage String, query String, values Object...) : void in class org.apache.cassandra.cql3.CQLTester
10;org.apache.cassandra.cql3.statements.ModificationStatement#executeInternal(QueryState,QueryOptions);;;;;;org.apache.cassandra.cql3.statements.ModificationStatement#executeInternalWithoutCondition(QueryState,QueryOptions);;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method public executeInternalWithoutCondition(queryState QueryState, options QueryOptions) : ResultMessage extracted from public executeInternal(queryState QueryState, options QueryOptions) : ResultMessage in class org.apache.cassandra.cql3.statements.ModificationStatement
11;org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber#onCreateAggregate(String,String,List<AbstractType<?>>);;;;;;org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber#onCreateFunctionInternal(String,String,List<AbstractType<?>>);;;;;;MethodDeclaration;EXTRACT;35668435090eb47cf8c5e704243510b6cee35a7b;356684350;;;;;;;;;1129630;Extract Method private onCreateFunctionInternal(ksName String, functionName String, argTypes List<AbstractType<?>>) : void extracted from public onCreateAggregate(ksName String, aggregateName String, argTypes List<AbstractType<?>>) : void in class org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber
12;org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber#onCreateFunction(String,String,List<AbstractType<?>>);;;;;;org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber#onCreateFunctionInternal(String,String,List<AbstractType<?>>);;;;;;MethodDeclaration;EXTRACT;35668435090eb47cf8c5e704243510b6cee35a7b;356684350;;;;;;;;;1129630;Extract Method private onCreateFunctionInternal(ksName String, functionName String, argTypes List<AbstractType<?>>) : void extracted from public onCreateFunction(ksName String, functionName String, argTypes List<AbstractType<?>>) : void in class org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber
13;org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber#onDropAggregate(String,String,List<AbstractType<?>>);;;;;;org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber#onDropFunctionInternal(String,String,List<AbstractType<?>>);;;;;;MethodDeclaration;EXTRACT;35668435090eb47cf8c5e704243510b6cee35a7b;356684350;;;;;;;;;1129630;Extract Method private onDropFunctionInternal(ksName String, functionName String, argTypes List<AbstractType<?>>) : void extracted from public onDropAggregate(ksName String, aggregateName String, argTypes List<AbstractType<?>>) : void in class org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber
14;org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber#onDropFunction(String,String,List<AbstractType<?>>);;;;;;org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber#onDropFunctionInternal(String,String,List<AbstractType<?>>);;;;;;MethodDeclaration;EXTRACT;35668435090eb47cf8c5e704243510b6cee35a7b;356684350;;;;;;;;;1129630;Extract Method private onDropFunctionInternal(ksName String, functionName String, argTypes List<AbstractType<?>>) : void extracted from public onDropFunction(ksName String, functionName String, argTypes List<AbstractType<?>>) : void in class org.apache.cassandra.cql3.QueryProcessor.MigrationSubscriber
15;org.apache.cassandra.cql3.functions.UDFunction#compose(int,int,ByteBuffer);;;;;;org.apache.cassandra.cql3.functions.UDFunction#compose(DataType[],int,int,ByteBuffer);;;;;;MethodDeclaration;EXTRACT;5790b4a44ba85e7e8ece64613d9e6a1b737a6cde;5790b4a44;;;;;;;;;1148549;Extract Method protected compose(argDataTypes DataType[], protocolVersion int, argIndex int, value ByteBuffer) : Object extracted from protected compose(protocolVersion int, argIndex int, value ByteBuffer) : Object in class org.apache.cassandra.cql3.functions.UDFunction
16;org.apache.cassandra.cql3.functions.UDFunction#decompose(int,Object);;;;;;org.apache.cassandra.cql3.functions.UDFunction#decompose(DataType,int,Object);;;;;;MethodDeclaration;EXTRACT;5790b4a44ba85e7e8ece64613d9e6a1b737a6cde;5790b4a44;;;;;;;;;1148549;Extract Method protected decompose(dataType DataType, protocolVersion int, value Object) : ByteBuffer extracted from protected decompose(protocolVersion int, value Object) : ByteBuffer in class org.apache.cassandra.cql3.functions.UDFunction
17;org.apache.cassandra.db.RowUpdateBuilder#deleteRow(CFMetaData,long,Object,Object...);;;;;;org.apache.cassandra.db.RowUpdateBuilder#deleteRowAt(CFMetaData,long,int,Object,Object...);;;;;;MethodDeclaration;EXTRACT;2b0a8f6bdac621badabcb9921c077260f2470c26;2b0a8f6bd;;;;;;;;;1148565;Extract Method public deleteRowAt(metadata CFMetaData, timestamp long, localDeletionTime int, key Object, clusteringValues Object...) : Mutation extracted from public deleteRow(metadata CFMetaData, timestamp long, key Object, clusteringValues Object...) : Mutation in class org.apache.cassandra.db.RowUpdateBuilder
18;org.apache.cassandra.db.Directories#getSnapshotDetails();;;;;;org.apache.cassandra.db.Directories#listSnapshots();;;;;;MethodDeclaration;EXTRACT;b70f7ea0ce27b5defa0a7773d448732364e7aee0;b70f7ea0c;;;;;;;;;1148572;Extract Method private listSnapshots() : List<File> extracted from public getSnapshotDetails() : Map<String,Pair<Long,Long>> in class org.apache.cassandra.db.Directories
