id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#getSplits(JobConf,int);;;;;;org.apache.cassandra.hadoop.cql3.CqlInputFormat#getSplits(JobConf,int);;;;;;MethodDeclaration;MOVE;446e2537895c15b404a74107069a12f3fc404b15;446e25378;;;;;;;;;1106365;Move Method public getSplits(jobConf JobConf, numSplits int) : InputSplit[] from class org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat to public getSplits(jobConf JobConf, numSplits int) : InputSplit[] from class org.apache.cassandra.hadoop.cql3.CqlInputFormat
1;org.apache.cassandra.cql3.CreateTriggerStatementTest#assertTriggerExists(String,Class<?>);;;;;;org.apache.cassandra.cql3.validation.operations.CreateTest#assertTriggerExists(String,Class<?>);;;;;;MethodDeclaration;MOVE;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Move Method private assertTriggerExists(name String, clazz Class<?>) : void from class org.apache.cassandra.cql3.CreateTriggerStatementTest to private assertTriggerExists(name String, clazz Class<?>) : void from class org.apache.cassandra.cql3.validation.operations.CreateTest
2;org.apache.cassandra.cql3.CreateTriggerStatementTest#testCreateTrigger();;;;;;org.apache.cassandra.cql3.validation.operations.CreateTest#testCreateTrigger();;;;;;MethodDeclaration;MOVE;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Move Method public testCreateTrigger() : void from class org.apache.cassandra.cql3.CreateTriggerStatementTest to public testCreateTrigger() : void from class org.apache.cassandra.cql3.validation.operations.CreateTest
3;org.apache.cassandra.cql3.CreateTriggerStatementTest#testCreateTriggerIfNotExists();;;;;;org.apache.cassandra.cql3.validation.operations.CreateTest#testCreateTriggerIfNotExists();;;;;;MethodDeclaration;MOVE;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Move Method public testCreateTriggerIfNotExists() : void from class org.apache.cassandra.cql3.CreateTriggerStatementTest to public testCreateTriggerIfNotExists() : void from class org.apache.cassandra.cql3.validation.operations.CreateTest
4;org.apache.cassandra.cql3.CreateTriggerStatementTest#testDropTrigger();;;;;;org.apache.cassandra.cql3.validation.operations.CreateTest#testDropTrigger();;;;;;MethodDeclaration;MOVE;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Move Method public testDropTrigger() : void from class org.apache.cassandra.cql3.CreateTriggerStatementTest to public testDropTrigger() : void from class org.apache.cassandra.cql3.validation.operations.CreateTest
5;org.apache.cassandra.cql3.CreateTriggerStatementTest#testDropTriggerIfExists();;;;;;org.apache.cassandra.cql3.validation.operations.CreateTest#testDropTriggerIfExists();;;;;;MethodDeclaration;MOVE;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Move Method public testDropTriggerIfExists() : void from class org.apache.cassandra.cql3.CreateTriggerStatementTest to public testDropTriggerIfExists() : void from class org.apache.cassandra.cql3.validation.operations.CreateTest
6;org.apache.cassandra.cql3.IndexedValuesValidationTest#failInsert(String,Object...);;;;;;org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#failInsert(String,Object...);;;;;;MethodDeclaration;MOVE;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Move Method public failInsert(insertCQL String, args Object...) : void from class org.apache.cassandra.cql3.IndexedValuesValidationTest to public failInsert(insertCQL String, args Object...) : void from class org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest
7;org.apache.cassandra.cql3.IndexedValuesValidationTest#succeedInsert(String,Object...);;;;;;org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#succeedInsert(String,Object...);;;;;;MethodDeclaration;MOVE;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Move Method public succeedInsert(insertCQL String, args Object...) : void from class org.apache.cassandra.cql3.IndexedValuesValidationTest to public succeedInsert(insertCQL String, args Object...) : void from class org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest
8;org.apache.cassandra.cql3.IndexedValuesValidationTest#testCompactTableWithValueOver64k();;;;;;org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#testCompactTableWithValueOver64k();;;;;;MethodDeclaration;MOVE;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Move Method public testCompactTableWithValueOver64k() : void from class org.apache.cassandra.cql3.IndexedValuesValidationTest to public testCompactTableWithValueOver64k() : void from class org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest
9;org.apache.cassandra.cql3.IndexedValuesValidationTest#testIndexOnClusteringColumnInsertPartitionKeyAndClusteringsOver64k();;;;;;org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest#testIndexOnClusteringColumnInsertPartitionKeyAndClusteringsOver64k();;;;;;MethodDeclaration;MOVE;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Move Method public testIndexOnClusteringColumnInsertPartitionKeyAndClusteringsOver64k() : void from class org.apache.cassandra.cql3.IndexedValuesValidationTest to public testIndexOnClusteringColumnInsertPartitionKeyAndClusteringsOver64k() : void from class org.apache.cassandra.cql3.validation.entities.SecondaryIndexTest
