entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat#getSplits(JobConf,int);;;;;;org.apache.cassandra.hadoop.cql3.CqlInputFormat#getSplits(JobConf,int);;;;;;MethodDeclaration;MOVE;446e2537895c15b404a74107069a12f3fc404b15;446e25378;;;;;;;;;1106365;Move Method public getSplits(jobConf JobConf, numSplits int) : InputSplit[] from class org.apache.cassandra.hadoop.AbstractColumnFamilyInputFormat to public getSplits(jobConf JobConf, numSplits int) : InputSplit[] from class org.apache.cassandra.hadoop.cql3.CqlInputFormat
org.apache.cassandra.db.compaction.CompactionManager#submitBackground(ColumnFamilyStore);;;;;;org.apache.cassandra.db.compaction.CompactionManager#submitBackground(ColumnFamilyStore,boolean);;;;;;MethodDeclaration;EXTRACT;ec52e77ecde749e7c5a483b26cbd8041f2a5a33c;ec52e77ec;;;;;;;;;1117885;Extract Method public submitBackground(cfs ColumnFamilyStore, autoFill boolean) : List<Future<?>> extracted from public submitBackground(cfs ColumnFamilyStore) : List<Future<?>> in class org.apache.cassandra.db.compaction.CompactionManager
org.apache.cassandra.dht.Murmur3Partitioner#getRandomToken();;;;;;org.apache.cassandra.dht.Murmur3Partitioner#getRandomToken(Random);;;;;;MethodDeclaration;EXTRACT;9a3fa887cfa03c082f249d1d4003d87c14ba5d24;9a3fa887c;;;;;;;;;1122401;Extract Method public getRandomToken(r Random) : LongToken extracted from public getRandomToken() : LongToken in class org.apache.cassandra.dht.Murmur3Partitioner
org.apache.cassandra.dht.BootStrapperTest#generateFakeEndpoints(int);;;;;;org.apache.cassandra.dht.BootStrapperTest#generateFakeEndpoints(TokenMetadata,int,int);;;;;;MethodDeclaration;EXTRACT;9a3fa887cfa03c082f249d1d4003d87c14ba5d24;9a3fa887c;;;;;;;;;1122401;Extract Method private generateFakeEndpoints(tmd TokenMetadata, numOldNodes int, numVNodes int) : void extracted from private generateFakeEndpoints(numOldNodes int) : void in class org.apache.cassandra.dht.BootStrapperTest
org.apache.cassandra.dht.BootStrapper#getBootstrapTokens(TokenMetadata);;;;;;org.apache.cassandra.dht.BootStrapper#getSpecifiedTokens(TokenMetadata,Collection<String>);;;;;;MethodDeclaration;EXTRACT;9a3fa887cfa03c082f249d1d4003d87c14ba5d24;9a3fa887c;;;;;;;;;1122401;Extract Method private getSpecifiedTokens(metadata TokenMetadata, initialTokens Collection<String>) : Collection<Token> extracted from public getBootstrapTokens(metadata TokenMetadata) : Collection<Token> in class org.apache.cassandra.dht.BootStrapper
org.apache.cassandra.utils.UUIDGen#fromUnixTimestamp(long);;;;;;org.apache.cassandra.utils.UUIDGen#fromUnixTimestamp(long,long);;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method private fromUnixTimestamp(timestamp long, nanos long) : long extracted from private fromUnixTimestamp(timestamp long) : long in class org.apache.cassandra.utils.UUIDGen
org.apache.cassandra.cql3.CQLTester#createTable(String);;;;;;org.apache.cassandra.cql3.CQLTester#createTableName();;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method protected createTableName() : String extracted from protected createTable(query String) : String in class org.apache.cassandra.cql3.CQLTester
org.apache.cassandra.cql3.statements.ModificationStatement#executeWithCondition(QueryState,QueryOptions);;;;;;org.apache.cassandra.cql3.statements.ModificationStatement#makeCasRequest(QueryState,QueryOptions);;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method private makeCasRequest(queryState QueryState, options QueryOptions) : CQL3CasRequest extracted from public executeWithCondition(queryState QueryState, options QueryOptions) : ResultMessage in class org.apache.cassandra.cql3.statements.ModificationStatement
org.apache.cassandra.cql3.statements.BatchStatement#executeInternal(QueryState,QueryOptions);;;;;;org.apache.cassandra.cql3.statements.BatchStatement#executeInternalWithoutCondition(QueryState,QueryOptions);;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method private executeInternalWithoutCondition(queryState QueryState, options QueryOptions) : ResultMessage extracted from public executeInternal(queryState QueryState, options QueryOptions) : ResultMessage in class org.apache.cassandra.cql3.statements.BatchStatement
org.apache.cassandra.cql3.statements.BatchStatement#executeWithConditions(BatchQueryOptions,QueryState);;;;;;org.apache.cassandra.cql3.statements.BatchStatement#makeCasRequest(BatchQueryOptions,QueryState);;;;;;MethodDeclaration;EXTRACT;f797bfa4da53315b49f8d97b784047f33ba1bf5f;f797bfa4d;;;;;;;;;1123899;Extract Method private makeCasRequest(options BatchQueryOptions, state QueryState) : Pair<CQL3CasRequest,Set<ColumnDefinition>> extracted from private executeWithConditions(options BatchQueryOptions, state QueryState) : ResultMessage in class org.apache.cassandra.cql3.statements.BatchStatement
