id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;org.bitcoinj.protocols.channels.StoredPaymentChannelServerStates#closeChannel(StoredServerChannel);;;;;;org.bitcoinj.protocols.channels.StoredPaymentChannelServerStates#updatedChannel(StoredServerChannel);;;;;;MethodDeclaration;EXTRACT;1d96e1ad1dca6e2151603e10515bb04f0c2730fc;1d96e1ad1;;;;;;;;;1123761;Extract Method public updatedChannel(channel StoredServerChannel) : void extracted from public closeChannel(channel StoredServerChannel) : void in class org.bitcoinj.protocols.channels.StoredPaymentChannelServerStates
1;org.bitcoinj.protocols.channels.StoredPaymentChannelClientStates#removeChannel(StoredClientChannel);;;;;;org.bitcoinj.protocols.channels.StoredPaymentChannelClientStates#updatedChannel(StoredClientChannel);;;;;;MethodDeclaration;EXTRACT;1d96e1ad1dca6e2151603e10515bb04f0c2730fc;1d96e1ad1;;;;;;;;;1123761;Extract Method package updatedChannel(channel StoredClientChannel) : void extracted from package removeChannel(channel StoredClientChannel) : void in class org.bitcoinj.protocols.channels.StoredPaymentChannelClientStates
2;org.bitcoinj.protocols.channels.StoredPaymentChannelClientStates#putChannel(StoredClientChannel,boolean);;;;;;org.bitcoinj.protocols.channels.StoredPaymentChannelClientStates#updatedChannel(StoredClientChannel);;;;;;MethodDeclaration;EXTRACT;1d96e1ad1dca6e2151603e10515bb04f0c2730fc;1d96e1ad1;;;;;;;;;1123761;Extract Method package updatedChannel(channel StoredClientChannel) : void extracted from private putChannel(channel StoredClientChannel, updateWallet boolean) : void in class org.bitcoinj.protocols.channels.StoredPaymentChannelClientStates
3;org.bitcoinj.core.Utils#sha256hash160(byte[]);;;;;;org.bitcoinj.core.Utils#newSha256Digest();;;;;;MethodDeclaration;EXTRACT;2fd96c777164dd812e8b5a4294b162889601df1d;2fd96c777;;;;;;;;;1123773;Extract Method public newSha256Digest() : MessageDigest extracted from public sha256hash160(input byte[]) : byte[] in class org.bitcoinj.core.Utils
4;org.bitcoinj.core.Sha256Hash#hash(byte[]);;;;;;org.bitcoinj.core.Utils#newSha256Digest();;;;;;MethodDeclaration;EXTRACT_MOVE;2fd96c777164dd812e8b5a4294b162889601df1d;2fd96c777;;;;;;;;;1123773;Extract And Move Method public newSha256Digest() : MessageDigest extracted from public hash(contents byte[]) : Sha256Hash in class org.bitcoinj.core.Sha256Hash & moved to class org.bitcoinj.core.Utils
5;org.bitcoinj.core.CheckpointManager#readBinary(InputStream);;;;;;org.bitcoinj.core.Utils#newSha256Digest();;;;;;MethodDeclaration;EXTRACT_MOVE;2fd96c777164dd812e8b5a4294b162889601df1d;2fd96c777;;;;;;;;;1123773;Extract And Move Method public newSha256Digest() : MessageDigest extracted from private readBinary(inputStream InputStream) : Sha256Hash in class org.bitcoinj.core.CheckpointManager & moved to class org.bitcoinj.core.Utils
6;org.bitcoinj.script.Script#executeScript(Transaction,long,Script,LinkedList<byte[]>,boolean);;;;;;org.bitcoinj.core.Utils#newSha256Digest();;;;;;MethodDeclaration;EXTRACT_MOVE;2fd96c777164dd812e8b5a4294b162889601df1d;2fd96c777;;;;;;;;;1123773;Extract And Move Method public newSha256Digest() : MessageDigest extracted from public executeScript(txContainingThis Transaction, index long, script Script, stack LinkedList<byte[]>, enforceNullDummy boolean) : void in class org.bitcoinj.script.Script & moved to class org.bitcoinj.core.Utils
7;org.bitcoinj.crypto.MnemonicCode#MnemonicCode(InputStream,String);;;;;;org.bitcoinj.core.Utils#newSha256Digest();;;;;;MethodDeclaration;EXTRACT_MOVE;2fd96c777164dd812e8b5a4294b162889601df1d;2fd96c777;;;;;;;;;1123773;Extract And Move Method public newSha256Digest() : MessageDigest extracted from public MnemonicCode(wordstream InputStream, wordListDigest String) in class org.bitcoinj.crypto.MnemonicCode & moved to class org.bitcoinj.core.Utils
8;org.bitcoinj.tools.BuildCheckpoints#writeBinaryCheckpoints(TreeMap<Integer,StoredBlock>,File);;;;;;org.bitcoinj.core.Utils#newSha256Digest();;;;;;MethodDeclaration;EXTRACT_MOVE;2fd96c777164dd812e8b5a4294b162889601df1d;2fd96c777;;;;;;;;;1123773;Extract And Move Method public newSha256Digest() : MessageDigest extracted from private writeBinaryCheckpoints(checkpoints TreeMap<Integer,StoredBlock>, file File) : void in class org.bitcoinj.tools.BuildCheckpoints & moved to class org.bitcoinj.core.Utils
9;org.bitcoinj.core.Peer#getUTXOs(List<TransactionOutPoint>);;;;;;org.bitcoinj.core.Peer#getUTXOs(List<TransactionOutPoint>,boolean);;;;;;MethodDeclaration;EXTRACT;95bfa40630e34f6f369e0055d9f37f49bca60247;95bfa4063;;;;;;;;;1136537;Extract Method public getUTXOs(outPoints List<TransactionOutPoint>, includeMempool boolean) : ListenableFuture<UTXOsMessage> extracted from public getUTXOs(outPoints List<TransactionOutPoint>) : ListenableFuture<UTXOsMessage> in class org.bitcoinj.core.Peer
