entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
cascading.stats.tez.TezNodeStats#logInfo(String,Object...);;;;;;cascading.stats.CascadingStats#logInfo(String,Object...);;;;;;MethodDeclaration;MOVE;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Move Method protected logInfo(message String, arguments Object...) : void from class cascading.stats.tez.TezNodeStats to protected logInfo(message String, arguments Object...) : void from class cascading.stats.CascadingStats
cascading.stats.tez.TezNodeStats#logWarn(String,Object...);;;;;;cascading.stats.CascadingStats#logWarn(String,Object...);;;;;;MethodDeclaration;MOVE;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Move Method protected logWarn(message String, arguments Object...) : void from class cascading.stats.tez.TezNodeStats to protected logWarn(message String, arguments Object...) : void from class cascading.stats.CascadingStats
cascading.stats.tez.TezNodeStats#logDebug(String,Object...);;;;;;cascading.stats.CascadingStats#logDebug(String,Object...);;;;;;MethodDeclaration;MOVE;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Move Method protected logDebug(message String, arguments Object...) : void from class cascading.stats.tez.TezNodeStats to protected logDebug(message String, arguments Object...) : void from class cascading.stats.CascadingStats
cascading.stats.tez.TezNodeStats#getPrefix();;;;;;cascading.stats.CascadingStats#getPrefix();;;;;;MethodDeclaration;MOVE;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Move Method private getPrefix() : String from class cascading.stats.tez.TezNodeStats to private getPrefix() : String from class cascading.stats.CascadingStats
cascading.stats.tez.TezNodeStats#logDebug(String,Object...);;;;;;cascading.stats.CascadingStats#logDebug(String,Object...);;;;;;MethodDeclaration;PULL_UP;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Pull Up Method protected logDebug(message String, arguments Object...) : void from class cascading.stats.tez.TezNodeStats to protected logDebug(message String, arguments Object...) : void from class cascading.stats.CascadingStats
cascading.stats.tez.TezNodeStats#logInfo(String,Object...);;;;;;cascading.stats.CascadingStats#logInfo(String,Object...);;;;;;MethodDeclaration;PULL_UP;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Pull Up Method protected logInfo(message String, arguments Object...) : void from class cascading.stats.tez.TezNodeStats to protected logInfo(message String, arguments Object...) : void from class cascading.stats.CascadingStats
cascading.stats.tez.TezNodeStats#logWarn(String,Object...);;;;;;cascading.stats.CascadingStats#logWarn(String,Object...);;;;;;MethodDeclaration;PULL_UP;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Pull Up Method protected logWarn(message String, arguments Object...) : void from class cascading.stats.tez.TezNodeStats to protected logWarn(message String, arguments Object...) : void from class cascading.stats.CascadingStats
cascading.stats.tez.TezNodeStats#getPrefix();;;;;;cascading.stats.CascadingStats#getPrefix();;;;;;MethodDeclaration;PULL_UP;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Pull Up Method private getPrefix() : String from class cascading.stats.tez.TezNodeStats to private getPrefix() : String from class cascading.stats.CascadingStats
cascading.stats.CascadingStats#fireListeners(CascadingStats.Status,CascadingStats.Status);;;;;;cascading.stats.CascadingStats#logWarn(String,Object...);;;;;;MethodDeclaration;EXTRACT;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Extract Method protected logWarn(message String, arguments Object...) : void extracted from protected fireListeners(fromStatus CascadingStats.Status, toStatus CascadingStats.Status) : void in class cascading.stats.CascadingStats
cascading.stats.hadoop.BaseHadoopNodeStats#recordChildStats();;;;;;cascading.stats.CascadingStats#logError(String,Object...);;;;;;MethodDeclaration;EXTRACT_MOVE;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Extract And Move Method protected logError(message String, arguments Object...) : void extracted from public recordChildStats() : void in class cascading.stats.hadoop.BaseHadoopNodeStats & moved to class cascading.stats.CascadingStats
cascading.stats.hadoop.HadoopNodeStats#captureChildDetailInternal();;;;;;cascading.stats.CascadingStats#logWarn(String,Object...);;;;;;MethodDeclaration;EXTRACT_MOVE;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Extract And Move Method protected logWarn(message String, arguments Object...) : void extracted from protected captureChildDetailInternal() : boolean in class cascading.stats.hadoop.HadoopNodeStats & moved to class cascading.stats.CascadingStats
cascading.stats.hadoop.HadoopNodeStats#addTaskStats(TaskReport[],boolean);;;;;;cascading.stats.CascadingStats#logWarn(String,Object...);;;;;;MethodDeclaration;EXTRACT_MOVE;f9d3171f5020da5c359cdda28ef05172e858c464;f9d3171f5;;;;;;;;;1153579;Extract And Move Method protected logWarn(message String, arguments Object...) : void extracted from protected addTaskStats(taskReports TaskReport[], skipLast boolean) : void in class cascading.stats.hadoop.HadoopNodeStats & moved to class cascading.stats.CascadingStats
