id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;org.jbpm.services.task.wih.HTWorkItemHandlerBaseTest#testTaskWithVariables();;;;;;org.jbpm.services.task.wih.HTWorkItemHandlerBaseTest#prepareWorkItemWithTaskVariables(String);;;;;;MethodDeclaration;EXTRACT;83cfa21578e63956bca0715eefee2860c3b6d39a;83cfa2157;;;;;;;;;1129517;Extract Method private prepareWorkItemWithTaskVariables(taskDescriptionParam String) : WorkItemImpl extracted from public testTaskWithVariables() : void in class org.jbpm.services.task.wih.HTWorkItemHandlerBaseTest
1;org.jbpm.services.task.wih.HTWorkItemHandlerBaseTest#testTaskWithVariables();;;;;;org.jbpm.services.task.wih.HTWorkItemHandlerBaseTest#testTaskWithExpectedDescription(Task,String);;;;;;MethodDeclaration;EXTRACT;83cfa21578e63956bca0715eefee2860c3b6d39a;83cfa2157;;;;;;;;;1129517;Extract Method private testTaskWithExpectedDescription(task Task, expectedDescription String) : void extracted from public testTaskWithVariables() : void in class org.jbpm.services.task.wih.HTWorkItemHandlerBaseTest
2;org.jbpm.services.task.LifeCycleBaseTest#testActivateFromIncorrectStatus();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testActivateFromIncorrectStatus() : void in class org.jbpm.services.task.LifeCycleBaseTest
3;org.jbpm.services.task.LifeCycleBaseTest#testNominateToUser();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testNominateToUser() : void in class org.jbpm.services.task.LifeCycleBaseTest
4;org.jbpm.services.task.LifeCycleBaseTest#testCompleteWithComments();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testCompleteWithComments() : void in class org.jbpm.services.task.LifeCycleBaseTest
5;org.jbpm.services.task.LifeCycleBaseTest#testForwardFromReserved();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testForwardFromReserved() : void in class org.jbpm.services.task.LifeCycleBaseTest
6;org.jbpm.services.task.LifeCycleBaseTest#testDelegateFromReserved();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testDelegateFromReserved() : void in class org.jbpm.services.task.LifeCycleBaseTest
7;org.jbpm.services.task.LifeCycleBaseTest#testNominateOnOtherThanCreated();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testNominateOnOtherThanCreated() : void in class org.jbpm.services.task.LifeCycleBaseTest
8;org.jbpm.services.task.LifeCycleBaseTest#testForwardFromReservedWithIncorrectUser();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testForwardFromReservedWithIncorrectUser() : void in class org.jbpm.services.task.LifeCycleBaseTest
9;org.jbpm.services.task.LifeCycleBaseTest#testRemoveNotInRecipientList();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testRemoveNotInRecipientList() : void in class org.jbpm.services.task.LifeCycleBaseTest
10;org.jbpm.services.task.LifeCycleBaseTest#testNominateWithIncorrectUser();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testNominateWithIncorrectUser() : void in class org.jbpm.services.task.LifeCycleBaseTest
11;org.jbpm.services.task.LifeCycleBaseTest#testDelegateFromReady();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testDelegateFromReady() : void in class org.jbpm.services.task.LifeCycleBaseTest
12;org.jbpm.services.task.LifeCycleBaseTest#testDelegateFromReservedWithIncorrectUser();;;;;;org.jbpm.services.task.LifeCycleBaseTest#createUser(String);;;;;;MethodDeclaration;EXTRACT;a739d16d301f0e89ab0b9dfa56b4585bbad6b793;a739d16d3;;;;;;;;;1129518;Extract Method private createUser(id String) : User extracted from public testDelegateFromReservedWithIncorrectUser() : void in class org.jbpm.services.task.LifeCycleBaseTest
