id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;io.vertx.core.net.impl.VertxHandler#channelWritabilityChanged(ChannelHandlerContext);;;;;;io.vertx.core.http.impl.VertxHttpHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : C extracted from public channelWritabilityChanged(ctx ChannelHandlerContext) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.http.impl.VertxHttpHandler
1;io.vertx.core.net.impl.VertxHandler#channelReadComplete(ChannelHandlerContext);;;;;;io.vertx.core.http.impl.VertxHttpHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : C extracted from public channelReadComplete(ctx ChannelHandlerContext) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.http.impl.VertxHttpHandler
2;io.vertx.core.net.impl.VertxHandler#exceptionCaught(ChannelHandlerContext,Throwable);;;;;;io.vertx.core.net.impl.VertxNetHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : NetSocketImpl extracted from public exceptionCaught(chctx ChannelHandlerContext, t Throwable) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.net.impl.VertxNetHandler
3;io.vertx.core.net.impl.VertxHandler#channelWritabilityChanged(ChannelHandlerContext);;;;;;io.vertx.core.net.impl.VertxNetHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : NetSocketImpl extracted from public channelWritabilityChanged(ctx ChannelHandlerContext) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.net.impl.VertxNetHandler
4;io.vertx.core.net.impl.VertxHandler#channelInactive(ChannelHandlerContext);;;;;;io.vertx.core.net.impl.VertxNetHandler#removeConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected removeConnection(channel Channel) : NetSocketImpl extracted from public channelInactive(chctx ChannelHandlerContext) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.net.impl.VertxNetHandler
5;io.vertx.core.net.impl.VertxHandler#channelRead(ChannelHandlerContext,Object);;;;;;io.vertx.core.net.impl.VertxNetHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : NetSocketImpl extracted from public channelRead(chctx ChannelHandlerContext, msg Object) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.net.impl.VertxNetHandler
6;io.vertx.core.net.impl.VertxHandler#channelReadComplete(ChannelHandlerContext);;;;;;io.vertx.core.net.impl.VertxNetHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : NetSocketImpl extracted from public channelReadComplete(ctx ChannelHandlerContext) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.net.impl.VertxNetHandler
7;io.vertx.core.net.ClientOptionsBase#ClientOptionsBase(JsonObject);;;;;;io.vertx.core.net.ClientOptionsBase#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public ClientOptionsBase(json JsonObject) in class io.vertx.core.net.ClientOptionsBase
8;io.vertx.core.net.TCPSSLOptions#TCPSSLOptions(JsonObject);;;;;;io.vertx.core.net.TCPSSLOptions#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public TCPSSLOptions(json JsonObject) in class io.vertx.core.net.TCPSSLOptions
9;io.vertx.core.net.NetClientOptions#NetClientOptions(JsonObject);;;;;;io.vertx.core.net.NetClientOptions#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public NetClientOptions(json JsonObject) in class io.vertx.core.net.NetClientOptions
10;io.vertx.core.net.NetClientOptions#NetClientOptions();;;;;;io.vertx.core.net.NetClientOptions#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public NetClientOptions() in class io.vertx.core.net.NetClientOptions
11;io.vertx.core.net.NetServerOptions#NetServerOptions(JsonObject);;;;;;io.vertx.core.net.NetServerOptions#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public NetServerOptions(json JsonObject) in class io.vertx.core.net.NetServerOptions
12;io.vertx.core.net.NetServerOptions#NetServerOptions();;;;;;io.vertx.core.net.NetServerOptions#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public NetServerOptions() in class io.vertx.core.net.NetServerOptions
13;io.vertx.core.http.HttpClientOptions#HttpClientOptions(JsonObject);;;;;;io.vertx.core.http.HttpClientOptions#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public HttpClientOptions(json JsonObject) in class io.vertx.core.http.HttpClientOptions
14;io.vertx.core.http.HttpClientOptions#HttpClientOptions();;;;;;io.vertx.core.http.HttpClientOptions#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public HttpClientOptions() in class io.vertx.core.http.HttpClientOptions
15;io.vertx.core.http.HttpServerOptions#HttpServerOptions(JsonObject);;;;;;io.vertx.core.http.HttpServerOptions#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public HttpServerOptions(json JsonObject) in class io.vertx.core.http.HttpServerOptions
16;io.vertx.core.http.HttpServerOptions#HttpServerOptions();;;;;;io.vertx.core.http.HttpServerOptions#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public HttpServerOptions() in class io.vertx.core.http.HttpServerOptions
17;io.vertx.core.net.TCPSSLOptions#TCPSSLOptions();;;;;;io.vertx.core.net.TCPSSLOptions#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public TCPSSLOptions() in class io.vertx.core.net.TCPSSLOptions
18;io.vertx.core.net.ClientOptionsBase#ClientOptionsBase();;;;;;io.vertx.core.net.ClientOptionsBase#init();;;;;;MethodDeclaration;EXTRACT;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract Method private init() : void extracted from public ClientOptionsBase() in class io.vertx.core.net.ClientOptionsBase
19;io.vertx.core.datagram.DatagramSocketOptions#DatagramSocketOptions(JsonObject);;;;;;io.vertx.core.datagram.DatagramSocketOptionsHelper#fromJson(JsonObject,DatagramSocketOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj DatagramSocketOptions) : void extracted from public DatagramSocketOptions(json JsonObject) in class io.vertx.core.datagram.DatagramSocketOptions & moved to class io.vertx.core.datagram.DatagramSocketOptionsHelper
20;io.vertx.core.http.HttpClientOptions#HttpClientOptions(JsonObject);;;;;;io.vertx.core.http.HttpClientOptionsHelper#fromJson(JsonObject,HttpClientOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj HttpClientOptions) : void extracted from public HttpClientOptions(json JsonObject) in class io.vertx.core.http.HttpClientOptions & moved to class io.vertx.core.http.HttpClientOptionsHelper
21;io.vertx.core.http.HttpServerOptions#HttpServerOptions(JsonObject);;;;;;io.vertx.core.http.HttpServerOptionsHelper#fromJson(JsonObject,HttpServerOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj HttpServerOptions) : void extracted from public HttpServerOptions(json JsonObject) in class io.vertx.core.http.HttpServerOptions & moved to class io.vertx.core.http.HttpServerOptionsHelper
22;io.vertx.core.net.ClientOptionsBase#ClientOptionsBase(JsonObject);;;;;;io.vertx.core.net.ClientOptionsBaseHelper#fromJson(JsonObject,ClientOptionsBase);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj ClientOptionsBase) : void extracted from public ClientOptionsBase(json JsonObject) in class io.vertx.core.net.ClientOptionsBase & moved to class io.vertx.core.net.ClientOptionsBaseHelper
23;io.vertx.core.net.TCPSSLOptions#TCPSSLOptions(JsonObject);;;;;;io.vertx.core.net.TCPSSLOptionsHelper#fromJson(JsonObject,TCPSSLOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj TCPSSLOptions) : void extracted from public TCPSSLOptions(json JsonObject) in class io.vertx.core.net.TCPSSLOptions & moved to class io.vertx.core.net.TCPSSLOptionsHelper
24;io.vertx.core.net.PemKeyCertOptions#PemKeyCertOptions(JsonObject);;;;;;io.vertx.core.net.PemKeyCertOptionsHelper#fromJson(JsonObject,PemKeyCertOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj PemKeyCertOptions) : void extracted from public PemKeyCertOptions(json JsonObject) in class io.vertx.core.net.PemKeyCertOptions & moved to class io.vertx.core.net.PemKeyCertOptionsHelper
25;io.vertx.core.net.NetServerOptions#NetServerOptions(JsonObject);;;;;;io.vertx.core.net.NetServerOptionsHelper#fromJson(JsonObject,NetServerOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj NetServerOptions) : void extracted from public NetServerOptions(json JsonObject) in class io.vertx.core.net.NetServerOptions & moved to class io.vertx.core.net.NetServerOptionsHelper
26;io.vertx.core.net.JksOptions#JksOptions(JsonObject);;;;;;io.vertx.core.net.JksOptionsHelper#fromJson(JsonObject,JksOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj JksOptions) : void extracted from public JksOptions(json JsonObject) in class io.vertx.core.net.JksOptions & moved to class io.vertx.core.net.JksOptionsHelper
27;io.vertx.core.net.PemTrustOptions#PemTrustOptions(JsonObject);;;;;;io.vertx.core.net.PemTrustOptionsHelper#fromJson(JsonObject,PemTrustOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj PemTrustOptions) : void extracted from public PemTrustOptions(json JsonObject) in class io.vertx.core.net.PemTrustOptions & moved to class io.vertx.core.net.PemTrustOptionsHelper
28;io.vertx.core.VertxOptions#VertxOptions(JsonObject);;;;;;io.vertx.core.VertxOptionsHelper#fromJson(JsonObject,VertxOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj VertxOptions) : void extracted from public VertxOptions(json JsonObject) in class io.vertx.core.VertxOptions & moved to class io.vertx.core.VertxOptionsHelper
29;io.vertx.core.net.NetworkOptions#NetworkOptions(JsonObject);;;;;;io.vertx.core.net.NetworkOptionsHelper#fromJson(JsonObject,NetworkOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj NetworkOptions) : void extracted from public NetworkOptions(json JsonObject) in class io.vertx.core.net.NetworkOptions & moved to class io.vertx.core.net.NetworkOptionsHelper
30;io.vertx.core.net.NetClientOptions#NetClientOptions(JsonObject);;;;;;io.vertx.core.net.NetClientOptionsHelper#fromJson(JsonObject,NetClientOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj NetClientOptions) : void extracted from public NetClientOptions(json JsonObject) in class io.vertx.core.net.NetClientOptions & moved to class io.vertx.core.net.NetClientOptionsHelper
31;io.vertx.core.file.OpenOptions#OpenOptions(JsonObject);;;;;;io.vertx.core.file.OpenOptionsHelper#fromJson(JsonObject,OpenOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj OpenOptions) : void extracted from public OpenOptions(json JsonObject) in class io.vertx.core.file.OpenOptions & moved to class io.vertx.core.file.OpenOptionsHelper
32;io.vertx.core.metrics.MetricsOptions#MetricsOptions(JsonObject);;;;;;io.vertx.core.metrics.MetricsOptionsHelper#fromJson(JsonObject,MetricsOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj MetricsOptions) : void extracted from public MetricsOptions(json JsonObject) in class io.vertx.core.metrics.MetricsOptions & moved to class io.vertx.core.metrics.MetricsOptionsHelper
33;io.vertx.core.net.PfxOptions#PfxOptions(JsonObject);;;;;;io.vertx.core.net.PfxOptionsHelper#fromJson(JsonObject,PfxOptions);;;;;;MethodDeclaration;EXTRACT_MOVE;0ef66582ffaba9a8df1cad846880df2074d34505;0ef66582f;;;;;;;;;1152344;Extract And Move Method public fromJson(json JsonObject, obj PfxOptions) : void extracted from public PfxOptions(json JsonObject) in class io.vertx.core.net.PfxOptions & moved to class io.vertx.core.net.PfxOptionsHelper
