entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
io.vertx.core.net.impl.VertxHandler#Map<Channel,C>.connectionMap;;;;;;io.vertx.core.http.impl.VertxHttpHandler#Map<Channel,C>.connectionMap;;;;;;AttributeDeclaration;PUSH_DOWN;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Push Down Attribute protected connectionMap : Map<Channel,C> from class io.vertx.core.net.impl.VertxHandler to protected connectionMap : Map<Channel,C> from class io.vertx.core.http.impl.VertxHttpHandler
io.vertx.core.net.impl.VertxHandler#channelWritabilityChanged(ChannelHandlerContext);;;;;;io.vertx.core.http.impl.VertxHttpHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : C extracted from public channelWritabilityChanged(ctx ChannelHandlerContext) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.http.impl.VertxHttpHandler
io.vertx.core.net.impl.VertxHandler#channelReadComplete(ChannelHandlerContext);;;;;;io.vertx.core.http.impl.VertxHttpHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : C extracted from public channelReadComplete(ctx ChannelHandlerContext) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.http.impl.VertxHttpHandler
io.vertx.core.net.impl.VertxHandler#exceptionCaught(ChannelHandlerContext,Throwable);;;;;;io.vertx.core.net.impl.VertxNetHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : NetSocketImpl extracted from public exceptionCaught(chctx ChannelHandlerContext, t Throwable) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.net.impl.VertxNetHandler
io.vertx.core.net.impl.VertxHandler#channelWritabilityChanged(ChannelHandlerContext);;;;;;io.vertx.core.net.impl.VertxNetHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : NetSocketImpl extracted from public channelWritabilityChanged(ctx ChannelHandlerContext) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.net.impl.VertxNetHandler
io.vertx.core.net.impl.VertxHandler#channelInactive(ChannelHandlerContext);;;;;;io.vertx.core.net.impl.VertxNetHandler#removeConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected removeConnection(channel Channel) : NetSocketImpl extracted from public channelInactive(chctx ChannelHandlerContext) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.net.impl.VertxNetHandler
io.vertx.core.net.impl.VertxHandler#channelRead(ChannelHandlerContext,Object);;;;;;io.vertx.core.net.impl.VertxNetHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : NetSocketImpl extracted from public channelRead(chctx ChannelHandlerContext, msg Object) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.net.impl.VertxNetHandler
io.vertx.core.net.impl.VertxHandler#channelReadComplete(ChannelHandlerContext);;;;;;io.vertx.core.net.impl.VertxNetHandler#getConnection(Channel);;;;;;MethodDeclaration;EXTRACT_MOVE;718782014519034b28f6d3182fd9d340b7b31a74;718782014;;;;;;;;;1112031;Extract And Move Method protected getConnection(channel Channel) : NetSocketImpl extracted from public channelReadComplete(ctx ChannelHandlerContext) : void in class io.vertx.core.net.impl.VertxHandler & moved to class io.vertx.core.net.impl.VertxNetHandler
io.vertx.core.http.impl.HttpServerImpl.ServerHandler#handleHttp(ServerConnection,Channel,Object);;;;;;io.vertx.core.http.impl.HttpServerImpl.ServerHandler#doMessageReceived(ServerConnection,ChannelHandlerContext,Object);;;;;;MethodDeclaration;INLINE;32a8c9086040fd6d6fa11a214570ee4f75a4301f;32a8c9086;;;;;;;;;1116953;Inline Method private handleHttp(conn ServerConnection, ch Channel, msg Object) : void inlined to protected doMessageReceived(conn ServerConnection, ctx ChannelHandlerContext, msg Object) : void in class io.vertx.core.http.impl.HttpServerImpl.ServerHandler
io.vertx.core.http.impl.HttpServerImpl.ServerHandler#handleExpectWebsockets(ServerConnection,ChannelHandlerContext,Object);;;;;;io.vertx.core.http.impl.HttpServerImpl.ServerHandler#doMessageReceived(ServerConnection,ChannelHandlerContext,Object);;;;;;MethodDeclaration;INLINE;32a8c9086040fd6d6fa11a214570ee4f75a4301f;32a8c9086;;;;;;;;;1116953;Inline Method private handleExpectWebsockets(conn ServerConnection, ctx ChannelHandlerContext, msg Object) : void inlined to protected doMessageReceived(conn ServerConnection, ctx ChannelHandlerContext, msg Object) : void in class io.vertx.core.http.impl.HttpServerImpl.ServerHandler
