id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;com.google.javascript.jscomp.parsing.parser.Parser#parseFormalParameterList();;;;;;com.google.javascript.jscomp.parsing.parser.Parser#parseFormalParameterList(boolean);;;;;;MethodDeclaration;EXTRACT;ea96643364e91125f560e9508a5cbcdb776bde64;ea9664336;;;;;;;;;1117895;Extract Method private parseFormalParameterList(inTypeExpression boolean) : FormalParameterListTree extracted from private parseFormalParameterList() : FormalParameterListTree in class com.google.javascript.jscomp.parsing.parser.Parser
1;com.google.javascript.jscomp.parsing.parser.Parser#parseFormalParameterList();;;;;;com.google.javascript.jscomp.parsing.parser.Parser#parseParameter(boolean);;;;;;MethodDeclaration;EXTRACT;ea96643364e91125f560e9508a5cbcdb776bde64;ea9664336;;;;;;;;;1117895;Extract Method private parseParameter(inTypeExpression boolean) : ParseTree extracted from private parseFormalParameterList() : FormalParameterListTree in class com.google.javascript.jscomp.parsing.parser.Parser
2;com.google.javascript.jscomp.parsing.parser.Parser#parseFormalParameterList();;;;;;com.google.javascript.jscomp.parsing.parser.Parser#peekParameter(boolean);;;;;;MethodDeclaration;EXTRACT;ea96643364e91125f560e9508a5cbcdb776bde64;ea9664336;;;;;;;;;1117895;Extract Method private peekParameter(inTypeExpression boolean) : boolean extracted from private parseFormalParameterList() : FormalParameterListTree in class com.google.javascript.jscomp.parsing.parser.Parser
3;com.google.javascript.rhino.jstype.NoResolvedType#isSubtype(JSType);;;;;;com.google.javascript.rhino.jstype.NoResolvedType#isSubtype(JSType,ImplCache);;;;;;MethodDeclaration;EXTRACT;545a7d027b4c55c116dc52d9cd8121fbb09777f0;545a7d027;;;;;;;;;1151129;Extract Method protected isSubtype(that JSType, implicitImplCache ImplCache) : boolean extracted from public isSubtype(that JSType) : boolean in class com.google.javascript.rhino.jstype.NoResolvedType
4;com.google.javascript.rhino.jstype.UnionType#isSubtype(JSType);;;;;;com.google.javascript.rhino.jstype.UnionType#isSubtype(JSType,ImplCache);;;;;;MethodDeclaration;EXTRACT;545a7d027b4c55c116dc52d9cd8121fbb09777f0;545a7d027;;;;;;;;;1151129;Extract Method protected isSubtype(that JSType, implicitImplCache ImplCache) : boolean extracted from public isSubtype(that JSType) : boolean in class com.google.javascript.rhino.jstype.UnionType
5;com.google.javascript.rhino.jstype.RecordType#isSubtype(JSType);;;;;;com.google.javascript.rhino.jstype.RecordType#isSubtype(JSType,ImplCache);;;;;;MethodDeclaration;EXTRACT;545a7d027b4c55c116dc52d9cd8121fbb09777f0;545a7d027;;;;;;;;;1151129;Extract Method protected isSubtype(that JSType, implicitImplCache ImplCache) : boolean extracted from public isSubtype(that JSType) : boolean in class com.google.javascript.rhino.jstype.RecordType
6;com.google.javascript.rhino.jstype.TemplatizedType#isSubtype(JSType);;;;;;com.google.javascript.rhino.jstype.TemplatizedType#isSubtype(JSType,ImplCache);;;;;;MethodDeclaration;EXTRACT;545a7d027b4c55c116dc52d9cd8121fbb09777f0;545a7d027;;;;;;;;;1151129;Extract Method protected isSubtype(that JSType, implicitImplCache ImplCache) : boolean extracted from public isSubtype(that JSType) : boolean in class com.google.javascript.rhino.jstype.TemplatizedType
7;com.google.javascript.rhino.jstype.PrototypeObjectType#isSubtype(JSType);;;;;;com.google.javascript.rhino.jstype.PrototypeObjectType#isSubtype(JSType,ImplCache);;;;;;MethodDeclaration;EXTRACT;545a7d027b4c55c116dc52d9cd8121fbb09777f0;545a7d027;;;;;;;;;1151129;Extract Method protected isSubtype(that JSType, implicitImplCache ImplCache) : boolean extracted from public isSubtype(that JSType) : boolean in class com.google.javascript.rhino.jstype.PrototypeObjectType
8;com.google.javascript.rhino.jstype.FunctionType#isSubtype(JSType);;;;;;com.google.javascript.rhino.jstype.FunctionType#isSubtype(JSType,ImplCache);;;;;;MethodDeclaration;EXTRACT;545a7d027b4c55c116dc52d9cd8121fbb09777f0;545a7d027;;;;;;;;;1151129;Extract Method protected isSubtype(that JSType, implicitImplCache ImplCache) : boolean extracted from public isSubtype(that JSType) : boolean in class com.google.javascript.rhino.jstype.FunctionType
9;com.google.javascript.rhino.jstype.ProxyObjectType#isSubtype(JSType);;;;;;com.google.javascript.rhino.jstype.ProxyObjectType#isSubtype(JSType,ImplCache);;;;;;MethodDeclaration;EXTRACT;545a7d027b4c55c116dc52d9cd8121fbb09777f0;545a7d027;;;;;;;;;1151129;Extract Method protected isSubtype(that JSType, implicitImplCache ImplCache) : boolean extracted from public isSubtype(that JSType) : boolean in class com.google.javascript.rhino.jstype.ProxyObjectType
