entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
com.google.common.truth.ListTest#isOrderedFailure();;;;;;com.google.common.truth.IterableTest#isOrderedFailure();;;;;;MethodDeclaration;MOVE;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move Method public isOrderedFailure() : void from class com.google.common.truth.ListTest to public isOrderedFailure() : void from class com.google.common.truth.IterableTest
com.google.common.truth.ListTest#isStrictlyOrderedFailure();;;;;;com.google.common.truth.IterableTest#isStrictlyOrderedFailure();;;;;;MethodDeclaration;MOVE;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move Method public isStrictlyOrderedFailure() : void from class com.google.common.truth.ListTest to public isStrictlyOrderedFailure() : void from class com.google.common.truth.IterableTest
com.google.common.truth.ListTest#isOrderedWithNonComparableElementsFailure();;;;;;com.google.common.truth.IterableTest#isOrderedWithNonComparableElementsFailure();;;;;;MethodDeclaration;MOVE;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move Method public isOrderedWithNonComparableElementsFailure() : void from class com.google.common.truth.ListTest to public isOrderedWithNonComparableElementsFailure() : void from class com.google.common.truth.IterableTest
com.google.common.truth.ListTest#isStrictlyOrderedWithNonComparableElementsFailure();;;;;;com.google.common.truth.IterableTest#isStrictlyOrderedWithNonComparableElementsFailure();;;;;;MethodDeclaration;MOVE;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move Method public isStrictlyOrderedWithNonComparableElementsFailure() : void from class com.google.common.truth.ListTest to public isStrictlyOrderedWithNonComparableElementsFailure() : void from class com.google.common.truth.IterableTest
com.google.common.truth.ListTest#listIsStrictlyOrdered();;;;;;com.google.common.truth.IterableTest#iterableIsStrictlyOrdered();;;;;;MethodDeclaration;MOVE_RENAME;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move And Rename Method public listIsStrictlyOrdered() : void from class com.google.common.truth.ListTest to public iterableIsStrictlyOrdered() : void from class com.google.common.truth.IterableTest
com.google.common.truth.ListTest#listIsOrdered();;;;;;com.google.common.truth.IterableTest#iterableIsOrdered();;;;;;MethodDeclaration;MOVE_RENAME;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move And Rename Method public listIsOrdered() : void from class com.google.common.truth.ListTest to public iterableIsOrdered() : void from class com.google.common.truth.IterableTest
com.google.common.truth.ListTest#listIsStrictlyOrderedWithComparator();;;;;;com.google.common.truth.IterableTest#iterableIsStrictlyOrderedWithComparator();;;;;;MethodDeclaration;MOVE_RENAME;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move And Rename Method public listIsStrictlyOrderedWithComparator() : void from class com.google.common.truth.ListTest to public iterableIsStrictlyOrderedWithComparator() : void from class com.google.common.truth.IterableTest
com.google.common.truth.ListTest#listIsStrictlyOrderedWithComparatorFailure();;;;;;com.google.common.truth.IterableTest#iterableIsStrictlyOrderedWithComparatorFailure();;;;;;MethodDeclaration;MOVE_RENAME;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move And Rename Method public listIsStrictlyOrderedWithComparatorFailure() : void from class com.google.common.truth.ListTest to public iterableIsStrictlyOrderedWithComparatorFailure() : void from class com.google.common.truth.IterableTest
com.google.common.truth.ListTest#listIsOrderedWithComparator();;;;;;com.google.common.truth.IterableTest#iterableIsOrderedWithComparator();;;;;;MethodDeclaration;MOVE_RENAME;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move And Rename Method public listIsOrderedWithComparator() : void from class com.google.common.truth.ListTest to public iterableIsOrderedWithComparator() : void from class com.google.common.truth.IterableTest
com.google.common.truth.ListTest#listIsOrderedWithComparatorFailure();;;;;;com.google.common.truth.IterableTest#iterableIsOrderedWithComparatorFailure();;;;;;MethodDeclaration;MOVE_RENAME;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move And Rename Method public listIsOrderedWithComparatorFailure() : void from class com.google.common.truth.ListTest to public iterableIsOrderedWithComparatorFailure() : void from class com.google.common.truth.IterableTest
com.google.common.truth.ListTest#listOrderedByBaseClassComparator();;;;;;com.google.common.truth.IterableTest#iterableOrderedByBaseClassComparator();;;;;;MethodDeclaration;MOVE_RENAME;1768840bf1e69892fd2a23776817f620edfed536;1768840bf;;;;;;;;;1133238;Move And Rename Method public listOrderedByBaseClassComparator() : void from class com.google.common.truth.ListTest to public iterableOrderedByBaseClassComparator() : void from class com.google.common.truth.IterableTest
com.google.common.truth.IterableSubject#isPartiallyOrdered(Comparator<?);;;;;;com.google.common.truth.IterableSubject#isOrdered(Comparator<?);;;;;;MethodDeclaration;EXTRACT;200f1577d238a6d3fbcf99cb2a2585b2071214a6;200f1577d;;;;;;;;;1133240;Extract Method public isOrdered(comparator Comparator<? super T>) : void extracted from public isPartiallyOrdered(comparator Comparator<? super T>) : void in class com.google.common.truth.IterableSubject
com.google.common.truth.IterableSubject#isPartiallyOrdered();;;;;;com.google.common.truth.IterableSubject#isOrdered();;;;;;MethodDeclaration;EXTRACT;200f1577d238a6d3fbcf99cb2a2585b2071214a6;200f1577d;;;;;;;;;1133240;Extract Method public isOrdered() : void extracted from public isPartiallyOrdered() : void in class com.google.common.truth.IterableSubject
