id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;org.gradle.api.internal.artifacts.ResolverResults#getResolutionResult();;;;;;org.gradle.api.internal.artifacts.DefaultResolverResults#getResolutionResult();;;;;;MethodDeclaration;PUSH_DOWN;04bcfe98dbe7b05e508559930c21379ece845732;04bcfe98d;;;;;;;;;1104952;Push Down Method public getResolutionResult() : ResolutionResult from class org.gradle.api.internal.artifacts.ResolverResults to public getResolutionResult() : ResolutionResult from class org.gradle.api.internal.artifacts.DefaultResolverResults
1;org.gradle.api.internal.artifacts.ResolverResults#getResolvedConfiguration();;;;;;org.gradle.api.internal.artifacts.DefaultResolverResults#getResolvedConfiguration();;;;;;MethodDeclaration;PUSH_DOWN;04bcfe98dbe7b05e508559930c21379ece845732;04bcfe98d;;;;;;;;;1104952;Push Down Method public getResolvedConfiguration() : ResolvedConfiguration from class org.gradle.api.internal.artifacts.ResolverResults to public getResolvedConfiguration() : ResolvedConfiguration from class org.gradle.api.internal.artifacts.DefaultResolverResults
2;org.gradle.api.internal.artifacts.ResolverResults#getResolvedLocalComponents();;;;;;org.gradle.api.internal.artifacts.DefaultResolverResults#getResolvedLocalComponents();;;;;;MethodDeclaration;PUSH_DOWN;04bcfe98dbe7b05e508559930c21379ece845732;04bcfe98d;;;;;;;;;1104952;Push Down Method public getResolvedLocalComponents() : ResolvedLocalComponentsResult from class org.gradle.api.internal.artifacts.ResolverResults to public getResolvedLocalComponents() : ResolvedLocalComponentsResult from class org.gradle.api.internal.artifacts.DefaultResolverResults
3;org.gradle.api.internal.artifacts.ResolverResults#hasError();;;;;;org.gradle.api.internal.artifacts.DefaultResolverResults#hasError();;;;;;MethodDeclaration;PUSH_DOWN;04bcfe98dbe7b05e508559930c21379ece845732;04bcfe98d;;;;;;;;;1104952;Push Down Method public hasError() : boolean from class org.gradle.api.internal.artifacts.ResolverResults to public hasError() : boolean from class org.gradle.api.internal.artifacts.DefaultResolverResults
4;org.gradle.testkit.functional.GradleRunner#setGradleUserHomeDir(File);;;;;;org.gradle.testkit.functional.internal.DefaultGradleRunner#setGradleUserHomeDir(File);;;;;;MethodDeclaration;PUSH_DOWN;b1fb1192daa1647b0bd525600dd41063765eca70;b1fb1192d;;;;;;;;;1134188;Push Down Method public setGradleUserHomeDir(gradleUserHomeDir File) : void from class org.gradle.testkit.functional.GradleRunner to public setGradleUserHomeDir(gradleUserHomeDir File) : void from class org.gradle.testkit.functional.internal.DefaultGradleRunner
5;org.gradle.testkit.functional.GradleRunner#getTasks();;;;;;org.gradle.testkit.functional.internal.DefaultGradleRunner#getTasks();;;;;;MethodDeclaration;PUSH_DOWN;b1fb1192daa1647b0bd525600dd41063765eca70;b1fb1192d;;;;;;;;;1134188;Push Down Method public getTasks() : List<String> from class org.gradle.testkit.functional.GradleRunner to public getTasks() : List<String> from class org.gradle.testkit.functional.internal.DefaultGradleRunner
6;org.gradle.testkit.functional.GradleRunner#setArguments(List<String>);;;;;;org.gradle.testkit.functional.internal.DefaultGradleRunner#setArguments(List<String>);;;;;;MethodDeclaration;PUSH_DOWN;b1fb1192daa1647b0bd525600dd41063765eca70;b1fb1192d;;;;;;;;;1134188;Push Down Method public setArguments(arguments List<String>) : void from class org.gradle.testkit.functional.GradleRunner to public setArguments(arguments List<String>) : void from class org.gradle.testkit.functional.internal.DefaultGradleRunner
7;org.gradle.testkit.functional.GradleRunner#getGradleUserHomeDir();;;;;;org.gradle.testkit.functional.internal.DefaultGradleRunner#getGradleUserHomeDir();;;;;;MethodDeclaration;PUSH_DOWN;b1fb1192daa1647b0bd525600dd41063765eca70;b1fb1192d;;;;;;;;;1134188;Push Down Method public getGradleUserHomeDir() : File from class org.gradle.testkit.functional.GradleRunner to public getGradleUserHomeDir() : File from class org.gradle.testkit.functional.internal.DefaultGradleRunner
8;org.gradle.testkit.functional.GradleRunner#setWorkingDir(File);;;;;;org.gradle.testkit.functional.internal.DefaultGradleRunner#setWorkingDir(File);;;;;;MethodDeclaration;PUSH_DOWN;b1fb1192daa1647b0bd525600dd41063765eca70;b1fb1192d;;;;;;;;;1134188;Push Down Method public setWorkingDir(workingDirectory File) : void from class org.gradle.testkit.functional.GradleRunner to public setWorkingDir(workingDirectory File) : void from class org.gradle.testkit.functional.internal.DefaultGradleRunner
9;org.gradle.testkit.functional.GradleRunner#getArguments();;;;;;org.gradle.testkit.functional.internal.DefaultGradleRunner#getArguments();;;;;;MethodDeclaration;PUSH_DOWN;b1fb1192daa1647b0bd525600dd41063765eca70;b1fb1192d;;;;;;;;;1134188;Push Down Method public getArguments() : List<String> from class org.gradle.testkit.functional.GradleRunner to public getArguments() : List<String> from class org.gradle.testkit.functional.internal.DefaultGradleRunner
