entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
com.hazelcast.jca.AbstractDeploymentTest#getConnection();;;;;;com.hazelcast.jca.XATransactionTest#getConnection();;;;;;MethodDeclaration;PUSH_DOWN;c00275e7f85c8a9af5785f66cc0f75dc027b6cb6;c00275e7f;;;;;;;;;1132974;Push Down Method protected getConnection() : HazelcastConnection from class com.hazelcast.jca.AbstractDeploymentTest to protected getConnection() : HazelcastConnection from class com.hazelcast.jca.XATransactionTest
com.hazelcast.jca.AbstractDeploymentTest#HazelcastConnectionFactory.connectionFactory;;;;;;com.hazelcast.jca.XATransactionTest#HazelcastConnectionFactory.connectionFactory;;;;;;AttributeDeclaration;PUSH_DOWN;c00275e7f85c8a9af5785f66cc0f75dc027b6cb6;c00275e7f;;;;;;;;;1132974;Push Down Attribute protected connectionFactory : HazelcastConnectionFactory from class com.hazelcast.jca.AbstractDeploymentTest to private connectionFactory : HazelcastConnectionFactory from class com.hazelcast.jca.XATransactionTest
com.hazelcast.client.cache.impl.AbstractClientCacheProxy#getInternal(K,ExpiryPolicy,boolean);;;;;;com.hazelcast.client.cache.impl.AbstractClientCacheProxy#getFromNearCache(Data,boolean);;;;;;MethodDeclaration;EXTRACT;679d38d4316c16ccba4982d7f3ba13c147a451cb;679d38d43;;;;;;;;;1138530;Extract Method protected getFromNearCache(keyData Data, async boolean) : Object extracted from protected getInternal(key K, expiryPolicy ExpiryPolicy, async boolean) : Object in class com.hazelcast.client.cache.impl.AbstractClientCacheProxy
com.hazelcast.test.TestHazelcastInstanceFactory#createAddresses(int);;;;;;com.hazelcast.test.TestHazelcastInstanceFactory#createAddress(String,int);;;;;;MethodDeclaration;EXTRACT;76d7f5e3fe4eb41b383c1d884bc1217b9fa7192e;76d7f5e3f;;;;;;;;;1139976;Extract Method protected createAddress(host String, port int) : Address extracted from private createAddresses(count int) : Address[] in class com.hazelcast.test.TestHazelcastInstanceFactory
com.hazelcast.test.TestHazelcastInstanceFactory#createAddresses(String...);;;;;;com.hazelcast.test.TestHazelcastInstanceFactory#createAddress(String,int);;;;;;MethodDeclaration;EXTRACT;76d7f5e3fe4eb41b383c1d884bc1217b9fa7192e;76d7f5e3f;;;;;;;;;1139976;Extract Method protected createAddress(host String, port int) : Address extracted from private createAddresses(addressArray String...) : Address[] in class com.hazelcast.test.TestHazelcastInstanceFactory
com.hazelcast.client.connection.nio.ClientConnectionManagerImpl#start();;;;;;com.hazelcast.client.connection.nio.ClientConnectionManagerImpl#startSelectors();;;;;;MethodDeclaration;EXTRACT;76d7f5e3fe4eb41b383c1d884bc1217b9fa7192e;76d7f5e3f;;;;;;;;;1139976;Extract Method protected startSelectors() : void extracted from public start() : void in class com.hazelcast.client.connection.nio.ClientConnectionManagerImpl
com.hazelcast.client.connection.nio.ClientConnectionManagerImpl#ClientConnectionManagerImpl(HazelcastClientInstanceImpl,AddressTranslator);;;;;;com.hazelcast.client.connection.nio.ClientConnectionManagerImpl#initializeSelectors(HazelcastClientInstanceImpl);;;;;;MethodDeclaration;EXTRACT;76d7f5e3fe4eb41b383c1d884bc1217b9fa7192e;76d7f5e3f;;;;;;;;;1139976;Extract Method protected initializeSelectors(client HazelcastClientInstanceImpl) : void extracted from public ClientConnectionManagerImpl(client HazelcastClientInstanceImpl, addressTranslator AddressTranslator) in class com.hazelcast.client.connection.nio.ClientConnectionManagerImpl
com.hazelcast.client.connection.nio.ClientConnectionManagerImpl#shutdown();;;;;;com.hazelcast.client.connection.nio.ClientConnectionManagerImpl#shutdownSelectors();;;;;;MethodDeclaration;EXTRACT;76d7f5e3fe4eb41b383c1d884bc1217b9fa7192e;76d7f5e3f;;;;;;;;;1139976;Extract Method protected shutdownSelectors() : void extracted from public shutdown() : void in class com.hazelcast.client.connection.nio.ClientConnectionManagerImpl
com.hazelcast.test.TestHazelcastInstanceFactory#newHazelcastInstance(Config);;;;;;com.hazelcast.test.TestHazelcastInstanceFactory#pickAddress();;;;;;MethodDeclaration;EXTRACT;76d7f5e3fe4eb41b383c1d884bc1217b9fa7192e;76d7f5e3f;;;;;;;;;1139976;Extract Method private pickAddress() : Address extracted from public newHazelcastInstance(config Config) : HazelcastInstance in class com.hazelcast.test.TestHazelcastInstanceFactory
com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#toString();;;;;;com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#renderConnection();;;;;;MethodDeclaration;EXTRACT;30c4ae09745d6062077925a54f27205b7401d8df;30c4ae097;;;;;;;;;1143042;Extract Method private renderConnection() : void extracted from public toString() : String in class com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics
com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#toString();;;;;;com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#renderThread();;;;;;MethodDeclaration;EXTRACT;30c4ae09745d6062077925a54f27205b7401d8df;30c4ae097;;;;;;;;;1143042;Extract Method private renderThread() : void extracted from public toString() : String in class com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics
com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#toString();;;;;;com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#renderOperationService();;;;;;MethodDeclaration;EXTRACT;30c4ae09745d6062077925a54f27205b7401d8df;30c4ae097;;;;;;;;;1143042;Extract Method private renderOperationService() : void extracted from public toString() : String in class com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics
com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#toString();;;;;;com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#renderEvents();;;;;;MethodDeclaration;EXTRACT;30c4ae09745d6062077925a54f27205b7401d8df;30c4ae097;;;;;;;;;1143042;Extract Method private renderEvents() : void extracted from public toString() : String in class com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics
com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#toString();;;;;;com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#renderNativeMemory();;;;;;MethodDeclaration;EXTRACT;30c4ae09745d6062077925a54f27205b7401d8df;30c4ae097;;;;;;;;;1143042;Extract Method private renderNativeMemory() : void extracted from public toString() : String in class com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics
com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#toString();;;;;;com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#renderHeap();;;;;;MethodDeclaration;EXTRACT;30c4ae09745d6062077925a54f27205b7401d8df;30c4ae097;;;;;;;;;1143042;Extract Method private renderHeap() : void extracted from public toString() : String in class com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics
com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#toString();;;;;;com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics#renderClient();;;;;;MethodDeclaration;EXTRACT;30c4ae09745d6062077925a54f27205b7401d8df;30c4ae097;;;;;;;;;1143042;Extract Method private renderClient() : void extracted from public toString() : String in class com.hazelcast.internal.monitors.HealthMonitor.HealthMetrics
