id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;org.neo4j.kernel.api.impl.index.LuceneIndexAccessorReader#lookup(Object);;;;;;org.neo4j.kernel.api.impl.index.LuceneIndexAccessorReader#query(Query);;;;;;MethodDeclaration;EXTRACT;b83e6a535cbca21d5ea764b0c49bfca8a9ff9db4;b83e6a535;;;;;;;;;1119504;Extract Method protected query(query Query) : PrimitiveLongIterator extracted from public lookup(value Object) : PrimitiveLongIterator in class org.neo4j.kernel.api.impl.index.LuceneIndexAccessorReader
1;org.neo4j.kernel.api.impl.index.LuceneIndexAccessorReader#scan();;;;;;org.neo4j.kernel.api.impl.index.LuceneIndexAccessorReader#query(Query);;;;;;MethodDeclaration;EXTRACT;b83e6a535cbca21d5ea764b0c49bfca8a9ff9db4;b83e6a535;;;;;;;;;1119504;Extract Method protected query(query Query) : PrimitiveLongIterator extracted from public scan() : PrimitiveLongIterator in class org.neo4j.kernel.api.impl.index.LuceneIndexAccessorReader
2;org.neo4j.index.impl.lucene.IndexCreationTest#verifyThatIndexCreationTransactionIsTheFirstOne();;;;;;org.neo4j.kernel.impl.transaction.log.LogPosition#start(long);;;;;;MethodDeclaration;EXTRACT_MOVE;001de307492df8f84ad15f6aaa0bd1e748d4ce27;001de3074;;;;;;;;;1122164;Extract And Move Method public start(logVersion long) : LogPosition extracted from private verifyThatIndexCreationTransactionIsTheFirstOne() : void in class org.neo4j.index.impl.lucene.IndexCreationTest & moved to class org.neo4j.kernel.impl.transaction.log.LogPosition
3;org.neo4j.kernel.impl.transaction.log.PhysicalLogFile#accept(LogHeaderVisitor);;;;;;org.neo4j.kernel.impl.transaction.log.LogPosition#start(long);;;;;;MethodDeclaration;EXTRACT_MOVE;001de307492df8f84ad15f6aaa0bd1e748d4ce27;001de3074;;;;;;;;;1122164;Extract And Move Method public start(logVersion long) : LogPosition extracted from public accept(visitor LogHeaderVisitor) : void in class org.neo4j.kernel.impl.transaction.log.PhysicalLogFile & moved to class org.neo4j.kernel.impl.transaction.log.LogPosition
4;org.neo4j.kernel.NeoStoreDataSource#buildTransactionLogs(File,Config,LogProvider,LabelScanStore,FileSystemAbstraction,NeoStore,CacheAccessBackDoor,IndexingService,Iterable<IndexImplementation>);;;;;;org.neo4j.kernel.impl.transaction.log.LogPosition#start(long);;;;;;MethodDeclaration;EXTRACT_MOVE;001de307492df8f84ad15f6aaa0bd1e748d4ce27;001de3074;;;;;;;;;1122164;Extract And Move Method public start(logVersion long) : LogPosition extracted from private buildTransactionLogs(storeDir File, config Config, logProvider LogProvider, labelScanStore LabelScanStore, fileSystemAbstraction FileSystemAbstraction, neoStore NeoStore, cacheAccess CacheAccessBackDoor, indexingService IndexingService, indexProviders Iterable<IndexImplementation>) : TransactionLogModule in class org.neo4j.kernel.NeoStoreDataSource & moved to class org.neo4j.kernel.impl.transaction.log.LogPosition
5;org.neo4j.kernel.AvailabilityGuard#availability(long);;;;;;org.neo4j.kernel.AvailabilityGuard#availability();;;;;;MethodDeclaration;EXTRACT;74d2cc420e5590ba3bc0ffcc15b30b76a9cbef0b;74d2cc420;;;;;;;;;1122167;Extract Method private availability() : Availability extracted from private availability(millis long) : Availability in class org.neo4j.kernel.AvailabilityGuard
6;org.neo4j.kernel.impl.factory.GraphDatabaseFacade#beginTx();;;;;;org.neo4j.kernel.impl.factory.GraphDatabaseFacade#checkAvailability();;;;;;MethodDeclaration;EXTRACT;74d2cc420e5590ba3bc0ffcc15b30b76a9cbef0b;74d2cc420;;;;;;;;;1122167;Extract Method private checkAvailability() : void extracted from public beginTx() : Transaction in class org.neo4j.kernel.impl.factory.GraphDatabaseFacade
7;org.neo4j.kernel.impl.factory.GraphDatabaseFacade#execute(String,Map<String,Object>);;;;;;org.neo4j.kernel.impl.factory.GraphDatabaseFacade#checkAvailability();;;;;;MethodDeclaration;EXTRACT;74d2cc420e5590ba3bc0ffcc15b30b76a9cbef0b;74d2cc420;;;;;;;;;1122167;Extract Method private checkAvailability() : void extracted from public execute(query String, parameters Map<String,Object>) : Result in class org.neo4j.kernel.impl.factory.GraphDatabaseFacade
8;org.neo4j.kernel.impl.util.Neo4jJobScheduler#schedule(Group,Runnable,Map<String,String>);;;;;;org.neo4j.kernel.impl.util.Neo4jJobScheduler#createNewThread(Group,Runnable,Map<String,String>);;;;;;MethodDeclaration;EXTRACT;d3533c1a0716ca114d294b3ea183504c9725698f;d3533c1a0;;;;;;;;;1124846;Extract Method private createNewThread(group Group, job Runnable, metadata Map<String,String>) : Thread extracted from public schedule(group Group, job Runnable, metadata Map<String,String>) : JobHandle in class org.neo4j.kernel.impl.util.Neo4jJobScheduler
9;org.neo4j.desktop.ui.BrowseForDatabaseActionListener#actionPerformed(ActionEvent);;;;;;org.neo4j.desktop.ui.BrowseForDatabaseActionListener#fileSelection();;;;;;MethodDeclaration;EXTRACT;d1a6ae2a16ba1d53b1de02eea8745d67c6a1a005;d1a6ae2a1;;;;;;;;;1130631;Extract Method private fileSelection() : File extracted from public actionPerformed(e ActionEvent) : void in class org.neo4j.desktop.ui.BrowseForDatabaseActionListener
10;org.neo4j.kernel.impl.store.SchemaStorage#uniquenessConstraint(int,int);;;;;;org.neo4j.kernel.impl.store.SchemaStorage#propertyConstraint(Class<Rule>,int,int);;;;;;MethodDeclaration;EXTRACT;8d9bedbf96b14beb027ebc1338bc6d5750e1feb5;8d9bedbf9;;;;;;;;;1130638;Extract Method private propertyConstraint(type Class<Rule>, labelId int, propertyKeyId int) : Rule extracted from public uniquenessConstraint(labelId int, propertyKeyId int) : UniquenessConstraintRule in class org.neo4j.kernel.impl.store.SchemaStorage
11;org.neo4j.kernel.impl.store.counts.CountsRotationTest#shouldCreateEmptyCountsTrackerStoreWhenCreatingDatabase();;;;;;org.neo4j.kernel.impl.store.counts.CountsRotationTest#createCountsTracker(PageCache);;;;;;MethodDeclaration;EXTRACT;5fa74fbb4a307571e3807c1201b8b05d3d60a99b;5fa74fbb4;;;;;;;;;1140032;Extract Method private createCountsTracker(pageCache PageCache) : CountsTracker extracted from public shouldCreateEmptyCountsTrackerStoreWhenCreatingDatabase() : void in class org.neo4j.kernel.impl.store.counts.CountsRotationTest
12;org.neo4j.kernel.impl.store.counts.CountsRotationTest#shouldRotateCountsStoreWhenClosingTheDatabase();;;;;;org.neo4j.kernel.impl.store.counts.CountsRotationTest#createCountsTracker(PageCache);;;;;;MethodDeclaration;EXTRACT;5fa74fbb4a307571e3807c1201b8b05d3d60a99b;5fa74fbb4;;;;;;;;;1140032;Extract Method private createCountsTracker(pageCache PageCache) : CountsTracker extracted from public shouldRotateCountsStoreWhenClosingTheDatabase() : void in class org.neo4j.kernel.impl.store.counts.CountsRotationTest
