id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaRedBlackStringTree();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaRedBlackStringTree#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaRedBlackStringTree() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaRedBlackStringTree
1;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaMinHeap();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaMinHeap#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaMinHeap() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaMinHeap
2;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaArrayList();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaArrayList#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaArrayList() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaArrayList
3;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaRedBlackIntegerTree();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaRedBlackIntegerTree#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaRedBlackIntegerTree() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaRedBlackIntegerTree
4;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaSkipListMap();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaSkipListMap#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaSkipListMap() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaSkipListMap
5;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaArrayQueue();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaArrayQueue#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaArrayQueue() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaArrayQueue
6;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaLinkedList();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaLinkedList#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaLinkedList() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaLinkedList
7;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaMaxHeap();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaMaxHeap#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaMaxHeap() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaMaxHeap
8;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaLinkedQueue();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaLinkedQueue#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaLinkedQueue() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaLinkedQueue
9;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaHashMap();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaHashMap#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaHashMap() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaHashMap
10;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testAVLTree();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testAVLTree#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testAVLTree() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testAVLTree
11;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testBTree();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testBTree#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testBTree() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testBTree
12;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testBST();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testBST#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testBST() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testBST
13;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testHAMT();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testHAMT#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testHAMT() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testHAMT
14;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaStack();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaStack#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaStack() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaStack
15;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testJavaTreeMap();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaTreeMap#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testJavaTreeMap() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testJavaTreeMap
16;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming#testArrayList();;;;;;com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testArrayList#run(Integer[],Integer[],String);;;;;;MethodDeclaration;MOVE_RENAME;ab98bcacf6e5bf1c3a06f6bcca68f178f880ffc9;ab98bcacf;;;;;;;;;1123684;Move And Rename Method private testArrayList() : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming to public run(unsorted Integer[], sorted Integer[], input String) : boolean from class com.jwetherell.algorithms.data_structures.timing.DataStructuresTiming.testArrayList
