id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;jadx.api.JavaClass#getDefinitionPosition(int,int);;;;;;jadx.api.JavaClass#getJavaNodeAtPosition(int,int);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method public getJavaNodeAtPosition(line int, offset int) : JavaNode extracted from public getDefinitionPosition(line int, offset int) : CodePosition in class jadx.api.JavaClass
1;jadx.api.JavaClass#getDefinitionPosition(int,int);;;;;;jadx.api.JavaClass#getDefinitionPosition(JavaNode);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method public getDefinitionPosition(javaNode JavaNode) : CodePosition extracted from public getDefinitionPosition(line int, offset int) : CodePosition in class jadx.api.JavaClass
2;jadx.core.utils.RegionUtils#getAllRegionBlocks(IContainer,Set<IBlock>);;;;;;jadx.core.utils.RegionUtils#unknownContainerType(IContainer);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method protected unknownContainerType(container IContainer) : String extracted from public getAllRegionBlocks(container IContainer, blocks Set<IBlock>) : void in class jadx.core.utils.RegionUtils
3;jadx.core.utils.RegionUtils#isRegionContainsBlock(IContainer,BlockNode);;;;;;jadx.core.utils.RegionUtils#unknownContainerType(IContainer);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method protected unknownContainerType(container IContainer) : String extracted from public isRegionContainsBlock(container IContainer, block BlockNode) : boolean in class jadx.core.utils.RegionUtils
4;jadx.core.utils.RegionUtils#getBlockContainer(IContainer,BlockNode);;;;;;jadx.core.utils.RegionUtils#unknownContainerType(IContainer);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method protected unknownContainerType(container IContainer) : String extracted from public getBlockContainer(container IContainer, block BlockNode) : IContainer in class jadx.core.utils.RegionUtils
5;jadx.core.utils.RegionUtils#isDominatedBy(BlockNode,IContainer);;;;;;jadx.core.utils.RegionUtils#unknownContainerType(IContainer);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method protected unknownContainerType(container IContainer) : String extracted from public isDominatedBy(dom BlockNode, cont IContainer) : boolean in class jadx.core.utils.RegionUtils
6;jadx.core.utils.RegionUtils#hasPathThroughBlock(BlockNode,IContainer);;;;;;jadx.core.utils.RegionUtils#unknownContainerType(IContainer);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method protected unknownContainerType(container IContainer) : String extracted from public hasPathThroughBlock(block BlockNode, cont IContainer) : boolean in class jadx.core.utils.RegionUtils
7;jadx.core.utils.RegionUtils#hasExitEdge(IContainer);;;;;;jadx.core.utils.RegionUtils#unknownContainerType(IContainer);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method protected unknownContainerType(container IContainer) : String extracted from public hasExitEdge(container IContainer) : boolean in class jadx.core.utils.RegionUtils
8;jadx.core.utils.RegionUtils#getLastInsn(IContainer);;;;;;jadx.core.utils.RegionUtils#unknownContainerType(IContainer);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method protected unknownContainerType(container IContainer) : String extracted from public getLastInsn(container IContainer) : InsnNode in class jadx.core.utils.RegionUtils
9;jadx.core.utils.RegionUtils#hasExitBlock(IContainer);;;;;;jadx.core.utils.RegionUtils#unknownContainerType(IContainer);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method protected unknownContainerType(container IContainer) : String extracted from public hasExitBlock(container IContainer) : boolean in class jadx.core.utils.RegionUtils
10;jadx.core.utils.RegionUtils#insnsCount(IContainer);;;;;;jadx.core.utils.RegionUtils#unknownContainerType(IContainer);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method protected unknownContainerType(container IContainer) : String extracted from public insnsCount(container IContainer) : int in class jadx.core.utils.RegionUtils
11;jadx.core.utils.RegionUtils#notEmpty(IContainer);;;;;;jadx.core.utils.RegionUtils#unknownContainerType(IContainer);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method protected unknownContainerType(container IContainer) : String extracted from public notEmpty(container IContainer) : boolean in class jadx.core.utils.RegionUtils
12;jadx.api.JavaClass#getDefinitionPosition(int,int);;;;;;jadx.api.JavaClass#convertNode(Object);;;;;;MethodDeclaration;EXTRACT;2d8d4164830631d3125575f055b417c5addaa22f;2d8d41648;;;;;;;;;1150361;Extract Method private convertNode(obj Object) : JavaNode extracted from public getDefinitionPosition(line int, offset int) : CodePosition in class jadx.api.JavaClass
