entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
org.springframework.boot.orm.jpa.EntityScanRegistrar#registerBeanDefinitions(AnnotationMetadata,BeanDefinitionRegistry);;;;;;org.springframework.boot.orm.jpa.EntityScanRegistrar#addEntityScanBeanPostProcessor(BeanDefinitionRegistry,Set<String>);;;;;;MethodDeclaration;EXTRACT;1cfc6f64f64353bc5530a8ce8cdacfc3eba3e7b2;1cfc6f64f;;;;;;;;;1112624;Extract Method private addEntityScanBeanPostProcessor(registry BeanDefinitionRegistry, packagesToScan Set<String>) : void extracted from public registerBeanDefinitions(importingClassMetadata AnnotationMetadata, registry BeanDefinitionRegistry) : void in class org.springframework.boot.orm.jpa.EntityScanRegistrar
org.springframework.boot.cloudfoundry.VcapApplicationListener#flatten(Properties,Map<String,Object>,String);;;;;;org.springframework.boot.cloudfoundry.VcapApplicationListener#getFullKey(String,String);;;;;;MethodDeclaration;EXTRACT;20d39f7af2165c67d5221f556f58820c992d2cc6;20d39f7af;;;;;;;;;1112627;Extract Method private getFullKey(path String, key String) : String extracted from private flatten(properties Properties, input Map<String,Object>, path String) : void in class org.springframework.boot.cloudfoundry.VcapApplicationListener
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#overrideMessageCodesFormat();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class<?>,String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(config Class<?>, environment String...) : void extracted from public overrideMessageCodesFormat() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#overrideLocale();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class<?>,String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(config Class<?>, environment String...) : void extracted from public overrideLocale() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#overrideDateFormat();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class<?>,String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(config Class<?>, environment String...) : void extracted from public overrideDateFormat() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#resourceHandlerMappingDisabled();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(environment String...) : void extracted from public resourceHandlerMappingDisabled() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#noLocaleResolver();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class<?>,String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(config Class<?>, environment String...) : void extracted from public noLocaleResolver() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#resourceHandlerMappingOverrideAll();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class<?>,String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(config Class<?>, environment String...) : void extracted from public resourceHandlerMappingOverrideAll() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#noDateFormat();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class<?>,String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(config Class<?>, environment String...) : void extracted from public noDateFormat() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#customContentNegotiatingViewResolver();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class<?>,String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(config Class<?>, environment String...) : void extracted from public customContentNegotiatingViewResolver() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#customViewResolver();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class<?>,String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(config Class<?>, environment String...) : void extracted from public customViewResolver() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#faviconMappingDisabled();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(environment String...) : void extracted from public faviconMappingDisabled() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#resourceHandlerMappingOverrideWebjars();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class<?>,String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(config Class<?>, environment String...) : void extracted from public resourceHandlerMappingOverrideWebjars() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#customAsyncRequestTimeout();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(environment String...) : void extracted from public customAsyncRequestTimeout() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#noMessageCodesResolver();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(Class<?>,String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(config Class<?>, environment String...) : void extracted from public noMessageCodesResolver() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#ignoreDefaultModelOnRedirectIsTrue();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(environment String...) : void extracted from public ignoreDefaultModelOnRedirectIsTrue() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#handerAdaptersCreated();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(environment String...) : void extracted from public handerAdaptersCreated() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#handerMappingsCreated();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(environment String...) : void extracted from public handerMappingsCreated() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#resourceHandlerMapping();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(environment String...) : void extracted from public resourceHandlerMapping() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#faviconMapping();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(environment String...) : void extracted from public faviconMapping() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#defaultAsyncRequestTimeout();;;;;;org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests#load(String...);;;;;;MethodDeclaration;EXTRACT;cb98ee25ff52bf97faebe3f45cdef0ced9b4416e;cb98ee25f;;;;;;;;;1117231;Extract Method private load(environment String...) : void extracted from public defaultAsyncRequestTimeout() : void in class org.springframework.boot.autoconfigure.web.WebMvcAutoConfigurationTests
org.springframework.boot.actuate.metrics.buffer.BufferMetricReader#findAll();;;;;;org.springframework.boot.actuate.metrics.buffer.BufferMetricReader#findAll(Predicate<String>);;;;;;MethodDeclaration;EXTRACT;b47634176fa48ad925f79886c6aaca225cb9af64;b47634176;;;;;;;;;1117232;Extract Method private findAll(predicate Predicate<String>) : Iterable<Metric<?>> extracted from public findAll() : Iterable<Metric<?>> in class org.springframework.boot.actuate.metrics.buffer.BufferMetricReader
org.springframework.boot.actuate.metrics.buffer.BufferMetricReader#findAll(String);;;;;;org.springframework.boot.actuate.metrics.buffer.BufferMetricReader#findAll(Predicate<String>);;;;;;MethodDeclaration;EXTRACT;b47634176fa48ad925f79886c6aaca225cb9af64;b47634176;;;;;;;;;1117232;Extract Method private findAll(predicate Predicate<String>) : Iterable<Metric<?>> extracted from public findAll(prefix String) : Iterable<Metric<?>> in class org.springframework.boot.actuate.metrics.buffer.BufferMetricReader
org.springframework.boot.actuate.system.ApplicationPidFileWriterTests#overridePidFileWithSpring();;;;;;org.springframework.boot.actuate.system.ApplicationPidFileWriterTests#createPreparedEvent(String,String);;;;;;MethodDeclaration;EXTRACT;becced5f0b7bac8200df7a5706b568687b517b90;becced5f0;;;;;;;;;1121897;Extract Method private createPreparedEvent(propName String, propValue String) : SpringApplicationEvent extracted from public overridePidFileWithSpring() : void in class org.springframework.boot.actuate.system.ApplicationPidFileWriterTests
org.springframework.boot.actuate.system.ApplicationPidFileWriterTests#differentEventTypes();;;;;;org.springframework.boot.actuate.system.ApplicationPidFileWriterTests#createEnvironmentPreparedEvent(String,String);;;;;;MethodDeclaration;EXTRACT;becced5f0b7bac8200df7a5706b568687b517b90;becced5f0;;;;;;;;;1121897;Extract Method private createEnvironmentPreparedEvent(propName String, propValue String) : SpringApplicationEvent extracted from public differentEventTypes() : void in class org.springframework.boot.actuate.system.ApplicationPidFileWriterTests
org.springframework.boot.actuate.system.ApplicationPidFileWriter#getEnvironment(SpringApplicationEvent);;;;;;org.springframework.boot.actuate.system.ApplicationPidFileWriter.SpringProperty#getEnvironment(SpringApplicationEvent);;;;;;MethodDeclaration;MOVE;becced5f0b7bac8200df7a5706b568687b517b90;becced5f0;;;;;;;;;1121897;Move Method private getEnvironment(event SpringApplicationEvent) : Environment from class org.springframework.boot.actuate.system.ApplicationPidFileWriter to private getEnvironment(event SpringApplicationEvent) : Environment from class org.springframework.boot.actuate.system.ApplicationPidFileWriter.SpringProperty
org.springframework.boot.actuate.system.ApplicationPidFileWriterTests#overridePidFileWithSpring();;;;;;org.springframework.boot.actuate.system.ApplicationPidFileWriterTests#mockPropertySource(String,String);;;;;;MethodDeclaration;EXTRACT;becced5f0b7bac8200df7a5706b568687b517b90;becced5f0;;;;;;;;;1121897;Extract Method private mockPropertySource(name String, value String) : MockPropertySource extracted from public overridePidFileWithSpring() : void in class org.springframework.boot.actuate.system.ApplicationPidFileWriterTests
org.springframework.boot.actuate.system.ApplicationPidFileWriterTests#differentEventTypes();;;;;;org.springframework.boot.actuate.system.ApplicationPidFileWriterTests#mockPropertySource(String,String);;;;;;MethodDeclaration;EXTRACT;becced5f0b7bac8200df7a5706b568687b517b90;becced5f0;;;;;;;;;1121897;Extract Method private mockPropertySource(name String, value String) : MockPropertySource extracted from public differentEventTypes() : void in class org.springframework.boot.actuate.system.ApplicationPidFileWriterTests
org.springframework.boot.actuate.system.ApplicationPidFileWriterTests#overridePidFileWithSpring();;;;;;org.springframework.boot.actuate.system.ApplicationPidFileWriterTests#createEnvironment(String,String);;;;;;MethodDeclaration;EXTRACT;becced5f0b7bac8200df7a5706b568687b517b90;becced5f0;;;;;;;;;1121897;Extract Method private createEnvironment(propName String, propValue String) : ConfigurableEnvironment extracted from public overridePidFileWithSpring() : void in class org.springframework.boot.actuate.system.ApplicationPidFileWriterTests
