entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
org.tomahawk.libtomahawk.collection.NativeCollection#getAlbumTimeStamps();;;;;;org.tomahawk.libtomahawk.collection.UserCollection#getAlbumTimeStamps();;;;;;MethodDeclaration;PUSH_DOWN;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Push Down Method public getAlbumTimeStamps() : ConcurrentHashMap<Album,Long> from class org.tomahawk.libtomahawk.collection.NativeCollection to public getAlbumTimeStamps() : ConcurrentHashMap<Album,Long> from class org.tomahawk.libtomahawk.collection.UserCollection
org.tomahawk.libtomahawk.collection.NativeCollection#ConcurrentHashMap<Album,Set<Query>>.mAlbumTracks;;;;;;org.tomahawk.libtomahawk.collection.Collection#ConcurrentHashMap<Album,Set<Query>>.mAlbumTracks;;;;;;AttributeDeclaration;PULL_UP;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Pull Up Attribute protected mAlbumTracks : ConcurrentHashMap<Album,Set<Query>> from class org.tomahawk.libtomahawk.collection.NativeCollection to protected mAlbumTracks : ConcurrentHashMap<Album,Set<Query>> from class org.tomahawk.libtomahawk.collection.Collection
org.tomahawk.libtomahawk.collection.NativeCollection#wipe();;;;;;org.tomahawk.libtomahawk.collection.Collection#wipe();;;;;;MethodDeclaration;PULL_UP;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Pull Up Method public wipe() : void from class org.tomahawk.libtomahawk.collection.NativeCollection to public wipe() : void from class org.tomahawk.libtomahawk.collection.Collection
org.tomahawk.libtomahawk.collection.NativeCollection#Set<Query>.mQueries;;;;;;org.tomahawk.libtomahawk.collection.Collection#Set<Query>.mQueries;;;;;;AttributeDeclaration;PULL_UP;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Pull Up Attribute protected mQueries : Set<Query> from class org.tomahawk.libtomahawk.collection.NativeCollection to protected mQueries : Set<Query> from class org.tomahawk.libtomahawk.collection.Collection
org.tomahawk.libtomahawk.collection.NativeCollection#Set<Artist>.mArtists;;;;;;org.tomahawk.libtomahawk.collection.Collection#Set<Artist>.mArtists;;;;;;AttributeDeclaration;PULL_UP;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Pull Up Attribute protected mArtists : Set<Artist> from class org.tomahawk.libtomahawk.collection.NativeCollection to protected mArtists : Set<Artist> from class org.tomahawk.libtomahawk.collection.Collection
org.tomahawk.libtomahawk.collection.NativeCollection#getArtistTimeStamps();;;;;;org.tomahawk.libtomahawk.collection.UserCollection#getArtistTimeStamps();;;;;;MethodDeclaration;PUSH_DOWN;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Push Down Method public getArtistTimeStamps() : ConcurrentHashMap<Artist,Long> from class org.tomahawk.libtomahawk.collection.NativeCollection to public getArtistTimeStamps() : ConcurrentHashMap<Artist,Long> from class org.tomahawk.libtomahawk.collection.UserCollection
org.tomahawk.libtomahawk.collection.NativeCollection#ConcurrentHashMap<Artist,Long>.mArtistTimeStamps;;;;;;org.tomahawk.libtomahawk.collection.UserCollection#ConcurrentHashMap<Artist,Long>.mArtistTimeStamps;;;;;;AttributeDeclaration;PUSH_DOWN;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Push Down Attribute protected mArtistTimeStamps : ConcurrentHashMap<Artist,Long> from class org.tomahawk.libtomahawk.collection.NativeCollection to private mArtistTimeStamps : ConcurrentHashMap<Artist,Long> from class org.tomahawk.libtomahawk.collection.UserCollection
org.tomahawk.libtomahawk.collection.NativeCollection#addQuery(Query,long);;;;;;org.tomahawk.libtomahawk.collection.UserCollection#addQuery(Query,long);;;;;;MethodDeclaration;PUSH_DOWN;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Push Down Method public addQuery(query Query, addedTimeStamp long) : void from class org.tomahawk.libtomahawk.collection.NativeCollection to public addQuery(query Query, addedTimeStamp long) : void from class org.tomahawk.libtomahawk.collection.UserCollection
org.tomahawk.libtomahawk.collection.NativeCollection#getQueryTimeStamps();;;;;;org.tomahawk.libtomahawk.collection.UserCollection#getQueryTimeStamps();;;;;;MethodDeclaration;PUSH_DOWN;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Push Down Method public getQueryTimeStamps() : ConcurrentHashMap<Query,Long> from class org.tomahawk.libtomahawk.collection.NativeCollection to public getQueryTimeStamps() : ConcurrentHashMap<Query,Long> from class org.tomahawk.libtomahawk.collection.UserCollection
org.tomahawk.libtomahawk.collection.NativeCollection#Set<Artist>.mAlbumArtists;;;;;;org.tomahawk.libtomahawk.collection.Collection#Set<Artist>.mAlbumArtists;;;;;;AttributeDeclaration;PULL_UP;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Pull Up Attribute protected mAlbumArtists : Set<Artist> from class org.tomahawk.libtomahawk.collection.NativeCollection to protected mAlbumArtists : Set<Artist> from class org.tomahawk.libtomahawk.collection.Collection
org.tomahawk.libtomahawk.collection.NativeCollection#ConcurrentHashMap<Query,Long>.mQueryTimeStamps;;;;;;org.tomahawk.libtomahawk.collection.UserCollection#ConcurrentHashMap<Query,Long>.mQueryTimeStamps;;;;;;AttributeDeclaration;PUSH_DOWN;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Push Down Attribute protected mQueryTimeStamps : ConcurrentHashMap<Query,Long> from class org.tomahawk.libtomahawk.collection.NativeCollection to private mQueryTimeStamps : ConcurrentHashMap<Query,Long> from class org.tomahawk.libtomahawk.collection.UserCollection
org.tomahawk.libtomahawk.collection.NativeCollection#Set<Album>.mAlbums;;;;;;org.tomahawk.libtomahawk.collection.Collection#Set<Album>.mAlbums;;;;;;AttributeDeclaration;PULL_UP;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Pull Up Attribute protected mAlbums : Set<Album> from class org.tomahawk.libtomahawk.collection.NativeCollection to protected mAlbums : Set<Album> from class org.tomahawk.libtomahawk.collection.Collection
org.tomahawk.libtomahawk.collection.NativeCollection#ConcurrentHashMap<Album,Long>.mAlbumTimeStamps;;;;;;org.tomahawk.libtomahawk.collection.UserCollection#ConcurrentHashMap<Album,Long>.mAlbumTimeStamps;;;;;;AttributeDeclaration;PUSH_DOWN;56c273ee11296288cb15320c3de781b94a1e8eb4;56c273ee1;;;;;;;;;1135559;Push Down Attribute protected mAlbumTimeStamps : ConcurrentHashMap<Album,Long> from class org.tomahawk.libtomahawk.collection.NativeCollection to private mAlbumTimeStamps : ConcurrentHashMap<Album,Long> from class org.tomahawk.libtomahawk.collection.UserCollection
