id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp;idOracle;descriptionOracle
0;io.undertow.predicate.PredicateParser#isOperator(String);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#isOperator(String);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private isOperator(op String) : boolean from class io.undertow.predicate.PredicateParser to private isOperator(op String) : boolean from class io.undertow.server.handlers.builder.PredicatedHandlersParser
1;io.undertow.server.handlers.builder.HandlerParser#isOperator(String);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#isOperator(String);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private isOperator(op String) : boolean from class io.undertow.server.handlers.builder.HandlerParser to private isOperator(op String) : boolean from class io.undertow.server.handlers.builder.PredicatedHandlersParser
2;io.undertow.predicate.PredicateParser#coerceToType(String,Token,Class<?>,ExchangeAttributeParser);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#coerceToType(String,Token,Class<?>,ExchangeAttributeParser);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private coerceToType(string String, token Token, type Class<?>, attributeParser ExchangeAttributeParser) : Object from class io.undertow.predicate.PredicateParser to private coerceToType(string String, token Token, type Class<?>, attributeParser ExchangeAttributeParser) : Object from class io.undertow.server.handlers.builder.PredicatedHandlersParser
3;io.undertow.server.handlers.builder.HandlerParser#tokenize(String);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#tokenize(String);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method package tokenize(string String) : Deque<Token> from class io.undertow.server.handlers.builder.HandlerParser to public tokenize(string String) : Deque<Token> from class io.undertow.server.handlers.builder.PredicatedHandlersParser
4;io.undertow.predicate.PredicateParser#isSpecialChar(String);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#isSpecialChar(String);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private isSpecialChar(token String) : boolean from class io.undertow.predicate.PredicateParser to private isSpecialChar(token String) : boolean from class io.undertow.server.handlers.builder.PredicatedHandlersParser
5;io.undertow.server.handlers.builder.HandlerParser#coerceToType(String,Token,Class<?>,ExchangeAttributeParser);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#coerceToType(String,Token,Class<?>,ExchangeAttributeParser);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private coerceToType(string String, token Token, type Class<?>, attributeParser ExchangeAttributeParser) : Object from class io.undertow.server.handlers.builder.HandlerParser to private coerceToType(string String, token Token, type Class<?>, attributeParser ExchangeAttributeParser) : Object from class io.undertow.server.handlers.builder.PredicatedHandlersParser
6;io.undertow.server.handlers.builder.HandlerParser#precedence(String);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#precedence(String);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private precedence(operator String) : int from class io.undertow.server.handlers.builder.HandlerParser to private precedence(operator String) : int from class io.undertow.server.handlers.builder.PredicatedHandlersParser
7;io.undertow.predicate.PredicateParser#precedence(String);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#precedence(String);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private precedence(operator String) : int from class io.undertow.predicate.PredicateParser to private precedence(operator String) : int from class io.undertow.server.handlers.builder.PredicatedHandlersParser
8;io.undertow.server.handlers.builder.HandlerParser#isSpecialChar(String);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#isSpecialChar(String);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private isSpecialChar(token String) : boolean from class io.undertow.server.handlers.builder.HandlerParser to private isSpecialChar(token String) : boolean from class io.undertow.server.handlers.builder.PredicatedHandlersParser
9;io.undertow.predicate.PredicateParser#handleSingleArrayValue(String,PredicateBuilder,Deque<Token>,Token,ExchangeAttributeParser,String);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#handleSingleArrayValue(String,PredicateBuilder,Deque<Token>,Token,ExchangeAttributeParser,String);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private handleSingleArrayValue(string String, builder PredicateBuilder, tokens Deque<Token>, token Token, attributeParser ExchangeAttributeParser, endChar String) : Node from class io.undertow.predicate.PredicateParser to private handleSingleArrayValue(string String, builder Token, tokens Deque<Token>, endChar String) : Node from class io.undertow.server.handlers.builder.PredicatedHandlersParser
10;io.undertow.util.PredicateTokeniser#error(String,int,String);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#error(String,int,String);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method public error(string String, pos int, reason String) : IllegalStateException from class io.undertow.util.PredicateTokeniser to public error(string String, pos int, reason String) : IllegalStateException from class io.undertow.server.handlers.builder.PredicatedHandlersParser
11;io.undertow.predicate.PredicateParser#collapseOutput(Object,Deque<Object>);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#collapseOutput(Object,Deque<Object>);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private collapseOutput(token Object, tokens Deque<Object>) : Node from class io.undertow.predicate.PredicateParser to private collapseOutput(token Node, tokens Deque<Node>) : Node from class io.undertow.server.handlers.builder.PredicatedHandlersParser
12;io.undertow.server.handlers.builder.HandlerParser#handleSingleArrayValue(String,HandlerBuilder,Deque<Token>,Token,ExchangeAttributeParser,String,Token);;;;;;io.undertow.server.handlers.builder.PredicatedHandlersParser#handleSingleArrayValue(String,HandlerBuilder,Deque<Token>,Token,ExchangeAttributeParser,String,Token);;;;;;MethodDeclaration;MOVE;d5b2bb8cd1393f1c5a5bb623e3d8906cd57e53c4;d5b2bb8cd;;;;;;;;;1111161;Move Method private handleSingleArrayValue(string String, builder HandlerBuilder, tokens Deque<Token>, token Token, attributeParser ExchangeAttributeParser, endChar String, last Token) : HandlerWrapper from class io.undertow.server.handlers.builder.HandlerParser to private handleSingleArrayValue(string String, builder Token, tokens Deque<Token>, endChar String) : Node from class io.undertow.server.handlers.builder.PredicatedHandlersParser
