id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;MPChartLib.src.main.com.github.mikephil.charting.data.BaseDataSet#setGradientColor(int,int);setGradientColor(int,int);MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseDataSet.java:6526:6834:6762:6833;startColor,endColor;239;False;MPChartLib.src.main.com.github.mikephil.charting.data.BarDataSet#setGradientColor(int,int);setGradientColor(int,int);MPChartLib/src/main/java/com/github/mikephil/charting/data/BarDataSet.java:2675:2993:2911:2992;startColor,endColor;105;False;MethodDeclaration;MOVE;eae977306eeddc9f85fd62bdc82b9c4b7fd2da83;eae97730;-;-;Fri Jan 24 12:53:07 2020 +0200;1579863187;-;-;Fri Jan 24 12:53:07 2020 +0200;1579863187
1;MPChartLib.src.main.com.github.mikephil.charting.animation.EasingFunction#getInterpolation(float);getInterpolation(float);MPChartLib/src/main/java/com/github/mikephil/charting/animation/EasingFunction.java:345:395:395:395;input;13;False;MPChartLib.src.main.com.github.mikephil.charting.animation.Easing.EasingFunction#getInterpolation(float);getInterpolation(float);MPChartLib/src/main/java/com/github/mikephil/charting/animation/Easing.java:369:423:423:423;input;18;True;MethodDeclaration;MOVE;35c9fc937ecda0dd2eb1a7b879aa869a48bfad3d;35c9fc93;-;-;Mon Apr 30 12:24:18 2018 -0600;1525112658;-;-;Mon Apr 30 12:24:18 2018 -0600;1525112658
2;MPChartLib.src.main.com.github.mikephil.charting.charts.Chart#setDescriptionPosition(float,float);setDescriptionPosition(float,float);MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java:32768:33205:32985:33204;x,y;1082;False;MPChartLib.src.main.com.github.mikephil.charting.components.Description#setPosition(float,float);setPosition(float,float);MPChartLib/src/main/java/com/github/mikephil/charting/components/Description.java:1139:1521:1345:1520;x,y;54;False;MethodDeclaration;MOVE_RENAME;643f901b157625ebfc5120207e794939e5570872;643f901b;-;-;Sat Sep 17 21:36:59 2016 +0200;1474141019;-;-;Sat Sep 17 21:36:59 2016 +0200;1474141019
3;MPChartLib.src.main.com.github.mikephil.charting.highlight.BarHighlighter#getRanges(BarEntry);getRanges(BarEntry);MPChartLib/src/main/java/com/github/mikephil/charting/highlight/BarHighlighter.java:3292:4158:3472:4157;entry;119;False;MPChartLib.src.main.com.github.mikephil.charting.data.BarEntry#calcRanges();calcRanges();MPChartLib/src/main/java/com/github/mikephil/charting/data/BarEntry.java:4687:5349:4716:5348;;220;False;MethodDeclaration;MOVE_RENAME;6878220e2e798e8c4e0b20e39bb051633b9c96ea;6878220e;-;-;Wed Jun 22 01:06:56 2016 +0200;1466550416;-;-;Wed Jun 22 01:06:56 2016 +0200;1466550416
4;MPChartLib.src.main.com.github.mikephil.charting.utils.Utils#getClosestSelectionDetailByPixel(List,float,float,AxisDependency);getClosestSelectionDetailByPixel(List,float,float,AxisDependency);MPChartLib/src/main/java/com/github/mikephil/charting/utils/Utils.java:13466:14393:13847:14392;valsAtIndex,x,y,axis;434;False;MPChartLib.src.main.com.github.mikephil.charting.highlight.ChartHighlighter#getClosestSelectionDetailByPixel(List,float,float,YAxis.AxisDependency,float);getClosestSelectionDetailByPixel(List,float,float,YAxis.AxisDependency,float);MPChartLib/src/main/java/com/github/mikephil/charting/highlight/ChartHighlighter.java:4883:5872:5291:5871;valsAtIndex,x,y,axis,minSelectionDistance;156;False;MethodDeclaration;MOVE;ac3eafaba92d986e7d848f6888bf5e07dd21de64;ac3eafab;-;-;Fri Jun 3 10:26:05 2016 +0200;1464942365;-;-;Fri Jun 3 10:26:05 2016 +0200;1464942365
5;MPChartLib.src.main.com.github.mikephil.charting.utils.Utils#getMinimumDistance(List,float,AxisDependency);getMinimumDistance(List,float,AxisDependency);MPChartLib/src/main/java/com/github/mikephil/charting/utils/Utils.java:14399:15270:14838:15269;valsAtIndex,y,axis;467;False;MPChartLib.src.main.com.github.mikephil.charting.highlight.ChartHighlighter#getMinimumDistance(List,float,YAxis.AxisDependency);getMinimumDistance(List,float,YAxis.AxisDependency);MPChartLib/src/main/java/com/github/mikephil/charting/highlight/ChartHighlighter.java:2659:3543:3096:3542;valsAtIndex,pos,axis;85;False;MethodDeclaration;MOVE;ac3eafaba92d986e7d848f6888bf5e07dd21de64;ac3eafab;-;-;Fri Jun 3 10:26:05 2016 +0200;1464942365;-;-;Fri Jun 3 10:26:05 2016 +0200;1464942365
6;MPChartLib.src.main.com.github.mikephil.charting.components.YAxis#setValueFormatter(YAxisValueFormatter);setValueFormatter(YAxisValueFormatter);MPChartLib/src/main/java/com/github/mikephil/charting/components/YAxis.java:9140:9733:9574:9732;f;373;False;MPChartLib.src.main.com.github.mikephil.charting.components.AxisBase#setValueFormatter(AxisValueFormatter);setValueFormatter(AxisValueFormatter);MPChartLib/src/main/java/com/github/mikephil/charting/components/AxisBase.java:10873:11462:11306:11461;f;439;False;MethodDeclaration;MOVE;2ae37c30883b0208a2490674495e85e948011687;2ae37c30;-;-;Thu Jun 2 10:24:51 2016 +0200;1464855891;-;-;Thu Jun 2 10:24:51 2016 +0200;1464855891
7;MPChartLib.src.main.com.github.mikephil.charting.formatter.YAxisValueFormatter#getFormattedValue(float,YAxis);getFormattedValue(float,YAxis);MPChartLib/src/main/java/com/github/mikephil/charting/formatter/YAxisValueFormatter.java:326:714:714:714;value,yAxis;12;False;MPChartLib.src.main.com.github.mikephil.charting.formatter.AxisValueFormatter#getFormattedValue(float,AxisBase);getFormattedValue(float,AxisBase);MPChartLib/src/main/java/com/github/mikephil/charting/formatter/AxisValueFormatter.java:300:677:677:677;value,axis;12;False;MethodDeclaration;MOVE;2ae37c30883b0208a2490674495e85e948011687;2ae37c30;-;-;Thu Jun 2 10:24:51 2016 +0200;1464855891;-;-;Thu Jun 2 10:24:51 2016 +0200;1464855891
8;MPChartLib.src.main.com.github.mikephil.charting.formatter.DefaultYAxisValueFormatter#getFormattedValue(float,YAxis);getFormattedValue(float,YAxis);MPChartLib/src/main/java/com/github/mikephil/charting/formatter/DefaultYAxisValueFormatter.java:539:715:612:714;value,yAxis;18;False;MPChartLib.src.main.com.github.mikephil.charting.formatter.DefaultAxisValueFormatter#getFormattedValue(float,AxisBase);getFormattedValue(float,AxisBase);MPChartLib/src/main/java/com/github/mikephil/charting/formatter/DefaultAxisValueFormatter.java:929:1107:1004:1106;value,axis;41;False;MethodDeclaration;MOVE;2ae37c30883b0208a2490674495e85e948011687;2ae37c30;-;-;Thu Jun 2 10:24:51 2016 +0200;1464855891;-;-;Thu Jun 2 10:24:51 2016 +0200;1464855891
9;MPChartLib.src.com.github.mikephil.charting.renderer.YAxisRenderer#computeAxis(float,float);computeAxis(float,float);MPChartLib/src/com/github/mikephil/charting/renderer/YAxisRenderer.java:1306:2290:1559:2289;yMin,yMax;40;False;MPChartLib.src.com.github.mikephil.charting.renderer.AxisRenderer#computeAxis(float,float,boolean);computeAxis(float,float,boolean);MPChartLib/src/com/github/mikephil/charting/renderer/AxisRenderer.java:2298:3276:2561:3275;min,max,inverted;94;False;MethodDeclaration;MOVE;d2cc49b525eb69c506e7b46210f548b03828f76d;d2cc49b5;-;-;Mon May 30 10:54:11 2016 +0200;1464598451;-;-;Mon May 30 10:54:11 2016 +0200;1464598451
