id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;MPChartLib.src.main.com.github.mikephil.charting.formatter.PercentFormatter#getFormattedValue(float,Entry,int,ViewPortHandler);getFormattedValue(float,Entry,int,ViewPortHandler);MPChartLib/src/main/java/com/github/mikephil/charting/formatter/PercentFormatter.java:816:991:940:990;value,entry,dataSetIndex,viewPortHandler;35;False;MPChartLib.src.main.com.github.mikephil.charting.formatter.ValueFormatter#getFormattedValue(float,Entry,int,ViewPortHandler);getFormattedValue(float,Entry,int,ViewPortHandler);MPChartLib/src/main/java/com/github/mikephil/charting/formatter/ValueFormatter.java:1039:1734:1687:1733;value,entry,dataSetIndex,viewPortHandler;30;False;MethodDeclaration;PULL_UP;e5b66192e7b303d7d25fc172b1878c055b554047;e5b66192;-;-;Wed Nov 7 12:41:53 2018 -0700;1541619713;-;-;Wed Nov 7 12:41:53 2018 -0700;1541619713
1;MPChartLib.src.main.com.github.mikephil.charting.formatter.LargeValueFormatter#getFormattedValue(float,Entry,int,ViewPortHandler);getFormattedValue(float,Entry,int,ViewPortHandler);MPChartLib/src/main/java/com/github/mikephil/charting/formatter/LargeValueFormatter.java:1329:1501:1453:1500;value,entry,dataSetIndex,viewPortHandler;45;False;MPChartLib.src.main.com.github.mikephil.charting.formatter.ValueFormatter#getFormattedValue(float,Entry,int,ViewPortHandler);getFormattedValue(float,Entry,int,ViewPortHandler);MPChartLib/src/main/java/com/github/mikephil/charting/formatter/ValueFormatter.java:1039:1734:1687:1733;value,entry,dataSetIndex,viewPortHandler;30;False;MethodDeclaration;PULL_UP;e5b66192e7b303d7d25fc172b1878c055b554047;e5b66192;-;-;Wed Nov 7 12:41:53 2018 -0700;1541619713;-;-;Wed Nov 7 12:41:53 2018 -0700;1541619713
2;MPChartLib.src.main.com.github.mikephil.charting.charts.BarLineChartBase#getHighlightByTouchPoint(float,float);getHighlightByTouchPoint(float,float);MPChartLib/src/main/java/com/github/mikephil/charting/charts/BarLineChartBase.java:38659:39173:38974:39172;x,y;1183;False;MPChartLib.src.main.com.github.mikephil.charting.charts.Chart#getHighlightByTouchPoint(float,float);getHighlightByTouchPoint(float,float);MPChartLib/src/main/java/com/github/mikephil/charting/charts/Chart.java:20166:20680:20481:20679;x,y;667;False;MethodDeclaration;PULL_UP;2b886a463e85a0e35e9641b75250b0460b6307c8;2b886a46;-;-;Sun Jun 12 16:11:37 2016 +0200;1465740697;-;-;Sun Jun 12 16:11:37 2016 +0200;1465740697
3;MPChartLib.src.main.com.github.mikephil.charting.interfaces.dataprovider.BarLineScatterCandleBubbleDataProvider#getMaxVisibleCount();getMaxVisibleCount();MPChartLib/src/main/java/com/github/mikephil/charting/interfaces/dataprovider/BarLineScatterCandleBubbleDataProvider.java:400:425:425:425;;10;False;MPChartLib.src.main.com.github.mikephil.charting.interfaces.dataprovider.ChartInterface#getMaxVisibleCount();getMaxVisibleCount();MPChartLib/src/main/java/com/github/mikephil/charting/interfaces/dataprovider/ChartInterface.java:1498:1523:1523:1523;;69;False;MethodDeclaration;PULL_UP;72b4948aa3cbfc55eb02952160e6b2e3d3541147;72b4948a;-;-;Tue Jun 7 16:55:48 2016 +0200;1465311348;-;-;Tue Jun 7 16:55:48 2016 +0200;1465311348
4;MPChartLib.src.main.com.github.mikephil.charting.data.Entry#getY();getY();MPChartLib/src/main/java/com/github/mikephil/charting/data/Entry.java:1510:1639:1615:1638;;70;False;MPChartLib.src.main.com.github.mikephil.charting.data.BaseEntry#getY();getY();MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseEntry.java:472:600:576:599;;27;False;MethodDeclaration;PULL_UP;639d3359093ac91f52e5da7718834b034ed491b9;639d3359;-;-;Thu Jun 2 22:57:48 2016 +0200;1464901068;-;-;Thu Jun 2 22:57:48 2016 +0200;1464901068
5;MPChartLib.src.main.com.github.mikephil.charting.data.Entry#setY(float);setY(float);MPChartLib/src/main/java/com/github/mikephil/charting/data/Entry.java:1645:1780:1754:1779;y;79;False;MPChartLib.src.main.com.github.mikephil.charting.data.BaseEntry#setY(float);setY(float);MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseEntry.java:606:740:714:739;y;36;False;MethodDeclaration;PULL_UP;639d3359093ac91f52e5da7718834b034ed491b9;639d3359;-;-;Thu Jun 2 22:57:48 2016 +0200;1464901068;-;-;Thu Jun 2 22:57:48 2016 +0200;1464901068
6;MPChartLib.src.main.com.github.mikephil.charting.data.Entry#setData(Object);setData(Object);MPChartLib/src/main/java/com/github/mikephil/charting/data/Entry.java:2007:2174:2141:2173;data;98;False;MPChartLib.src.main.com.github.mikephil.charting.data.BaseEntry#setData(Object);setData(Object);MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseEntry.java:966:1132:1099:1131;data;55;False;MethodDeclaration;PULL_UP;639d3359093ac91f52e5da7718834b034ed491b9;639d3359;-;-;Thu Jun 2 22:57:48 2016 +0200;1464901068;-;-;Thu Jun 2 22:57:48 2016 +0200;1464901068
7;MPChartLib.src.main.com.github.mikephil.charting.data.Entry#getData();getData();MPChartLib/src/main/java/com/github/mikephil/charting/data/Entry.java:1786:2001:1973:2000;;88;False;MPChartLib.src.main.com.github.mikephil.charting.data.BaseEntry#getData();getData();MPChartLib/src/main/java/com/github/mikephil/charting/data/BaseEntry.java:746:960:932:959;;45;False;MethodDeclaration;PULL_UP;639d3359093ac91f52e5da7718834b034ed491b9;639d3359;-;-;Thu Jun 2 22:57:48 2016 +0200;1464901068;-;-;Thu Jun 2 22:57:48 2016 +0200;1464901068
8;MPChartLib.src.main.com.github.mikephil.charting.components.YAxis#getFormattedLabel(int);getFormattedLabel(int);MPChartLib/src/main/java/com/github/mikephil/charting/components/YAxis.java:8699:9134:8959:9133;index;357;False;MPChartLib.src.main.com.github.mikephil.charting.components.AxisBase#getFormattedLabel(int);getFormattedLabel(int);MPChartLib/src/main/java/com/github/mikephil/charting/components/AxisBase.java:10648:10867:10692:10866;index;431;False;MethodDeclaration;PULL_UP;2ae37c30883b0208a2490674495e85e948011687;2ae37c30;-;-;Thu Jun 2 10:24:51 2016 +0200;1464855891;-;-;Thu Jun 2 10:24:51 2016 +0200;1464855891
9;MPChartLib.src.main.com.github.mikephil.charting.components.XAxis#getValueFormatter();getValueFormatter();MPChartLib/src/main/java/com/github/mikephil/charting/components/XAxis.java:6426:7000:6592:6999;;232;False;MPChartLib.src.main.com.github.mikephil.charting.components.AxisBase#getValueFormatter();getValueFormatter();MPChartLib/src/main/java/com/github/mikephil/charting/components/AxisBase.java:11468:12018:11619:12017;;456;False;MethodDeclaration;PULL_UP;2ae37c30883b0208a2490674495e85e948011687;2ae37c30;-;-;Thu Jun 2 10:24:51 2016 +0200;1464855891;-;-;Thu Jun 2 10:24:51 2016 +0200;1464855891
