id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;src.main.io.reactivex.r3.schedulers.Schedulers#from(Executor,boolean,boolean);from(Executor,boolean,boolean);src/main/java/io/reactivex/rxjava3/schedulers/Schedulers.java:28764:34378:34297:34377;executor,interruptibleWorker,fair;469;False;src.main.io.reactivex.r3.plugins.RxJavaPlugins#createExecutorScheduler(Executor,boolean,boolean);createExecutorScheduler(Executor,boolean,boolean);src/main/java/io/reactivex/rxjava3/plugins/RxJavaPlugins.java:47730:49072:48991:49071;executor,interruptibleWorker,fair;1305;False;MethodDeclaration;EXTRACT_MOVE;5b0dd58a8580939754d51c5d132e3978d99ce04c;5b0dd58a8;-;-;Mon Aug 2 12:55:00 2021 +0200;1627901700;-;-;Mon Aug 2 12:55:00 2021 +0200;1627901700
1;src.main.io.reactivex.r3.internal.schedulers.ExecutorScheduler.ExecutorWorker#run();run();src/main/java/io/reactivex/rxjava3/internal/schedulers/ExecutorScheduler.java:8195:9052:8232:9051;;237;True;src.main.io.reactivex.r3.internal.schedulers.ExecutorScheduler.ExecutorWorker#runFair();runFair();src/main/java/io/reactivex/rxjava3/internal/schedulers/ExecutorScheduler.java:8510:8989:8526:8988;;252;True;MethodDeclaration;EXTRACT;292dc62c97bd0a0569cd6d2278adaad134e72d12;292dc62c9;-;-;Tue Dec 3 17:48:14 2019 +0100;1575391694;-;-;Tue Dec 3 17:48:14 2019 +0100;1575391694
2;src.main.io.reactivex.r3.internal.schedulers.ExecutorScheduler.ExecutorWorker#run();run();src/main/java/io/reactivex/rxjava3/internal/schedulers/ExecutorScheduler.java:8195:9052:8232:9051;;237;True;src.main.io.reactivex.r3.internal.schedulers.ExecutorScheduler.ExecutorWorker#runEager();runEager();src/main/java/io/reactivex/rxjava3/internal/schedulers/ExecutorScheduler.java:8999:9836:9016:9835;;274;True;MethodDeclaration;EXTRACT;292dc62c97bd0a0569cd6d2278adaad134e72d12;292dc62c9;-;-;Tue Dec 3 17:48:14 2019 +0100;1575391694;-;-;Tue Dec 3 17:48:14 2019 +0100;1575391694
3;src.main.io.reactivex.internal.operators.mixed.ObservableConcatMapMaybe.ConcatMapMaybeMainObserver#drain();drain();src/main/java/io/reactivex/internal/operators/mixed/ObservableConcatMapMaybe.java:5609:8588:5623:8587;;182;True;src.main.io.reactivex.internal.util.AtomicThrowable#tryTerminateConsumer(Subscriber);tryTerminateConsumer(Subscriber);src/main/java/io/reactivex/internal/util/AtomicThrowable.java:2282:2920:2718:2919;consumer;68;False;MethodDeclaration;EXTRACT_MOVE;2572fa74ab93c4f3ffe0ea51932eecc180873904;2572fa74a;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725
4;src.main.io.reactivex.internal.operators.mixed.ObservableConcatMapCompletable.ConcatMapCompletableObserver#innerError(Throwable);innerError(Throwable);src/main/java/io/reactivex/internal/operators/mixed/ObservableConcatMapCompletable.java:5665:6354:5696:6353;ex;180;True;src.main.io.reactivex.internal.util.AtomicThrowable#tryTerminateConsumer(Subscriber);tryTerminateConsumer(Subscriber);src/main/java/io/reactivex/internal/util/AtomicThrowable.java:2282:2920:2718:2919;consumer;68;False;MethodDeclaration;EXTRACT_MOVE;2572fa74ab93c4f3ffe0ea51932eecc180873904;2572fa74a;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725
5;src.main.io.reactivex.internal.operators.mixed.ObservableSwitchMapCompletable.SwitchMapCompletableObserver#onComplete();onComplete();src/main/java/io/reactivex/internal/operators/mixed/ObservableSwitchMapCompletable.java:4742:5091:4786:5090;;139;True;src.main.io.reactivex.internal.util.AtomicThrowable#tryTerminateConsumer(Subscriber);tryTerminateConsumer(Subscriber);src/main/java/io/reactivex/internal/util/AtomicThrowable.java:2282:2920:2718:2919;consumer;68;False;MethodDeclaration;EXTRACT_MOVE;2572fa74ab93c4f3ffe0ea51932eecc180873904;2572fa74a;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725
6;src.main.io.reactivex.internal.operators.completable.CompletableMerge.CompletableMergeSubscriber#onComplete();onComplete();src/main/java/io/reactivex/internal/operators/completable/CompletableMerge.java:4066:4401:4110:4400;;125;True;src.main.io.reactivex.internal.util.AtomicThrowable#tryTerminateConsumer(Subscriber);tryTerminateConsumer(Subscriber);src/main/java/io/reactivex/internal/util/AtomicThrowable.java:2282:2920:2718:2919;consumer;68;False;MethodDeclaration;EXTRACT_MOVE;2572fa74ab93c4f3ffe0ea51932eecc180873904;2572fa74a;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725
7;src.main.io.reactivex.internal.operators.flowable.FlowableFlatMap.MergeSubscriber#drainLoop();drainLoop();src/main/java/io/reactivex/internal/operators/flowable/FlowableFlatMap.java:12515:19411:12533:19410;;369;True;src.main.io.reactivex.internal.util.AtomicThrowable#tryTerminateConsumer(Subscriber);tryTerminateConsumer(Subscriber);src/main/java/io/reactivex/internal/util/AtomicThrowable.java:2282:2920:2718:2919;consumer;68;False;MethodDeclaration;EXTRACT_MOVE;2572fa74ab93c4f3ffe0ea51932eecc180873904;2572fa74a;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725
8;src.main.io.reactivex.internal.operators.flowable.FlowableConcatMapScheduler.ConcatMapDelayed#run();run();src/main/java/io/reactivex/internal/operators/flowable/FlowableConcatMapScheduler.java:13442:17539:13479:17538;;438;True;src.main.io.reactivex.internal.util.AtomicThrowable#tryTerminateConsumer(Subscriber);tryTerminateConsumer(Subscriber);src/main/java/io/reactivex/internal/util/AtomicThrowable.java:2282:2920:2718:2919;consumer;68;False;MethodDeclaration;EXTRACT_MOVE;2572fa74ab93c4f3ffe0ea51932eecc180873904;2572fa74a;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725
9;src.main.io.reactivex.internal.operators.mixed.ObservableConcatMapSingle.ConcatMapSingleMainObserver#drain();drain();src/main/java/io/reactivex/internal/operators/mixed/ObservableConcatMapSingle.java:5521:8502:5535:8501;;177;True;src.main.io.reactivex.internal.util.AtomicThrowable#tryTerminateConsumer(Subscriber);tryTerminateConsumer(Subscriber);src/main/java/io/reactivex/internal/util/AtomicThrowable.java:2282:2920:2718:2919;consumer;68;False;MethodDeclaration;EXTRACT_MOVE;2572fa74ab93c4f3ffe0ea51932eecc180873904;2572fa74a;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725;-;-;Mon Aug 5 17:25:25 2019 +0200;1565018725
