id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;src.main.io.reactivex.r3.internal.operators.mixed.ObservableConcatMapSingle.ConcatMapSingleMainObserver#onError(Throwable);onError(Throwable);src/main/java/io/reactivex/rxjava3/internal/operators/mixed/ObservableConcatMapSingle.java:4210:4504:4262:4503;t;123;True;src.main.io.reactivex.r3.internal.operators.mixed.ConcatMapXMainSubscriber#onError(Throwable);onError(Throwable);src/main/java/io/reactivex/rxjava3/internal/operators/mixed/ConcatMapXMainSubscriber.java:3254:3517:3308:3516;t;107;False;MethodDeclaration;MOVE;a99b2e0a01d85f3f792a56c68ac1df9afa3a75c7;a99b2e0a0;-;-;Wed Jan 27 16:46:33 2021 +0100;1611762393;-;-;Wed Jan 27 16:46:33 2021 +0100;1611762393
1;src.main.io.reactivex.r3.internal.functions.Functions.HashSetCallable#get();get();src/main/java/io/reactivex/rxjava3/internal/functions/Functions.java:8680:8770:8724:8769;;291;True;src.main.io.reactivex.r3.internal.functions.Functions.HashSetSupplier#get();get();src/main/java/io/reactivex/rxjava3/internal/functions/Functions.java:8556:8646:8600:8645;;286;True;MethodDeclaration;INTERNAL_MOVE;b3ad0752de398f4536bb88a7b1c77b0b9fbecb87;b3ad0752d;-;-;Wed Feb 12 16:26:52 2020 +0100;1581521212;-;-;Wed Feb 12 16:26:52 2020 +0100;1581521212
2;src.main.io.reactivex.r3.internal.operators.flowable.FlowableConcatMapPublisher#subscribeActual(Subscriber);subscribeActual(Subscriber);src/main/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableConcatMapPublisher.java:1400:1672:1471:1671;s;40;False;src.main.io.reactivex.r3.internal.operators.mixed.FlowableConcatMapMaybePublisher#subscribeActual(Subscriber);subscribeActual(Subscriber);src/main/java/io/reactivex/rxjava3/internal/operators/mixed/FlowableConcatMapMaybePublisher.java:1870:2037:1941:2036;s;51;False;MethodDeclaration;MOVE;1ede60786a1a8f00f1fb3968d0701a323ed86f2f;1ede60786;-;-;Tue Jan 28 15:59:54 2020 +0100;1580223594;-;-;Tue Jan 28 15:59:54 2020 +0100;1580223594
3;src.main.io.reactivex.r3.internal.operators.flowable.FlowableFlatMapPublisher#subscribeActual(Subscriber);subscribeActual(Subscriber);src/main/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableFlatMapPublisher.java:1448:1736:1519:1735;s;38;False;src.main.io.reactivex.r3.internal.operators.flowable.FlowableFlatMapMaybePublisher#subscribeActual(Subscriber);subscribeActual(Subscriber);src/main/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableFlatMapMaybePublisher.java:1632:1805:1703:1804;s;45;False;MethodDeclaration;MOVE;1ede60786a1a8f00f1fb3968d0701a323ed86f2f;1ede60786;-;-;Tue Jan 28 15:59:54 2020 +0100;1580223594;-;-;Tue Jan 28 15:59:54 2020 +0100;1580223594
4;src.main.io.reactivex.r3.internal.operators.completable.CompletableToObservable.ObserverCompletableObserver#onSubscribe(Disposable);onSubscribe(Disposable);src/main/java/io/reactivex/rxjava3/internal/operators/completable/CompletableToObservable.java:1866:2084:1923:2083;d;60;True;src.main.io.reactivex.r3.internal.operators.observable.ObservableFromCompletable.FromCompletableObserver#onSubscribe(Disposable);onSubscribe(Disposable);src/main/java/io/reactivex/rxjava3/internal/operators/observable/ObservableFromCompletable.java:2062:2288:2119:2287;d;68;True;MethodDeclaration;MOVE;26dacd72f1929c78d84da41ec80dc1ae3996c9f9;26dacd72f;-;-;Sat Jan 25 22:07:48 2020 +0100;1579986468;-;-;Sat Jan 25 22:07:48 2020 +0100;1579986468
5;src.main.io.reactivex.r3.internal.observers.SubscriberCompletableObserver#onSubscribe(Disposable);onSubscribe(Disposable);src/main/java/io/reactivex/rxjava3/internal/observers/SubscriberCompletableObserver.java:1333:1535:1386:1534;d;41;False;src.main.io.reactivex.r3.internal.operators.flowable.FlowableFromCompletable.FromCompletableObserver#onSubscribe(Disposable);onSubscribe(Disposable);src/main/java/io/reactivex/rxjava3/internal/operators/flowable/FlowableFromCompletable.java:1987:2213:2044:2212;d;65;True;MethodDeclaration;MOVE;26dacd72f1929c78d84da41ec80dc1ae3996c9f9;26dacd72f;-;-;Sat Jan 25 22:07:48 2020 +0100;1579986468;-;-;Sat Jan 25 22:07:48 2020 +0100;1579986468
6;src.main.io.reactivex.r3.disposables.Disposables#fromFuture(Future,boolean);fromFuture(Future,boolean);src/main/java/io/reactivex/rxjava3/disposables/Disposables.java:2630:3197:3072:3196;future,allowInterrupt;76;False;src.main.io.reactivex.r3.disposables.Disposable#fromFuture(Future,boolean);fromFuture(Future,boolean);src/main/java/io/reactivex/rxjava3/disposables/Disposable.java:2760:3340:3215:3339;future,allowInterrupt;81;False;MethodDeclaration;MOVE;166c529eb165b473c9bff11e8fedbde6c471b005;166c529eb;-;-;Thu Dec 19 13:39:40 2019 -0500;1576780780;-;-;Thu Dec 19 19:39:40 2019 +0100;1576780780
7;src.main.io.reactivex.r3.disposables.Disposables#disposed();disposed();src/main/java/io/reactivex/rxjava3/disposables/Disposables.java:4891:5129:5082:5128;;135;False;src.main.io.reactivex.r3.disposables.Disposable#disposed();disposed();src/main/java/io/reactivex/rxjava3/disposables/Disposable.java:5046:5297:5250:5296;;143;False;MethodDeclaration;MOVE;166c529eb165b473c9bff11e8fedbde6c471b005;166c529eb;-;-;Thu Dec 19 13:39:40 2019 -0500;1576780780;-;-;Thu Dec 19 19:39:40 2019 +0100;1576780780
8;src.main.io.reactivex.r3.disposables.Disposables#empty();empty();src/main/java/io/reactivex/rxjava3/disposables/Disposables.java:4634:4885:4824:4884;;126;False;src.main.io.reactivex.r3.disposables.Disposable#empty();empty();src/main/java/io/reactivex/rxjava3/disposables/Disposable.java:4776:5040:4979:5039;;133;False;MethodDeclaration;MOVE;166c529eb165b473c9bff11e8fedbde6c471b005;166c529eb;-;-;Thu Dec 19 13:39:40 2019 -0500;1576780780;-;-;Thu Dec 19 19:39:40 2019 +0100;1576780780
9;src.main.io.reactivex.r3.disposables.Disposables#fromAction(Action);fromAction(Action);src/main/java/io/reactivex/rxjava3/disposables/Disposables.java:1644:2056:1956:2055;run;49;False;src.main.io.reactivex.r3.disposables.Disposable#fromAction(Action);fromAction(Action);src/main/java/io/reactivex/rxjava3/disposables/Disposable.java:1748:2173:2073:2172;run;52;False;MethodDeclaration;MOVE;166c529eb165b473c9bff11e8fedbde6c471b005;166c529eb;-;-;Thu Dec 19 13:39:40 2019 -0500;1576780780;-;-;Thu Dec 19 19:39:40 2019 +0100;1576780780
