id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;src.main.io.reactivex.subjects.Subject#getValues();getValues();src/main/java/io/reactivex/subjects/Subject.java:3548:3990:3786:3989;;100;False;src.main.io.reactivex.subjects.ReplaySubject#getValues();getValues();src/main/java/io/reactivex/subjects/ReplaySubject.java:12293:12735:12531:12734;;292;False;MethodDeclaration;PUSH_DOWN;35c8da6ca2f0c446d9e50d1c5507cc80e5ccb996;35c8da6ca;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979
1;src.main.io.reactivex.processors.FlowProcessor#getValues();getValues();src/main/java/io/reactivex/processors/FlowProcessor.java:3614:4056:3852:4055;;103;False;src.main.io.reactivex.processors.ReplayProcessor#getValues();getValues();src/main/java/io/reactivex/processors/ReplayProcessor.java:12448:12890:12686:12889;;295;False;MethodDeclaration;PUSH_DOWN;35c8da6ca2f0c446d9e50d1c5507cc80e5ccb996;35c8da6ca;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979
2;src.main.io.reactivex.processors.FlowProcessor#getValues();getValues();src/main/java/io/reactivex/processors/FlowProcessor.java:3614:4056:3852:4055;;103;False;src.main.io.reactivex.processors.BehaviorProcessor#getValues();getValues();src/main/java/io/reactivex/processors/BehaviorProcessor.java:5473:5915:5711:5914;;175;False;MethodDeclaration;PUSH_DOWN;35c8da6ca2f0c446d9e50d1c5507cc80e5ccb996;35c8da6ca;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979
3;src.main.io.reactivex.subjects.Subject#getValues();getValues();src/main/java/io/reactivex/subjects/Subject.java:3548:3990:3786:3989;;100;False;src.main.io.reactivex.subjects.AsyncSubject#getValues();getValues();src/main/java/io/reactivex/subjects/AsyncSubject.java:3177:3619:3415:3618;;107;False;MethodDeclaration;PUSH_DOWN;35c8da6ca2f0c446d9e50d1c5507cc80e5ccb996;35c8da6ca;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979
4;src.main.io.reactivex.subjects.Subject#getValues();getValues();src/main/java/io/reactivex/subjects/Subject.java:3548:3990:3786:3989;;100;False;src.main.io.reactivex.subjects.BehaviorSubject#getValues();getValues();src/main/java/io/reactivex/subjects/BehaviorSubject.java:5442:5884:5680:5883;;175;False;MethodDeclaration;PUSH_DOWN;35c8da6ca2f0c446d9e50d1c5507cc80e5ccb996;35c8da6ca;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979
5;src.main.io.reactivex.processors.FlowProcessor#getValues();getValues();src/main/java/io/reactivex/processors/FlowProcessor.java:3614:4056:3852:4055;;103;False;src.main.io.reactivex.processors.AsyncProcessor#getValues();getValues();src/main/java/io/reactivex/processors/AsyncProcessor.java:4815:5257:5053:5256;;161;False;MethodDeclaration;PUSH_DOWN;35c8da6ca2f0c446d9e50d1c5507cc80e5ccb996;35c8da6ca;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979;-;-;Wed Aug 24 17:36:19 2016 +0200;1472052979
6;src.main.io.reactivex.Observer#cancel();cancel();src/main/java/io/reactivex/Observer.java:1180:1250:1211:1249;;39;False;src.main.io.reactivex.observers.DefaultObserver#cancel();cancel();src/main/java/io/reactivex/observers/DefaultObserver.java:1064:1122:1095:1121;;31;False;MethodDeclaration;PUSH_DOWN;10325b90e1b9c8b169bec378e0892353d31302f2;10325b90e;-;-;Wed Mar 23 23:31:53 2016 +0100;1458772313;-;-;Wed Mar 23 23:31:53 2016 +0100;1458772313
7;src.main.rx.internal.util.unsafe.SpscArrayQueue#lvProducerIndex();lvProducerIndex();src/main/java/rx/internal/util/unsafe/SpscArrayQueue.java:2023:2143:2063:2142;;52;False;src.main.rx.internal.util.unsafe.SpscArrayQueue#lvProducerIndex();lvProducerIndex();src/main/java/rx/internal/util/unsafe/SpscArrayQueue.java:6560:6659:6592:6658;;187;False;MethodDeclaration;PUSH_DOWN;9525e335a61d2f03ee727d4dc09cc5f9fdd6dc6a;9525e335a;-;-;Sat Jan 31 17:39:10 2015 +0100;1422722350;-;-;Sat Jan 31 17:39:10 2015 +0100;1422722350
8;src.main.rx.internal.util.unsafe.SpscArrayQueue#lvConsumerIndex();lvConsumerIndex();src/main/java/rx/internal/util/unsafe/SpscArrayQueue.java:2933:3053:2973:3052;;80;False;src.main.rx.internal.util.unsafe.SpscArrayQueue#lvConsumerIndex();lvConsumerIndex();src/main/java/rx/internal/util/unsafe/SpscArrayQueue.java:6669:6768:6701:6767;;191;False;MethodDeclaration;PUSH_DOWN;9525e335a61d2f03ee727d4dc09cc5f9fdd6dc6a;9525e335a;-;-;Sat Jan 31 17:39:10 2015 +0100;1422722350;-;-;Sat Jan 31 17:39:10 2015 +0100;1422722350
9;r-core.src.main.rx.Observer#unsubscribe();unsubscribe();rxjava-core/src/main/java/rx/Observer.java:2852:2931:2899:2930;;84;False;r-core.src.main.rx.Subscriber#unsubscribe();unsubscribe();rxjava-core/src/main/java/rx/Subscriber.java:2310:2389:2357:2388;;78;False;MethodDeclaration;PUSH_DOWN;025de00536bb8dd2783842d58db60c5e727f1cfc;025de0053;-;-;Thu Jan 30 22:58:33 2014 -0800;1391151513;-;-;Thu Jan 30 22:58:33 2014 -0800;1391151513
10;r-core.src.main.rx.Observer#unsubscribe();unsubscribe();rxjava-core/src/main/java/rx/Observer.java:2852:2931:2899:2930;;84;False;r-core.src.main.rx.operators.OperationZip.ManyObservables.ItemObserver#unsubscribe();unsubscribe();rxjava-core/src/main/java/rx/operators/OperationZip.java:12338:12441:12387:12440;;293;True;MethodDeclaration;PUSH_DOWN;025de00536bb8dd2783842d58db60c5e727f1cfc;025de0053;-;-;Thu Jan 30 22:58:33 2014 -0800;1391151513;-;-;Thu Jan 30 22:58:33 2014 -0800;1391151513
11;r-core.src.main.rx.Observer#unsubscribe();unsubscribe();rxjava-core/src/main/java/rx/Observer.java:2852:2931:2899:2930;;84;False;r-core.src.main.rx.operators.OperationSkipUntil.ResultManager#unsubscribe();unsubscribe();rxjava-core/src/main/java/rx/operators/OperationSkipUntil.java:2409:2498:2454:2497;;73;True;MethodDeclaration;PUSH_DOWN;025de00536bb8dd2783842d58db60c5e727f1cfc;025de0053;-;-;Thu Jan 30 22:58:33 2014 -0800;1391151513;-;-;Thu Jan 30 22:58:33 2014 -0800;1391151513
12;r-core.src.main.rx.Observer#isUnsubscribed();isUnsubscribed();rxjava-core/src/main/java/rx/Observer.java:2937:3018:2976:3017;;89;False;r-core.src.main.rx.Subscriber#isUnsubscribed();isUnsubscribed();rxjava-core/src/main/java/rx/Subscriber.java:2395:2476:2434:2475;;83;False;MethodDeclaration;PUSH_DOWN;025de00536bb8dd2783842d58db60c5e727f1cfc;025de0053;-;-;Thu Jan 30 22:58:33 2014 -0800;1391151513;-;-;Thu Jan 30 22:58:33 2014 -0800;1391151513
13;r-core.src.main.rx.Observer#add(Subscription);add(Subscription);rxjava-core/src/main/java/rx/Observer.java:2717:2846:2821:2845;s;77;False;r-core.src.main.rx.Subscriber#add(Subscription);add(Subscription);rxjava-core/src/main/java/rx/Subscriber.java:2175:2304:2279:2303;s;71;False;MethodDeclaration;PUSH_DOWN;025de00536bb8dd2783842d58db60c5e727f1cfc;025de0053;-;-;Thu Jan 30 22:58:33 2014 -0800;1391151513;-;-;Thu Jan 30 22:58:33 2014 -0800;1391151513
14;r-core.src.main.rx.Observable#forEach(Action1);forEach(Action1);rxjava-core/src/main/java/rx/Observable.java:20239:22908:20822:22907;onNext;521;False;r-core.src.main.rx.observables.BlockingObservable#forEach(Action1);forEach(Action1);rxjava-core/src/main/java/rx/observables/BlockingObservable.java:12623:15292:13206:15291;onNext;328;False;MethodDeclaration;PUSH_DOWN;28489d0024ac8304925f5f651ba2e69d63ce9c83;28489d002;-;-;Thu May 16 16:07:31 2013 -0700;1368745651;-;-;Thu May 16 16:07:31 2013 -0700;1368745651
15;r-core.src.main.rx.Observable#forEach(Object);forEach(Object);rxjava-core/src/main/java/rx/Observable.java:22914:24140:23548:24139;o;585;False;r-core.src.main.rx.observables.BlockingObservable#forEach(Object);forEach(Object);rxjava-core/src/main/java/rx/observables/BlockingObservable.java:15298:16524:15932:16523;o;392;False;MethodDeclaration;PUSH_DOWN;28489d0024ac8304925f5f651ba2e69d63ce9c83;28489d002;-;-;Thu May 16 16:07:31 2013 -0700;1368745651;-;-;Thu May 16 16:07:31 2013 -0700;1368745651
16;r-core.src.main.rx.Observable#singleOrDefault(T,Object);singleOrDefault(T,Object);rxjava-core/src/main/java/rx/Observable.java:27007:27570:27501:27569;defaultValue,predicate;691;False;r-core.src.main.rx.observables.BlockingObservable#singleOrDefault(T,Object);singleOrDefault(T,Object);rxjava-core/src/main/java/rx/observables/BlockingObservable.java:18464:19264:18964:19263;defaultValue,predicate;496;False;MethodDeclaration;PUSH_DOWN;ce3ee1bca053962c8dab8d8568e9c1bb3728f01b;ce3ee1bca;-;-;Thu May 16 09:22:39 2013 -0700;1368721359;-;-;Thu May 16 09:22:39 2013 -0700;1368721359
