id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;dubbo-rpc.dubbo-rpc-triple.src.main.org.apache.dubbo.rpc.protocol.tri.AbstractStream#transportError(GrpcStatus);transportError(GrpcStatus);dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/AbstractStream.java:6129:6582:6179:6581;status;189;False;dubbo-rpc.dubbo-rpc-triple.src.main.org.apache.dubbo.rpc.protocol.tri.AbstractStream#transportError(GrpcStatus,Map);transportError(GrpcStatus,Map);dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/AbstractStream.java:6128:6712:6210:6711;status,attachments;188;False;MethodDeclaration;EXTRACT;b5e65a6d25758bd459a5d8898feeaae32f6c388f;b5e65a6d2;-;-;Thu Aug 12 21:43:22 2021 +0800;1628775802;-;-;Thu Aug 12 21:43:22 2021 +0800;1628775802
1;dubbo-rpc.dubbo-rpc-triple.src.main.org.apache.dubbo.rpc.protocol.tri.AbstractStream#getTrailers(GrpcStatus);getTrailers(GrpcStatus);dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/AbstractStream.java:7846:9455:7899:9454;grpcStatus;234;False;dubbo-rpc.dubbo-rpc-triple.src.main.org.apache.dubbo.rpc.protocol.tri.TripleUtil#overEachHeaderListSize(String);overEachHeaderListSize(String);dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/TripleUtil.java:5919:6055:5977:6054;str;138;False;MethodDeclaration;EXTRACT_MOVE;0d6c4ab5c9b157f247f994ec88dada0afa653d66;0d6c4ab5c;-;-;Thu Aug 12 14:58:46 2021 +0800;1628751526;-;-;Thu Aug 12 14:58:46 2021 +0800;1628751526
2;dubbo-rpc.dubbo-rpc-triple.src.main.org.apache.dubbo.rpc.protocol.tri.AbstractStream#transportError(Throwable);transportError(Throwable);dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/AbstractStream.java:6677:7223:6729:7222;throwable;201;False;dubbo-rpc.dubbo-rpc-triple.src.main.org.apache.dubbo.rpc.protocol.tri.AbstractStream#getMetaData(GrpcStatus);getMetaData(GrpcStatus);dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/AbstractStream.java:7490:7778:7539:7777;status;221;False;MethodDeclaration;EXTRACT;6808f8f104f325bf92cb9715c8c50eaa10ce18eb;6808f8f10;-;-;Wed Aug 11 02:57:32 2021 -0500;1628668652;-;-;Wed Aug 11 15:57:32 2021 +0800;1628668652
3;dubbo-rpc.dubbo-rpc-triple.src.main.org.apache.dubbo.rpc.protocol.tri.AbstractStream#transportError(GrpcStatus);transportError(GrpcStatus);dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/AbstractStream.java:6223:6671:6273:6670;status;191;False;dubbo-rpc.dubbo-rpc-triple.src.main.org.apache.dubbo.rpc.protocol.tri.AbstractStream#getMetaData(GrpcStatus);getMetaData(GrpcStatus);dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/AbstractStream.java:7490:7778:7539:7777;status;221;False;MethodDeclaration;EXTRACT;6808f8f104f325bf92cb9715c8c50eaa10ce18eb;6808f8f10;-;-;Wed Aug 11 02:57:32 2021 -0500;1628668652;-;-;Wed Aug 11 15:57:32 2021 +0800;1628668652
4;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.context.annotation.DubboComponentScanRegistrar#getPackagesToScan(AnnotationMetadata);getPackagesToScan(AnnotationMetadata);dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/context/annotation/DubboComponentScanRegistrar.java:3467:4437:3535:4436;metadata;81;False;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.context.annotation.DubboComponentScanRegistrar#getPackagesToScan0(AnnotationMetadata,Class,String,String);getPackagesToScan0(AnnotationMetadata,Class,String,String);dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/context/annotation/DubboComponentScanRegistrar.java:4131:5242:4279:5241;metadata,annotationClass,basePackagesName,basePackageClassesName;96;False;MethodDeclaration;EXTRACT;649dc5b396fe57e34cb13a1b6469d8ea496db387;649dc5b39;-;-;Tue Aug 10 11:25:11 2021 +0800;1628565911;-;-;Tue Aug 10 11:25:11 2021 +0800;1628565911
5;dubbo-config.dubbo-config-api.src.main.org.apache.dubbo.config.bootstrap.DubboBootstrap#start();start();dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/bootstrap/DubboBootstrap.java:42181:44132:42255:44131;;1086;False;dubbo-config.dubbo-config-api.src.main.org.apache.dubbo.config.bootstrap.DubboBootstrap#doStart();doStart();dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/bootstrap/DubboBootstrap.java:43441:44493:43465:44492;;1132;False;MethodDeclaration;EXTRACT;1832ff597758bcbb80de024ddde589fd36ec5865;1832ff597;-;-;Thu Aug 5 19:03:44 2021 +0800;1628161424;-;-;Thu Aug 5 19:03:44 2021 +0800;1628161424
6;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.context.DubboBootstrapApplicationListener#setApplicationContext(ApplicationContext);setApplicationContext(ApplicationContext);dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/context/DubboBootstrapApplicationListener.java:5502:6544:5612:6543;applicationContext;137;False;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.context.DubboBootstrapApplicationListener#checkCallStackAndInit();checkCallStackAndInit();dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/context/DubboBootstrapApplicationListener.java:5922:6864:5960:6863;;148;False;MethodDeclaration;EXTRACT;63baa5c0432ad3f51ea7e583f0b0af4863804238;63baa5c04;-;-;Tue Aug 3 23:44:23 2021 +0800;1628005463;-;-;Tue Aug 3 23:44:23 2021 +0800;1628005463
7;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.context.DubboBootstrapApplicationListener#onApplicationEvent(ApplicationEvent);onApplicationEvent(ApplicationEvent);dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/context/DubboBootstrapApplicationListener.java:2922:3709:2992:3708;event;71;False;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.context.DubboBootstrapApplicationListener#initDubboConfigBeans();initDubboConfigBeans();dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/context/DubboBootstrapApplicationListener.java:3408:3752:3445:3751;;83;False;MethodDeclaration;EXTRACT;5d60b34d085fbd56bafc09d295f4ee289b8c2554;5d60b34d0;-;-;Tue Aug 3 21:57:24 2021 +0800;1627999044;-;-;Tue Aug 3 21:57:24 2021 +0800;1627999044
8;compiler.src.main.org.apache.dubbo.gen.AbstractGenerator#buildFile(ServiceContext);buildFile(ServiceContext);compiler/src/main/java/org/apache/dubbo/gen/AbstractGenerator.java:8242:8635:8325:8634;context;183;False;compiler.src.main.org.apache.dubbo.gen.AbstractGenerator#getInterfaceTemplateFileName();getInterfaceTemplateFileName();compiler/src/main/java/org/apache/dubbo/gen/AbstractGenerator.java:2088:2223:2138:2222;;55;False;MethodDeclaration;EXTRACT;3f2b770828853d4d5867b345a530472f100dd6bf;3f2b77082;-;-;Fri Jul 23 17:47:09 2021 +0800;1627033629;-;-;Fri Jul 23 17:47:09 2021 +0800;1627033629
9;compiler.src.main.org.apache.dubbo.gen.AbstractGenerator#buildFile(ServiceContext);buildFile(ServiceContext);compiler/src/main/java/org/apache/dubbo/gen/AbstractGenerator.java:8242:8635:8325:8634;context;183;False;compiler.src.main.org.apache.dubbo.gen.AbstractGenerator#getTemplateFileName();getTemplateFileName();compiler/src/main/java/org/apache/dubbo/gen/AbstractGenerator.java:1965:2082:2006:2081;;51;False;MethodDeclaration;EXTRACT;3f2b770828853d4d5867b345a530472f100dd6bf;3f2b77082;-;-;Fri Jul 23 17:47:09 2021 +0800;1627033629;-;-;Fri Jul 23 17:47:09 2021 +0800;1627033629
10;dubbo-common.src.main.org.apache.dubbo.config.AbstractConfig#refresh();refresh();dubbo-common/src/main/java/org/apache/dubbo/config/AbstractConfig.java:20120:24651:20197:24650;;482;False;dubbo-common.src.main.org.apache.dubbo.config.AbstractConfig#invokeSetParameters(Map);invokeSetParameters(Map);dubbo-common/src/main/java/org/apache/dubbo/config/AbstractConfig.java:24816:25168:24878:25167;values;572;False;MethodDeclaration;EXTRACT;cb10c9e568638a04d8cff8f0190525ff85fcda3a;cb10c9e56;-;-;Tue Jul 20 11:22:03 2021 +0800;1626751323;-;-;Tue Jul 20 11:22:03 2021 +0800;1626751323
11;dubbo-cluster.src.main.org.apache.dubbo.rpc.cluster.router.tag.TagRouter#notify(List);notify(List);dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/tag/TagRouter.java:10260:11548:10325:11547;invokers;231;False;dubbo-cluster.src.main.org.apache.dubbo.rpc.cluster.router.AbstractRouter#getRuleRepository();getRuleRepository();dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/AbstractRouter.java:2022:2116:2074:2115;;71;False;MethodDeclaration;EXTRACT_MOVE;aef74db40405e685f5f5b8a52e3c643f3cdd8158;aef74db40;-;-;Thu Jul 8 09:07:52 2021 -0500;1625753272;-;-;Thu Jul 8 22:07:52 2021 +0800;1625753272
12;dubbo-cluster.src.main.org.apache.dubbo.rpc.cluster.router.condition.config.ListenableRouter#init(String);init(String);dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/condition/config/ListenableRouter.java:4665:5146:4713:5145;ruleKey;116;False;dubbo-cluster.src.main.org.apache.dubbo.rpc.cluster.router.AbstractRouter#getRuleRepository();getRuleRepository();dubbo-cluster/src/main/java/org/apache/dubbo/rpc/cluster/router/AbstractRouter.java:2022:2116:2074:2115;;71;False;MethodDeclaration;EXTRACT_MOVE;aef74db40405e685f5f5b8a52e3c643f3cdd8158;aef74db40;-;-;Thu Jul 8 09:07:52 2021 -0500;1625753272;-;-;Thu Jul 8 22:07:52 2021 +0800;1625753272
13;dubbo-config.dubbo-config-api.src.main.org.apache.dubbo.config.utils.ConfigValidationUtils#checkMultiExtension(Class,String,String);checkMultiExtension(Class,String,String);dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/utils/ConfigValidationUtils.java:27990:29005:28362:29004;type,property,value;595;False;dubbo-config.dubbo-config-api.src.main.org.apache.dubbo.config.utils.ConfigValidationUtils#checkMultiExtension(List,String,String);checkMultiExtension(List,String,String);dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/utils/ConfigValidationUtils.java:28501:29510:28594:29509;types,property,value;610;False;MethodDeclaration;EXTRACT;a39fffebe56291ce154c3011faf572e1678d6841;a39fffebe;-;-;Wed Jun 23 19:53:34 2021 +0800;1624449214;-;-;Wed Jun 23 19:53:34 2021 +0800;1624449214
14;dubbo-registry.dubbo-registry-nacos.src.main.org.apache.dubbo.registry.nacos.NacosRegistry#getAllServiceNames();getAllServiceNames();dubbo-registry/dubbo-registry-nacos/src/main/java/org/apache/dubbo/registry/nacos/NacosRegistry.java:14483:15691:14525:15690;;370;False;dubbo-registry.dubbo-registry-nacos.src.main.org.apache.dubbo.registry.nacos.NacosNamingServiceWrapper#getServicesOfServer(int,int,String);getServicesOfServer(int,int,String);dubbo-registry/dubbo-registry-nacos/src/main/java/org/apache/dubbo/registry/nacos/NacosNamingServiceWrapper.java:2781:2977:2892:2976;pageNo,pageSize,parameter;69;False;MethodDeclaration;EXTRACT_MOVE;724ec8b5547467b80c025cf04b3a52408a64ba49;724ec8b55;-;-;Thu Jun 10 17:18:49 2021 +0800;1623316729;-;-;Thu Jun 10 17:18:49 2021 +0800;1623316729
15;dubbo-registry.dubbo-registry-nacos.src.main.org.apache.dubbo.registry.nacos.NacosRegistry#isAvailable();isAvailable();dubbo-registry/dubbo-registry-nacos/src/main/java/org/apache/dubbo/registry/nacos/NacosRegistry.java:5469:5580:5513:5579;;135;False;dubbo-registry.dubbo-registry-nacos.src.main.org.apache.dubbo.registry.nacos.NacosNamingServiceWrapper#getServerStatus();getServerStatus();dubbo-registry/dubbo-registry-nacos/src/main/java/org/apache/dubbo/registry/nacos/NacosNamingServiceWrapper.java:1474:1561:1507:1560;;40;False;MethodDeclaration;EXTRACT_MOVE;724ec8b5547467b80c025cf04b3a52408a64ba49;724ec8b55;-;-;Thu Jun 10 17:18:49 2021 +0800;1623316729;-;-;Thu Jun 10 17:18:49 2021 +0800;1623316729
16;dubbo-registry.dubbo-registry-nacos.src.main.org.apache.dubbo.registry.nacos.NacosRegistry#filterServiceNames(NacosServiceName);filterServiceNames(NacosServiceName);dubbo-registry/dubbo-registry-nacos/src/main/java/org/apache/dubbo/registry/nacos/NacosRegistry.java:11552:12166:11622:12165;serviceName;292;False;dubbo-registry.dubbo-registry-nacos.src.main.org.apache.dubbo.registry.nacos.NacosNamingServiceWrapper#getServicesOfServer(int,int,String);getServicesOfServer(int,int,String);dubbo-registry/dubbo-registry-nacos/src/main/java/org/apache/dubbo/registry/nacos/NacosNamingServiceWrapper.java:2781:2977:2892:2976;pageNo,pageSize,parameter;69;False;MethodDeclaration;EXTRACT_MOVE;724ec8b5547467b80c025cf04b3a52408a64ba49;724ec8b55;-;-;Thu Jun 10 17:18:49 2021 +0800;1623316729;-;-;Thu Jun 10 17:18:49 2021 +0800;1623316729
17;dubbo-common.src.main.org.apache.dubbo.common.utils.ConfigUtils#replaceProperty(String,Map);replaceProperty(String,Map);dubbo-common/src/main/java/org/apache/dubbo/common/utils/ConfigUtils.java:4877:5688:4962:5687;expression,params;130;False;dubbo-common.src.main.org.apache.dubbo.common.utils.ConfigUtils#replaceProperty(String,Configuration);replaceProperty(String,Configuration);dubbo-common/src/main/java/org/apache/dubbo/common/utils/ConfigUtils.java:5173:6152:5259:6151;expression,configuration;136;False;MethodDeclaration;EXTRACT;d0454fdbef0b7724cf5747a276f292eb14c8ab05;d0454fdbe;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894
18;dubbo-common.src.main.org.apache.dubbo.common.utils.ConfigUtils#getProperty(String,String);getProperty(String,String);dubbo-common/src/main/java/org/apache/dubbo/common/utils/ConfigUtils.java:6843:7250:6960:7249;key,defaultValue;183;False;dubbo-common.src.main.org.apache.dubbo.common.utils.ConfigUtils#getProperty(Properties,String,String);getProperty(Properties,String,String);dubbo-common/src/main/java/org/apache/dubbo/common/utils/ConfigUtils.java:8161:8352:8251:8351;properties,key,defaultValue;214;False;MethodDeclaration;EXTRACT;d0454fdbef0b7724cf5747a276f292eb14c8ab05;d0454fdbe;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894
19;dubbo-remoting.dubbo-remoting-netty4.src.main.org.apache.dubbo.remoting.transport.netty4.SslContexts#buildClientSslContext(URL);buildClientSslContext(URL);dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/SslContexts.java:3130:4690:3187:4689;url;70;False;dubbo-remoting.dubbo-remoting-netty4.src.main.org.apache.dubbo.remoting.transport.netty4.SslContexts#getSslConfig();getSslConfig();dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/SslContexts.java:4254:4461:4295:4460;;97;False;MethodDeclaration;EXTRACT;d0454fdbef0b7724cf5747a276f292eb14c8ab05;d0454fdbe;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894
20;dubbo-remoting.dubbo-remoting-netty4.src.main.org.apache.dubbo.remoting.transport.netty4.SslContexts#buildServerSslContext(URL);buildServerSslContext(URL);dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/SslContexts.java:1589:3124:1646:3123;url;41;False;dubbo-remoting.dubbo-remoting-netty4.src.main.org.apache.dubbo.remoting.transport.netty4.SslContexts#getSslConfig();getSslConfig();dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/SslContexts.java:4254:4461:4295:4460;;97;False;MethodDeclaration;EXTRACT;d0454fdbef0b7724cf5747a276f292eb14c8ab05;d0454fdbe;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894
