id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;dubbo-registry.dubbo-registry-nacos.src.main.org.apache.dubbo.registry.nacos.NacosServiceDiscovery#destroy();destroy();dubbo-registry/dubbo-registry-nacos/src/main/java/org/apache/dubbo/registry/nacos/NacosServiceDiscovery.java:2679:2757:2716:2756;;68;False;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.AbstractServiceDiscovery#destroy();destroy();dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/AbstractServiceDiscovery.java:2894:3007:2954:3006;;78;False;MethodDeclaration;PULL_UP;724ec8b5547467b80c025cf04b3a52408a64ba49;724ec8b55;-;-;Thu Jun 10 17:18:49 2021 +0800;1623316729;-;-;Thu Jun 10 17:18:49 2021 +0800;1623316729
1;dubbo-common.src.main.org.apache.dubbo.config.ServiceConfigBase#checkDefault();checkDefault();dubbo-common/src/main/java/org/apache/dubbo/config/ServiceConfigBase.java:6413:6670:6470:6669;;193;False;dubbo-common.src.main.org.apache.dubbo.config.AbstractServiceConfig#checkDefault();checkDefault();dubbo-common/src/main/java/org/apache/dubbo/config/AbstractServiceConfig.java:3087:3313:3132:3312;;120;False;MethodDeclaration;PULL_UP;d0454fdbef0b7724cf5747a276f292eb14c8ab05;d0454fdbe;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894
2;dubbo-common.src.main.org.apache.dubbo.config.ReferenceConfigBase#checkDefault();checkDefault();dubbo-common/src/main/java/org/apache/dubbo/config/ReferenceConfigBase.java:3283:3540:3340:3539;;107;False;dubbo-common.src.main.org.apache.dubbo.config.AbstractReferenceConfig#checkDefault();checkDefault();dubbo-common/src/main/java/org/apache/dubbo/config/AbstractReferenceConfig.java:2422:2571:2467:2570;;83;False;MethodDeclaration;PULL_UP;d0454fdbef0b7724cf5747a276f292eb14c8ab05;d0454fdbe;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894;-;-;Tue Jun 8 16:44:54 2021 +0800;1623141894
3;dubbo-common.src.main.org.apache.dubbo.config.ModuleConfig#setDefault(Boolean);setDefault(Boolean);dubbo-common/src/main/java/org/apache/dubbo/config/ModuleConfig.java:3484:3569:3527:3568;isDefault;149;False;dubbo-common.src.main.org.apache.dubbo.config.AbstractConfig#setDefault(Boolean);setDefault(Boolean);dubbo-common/src/main/java/org/apache/dubbo/config/AbstractConfig.java:26376:26461:26419:26460;isDefault;643;False;MethodDeclaration;PULL_UP;8bc9257f4e09b2937e21842b90984dfcaefe97b6;8bc9257f4;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075
4;dubbo-common.src.main.org.apache.dubbo.config.AbstractReferenceConfig#getGroup();getGroup();dubbo-common/src/main/java/org/apache/dubbo/config/AbstractReferenceConfig.java:5602:5656:5628:5655;;223;False;dubbo-common.src.main.org.apache.dubbo.config.AbstractInterfaceConfig#getGroup();getGroup();dubbo-common/src/main/java/org/apache/dubbo/config/AbstractInterfaceConfig.java:23901:23955:23927:23954;;739;False;MethodDeclaration;PULL_UP;8bc9257f4e09b2937e21842b90984dfcaefe97b6;8bc9257f4;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075
5;dubbo-common.src.main.org.apache.dubbo.config.ApplicationConfig#setDefault(Boolean);setDefault(Boolean);dubbo-common/src/main/java/org/apache/dubbo/config/ApplicationConfig.java:8705:8790:8748:8789;isDefault;327;False;dubbo-common.src.main.org.apache.dubbo.config.AbstractConfig#setDefault(Boolean);setDefault(Boolean);dubbo-common/src/main/java/org/apache/dubbo/config/AbstractConfig.java:26376:26461:26419:26460;isDefault;643;False;MethodDeclaration;PULL_UP;8bc9257f4e09b2937e21842b90984dfcaefe97b6;8bc9257f4;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075
6;dubbo-common.src.main.org.apache.dubbo.config.ModuleConfig#isDefault();isDefault();dubbo-common/src/main/java/org/apache/dubbo/config/ModuleConfig.java:3418:3478:3446:3477;;145;False;dubbo-common.src.main.org.apache.dubbo.config.AbstractConfig#isDefault();isDefault();dubbo-common/src/main/java/org/apache/dubbo/config/AbstractConfig.java:26310:26370:26338:26369;;639;False;MethodDeclaration;PULL_UP;8bc9257f4e09b2937e21842b90984dfcaefe97b6;8bc9257f4;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075
7;dubbo-common.src.main.org.apache.dubbo.config.MonitorConfig#isDefault();isDefault();dubbo-common/src/main/java/org/apache/dubbo/config/MonitorConfig.java:3215:3275:3243:3274;;138;False;dubbo-common.src.main.org.apache.dubbo.config.AbstractConfig#isDefault();isDefault();dubbo-common/src/main/java/org/apache/dubbo/config/AbstractConfig.java:26310:26370:26338:26369;;639;False;MethodDeclaration;PULL_UP;8bc9257f4e09b2937e21842b90984dfcaefe97b6;8bc9257f4;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075
8;dubbo-common.src.main.org.apache.dubbo.config.AbstractReferenceConfig#setVersion(String);setVersion(String);dubbo-common/src/main/java/org/apache/dubbo/config/AbstractReferenceConfig.java:5518:5596:5558:5595;version;219;False;dubbo-common.src.main.org.apache.dubbo.config.AbstractInterfaceConfig#setVersion(String);setVersion(String);dubbo-common/src/main/java/org/apache/dubbo/config/AbstractInterfaceConfig.java:23817:23895:23857:23894;version;735;False;MethodDeclaration;PULL_UP;8bc9257f4e09b2937e21842b90984dfcaefe97b6;8bc9257f4;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075
9;dubbo-common.src.main.org.apache.dubbo.config.ProtocolConfig#isDefault();isDefault();dubbo-common/src/main/java/org/apache/dubbo/config/ProtocolConfig.java:9472:9532:9500:9531;;485;False;dubbo-common.src.main.org.apache.dubbo.config.AbstractConfig#isDefault();isDefault();dubbo-common/src/main/java/org/apache/dubbo/config/AbstractConfig.java:26310:26370:26338:26369;;639;False;MethodDeclaration;PULL_UP;8bc9257f4e09b2937e21842b90984dfcaefe97b6;8bc9257f4;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075;-;-;Tue Jun 1 14:14:35 2021 +0800;1622528075
