id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;dubbo-common.src.main.org.apache.dubbo.common.URL#valueOf(String,boolean,boolean);valueOf(String,boolean,boolean);dubbo-common/src/main/java/org/apache/dubbo/common/URL.java:9485:9728:9561:9727;url,encoded,modifiable;234;False;dubbo-common.src.main.org.apache.dubbo.common.URL#valueOf(String,boolean);valueOf(String,boolean);dubbo-common/src/main/java/org/apache/dubbo/common/URL.java:9095:9571:9428:9570;url,encoded;221;False;MethodDeclaration;INLINE;b680b533485bede110e0e7d1afd57a1f9a354f12;b680b5334;-;-;Fri Aug 6 12:47:29 2021 +0800;1628225249;-;-;Fri Aug 6 12:47:29 2021 +0800;1628225249
1;dubbo-common.src.main.org.apache.dubbo.common.URLStrParser#parseDecodedStr(String,boolean);parseDecodedStr(String,boolean);dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java:2137:2932:2492:2931;decodedURLStr,modifiable;51;False;dubbo-common.src.main.org.apache.dubbo.common.URLStrParser#parseDecodedStr(String);parseDecodedStr(String);dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java:1830:2593:2165:2592;decodedURLStr;45;False;MethodDeclaration;INLINE;b680b533485bede110e0e7d1afd57a1f9a354f12;b680b5334;-;-;Fri Aug 6 12:47:29 2021 +0800;1628225249;-;-;Fri Aug 6 12:47:29 2021 +0800;1628225249
2;dubbo-common.src.main.org.apache.dubbo.common.URLStrParser#parseEncodedStr(String,boolean);parseEncodedStr(String,boolean);dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java:8403:9360:8779:9359;encodedURLStr,modifiable;216;False;dubbo-common.src.main.org.apache.dubbo.common.URLStrParser#parseEncodedStr(String);parseEncodedStr(String);dubbo-common/src/main/java/org/apache/dubbo/common/URLStrParser.java:7921:8846:8277:8845;encodedURLStr;206;False;MethodDeclaration;INLINE;b680b533485bede110e0e7d1afd57a1f9a354f12;b680b5334;-;-;Fri Aug 6 12:47:29 2021 +0800;1628225249;-;-;Fri Aug 6 12:47:29 2021 +0800;1628225249
3;dubbo-remoting.dubbo-remoting-netty4.src.main.org.apache.dubbo.remoting.transport.netty4.SslHandlerInitializer#sslClientHandler(URL,NettyClientHandler);sslClientHandler(URL,NettyClientHandler);dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/SslHandlerInitializer.java:1722:1885:1819:1884;url,clientHandler;45;False;dubbo-remoting.dubbo-remoting-netty4.src.main.org.apache.dubbo.remoting.transport.netty4.NettyClient#doOpen();doOpen();dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/NettyClient.java:3606:5797:3732:5796;;87;False;MethodDeclaration;INLINE;155e35ec147948167d60bea17c3061fca0cde504;155e35ec1;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111
4;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.util.DubboAnnotationUtils#resolveServiceInterfaceClass(Map,Class);resolveServiceInterfaceClass(Map,Class);dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/util/DubboAnnotationUtils.java:3359:5344:3900:5343;attributes,defaultInterfaceClass;82;False;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.util.DubboAnnotationUtils#resolveInterfaceName(Map,Class);resolveInterfaceName(Map,Class);dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/util/DubboAnnotationUtils.java:2319:4841:2896:4840;attributes,defaultInterfaceClass;62;False;MethodDeclaration;INLINE;05dbea9329d1fdca61dc557b87de9c8d352b8c9b;05dbea932;-;-;Wed Jun 30 11:19:11 2021 +0800;1625023151;-;-;Wed Jun 30 11:19:11 2021 +0800;1625023151
5;dubbo-common.src.main.org.apache.dubbo.config.context.ConfigManager#checkDuplicate(AbstractConfig,AbstractConfig);checkDuplicate(AbstractConfig,AbstractConfig);dubbo-common/src/main/java/org/apache/dubbo/config/context/ConfigManager.java:19357:19849:19468:19848;oldOne,newOne;570;False;dubbo-common.src.main.org.apache.dubbo.config.context.ConfigManager#addIfAbsent(C,Map,boolean);addIfAbsent(C,Map,boolean);dubbo-common/src/main/java/org/apache/dubbo/config/context/ConfigManager.java:21003:24235:21356:24234;config,configsMap,unique;616;False;MethodDeclaration;INLINE;9da98572a0190a32ca3b53591a58539127c9265e;9da98572a;-;-;Mon Jun 28 14:21:25 2021 +0800;1624861285;-;-;Mon Jun 28 14:21:25 2021 +0800;1624861285
6;dubbo-metadata.dubbo-metadata-api.src.main.org.apache.dubbo.metadata.report.MetadataReport#registerServiceAppMapping(String,String,URL);registerServiceAppMapping(String,String,URL);dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/report/MetadataReport.java:2184:2294:2272:2293;serviceKey,application,url;58;False;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.metadata.MetadataServiceNameMapping#map(URL);map(URL);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/metadata/MetadataServiceNameMapping.java:2105:3414:2145:3413;url;48;False;MethodDeclaration;INLINE;724ec8b5547467b80c025cf04b3a52408a64ba49;724ec8b55;-;-;Thu Jun 10 17:18:49 2021 +0800;1623316729;-;-;Thu Jun 10 17:18:49 2021 +0800;1623316729
7;dubbo-rpc.dubbo-rpc-triple.src.main.org.apache.dubbo.rpc.protocol.tri.AbstractStream#onHeaders(Http2Headers);onHeaders(Http2Headers);dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/AbstractStream.java:3782:3979:3827:3978;headers;121;False;dubbo-rpc.dubbo-rpc-triple.src.main.org.apache.dubbo.rpc.protocol.tri.TripleHttp2FrameServerHandler#onHeadersRead(ChannelHandlerContext,Http2HeadersFrame);onHeadersRead(ChannelHandlerContext,Http2HeadersFrame);dubbo-rpc/dubbo-rpc-triple/src/main/java/org/apache/dubbo/rpc/protocol/tri/TripleHttp2FrameServerHandler.java:4671:9650:4765:9649;ctx,msg;107;False;MethodDeclaration;INLINE;78ffad2cdb1611896148139df8e98584dcc98a3a;78ffad2cd;-;-;Fri Apr 23 17:24:17 2021 +0800;1619169857;-;-;Fri Apr 23 17:24:17 2021 +0800;1619169857
8;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.event.listener.ServiceInstancesChangedListener#getAddresses(String);getAddresses(String);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListener.java:15330:15461:15391:15460;serviceProtocolKey;349;False;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.event.listener.ServiceInstancesChangedListener#notifyAddressChanged();notifyAddressChanged();dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListener.java:15093:15432:15130:15431;;338;False;MethodDeclaration;INLINE;552112ed0157a0360f1499e7b04152047b350472;552112ed0;-;-;Tue Mar 16 23:18:43 2021 +0800;1615907923;-;-;Wed Mar 24 15:24:36 2021 +0800;1616570676
9;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.ServiceDiscovery#createListener(Set);createListener(Set);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/ServiceDiscovery.java:10015:10175:10097:10174;serviceNames;230;False;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.ServiceDiscoveryRegistry#subscribeURLs(URL,NotifyListener,Set);subscribeURLs(URL,NotifyListener,Set);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistry.java:11642:12973:11732:12972;url,listener,serviceNames;288;False;MethodDeclaration;INLINE;552112ed0157a0360f1499e7b04152047b350472;552112ed0;-;-;Tue Mar 16 23:18:43 2021 +0800;1615907923;-;-;Wed Mar 24 15:24:36 2021 +0800;1616570676
10;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.event.listener.ServiceInstancesChangedListener#getAddresses(String);getAddresses(String);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListener.java:15330:15461:15391:15460;serviceProtocolKey;349;False;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.event.listener.ServiceInstancesChangedListener#addListenerAndNotify(String,NotifyListener);addListenerAndNotify(String,NotifyListener);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListener.java:8488:8787:8579:8786;serviceKey,listener;184;False;MethodDeclaration;INLINE;552112ed0157a0360f1499e7b04152047b350472;552112ed0;-;-;Tue Mar 16 23:18:43 2021 +0800;1615907923;-;-;Wed Mar 24 15:24:36 2021 +0800;1616570676
11;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.event.listener.ServiceInstancesChangedListener#getServiceUrlsCache(Map,Set,String);getServiceUrlsCache(Map,Set,String);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListener.java:14437:15324:14571:15323;revisionToInstances,revisions,protocol;330;False;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.event.listener.ServiceInstancesChangedListener#onEvent(ServiceInstancesChangedEvent);onEvent(ServiceInstancesChangedEvent);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListener.java:4410:8482:4642:8481;event;99;False;MethodDeclaration;INLINE;552112ed0157a0360f1499e7b04152047b350472;552112ed0;-;-;Tue Mar 16 23:18:43 2021 +0800;1615907923;-;-;Wed Mar 24 15:24:36 2021 +0800;1616570676
12;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.event.listener.ServiceInstancesChangedListener#getAddresses(String);getAddresses(String);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListener.java:15330:15461:15391:15460;serviceProtocolKey;349;False;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.event.listener.ServiceInstancesChangedListener#getUrls(String);getUrls(String);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/event/listener/ServiceInstancesChangedListener.java:9009:9121:9054:9120;serviceKey;199;False;MethodDeclaration;INLINE;552112ed0157a0360f1499e7b04152047b350472;552112ed0;-;-;Tue Mar 16 23:18:43 2021 +0800;1615907923;-;-;Wed Mar 24 15:24:36 2021 +0800;1616570676
13;dubbo-config.dubbo-config-api.src.main.org.apache.dubbo.config.bootstrap.DubboBootstrap#init();init();dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/bootstrap/DubboBootstrap.java:19510:19574:19546:19573;;514;False;dubbo-config.dubbo-config-api.src.main.org.apache.dubbo.config.ReferenceConfig#init();init();dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/ReferenceConfig.java:9374:13431:9407:13430;;229;False;MethodDeclaration;INLINE;924ee551fb2f8d14fe56d210adba1f8e4a72b106;924ee551f;-;-;Fri Nov 6 14:30:11 2020 +0800;1604644211;-;-;Fri Nov 6 14:30:11 2020 +0800;1604644211
14;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.ServiceDiscoveryRegistry#subscribeURLs(URL,NotifyListener);subscribeURLs(URL,NotifyListener);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistry.java:10990:11469:11054:11468;url,listener;270;False;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.ServiceDiscoveryRegistry#doSubscribe(URL,NotifyListener);doSubscribe(URL,NotifyListener);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistry.java:11120:11567:11179:11566;url,listener;256;False;MethodDeclaration;INLINE;c572c2cd2e5dd2d11a81825f50d22a1363eee1fb;c572c2cd2;-;-;Fri Jul 3 12:24:00 2020 +0800;1593750240;-;-;Tue Aug 4 14:47:50 2020 +0800;1596523670
