id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;dubbo-common.src.main.org.apache.dubbo.config.AbstractConfig#getMethodByName(Class,String);getMethodByName(Class,String);dubbo-common/src/main/java/org/apache/dubbo/config/AbstractConfig.java:10874:11133:10948:11132;clazz,methodName;256;False;dubbo-common.src.main.org.apache.dubbo.config.MethodConfig#getMethodByName(Class,String);getMethodByName(Class,String);dubbo-common/src/main/java/org/apache/dubbo/config/MethodConfig.java:10448:10718:10533:10717;clazz,methodName;299;False;MethodDeclaration;MOVE;a9d3c4a77fde41c3c90217f836574cc3cd990e8a;a9d3c4a77;-;-;Sun Aug 15 22:23:03 2021 +0800;1629037383;-;-;Sun Aug 15 22:23:03 2021 +0800;1629037383
1;dubbo-common.src.main.org.apache.dubbo.config.AbstractConfig#convertMethodConfig2AsyncInfo(MethodConfig);convertMethodConfig2AsyncInfo(MethodConfig);dubbo-common/src/main/java/org/apache/dubbo/config/AbstractConfig.java:9032:10868:9123:10867;methodConfig;218;False;dubbo-common.src.main.org.apache.dubbo.config.MethodConfig#convertMethodConfig2AsyncInfo();convertMethodConfig2AsyncInfo();dubbo-common/src/main/java/org/apache/dubbo/config/MethodConfig.java:9027:10442:9083:10441;;264;False;MethodDeclaration;MOVE;a9d3c4a77fde41c3c90217f836574cc3cd990e8a;a9d3c4a77;-;-;Sun Aug 15 22:23:03 2021 +0800;1629037383;-;-;Sun Aug 15 22:23:03 2021 +0800;1629037383
2;dubbo-remoting.dubbo-remoting-api.src.main.org.apache.dubbo.remoting.api.PortUnificationServerHandler#isSsl(ByteBuf);isSsl(ByteBuf);dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/PortUnificationServerHandler.java:3652:3799:3688:3798;buf;102;False;dubbo-remoting.dubbo-remoting-api.src.main.org.apache.dubbo.remoting.api.SslServerTlsHandler#isSsl(ByteBuf);isSsl(ByteBuf);dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/SslServerTlsHandler.java:3409:3556:3445:3555;buf;92;False;MethodDeclaration;MOVE;155e35ec147948167d60bea17c3061fca0cde504;155e35ec1;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111
3;dubbo-remoting.dubbo-remoting-api.src.main.org.apache.dubbo.remoting.api.PortUnificationServerHandler#enableSsl(ChannelHandlerContext);enableSsl(ChannelHandlerContext);dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/PortUnificationServerHandler.java:3805:4083:3856:4082;ctx;109;False;dubbo-remoting.dubbo-remoting-api.src.main.org.apache.dubbo.remoting.api.SslServerTlsHandler#enableSsl(ChannelHandlerContext);enableSsl(ChannelHandlerContext);dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/SslServerTlsHandler.java:3562:3853:3613:3852;ctx;99;False;MethodDeclaration;MOVE;155e35ec147948167d60bea17c3061fca0cde504;155e35ec1;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111
4;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.legacy.CurrentTelnetHandler#telnet(Channel,String);telnet(Channel,String);dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/legacy/CurrentTelnetHandler.java:1267:1771:1336:1770;channel,message;31;False;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.command.impl.PwdTelnet#execute(CommandContext,String[]);execute(CommandContext,String[]);dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/command/impl/PwdTelnet.java:1166:1694:1249:1693;commandContext,args;29;False;MethodDeclaration;MOVE_RENAME;a2711f9e2e2becc91ffc2b375c3b749dc0d24a38;a2711f9e2;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442
5;dubbo-common.src.main.org.apache.dubbo.common.config.configcenter.DynamicConfiguration#getDynamicConfiguration(URL);getDynamicConfiguration(URL);dubbo-common/src/main/java/org/apache/dubbo/common/config/configcenter/DynamicConfiguration.java:8922:9397:9185:9396;connectionURL;238;False;dubbo-config.dubbo-config-api.src.main.org.apache.dubbo.config.bootstrap.DubboBootstrap#getDynamicConfiguration(URL);getDynamicConfiguration(URL);dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/bootstrap/DubboBootstrap.java:48192:48702:48490:48701;connectionURL;1265;False;MethodDeclaration;MOVE;192cee21e785ef388e33ed78cbefb9c666b7ac9e;192cee21e;-;-;Fri Jul 16 10:17:45 2021 +0800;1626401865;-;-;Fri Jul 16 10:17:45 2021 +0800;1626401865
6;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.context.DubboConfigInitializationPostProcessor#setApplicationContext(ApplicationContext);setApplicationContext(ApplicationContext);dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/context/DubboConfigInitializationPostProcessor.java:5628:5798:5738:5797;applicationContext;127;False;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.context.DubboBootstrapApplicationListener#setApplicationContext(ApplicationContext);setApplicationContext(ApplicationContext);dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/context/DubboBootstrapApplicationListener.java:5384:5554:5494:5553;applicationContext;131;False;MethodDeclaration;MOVE;e3213249cec4a464e5ee47218514fbb2ada828d4;e3213249c;-;-;Sat Jul 10 12:14:33 2021 +0800;1625890473;-;-;Sat Jul 10 12:14:33 2021 +0800;1625890473
7;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.context.DubboConfigInitializationPostProcessor#setBeanFactory(BeanFactory);setBeanFactory(BeanFactory);dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/context/DubboConfigInitializationPostProcessor.java:3692:3973:3781:3972;beanFactory;86;False;dubbo-config.dubbo-config-spring.src.main.org.apache.dubbo.config.spring.context.DubboConfigBeanInitializer#setBeanFactory(BeanFactory);setBeanFactory(BeanFactory);dubbo-config/dubbo-config-spring/src/main/java/org/apache/dubbo/config/spring/context/DubboConfigBeanInitializer.java:2612:2781:2701:2780;beanFactory;60;False;MethodDeclaration;MOVE;e3213249cec4a464e5ee47218514fbb2ada828d4;e3213249c;-;-;Sat Jul 10 12:14:33 2021 +0800;1625890473;-;-;Sat Jul 10 12:14:33 2021 +0800;1625890473
8;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.ServiceDiscoveryRegistry#parseServices(String);parseServices(String);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistry.java:20110:20443:20175:20442;literalServices;473;False;dubbo-metadata.dubbo-metadata-api.src.main.org.apache.dubbo.metadata.AbstractServiceNameMapping#parseServices(String);parseServices(String);dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/AbstractServiceNameMapping.java:4757:5055:4815:5054;literalServices;102;False;MethodDeclaration;MOVE;2bca144bfb4312f3e414c5551c233c4f93645fe6;2bca144bf;-;-;Fri Jun 18 17:15:27 2021 +0800;1624007727;-;-;Fri Jun 18 17:15:27 2021 +0800;1624007727
9;dubbo-registry.dubbo-registry-api.src.main.org.apache.dubbo.registry.client.ServiceDiscoveryRegistry#getServices(URL,URL,NotifyListener);getServices(URL,URL,NotifyListener);dubbo-registry/dubbo-registry-api/src/main/java/org/apache/dubbo/registry/client/ServiceDiscoveryRegistry.java:18146:19742:18485:19741;registryURL,subscribedURL,listener;436;False;dubbo-metadata.dubbo-metadata-api.src.main.org.apache.dubbo.metadata.AbstractServiceNameMapping#getAndListenServices(URL,URL,MappingListener);getAndListenServices(URL,URL,MappingListener);dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/AbstractServiceNameMapping.java:3314:4751:3431:4750;registryURL,subscribedURL,listener;76;False;MethodDeclaration;MOVE_RENAME;2bca144bfb4312f3e414c5551c233c4f93645fe6;2bca144bf;-;-;Fri Jun 18 17:15:27 2021 +0800;1624007727;-;-;Fri Jun 18 17:15:27 2021 +0800;1624007727
