id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;dubbo-remoting.dubbo-remoting-netty4.src.main.org.apache.dubbo.remoting.transport.netty4.SslHandlerInitializer;SslClientTlsHandler;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/SslHandlerInitializer.java:3778:5338:3778:5338;;91;False;dubbo-remoting.dubbo-remoting-api.src.main.org.apache.dubbo.remoting.api.SslClientTlsHandler;SslClientTlsHandler;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/SslClientTlsHandler.java:1283:2687:1283:2687;;32;False;ClassDeclaration;MOVE;155e35ec147948167d60bea17c3061fca0cde504;155e35ec1;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111
1;dubbo-remoting.dubbo-remoting-netty4.src.main.org.apache.dubbo.remoting.transport.netty4.SslContexts;SslContexts;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/SslContexts.java:1417:5320:1417:5320;;36;False;dubbo-remoting.dubbo-remoting-api.src.main.org.apache.dubbo.remoting.api.SslContexts;SslContexts;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/SslContexts.java:1458:5734:1458:5734;;37;False;ClassDeclaration;MOVE;155e35ec147948167d60bea17c3061fca0cde504;155e35ec1;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111
2;dubbo-remoting.dubbo-remoting-netty4.src.main.org.apache.dubbo.remoting.transport.netty4.SslHandlerInitializer;SslServerTlsHandler;dubbo-remoting/dubbo-remoting-netty4/src/main/java/org/apache/dubbo/remoting/transport/netty4/SslHandlerInitializer.java:1891:3772:1891:3772;;49;False;dubbo-remoting.dubbo-remoting-api.src.main.org.apache.dubbo.remoting.api.SslServerTlsHandler;SslServerTlsHandler;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/api/SslServerTlsHandler.java:1344:3856:1344:3856;;33;False;ClassDeclaration;MOVE;155e35ec147948167d60bea17c3061fca0cde504;155e35ec1;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111;-;-;Fri Aug 6 12:45:11 2021 +0800;1628225111
3;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.legacy.CountTelnetHandler;CountTelnetHandler;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/legacy/CountTelnetHandler.java:1499:6756:1499:6756;;36;False;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.command.impl.CountTelnet;CountTelnet;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/command/impl/CountTelnet.java:1701:7675:1701:7675;;42;False;ClassDeclaration;MOVE_RENAME;a2711f9e2e2becc91ffc2b375c3b749dc0d24a38;a2711f9e2;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442
4;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.legacy.PortTelnetHandler;PortTelnetHandler;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/legacy/PortTelnetHandler.java:1342:3844:1342:3844;;31;False;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.command.impl.PortTelnet;PortTelnet;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/command/impl/PortTelnet.java:1299:3706:1299:3706;;30;False;ClassDeclaration;MOVE_RENAME;a2711f9e2e2becc91ffc2b375c3b749dc0d24a38;a2711f9e2;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442
5;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.legacy.InvokeTelnetHandler;InvokeTelnetHandler;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/legacy/InvokeTelnetHandler.java:1649:10725:1649:10725;;42;False;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.command.impl.InvokeTelnet;InvokeTelnet;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/command/impl/InvokeTelnet.java:1674:10784:1674:10784;;43;False;ClassDeclaration;MOVE_RENAME;a2711f9e2e2becc91ffc2b375c3b749dc0d24a38;a2711f9e2;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442
6;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.legacy.SelectTelnetHandler;SelectTelnetHandler;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/legacy/SelectTelnetHandler.java:1204:2774:1204:2774;;29;False;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.command.impl.SelectTelnet;SelectTelnet;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/command/impl/SelectTelnet.java:1230:2789:1230:2789;;31;False;ClassDeclaration;MOVE_RENAME;a2711f9e2e2becc91ffc2b375c3b749dc0d24a38;a2711f9e2;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442
7;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.legacy.ShutdownTelnetHandler;ShutdownTelnetHandler;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/legacy/ShutdownTelnetHandler.java:1195:2695:1195:2695;;27;False;dubbo-plugin.dubbo-qos.src.main.org.apache.dubbo.qos.command.impl.ShutdownTelnet;ShutdownTelnet;dubbo-plugin/dubbo-qos/src/main/java/org/apache/dubbo/qos/command/impl/ShutdownTelnet.java:1100:2447:1100:2447;;25;False;ClassDeclaration;MOVE_RENAME;a2711f9e2e2becc91ffc2b375c3b749dc0d24a38;a2711f9e2;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442;-;-;Mon Jul 19 14:50:42 2021 +0800;1626677442
8;dubbo-remoting.dubbo-remoting-zookeeper.src.main.org.apache.dubbo.remoting.zookeeper.support.AbstractZookeeperTransporter;AbstractZookeeperTransporter;dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/support/AbstractZookeeperTransporter.java:1545:7114:1545:7114;;37;False;dubbo-remoting.dubbo-remoting-api.src.main.org.apache.dubbo.remoting.zookeeper.AbstractZookeeperTransporter;AbstractZookeeperTransporter;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/zookeeper/AbstractZookeeperTransporter.java:1412:7002:1412:7002;;35;False;ClassDeclaration;MOVE;dcdfe5afa4b5c92e6f15327d4c798a5b632d4e69;dcdfe5afa;-;-;Tue Jul 13 22:47:25 2021 +0800;1626187645;-;-;Tue Jul 13 22:47:25 2021 +0800;1626187645
9;dubbo-remoting.dubbo-remoting-zookeeper.src.main.org.apache.dubbo.remoting.zookeeper.support.AbstractZookeeperClient;AbstractZookeeperClient;dubbo-remoting/dubbo-remoting-zookeeper/src/main/java/org/apache/dubbo/remoting/zookeeper/support/AbstractZookeeperClient.java:1567:8898:1567:8898;;36;False;dubbo-remoting.dubbo-remoting-api.src.main.org.apache.dubbo.remoting.zookeeper.AbstractZookeeperClient;AbstractZookeeperClient;dubbo-remoting/dubbo-remoting-api/src/main/java/org/apache/dubbo/remoting/zookeeper/AbstractZookeeperClient.java:1326:8657:1326:8657;;32;False;ClassDeclaration;MOVE;dcdfe5afa4b5c92e6f15327d4c798a5b632d4e69;dcdfe5afa;-;-;Tue Jul 13 22:47:25 2021 +0800;1626187645;-;-;Tue Jul 13 22:47:25 2021 +0800;1626187645
