id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;dubbo-metadata.dubbo-metadata-api.src.main.org.apache.dubbo.metadata.ServiceNameMapping#getAndListen(URL,MappingListener);getAndListen(URL,MappingListener);dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/ServiceNameMapping.java:1650:1856:1856:1856;url,mappingListener;47;False;dubbo-metadata.dubbo-metadata-api.src.main.org.apache.dubbo.metadata.AbstractServiceNameMapping#getAndListen(URL,MappingListener);getAndListen(URL,MappingListener);dubbo-metadata/dubbo-metadata-api/src/main/java/org/apache/dubbo/metadata/AbstractServiceNameMapping.java:1918:2140:2140:2140;url,mappingListener;46;False;MethodDeclaration;PUSH_DOWN;2bca144bfb4312f3e414c5551c233c4f93645fe6;2bca144bf;-;-;Fri Jun 18 17:15:27 2021 +0800;1624007727;-;-;Fri Jun 18 17:15:27 2021 +0800;1624007727
1;dubbo-common.src.main.org.apache.dubbo.config.ServiceConfigBase#exported();exported();dubbo-common/src/main/java/org/apache/dubbo/config/ServiceConfigBase.java:2851:2882:2875:2881;;95;False;dubbo-config.dubbo-config-api.src.main.org.apache.dubbo.config.ServiceConfig#exported();exported();dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/ServiceConfig.java:8506:8653:8530:8652;;211;False;MethodDeclaration;PUSH_DOWN;ee77776296732aa7ee3c2e913210ff077ee9e0d5;ee7777629;-;-;Thu Feb 6 11:19:02 2020 +0800;1580959142;-;-;Thu Feb 6 11:19:02 2020 +0800;1580959142
2;dubbo-common.src.main.org.apache.dubbo.config.service.ServiceConfig#appendParameters();appendParameters();dubbo-common/src/main/java/org/apache/dubbo/config/service/ServiceConfig.java:5658:6060:5690:6059;;168;False;dubbo-config.dubbo-config-api.src.main.org.apache.dubbo.config.ServiceConfig#appendParameters();appendParameters();dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/ServiceConfig.java:30801:31203:30833:31202;;696;False;MethodDeclaration;PUSH_DOWN;b0cf97ebc34d4accfd0b4532c2e5d8088fc003ac;b0cf97ebc;-;-;Fri Nov 8 14:32:53 2019 +0800;1573194773;-;-;Fri Nov 8 18:14:43 2019 +0800;1573208083
3;dubbo-common.src.main.org.apache.dubbo.config.service.ReferenceConfig#appendParameters();appendParameters();dubbo-common/src/main/java/org/apache/dubbo/config/service/ReferenceConfig.java:3428:3829:3460:3828;;110;False;dubbo-config.dubbo-config-api.src.main.org.apache.dubbo.config.ReferenceConfig#appendParameters();appendParameters();dubbo-config/dubbo-config-api/src/main/java/org/apache/dubbo/config/ReferenceConfig.java:20741:21142:20773:21141;;478;False;MethodDeclaration;PUSH_DOWN;b0cf97ebc34d4accfd0b4532c2e5d8088fc003ac;b0cf97ebc;-;-;Fri Nov 8 14:32:53 2019 +0800;1573194773;-;-;Fri Nov 8 18:14:43 2019 +0800;1573208083
4;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AbstractResult#getAttachments();getAttachments();dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AbstractResult.java:1151:1244:1210:1243;;34;False;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AppResponse#getAttachments();getAttachments();dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AppResponse.java:2873:2966:2932:2965;;95;False;MethodDeclaration;PUSH_DOWN;ebafc18c4dd3d8fc0f6bd399a56068af67958091;ebafc18c4;-;-;Thu May 23 10:19:04 2019 +0800;1558577944;-;-;Thu May 23 10:19:04 2019 +0800;1558577944
5;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AbstractResult#getAttachment(String,String);getAttachment(String,String);dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AbstractResult.java:1797:2036:1873:2035;key,defaultValue;60;False;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AppResponse#getAttachment(String,String);getAttachment(String,String);dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AppResponse.java:3666:3916:3742:3915;key,defaultValue;124;False;MethodDeclaration;PUSH_DOWN;ebafc18c4dd3d8fc0f6bd399a56068af67958091;ebafc18c4;-;-;Thu May 23 10:19:04 2019 +0800;1558577944;-;-;Thu May 23 10:19:04 2019 +0800;1558577944
6;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AbstractResult#setAttachments(Map);setAttachments(Map);dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AbstractResult.java:1250:1401:1317:1400;map;39;False;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AppResponse#setAttachments(Map);setAttachments(Map);dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AppResponse.java:2972:3284:3200:3283;map;100;False;MethodDeclaration;PUSH_DOWN;ebafc18c4dd3d8fc0f6bd399a56068af67958091;ebafc18c4;-;-;Thu May 23 10:19:04 2019 +0800;1558577944;-;-;Thu May 23 10:19:04 2019 +0800;1558577944
7;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AbstractResult#getAttachment(String);getAttachment(String);dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AbstractResult.java:1693:1791:1748:1790;key;55;False;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AppResponse#getAttachment(String);getAttachment(String);dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AppResponse.java:3562:3660:3617:3659;key;119;False;MethodDeclaration;PUSH_DOWN;ebafc18c4dd3d8fc0f6bd399a56068af67958091;ebafc18c4;-;-;Thu May 23 10:19:04 2019 +0800;1558577944;-;-;Thu May 23 10:19:04 2019 +0800;1558577944
8;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AbstractResult#addAttachments(Map);addAttachments(Map);dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AbstractResult.java:1407:1687:1474:1686;map;44;False;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AppResponse#addAttachments(Map);addAttachments(Map);dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AppResponse.java:3290:3556:3343:3555;map;109;False;MethodDeclaration;PUSH_DOWN;ebafc18c4dd3d8fc0f6bd399a56068af67958091;ebafc18c4;-;-;Thu May 23 10:19:04 2019 +0800;1558577944;-;-;Thu May 23 10:19:04 2019 +0800;1558577944
9;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AbstractResult#setAttachment(String,String);setAttachment(String,String);dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AbstractResult.java:2042:2152:2109:2151;key,value;69;False;dubbo-rpc.dubbo-rpc-api.src.main.org.apache.dubbo.rpc.AppResponse#setAttachment(String,String);setAttachment(String,String);dubbo-rpc/dubbo-rpc-api/src/main/java/org/apache/dubbo/rpc/AppResponse.java:3922:4018:3975:4017;key,value;133;False;MethodDeclaration;PUSH_DOWN;ebafc18c4dd3d8fc0f6bd399a56068af67958091;ebafc18c4;-;-;Thu May 23 10:19:04 2019 +0800;1558577944;-;-;Thu May 23 10:19:04 2019 +0800;1558577944
