id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;x-pack.plugin.transform.src.main.org.elasticsearch.xpack.transform.transforms.ClientTransformIndexer#doSaveState(IndexerState,TransformIndexerPosition,Runnable);doSaveState(IndexerState,TransformIndexerPosition,Runnable);x-pack/plugin/transform/src/main/java/org/elasticsearch/xpack/transform/transforms/ClientTransformIndexer.java:12243:18024:12362:18023;indexerState,position,next;260;False;x-pack.plugin.transform.src.main.org.elasticsearch.xpack.transform.transforms.TransformIndexer#doSaveState(IndexerState,TransformIndexerPosition,Runnable);doSaveState(IndexerState,TransformIndexerPosition,Runnable);x-pack/plugin/transform/src/main/java/org/elasticsearch/xpack/transform/transforms/TransformIndexer.java:29461:35255:29580:35254;indexerState,position,next;646;False;MethodDeclaration;PULL_UP;4f22f437ee50cacb94b37b457be1da0b8ba0e8ce;4f22f437ee5;-;-;Fri Aug 6 07:07:49 2021 -0700;1628258869;-;-;Fri Aug 6 16:07:49 2021 +0200;1628258869
1;server.src.main.org.elasticsearch.script.AbstractSortScript#getDoc();getDoc();server/src/main/java/org/elasticsearch/script/AbstractSortScript.java:3418:3596:3557:3595;;91;False;server.src.main.org.elasticsearch.script.DocBasedScript#getDoc();getDoc();server/src/main/java/org/elasticsearch/script/DocBasedScript.java:1464:1727:1603:1726;;54;False;MethodDeclaration;PULL_UP;6c02a6c65749eb684d924a14922f5d0a3a769d6b;6c02a6c6574;-;-;Wed Aug 4 10:11:12 2021 -0500;1628089872;-;-;Wed Aug 4 10:11:12 2021 -0500;1628089872
2;server.src.main.org.elasticsearch.script.AbstractSortScript#setDocument(int);setDocument(int);server/src/main/java/org/elasticsearch/script/AbstractSortScript.java:3602:3758:3713:3757;docid;98;False;server.src.main.org.elasticsearch.script.DocBasedScript#setDocument(int);setDocument(int);server/src/main/java/org/elasticsearch/script/DocBasedScript.java:1082:1284:1193:1283;docID;38;False;MethodDeclaration;PULL_UP;6c02a6c65749eb684d924a14922f5d0a3a769d6b;6c02a6c6574;-;-;Wed Aug 4 10:11:12 2021 -0500;1628089872;-;-;Wed Aug 4 10:11:12 2021 -0500;1628089872
3;server.src.main.org.elasticsearch.script.ScoreScript#getDoc();getDoc();server/src/main/java/org/elasticsearch/script/ScoreScript.java:4369:4535:4496:4534;;112;False;server.src.main.org.elasticsearch.script.DocBasedScript#getDoc();getDoc();server/src/main/java/org/elasticsearch/script/DocBasedScript.java:1464:1727:1603:1726;;54;False;MethodDeclaration;PULL_UP;6c02a6c65749eb684d924a14922f5d0a3a769d6b;6c02a6c6574;-;-;Wed Aug 4 10:11:12 2021 -0500;1628089872;-;-;Wed Aug 4 10:11:12 2021 -0500;1628089872
4;server.src.main.org.elasticsearch.index.mapper.ObjectMapper.Nested#isNested();isNested();server/src/main/java/org/elasticsearch/index/mapper/ObjectMapper.java:4547:4611:4574:4610;;116;True;server.src.main.org.elasticsearch.index.mapper.ObjectMapper#isNested();isNested();server/src/main/java/org/elasticsearch/index/mapper/ObjectMapper.java:11921:11976:11948:11975;;290;False;MethodDeclaration;PULL_UP;cf575f4766e3b3d7a58698be0d91559664f1bd80;cf575f4766e;-;-;Mon Jul 19 09:44:48 2021 +0100;1626684288;-;-;Mon Jul 19 09:44:48 2021 +0100;1626684288
5;server.src.main.org.elasticsearch.index.engine.CombinedDeletionPolicy.SnapshotIndexCommit#getSegmentsFileName();getSegmentsFileName();server/src/main/java/org/elasticsearch/index/engine/CombinedDeletionPolicy.java:12180:12296:12235:12295;;232;True;server.src.main.org.elasticsearch.common.lucene.FilterIndexCommit#getSegmentsFileName();getSegmentsFileName();server/src/main/java/org/elasticsearch/common/lucene/FilterIndexCommit.java:1601:1699:1652:1698;;48;False;MethodDeclaration;PULL_UP;c23cb99b71964ecd76a2013df9c7c22fb8f153c3;c23cb99b719;-;-;Wed Jun 30 11:50:01 2021 -0400;1625068201;-;-;Wed Jun 30 11:50:01 2021 -0400;1625068201
6;server.src.main.org.elasticsearch.index.engine.CombinedDeletionPolicy.SnapshotIndexCommit#getSegmentCount();getSegmentCount();server/src/main/java/org/elasticsearch/index/engine/CombinedDeletionPolicy.java:12831:12936:12879:12935;;257;True;server.src.main.org.elasticsearch.common.lucene.FilterIndexCommit#getSegmentCount();getSegmentCount();server/src/main/java/org/elasticsearch/common/lucene/FilterIndexCommit.java:2073:2160:2117:2159;;73;False;MethodDeclaration;PULL_UP;c23cb99b71964ecd76a2013df9c7c22fb8f153c3;c23cb99b719;-;-;Wed Jun 30 11:50:01 2021 -0400;1625068201;-;-;Wed Jun 30 11:50:01 2021 -0400;1625068201
7;server.src.main.org.elasticsearch.index.engine.CombinedDeletionPolicy.SnapshotIndexCommit#getGeneration();getGeneration();server/src/main/java/org/elasticsearch/index/engine/CombinedDeletionPolicy.java:12946:13048:12993:13047;;262;True;server.src.main.org.elasticsearch.common.lucene.FilterIndexCommit#getGeneration();getGeneration();server/src/main/java/org/elasticsearch/common/lucene/FilterIndexCommit.java:2166:2250:2209:2249;;78;False;MethodDeclaration;PULL_UP;c23cb99b71964ecd76a2013df9c7c22fb8f153c3;c23cb99b719;-;-;Wed Jun 30 11:50:01 2021 -0400;1625068201;-;-;Wed Jun 30 11:50:01 2021 -0400;1625068201
8;server.src.main.org.elasticsearch.index.engine.CombinedDeletionPolicy.SnapshotIndexCommit#getUserData();getUserData();server/src/main/java/org/elasticsearch/index/engine/CombinedDeletionPolicy.java:13058:13190:13137:13189;;267;True;server.src.main.org.elasticsearch.common.lucene.FilterIndexCommit#getUserData();getUserData();server/src/main/java/org/elasticsearch/common/lucene/FilterIndexCommit.java:2256:2370:2331:2369;;83;False;MethodDeclaration;PULL_UP;c23cb99b71964ecd76a2013df9c7c22fb8f153c3;c23cb99b719;-;-;Wed Jun 30 11:50:01 2021 -0400;1625068201;-;-;Wed Jun 30 11:50:01 2021 -0400;1625068201
9;server.src.main.org.elasticsearch.index.engine.CombinedDeletionPolicy.SnapshotIndexCommit#isDeleted();isDeleted();server/src/main/java/org/elasticsearch/index/engine/CombinedDeletionPolicy.java:12724:12821:12770:12820;;252;True;server.src.main.org.elasticsearch.common.lucene.FilterIndexCommit#isDeleted();isDeleted();server/src/main/java/org/elasticsearch/common/lucene/FilterIndexCommit.java:1988:2067:2030:2066;;68;False;MethodDeclaration;PULL_UP;c23cb99b71964ecd76a2013df9c7c22fb8f153c3;c23cb99b719;-;-;Wed Jun 30 11:50:01 2021 -0400;1625068201;-;-;Wed Jun 30 11:50:01 2021 -0400;1625068201
