id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;server.src.main.org.elasticsearch.indices.recovery.plan.ShardSnapshotsService#getSnapshotFileList(ShardSnapshotInfo);getSnapshotFileList(ShardSnapshotInfo);server/src/main/java/org/elasticsearch/indices/recovery/plan/ShardSnapshotsService.java:5098:6220:5207:6219;shardSnapshotInfo;106;False;server.src.main.org.elasticsearch.indices.recovery.plan.ShardSnapshotsService#fetchSnapshotFiles(GetShardSnapshotResponse);fetchSnapshotFiles(GetShardSnapshotResponse);server/src/main/java/org/elasticsearch/indices/recovery/plan/ShardSnapshotsService.java:4129:5669:4229:5668;shardSnapshotResponse;86;False;MethodDeclaration;INLINE;ca1f4dd5c24d57db7a7df9c8eb9db6f80c86a883;ca1f4dd5c24;-;-;Wed Aug 11 09:57:24 2021 +0200;1628668644;-;-;Wed Aug 11 09:57:24 2021 +0200;1628668644
1;server.src.main.org.elasticsearch.cluster.SnapshotsInProgress.Entry#fail(ImmutableOpenMap,State,String);fail(ImmutableOpenMap,State,String);server/src/main/java/org/elasticsearch/cluster/SnapshotsInProgress.java:30118:30450:30221:30449;shards,state,failure;674;True;server.src.main.org.elasticsearch.cluster.SnapshotsInProgress.Entry#abort();abort();server/src/main/java/org/elasticsearch/cluster/SnapshotsInProgress.java:30479:32875:31324:32874;;669;True;MethodDeclaration;INLINE;6592cfe6be95118c390dfc461a5d39713bce42da;6592cfe6be9;-;-;Fri Jul 30 17:46:11 2021 +0200;1627659971;-;-;Fri Jul 30 17:46:11 2021 +0200;1627659971
2;server.src.main.org.elasticsearch.snapshots.SnapshotsService.SnapshotShardsUpdateContext.EntryContext#tryStartCloneAfterSnapshotFinish(ShardId,ShardSnapshotStatus);tryStartCloneAfterSnapshotFinish(ShardId,ShardSnapshotStatus);server/src/main/java/org/elasticsearch/snapshots/SnapshotsService.java:176092:176921:176190:176920;shardId,updatedState;3223;True;server.src.main.org.elasticsearch.snapshots.SnapshotsService.SnapshotShardsUpdateContext.EntryContext#tryStartNextTaskAfterSnapshotUpdated(ShardId,ShardSnapshotStatus);tryStartNextTaskAfterSnapshotUpdated(ShardId,ShardSnapshotStatus);server/src/main/java/org/elasticsearch/snapshots/SnapshotsService.java:172976:174447:173078:174446;shardId,updatedState;3174;True;MethodDeclaration;INLINE;6592cfe6be95118c390dfc461a5d39713bce42da;6592cfe6be9;-;-;Fri Jul 30 17:46:11 2021 +0200;1627659971;-;-;Fri Jul 30 17:46:11 2021 +0200;1627659971
3;x-pack.plugin.ml.src.main.org.elasticsearch.xpack.ml.job.retention.AbstractExpiredJobDataRemover#createQuery(String,long);createQuery(String,long);x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/job/retention/AbstractExpiredJobDataRemover.java:3952:4282:4023:4281;jobId,cutoffEpochMs;107;False;x-pack.plugin.ml.src.main.org.elasticsearch.xpack.ml.job.retention.ExpiredResultsRemover#createDBQRequest(Job,float,long);createDBQRequest(Job,float,long);x-pack/plugin/ml/src/main/java/org/elasticsearch/xpack/ml/job/retention/ExpiredResultsRemover.java:5232:6730:5330:6729;job,requestsPerSec,cutoffEpochMs;118;False;MethodDeclaration;INLINE;30d9f134368fcb3c253ca856c782ce1c66cbf38c;30d9f134368;-;-;Thu Jul 29 15:27:03 2021 +0200;1627565223;-;-;Thu Jul 29 15:27:03 2021 +0200;1627565223
4;x-pack.plugin.security.src.main.org.elasticsearch.xpack.security.authc.AuthenticationService.Authenticator#authenticateToken(AuthenticationToken);authenticateToken(AuthenticationToken);x-pack/plugin/security/src/main/java/org/elasticsearch/xpack/security/authc/AuthenticationService.java:43933:44040:43992:44039;token;738;True;x-pack.plugin.security.src.main.org.elasticsearch.xpack.security.authc.AuthenticationService#authenticate(String,TransportRequest,AuthenticationToken,ActionListener);authenticate(String,TransportRequest,AuthenticationToken,ActionListener);x-pack/plugin/security/src/main/java/org/elasticsearch/xpack/security/authc/AuthenticationService.java:11200:11886:11764:11885;action,transportRequest,token,listener;187;False;MethodDeclaration;INLINE;27e27e0b62d299c1f0daac42a640d8a311d89d12;27e27e0b62d;-;-;Thu Jul 29 12:50:00 2021 +0200;1627555800;-;-;Thu Jul 29 12:50:00 2021 +0200;1627555800
5;x-pack.plugin.vector-tile.src.main.org.elasticsearch.xpack.vectortile.feature.FeatureFactory#getLayerProps();getLayerProps();x-pack/plugin/vector-tile/src/main/java/org/elasticsearch/xpack/vectortile/feature/FeatureFactory.java:3254:3325:3292:3324;;76;False;x-pack.plugin.vector-tile.src.main.org.elasticsearch.xpack.vectortile.rest.RestVectorTileAction#buildHitsLayer(SearchHit[],VectorTileRequest);buildHitsLayer(SearchHit[],VectorTileRequest);x-pack/plugin/vector-tile/src/main/java/org/elasticsearch/xpack/vectortile/rest/RestVectorTileAction.java:11770:13392:11930:13391;hits,request;225;False;MethodDeclaration;INLINE;368e2e0755120e0384e0b2a373d759d96a35d6e6;368e2e07551;-;-;Wed Jul 28 09:24:54 2021 +0200;1627457094;-;-;Wed Jul 28 09:24:54 2021 +0200;1627457094
6;server.src.main.org.elasticsearch.index.mapper.DocumentParser#parsedDocument(SourceToParse,ParseContext.InternalParseContext,Mapping);parsedDocument(SourceToParse,ParseContext.InternalParseContext,Mapping);server/src/main/java/org/elasticsearch/index/mapper/DocumentParser.java:8798:9257:8925:9256;source,context,update;203;False;server.src.main.org.elasticsearch.index.mapper.DocumentParser#parseDocument(SourceToParse,MappingLookup);parseDocument(SourceToParse,MappingLookup);server/src/main/java/org/elasticsearch/index/mapper/DocumentParser.java:2555:4532:2959:4531;source,mappingLookup;65;False;MethodDeclaration;INLINE;2700cc802ccf29ca916a1cbcae12fa414a952db4;2700cc802cc;-;-;Tue Jul 6 13:26:10 2021 +0200;1625570770;-;-;Tue Jul 6 13:26:10 2021 +0200;1625570770
7;server.src.main.org.elasticsearch.cluster.routing.allocation.AllocationService#buildResult(ClusterState,RoutingAllocation);buildResult(ClusterState,RoutingAllocation);server/src/main/java/org/elasticsearch/cluster/routing/allocation/AllocationService.java:7027:8469:7114:8468;oldState,allocation;138;False;server.src.main.org.elasticsearch.cluster.routing.allocation.AllocationService#buildResultAndLogHealthChange(ClusterState,RoutingAllocation,String);buildResultAndLogHealthChange(ClusterState,RoutingAllocation,String);server/src/main/java/org/elasticsearch/cluster/routing/allocation/AllocationService.java:6640:8324:6760:8323;oldState,allocation,reason;126;False;MethodDeclaration;INLINE;9cbc5f7e8fd4a73255d4ed35d4935410b52b9bcd;9cbc5f7e8fd;-;-;Mon Jun 7 11:00:50 2021 +0200;1623056450;-;-;Mon Jun 7 11:00:50 2021 +0200;1623056450
8;modules.parent-join.src.main.org.elasticsearch.join.mapper.ParentJoinFieldMapper#getJoinFieldType(Collection);getJoinFieldType(Collection);modules/parent-join/src/main/java/org/elasticsearch/join/mapper/ParentJoinFieldMapper.java:12610:12878:12689:12877;fieldTypes;303;False;modules.parent-join.src.main.org.elasticsearch.join.mapper.Joiner#getJoiner(Stream);getJoiner(Stream);modules/parent-join/src/main/java/org/elasticsearch/join/mapper/Joiner.java:1795:2163:1950:2162;fieldTypes;50;False;MethodDeclaration;INLINE;9cbc5f7e8fd4a73255d4ed35d4935410b52b9bcd;9cbc5f7e8fd;-;-;Mon Jun 7 11:00:50 2021 +0200;1623056450;-;-;Mon Jun 7 11:00:50 2021 +0200;1623056450
9;server.src.main.org.elasticsearch.gateway.GatewayMetaState.LucenePersistedState#handleExceptionOnWrite(Exception);handleExceptionOnWrite(Exception);server/src/main/java/org/elasticsearch/gateway/GatewayMetaState.java:24640:24796:24690:24795;e;499;True;server.src.main.org.elasticsearch.gateway.GatewayMetaState.LucenePersistedState#setCurrentTerm(long);setCurrentTerm(long);server/src/main/java/org/elasticsearch/gateway/GatewayMetaState.java:21664:22344:21728:22343;currentTerm;437;True;MethodDeclaration;INLINE;9cbc5f7e8fd4a73255d4ed35d4935410b52b9bcd;9cbc5f7e8fd;-;-;Mon Jun 7 11:00:50 2021 +0200;1623056450;-;-;Mon Jun 7 11:00:50 2021 +0200;1623056450
