id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;server.src.main.org.elasticsearch.index.mapper.ObjectMapper#nestedTypePath();nestedTypePath();server/src/main/java/org/elasticsearch/index/mapper/ObjectMapper.java:18229:18303:18261:18302;;451;False;server.src.main.org.elasticsearch.index.mapper.NestedObjectMapper#nestedTypePath();nestedTypePath();server/src/main/java/org/elasticsearch/index/mapper/NestedObjectMapper.java:4537:4611:4569:4610;;119;False;MethodDeclaration;PUSH_DOWN;cf575f4766e3b3d7a58698be0d91559664f1bd80;cf575f4766e;-;-;Mon Jul 19 09:44:48 2021 +0100;1626684288;-;-;Mon Jul 19 09:44:48 2021 +0100;1626684288
1;server.src.main.org.elasticsearch.index.mapper.ObjectMapper#nestedTypeFilter();nestedTypeFilter();server/src/main/java/org/elasticsearch/index/mapper/ObjectMapper.java:17852:17929:17885:17928;;434;False;server.src.main.org.elasticsearch.index.mapper.NestedObjectMapper#nestedTypeFilter();nestedTypeFilter();server/src/main/java/org/elasticsearch/index/mapper/NestedObjectMapper.java:4454:4531:4487:4530;;115;False;MethodDeclaration;PUSH_DOWN;cf575f4766e3b3d7a58698be0d91559664f1bd80;cf575f4766e;-;-;Mon Jul 19 09:44:48 2021 +0100;1626684288;-;-;Mon Jul 19 09:44:48 2021 +0100;1626684288
2;server.src.main.org.elasticsearch.transport.TransportDecompressor#isEOS();isEOS();server/src/main/java/org/elasticsearch/transport/TransportDecompressor.java:4613:4679:4637:4678;;108;False;server.src.main.org.elasticsearch.transport.DeflateTransportDecompressor#isEOS();isEOS();server/src/main/java/org/elasticsearch/transport/DeflateTransportDecompressor.java:3636:3702:3660:3701;;91;False;MethodDeclaration;PUSH_DOWN;293d490ded0b99c21752eac0345f95ba90e6e57a;293d490ded0;-;-;Tue Jun 29 12:14:47 2021 -0600;1624990487;-;-;Tue Jun 29 12:14:47 2021 -0600;1624990487
3;server.src.main.org.elasticsearch.search.aggregations.bucket.range.RangeAggregator#getLeafCollector(LeafReaderContext,LeafBucketCollector);getLeafCollector(LeafReaderContext,LeafBucketCollector);server/src/main/java/org/elasticsearch/search/aggregations/bucket/range/RangeAggregator.java:19287:20057:19413:20056;ctx,sub;472;False;x-pack.plugin.analytics.src.main.org.elasticsearch.xpack.analytics.aggregations.bucket.range.HistoBackedRangeAggregator#getLeafCollector(LeafReaderContext,LeafBucketCollector);getLeafCollector(LeafReaderContext,LeafBucketCollector);x-pack/plugin/analytics/src/main/java/org/elasticsearch/xpack/analytics/aggregations/bucket/range/HistoBackedRangeAggregator.java:4061:5675:4187:5674;ctx,sub;115;False;MethodDeclaration;PUSH_DOWN;07b336f1b03d1c40c275ce548c80561dda90ffec;07b336f1b03;-;-;Tue Jun 29 07:24:54 2021 -0400;1624965894;-;-;Tue Jun 29 07:24:54 2021 -0400;1624965894
4;server.src.main.org.elasticsearch.search.aggregations.bucket.range.RangeAggregator#getLeafCollector(LeafReaderContext,LeafBucketCollector);getLeafCollector(LeafReaderContext,LeafBucketCollector);server/src/main/java/org/elasticsearch/search/aggregations/bucket/range/RangeAggregator.java:19287:20057:19413:20056;ctx,sub;472;False;server.src.main.org.elasticsearch.search.aggregations.bucket.range.RangeAggregator.NumericRangeAggregator#getLeafCollector(LeafReaderContext,LeafBucketCollector);getLeafCollector(LeafReaderContext,LeafBucketCollector);server/src/main/java/org/elasticsearch/search/aggregations/bucket/range/RangeAggregator.java:23305:24171:23435:24170;ctx,sub;574;True;MethodDeclaration;PUSH_DOWN;07b336f1b03d1c40c275ce548c80561dda90ffec;07b336f1b03;-;-;Tue Jun 29 07:24:54 2021 -0400;1624965894;-;-;Tue Jun 29 07:24:54 2021 -0400;1624965894
5;server.src.main.org.elasticsearch.search.aggregations.bucket.range.RangeAggregator#collect(LeafBucketCollector,int,double,long,int);collect(LeafBucketCollector,int,double,long,int);server/src/main/java/org/elasticsearch/search/aggregations/bucket/range/RangeAggregator.java:23129:23275:23275:23275;sub,doc,value,owningBucketOrdinal,lowBound;559;False;server.src.main.org.elasticsearch.search.aggregations.bucket.range.RangeAggregator.NumericRangeAggregator#collect(LeafBucketCollector,int,double,long,int);collect(LeafBucketCollector,int,double,long,int);server/src/main/java/org/elasticsearch/search/aggregations/bucket/range/RangeAggregator.java:24181:24331:24331:24331;sub,doc,value,owningBucketOrdinal,lowBound;591;True;MethodDeclaration;PUSH_DOWN;07b336f1b03d1c40c275ce548c80561dda90ffec;07b336f1b03;-;-;Tue Jun 29 07:24:54 2021 -0400;1624965894;-;-;Tue Jun 29 07:24:54 2021 -0400;1624965894
6;server.src.main.org.elasticsearch.index.mapper.ObjectMapper#nestedTypePath();nestedTypePath();server/src/main/java/org/elasticsearch/index/mapper/ObjectMapper.java:17894:17968:17926:17967;;444;False;server.src.main.org.elasticsearch.index.mapper.NestedObjectMapper#nestedTypePath();nestedTypePath();server/src/main/java/org/elasticsearch/index/mapper/NestedObjectMapper.java:5710:5784:5742:5783;;138;False;MethodDeclaration;PUSH_DOWN;ad111598867545d0dbeae60c6d24dfcd502c0c26;ad111598867;-;-;Mon Jun 7 12:05:30 2021 -1000;1623103530;-;-;Mon Jun 7 12:05:30 2021 -1000;1623103530
7;server.src.main.org.elasticsearch.index.mapper.ObjectMapper#nestedTypeFilter();nestedTypeFilter();server/src/main/java/org/elasticsearch/index/mapper/ObjectMapper.java:17517:17594:17550:17593;;427;False;server.src.main.org.elasticsearch.index.mapper.NestedObjectMapper#nestedTypeFilter();nestedTypeFilter();server/src/main/java/org/elasticsearch/index/mapper/NestedObjectMapper.java:5627:5704:5660:5703;;134;False;MethodDeclaration;PUSH_DOWN;ad111598867545d0dbeae60c6d24dfcd502c0c26;ad111598867;-;-;Mon Jun 7 12:05:30 2021 -1000;1623103530;-;-;Mon Jun 7 12:05:30 2021 -1000;1623103530
8;server.src.main.org.elasticsearch.index.mapper.RuntimeFieldType#unsupported(String,String);unsupported(String,String);server/src/main/java/org/elasticsearch/index/mapper/RuntimeFieldType.java:5842:6163:5902:6162;query,supported;162;False;server.src.main.org.elasticsearch.runtimefields.mapper.AbstractScriptFieldType#unsupported(String,String);unsupported(String,String);server/src/main/java/org/elasticsearch/runtimefields/mapper/AbstractScriptFieldType.java:6022:6343:6082:6342;query,supported;169;False;MethodDeclaration;PUSH_DOWN;edb42690bc0bf9e49e0da25dea5aaa3aea78b948;edb42690bc0;-;-;Tue Mar 23 10:57:44 2021 +0100;1616493464;-;-;Tue Mar 23 10:57:44 2021 +0100;1616493464
9;server.src.main.org.elasticsearch.index.mapper.RuntimeFieldType#regexpQuery(String,int,int,int,MultiTermQuery.RewriteMethod,SearchExecutionContext);regexpQuery(String,int,int,int,MultiTermQuery.RewriteMethod,SearchExecutionContext);server/src/main/java/org/elasticsearch/index/mapper/RuntimeFieldType.java:4692:5022:4929:5021;value,syntaxFlags,matchFlags,maxDeterminizedStates,method,context;130;False;server.src.main.org.elasticsearch.runtimefields.mapper.AbstractScriptFieldType#regexpQuery(String,int,int,int,MultiTermQuery.RewriteMethod,SearchExecutionContext);regexpQuery(String,int,int,int,MultiTermQuery.RewriteMethod,SearchExecutionContext);server/src/main/java/org/elasticsearch/runtimefields/mapper/AbstractScriptFieldType.java:4872:5202:5109:5201;value,syntaxFlags,matchFlags,maxDeterminizedStates,method,context;137;False;MethodDeclaration;PUSH_DOWN;edb42690bc0bf9e49e0da25dea5aaa3aea78b948;edb42690bc0;-;-;Tue Mar 23 10:57:44 2021 +0100;1616493464;-;-;Tue Mar 23 10:57:44 2021 +0100;1616493464
