id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;library.src.main.com.bumptech.glide.manager.RequestManagerRetriever#maybeRegisterFirstFrameWaiter(Activity);maybeRegisterFirstFrameWaiter(Activity);library/src/main/java/com/bumptech/glide/manager/RequestManagerRetriever.java:5297:5462:5369:5461;activity;129;False;library.src.main.com.bumptech.glide.manager.RequestManagerRetriever#get(Fragment);get(Fragment);library/src/main/java/com/bumptech/glide/manager/RequestManagerRetriever.java:5748:6722:5814:6721;fragment;142;False;MethodDeclaration;INLINE;a3a3a6573addd83a5be031bbd55d29e7514ca446;a3a3a6573;-;-;Mon Sep 14 10:35:32 2020 -0700;1600104932;-;-;Mon Sep 14 10:36:31 2020 -0700;1600104991
1;library.src.main.com.bumptech.glide.manager.RequestManagerRetriever#maybeRegisterFirstFrameWaiter(Activity);maybeRegisterFirstFrameWaiter(Activity);library/src/main/java/com/bumptech/glide/manager/RequestManagerRetriever.java:5297:5462:5369:5461;activity;129;False;library.src.main.com.bumptech.glide.manager.RequestManagerRetriever#get(android.app.Fragment);get(android.app.Fragment);library/src/main/java/com/bumptech/glide/manager/RequestManagerRetriever.java:12966:14123:13142:14122;fragment;339;False;MethodDeclaration;INLINE;a3a3a6573addd83a5be031bbd55d29e7514ca446;a3a3a6573;-;-;Mon Sep 14 10:35:32 2020 -0700;1600104932;-;-;Mon Sep 14 10:36:31 2020 -0700;1600104991
2;library.src.main.com.bumptech.glide.load.resource.bitmap.HardwareConfigState#areHardwareBitmapsBlockedByAppState();areHardwareBitmapsBlockedByAppState();library/src/main/java/com/bumptech/glide/load/resource/bitmap/HardwareConfigState.java:4958:5095:5013:5094;;138;False;library.src.main.com.bumptech.glide.load.resource.bitmap.HardwareConfigState#isHardwareConfigAllowed(int,int,boolean,boolean);isHardwareConfigAllowed(int,int,boolean,boolean);library/src/main/java/com/bumptech/glide/load/resource/bitmap/HardwareConfigState.java:3846:4525:4014:4524;targetWidth,targetHeight,isHardwareConfigAllowed,isExifOrientationRequired;107;False;MethodDeclaration;INLINE;8584b450f3af6c18e0393a3bff015a62a08d5eb5;8584b450f;-;-;Fri Sep 11 12:41:27 2020 -0700;1599853287;-;-;Fri Sep 11 12:42:09 2020 -0700;1599853329
3;library.src.main.com.bumptech.glide.manager.RequestManagerRetriever#maybeRegisterFirstFrameWaiter(Activity);maybeRegisterFirstFrameWaiter(Activity);library/src/main/java/com/bumptech/glide/manager/RequestManagerRetriever.java:5297:5462:5369:5461;activity;129;False;library.src.main.com.bumptech.glide.manager.RequestManagerRetriever#get(Fragment);get(Fragment);library/src/main/java/com/bumptech/glide/manager/RequestManagerRetriever.java:5638:6612:5704:6611;fragment;139;False;MethodDeclaration;INLINE;edd96d80024a6a3cf2f6966664ff8543006967bb;edd96d800;-;-;Wed Sep 9 18:15:46 2020 -0700;1599700546;-;-;Wed Sep 9 18:16:42 2020 -0700;1599700602
4;library.src.main.com.bumptech.glide.manager.RequestManagerRetriever#maybeRegisterFirstFrameWaiter(Activity);maybeRegisterFirstFrameWaiter(Activity);library/src/main/java/com/bumptech/glide/manager/RequestManagerRetriever.java:5297:5462:5369:5461;activity;129;False;library.src.main.com.bumptech.glide.manager.RequestManagerRetriever#get(android.app.Fragment);get(android.app.Fragment);library/src/main/java/com/bumptech/glide/manager/RequestManagerRetriever.java:12856:14013:13032:14012;fragment;336;False;MethodDeclaration;INLINE;edd96d80024a6a3cf2f6966664ff8543006967bb;edd96d800;-;-;Wed Sep 9 18:15:46 2020 -0700;1599700546;-;-;Wed Sep 9 18:16:42 2020 -0700;1599700602
5;library.src.main.com.bumptech.glide.load.data.HttpUrlFetcher#buildAndConfigureConnection(URL,Map);buildAndConfigureConnection(URL,Map);library/src/main/java/com/bumptech/glide/load/data/HttpUrlFetcher.java:5434:6364:5554:6363;url,headers;145;False;library.src.main.com.bumptech.glide.load.data.HttpUrlFetcher#loadDataWithRedirects(URL,int,URL,Map);loadDataWithRedirects(URL,int,URL,Map);library/src/main/java/com/bumptech/glide/load/data/HttpUrlFetcher.java:2430:4956:2565:4955;url,redirects,lastUrl,headers;70;False;MethodDeclaration;INLINE;3d8bf6bbf489364fa15c34eee8069cc1f772522b;3d8bf6bbf;-;-;Thu Mar 19 15:47:27 2020 -0700;1584658047;-;-;Thu Mar 19 16:21:39 2020 -0700;1584660099
6;library.src.main.com.bumptech.glide.load.ImageHeaderParserUtils#getTypeInternal(List,TypeReader);getTypeInternal(List,TypeReader);library/src/main/java/com/bumptech/glide/load/ImageHeaderParserUtils.java:3302:3770:3442:3769;parsers,reader;105;False;library.src.main.com.bumptech.glide.load.ImageHeaderParserUtils#getType(List,InputStream,ArrayPool);getType(List,InputStream,ArrayPool);library/src/main/java/com/bumptech/glide/load/ImageHeaderParserUtils.java:758:1590:1006:1589;parsers,is,byteArrayPool;21;False;MethodDeclaration;INLINE;03271581e93fe551f38d713d1c30ef2070a6c035;03271581e;-;-;Tue Nov 12 14:10:56 2019 -0800;1573596656;-;-;Tue Nov 12 14:11:58 2019 -0800;1573596718
7;library.src.main.com.bumptech.glide.load.ImageHeaderParserUtils#getTypeInternal(List,TypeReader);getTypeInternal(List,TypeReader);library/src/main/java/com/bumptech/glide/load/ImageHeaderParserUtils.java:3302:3770:3442:3769;parsers,reader;105;False;library.src.main.com.bumptech.glide.load.ImageHeaderParserUtils#getType(List,ByteBuffer);getType(List,ByteBuffer);library/src/main/java/com/bumptech/glide/load/ImageHeaderParserUtils.java:1594:2185:1792:2184;parsers,buffer;53;False;MethodDeclaration;INLINE;03271581e93fe551f38d713d1c30ef2070a6c035;03271581e;-;-;Tue Nov 12 14:10:56 2019 -0800;1573596656;-;-;Tue Nov 12 14:11:58 2019 -0800;1573596718
8;library.src.main.com.bumptech.glide.load.resource.bitmap.Downsampler#decode(ImageReader,int,int,Options,DecodeCallbacks);decode(ImageReader,int,int,Options,DecodeCallbacks);library/src/main/java/com/bumptech/glide/load/resource/bitmap/Downsampler.java:9833:11283:10032:11282;imageReader,requestedWidth,requestedHeight,options,callbacks;226;False;library.src.main.com.bumptech.glide.load.resource.bitmap.Downsampler#decode(InputStream,int,int,Options,DecodeCallbacks);decode(InputStream,int,int,Options,DecodeCallbacks);library/src/main/java/com/bumptech/glide/load/resource/bitmap/Downsampler.java:7883:10949:9583:10948;is,requestedWidth,requestedHeight,options,callbacks;176;False;MethodDeclaration;INLINE;03271581e93fe551f38d713d1c30ef2070a6c035;03271581e;-;-;Tue Nov 12 14:10:56 2019 -0800;1573596656;-;-;Tue Nov 12 14:11:58 2019 -0800;1573596718
9;library.src.main.com.bumptech.glide.load.ImageHeaderParserUtils#getOrientationInternal(List,OrientationReader);getOrientationInternal(List,OrientationReader);library/src/main/java/com/bumptech/glide/load/ImageHeaderParserUtils.java:5778:6305:5915:6304;parsers,reader;181;False;library.src.main.com.bumptech.glide.load.ImageHeaderParserUtils#getOrientation(List,InputStream,ArrayPool);getOrientation(List,InputStream,ArrayPool);library/src/main/java/com/bumptech/glide/load/ImageHeaderParserUtils.java:2189:3110:2429:3109;parsers,is,byteArrayPool;73;False;MethodDeclaration;INLINE;03271581e93fe551f38d713d1c30ef2070a6c035;03271581e;-;-;Tue Nov 12 14:10:56 2019 -0800;1573596656;-;-;Tue Nov 12 14:11:58 2019 -0800;1573596718
