id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.GifDecoder#setAlpha(Bitmap);setAlpha(Bitmap);third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java:25874:26017:25936:26016;bitmap;856;False;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.StandardGifDecoder#setAlpha(Bitmap);setAlpha(Bitmap);third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java:22744:22887:22806:22886;bitmap;756;False;MethodDeclaration;PUSH_DOWN;67327621807cfdf5c25ac7018b8277b3df09e5c5;673276218;-;-;Mon May 2 14:51:27 2016 -0700;1462225887;-;-;Tue May 17 08:44:48 2016 -0700;1463499888
1;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.GifDecoder#getNextBitmap();getNextBitmap();third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java:25595:25870:25627:25869;;848;False;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.StandardGifDecoder#getNextBitmap();getNextBitmap();third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java:22465:22740:22497:22739;;748;False;MethodDeclaration;PUSH_DOWN;67327621807cfdf5c25ac7018b8277b3df09e5c5;673276218;-;-;Mon May 2 14:51:27 2016 -0700;1462225887;-;-;Tue May 17 08:44:48 2016 -0700;1463499888
2;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.GifDecoder#readBlock();readBlock();third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java:24304:25591:24445:25590;;812;False;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.StandardGifDecoder#readBlock();readBlock();third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java:21174:22461:21315:22460;;712;False;MethodDeclaration;PUSH_DOWN;67327621807cfdf5c25ac7018b8277b3df09e5c5;673276218;-;-;Mon May 2 14:51:27 2016 -0700;1462225887;-;-;Tue May 17 08:44:48 2016 -0700;1463499888
3;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.GifDecoder#decodeBitmapData(GifFrame);decodeBitmapData(GifFrame);third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java:20035:23599:20181:23598;frame;652;False;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.StandardGifDecoder#decodeBitmapData(GifFrame);decodeBitmapData(GifFrame);third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java:16905:20469:17051:20468;frame;552;False;MethodDeclaration;PUSH_DOWN;67327621807cfdf5c25ac7018b8277b3df09e5c5;673276218;-;-;Mon May 2 14:51:27 2016 -0700;1462225887;-;-;Tue May 17 08:44:48 2016 -0700;1463499888
4;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.GifDecoder#readChunkIfNeeded();readChunkIfNeeded();third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java:23603:24031:23709:24030;;784;False;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.StandardGifDecoder#readChunkIfNeeded();readChunkIfNeeded();third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java:20473:20901:20579:20900;;684;False;MethodDeclaration;PUSH_DOWN;67327621807cfdf5c25ac7018b8277b3df09e5c5;673276218;-;-;Mon May 2 14:51:27 2016 -0700;1462225887;-;-;Tue May 17 08:44:48 2016 -0700;1463499888
5;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.GifDecoder#getHeaderParser();getHeaderParser();third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java:13790:13926:13833:13925;;468;False;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.StandardGifDecoder#getHeaderParser();getHeaderParser();third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java:10788:10924:10831:10923;;373;False;MethodDeclaration;PUSH_DOWN;67327621807cfdf5c25ac7018b8277b3df09e5c5;673276218;-;-;Mon May 2 14:51:27 2016 -0700;1462225887;-;-;Tue May 17 08:44:48 2016 -0700;1463499888
6;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.GifDecoder#setPixels(GifFrame,GifFrame);setPixels(GifFrame,GifFrame);third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java:14265:18385:14465:18384;currentFrame,previousFrame;490;False;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.StandardGifDecoder#setPixels(GifFrame,GifFrame);setPixels(GifFrame,GifFrame);third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java:11135:15255:11335:15254;currentFrame,previousFrame;390;False;MethodDeclaration;PUSH_DOWN;67327621807cfdf5c25ac7018b8277b3df09e5c5;673276218;-;-;Mon May 2 14:51:27 2016 -0700;1462225887;-;-;Tue May 17 08:44:48 2016 -0700;1463499888
7;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.GifDecoder#readByte();readByte();third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java:24035:24300:24119:24299;;799;False;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.StandardGifDecoder#readByte();readByte();third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java:20905:21170:20989:21169;;699;False;MethodDeclaration;PUSH_DOWN;67327621807cfdf5c25ac7018b8277b3df09e5c5;673276218;-;-;Mon May 2 14:51:27 2016 -0700;1462225887;-;-;Tue May 17 08:44:48 2016 -0700;1463499888
8;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.GifDecoder#averageColorsNear(int,int,int);averageColorsNear(int,int,int);third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/GifDecoder.java:18389:20031:18501:20030;positionInMainPixels,maxPositionInMainPixels,currentFrameIw;606;False;third_party.gif_decoder.src.main.com.bumptech.glide.gifdecoder.StandardGifDecoder#averageColorsNear(int,int,int);averageColorsNear(int,int,int);third_party/gif_decoder/src/main/java/com/bumptech/glide/gifdecoder/StandardGifDecoder.java:15259:16901:15371:16900;positionInMainPixels,maxPositionInMainPixels,currentFrameIw;506;False;MethodDeclaration;PUSH_DOWN;67327621807cfdf5c25ac7018b8277b3df09e5c5;673276218;-;-;Mon May 2 14:51:27 2016 -0700;1462225887;-;-;Tue May 17 08:44:48 2016 -0700;1463499888
9;library.src.main.com.bumptech.glide.load.model.Headers#equals(Object);equals(Object);library/src/main/java/com/bumptech/glide/load/model/Headers.java:1908:2120:1955:2119;o;66;False;library.src.main.com.bumptech.glide.load.model.BasicHeaders#equals(Object);equals(Object);library/src/main/java/com/bumptech/glide/load/model/BasicHeaders.java:1267:1494:1314:1493;o;43;False;MethodDeclaration;PUSH_DOWN;fee6ed6b9f5d60b1e4b299088445401a898dbcc3;fee6ed6b9;-;-;Tue Mar 3 17:01:28 2015 -0800;1425430888;-;-;Tue Mar 3 18:19:29 2015 -0800;1425435569
10;library.src.main.com.bumptech.glide.load.model.Headers#equals(Object);equals(Object);library/src/main/java/com/bumptech/glide/load/model/Headers.java:1908:2120:1955:2119;o;66;False;library.src.main.com.bumptech.glide.load.model.LazyHeaders#equals(Object);equals(Object);library/src/main/java/com/bumptech/glide/load/model/LazyHeaders.java:2926:3306:2973:3305;o;85;False;MethodDeclaration;PUSH_DOWN;fee6ed6b9f5d60b1e4b299088445401a898dbcc3;fee6ed6b9;-;-;Tue Mar 3 17:01:28 2015 -0800;1425430888;-;-;Tue Mar 3 18:19:29 2015 -0800;1425435569
11;library.src.main.com.bumptech.glide.load.model.Headers#generateCombinedHeaders();generateCombinedHeaders();library/src/main/java/com/bumptech/glide/load/model/Headers.java:924:1295:979:1294;;37;False;library.src.main.com.bumptech.glide.load.model.BasicHeaders#generateCombinedHeaders();generateCombinedHeaders();library/src/main/java/com/bumptech/glide/load/model/BasicHeaders.java:890:1261:945:1260;;35;False;MethodDeclaration;PUSH_DOWN;fee6ed6b9f5d60b1e4b299088445401a898dbcc3;fee6ed6b9;-;-;Tue Mar 3 17:01:28 2015 -0800;1425430888;-;-;Tue Mar 3 18:19:29 2015 -0800;1425435569
12;library.src.main.com.bumptech.glide.load.model.Headers#hashCode();hashCode();library/src/main/java/com/bumptech/glide/load/model/Headers.java:2126:2204:2163:2203;;75;False;library.src.main.com.bumptech.glide.load.model.LazyHeaders#hashCode();hashCode();library/src/main/java/com/bumptech/glide/load/model/LazyHeaders.java:3312:3425:3349:3424;;99;False;MethodDeclaration;PUSH_DOWN;fee6ed6b9f5d60b1e4b299088445401a898dbcc3;fee6ed6b9;-;-;Tue Mar 3 17:01:28 2015 -0800;1425430888;-;-;Tue Mar 3 18:19:29 2015 -0800;1425435569
