id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;android.guava.src.com.google.common.reflect.ClassPath.DefaultScanner#scanDirectory(ClassLoader,File);scanDirectory(ClassLoader,File);android/guava/src/com/google/common/reflect/ClassPath.java:18642:18914:18746:18913;classloader,directory;530;True;android.guava.src.com.google.common.reflect.ClassPath.ResourceScanner#scanDirectory(ClassLoader,File);scanDirectory(ClassLoader,File);android/guava/src/com/google/common/reflect/ClassPath.java:18846:19124:18956:19123;classloader,directory;532;True;MethodDeclaration;PULL_UP;b2f5f5bd33320628904145c9e52a095ade1c178b;b2f5f5bd33;-;-;Thu Sep 24 10:46:06 2020 -0700;1600969566;-;-;Tue Sep 29 09:44:26 2020 -0400;1601387066
1;android.guava.src.com.google.common.reflect.ClassPath.DefaultScanner#scanJarFile(ClassLoader,JarFile);scanJarFile(ClassLoader,JarFile);android/guava/src/com/google/common/reflect/ClassPath.java:18226:18636:18307:18635;classloader,file;518;True;android.guava.src.com.google.common.reflect.ClassPath.ResourceScanner#scanJarFile(ClassLoader,JarFile);scanJarFile(ClassLoader,JarFile);android/guava/src/com/google/common/reflect/ClassPath.java:18367:18840:18473:18839;classloader,file;520;True;MethodDeclaration;PULL_UP;b2f5f5bd33320628904145c9e52a095ade1c178b;b2f5f5bd33;-;-;Thu Sep 24 10:46:06 2020 -0700;1600969566;-;-;Tue Sep 29 09:44:26 2020 -0400;1601387066
2;android.guava.src.com.google.common.collect.Multisets.FilteredMultiset#distinctElements();distinctElements();android/guava/src/com/google/common/collect/Multisets.java:11063:11141:11101:11140;;322;True;android.guava.src.com.google.common.collect.Multisets.ViewMultiset#distinctElements();distinctElements();android/guava/src/com/google/common/collect/Multisets.java:38407:38485:38445:38484;;1125;True;MethodDeclaration;PULL_UP;f7d5b0f6de5568c1901b5fb0fd442330518535c9;f7d5b0f6de;-;-;Thu Jan 18 06:57:16 2018 -0800;1516287436;-;-;Thu Jan 18 10:10:26 2018 -0500;1516288226
3;android.guava.src.com.google.common.collect.LinkedHashMultiset#writeObject(ObjectOutputStream);writeObject(ObjectOutputStream);android/guava/src/com/google/common/collect/LinkedHashMultiset.java:3044:3391:3307:3390;stream;81;False;android.guava.src.com.google.common.collect.AbstractMapBasedMultiset#writeObject(ObjectOutputStream);writeObject(ObjectOutputStream);android/guava/src/com/google/common/collect/AbstractMapBasedMultiset.java:6800:7147:7063:7146;stream;238;False;MethodDeclaration;PULL_UP;078b85f0c64040c337f297e7e99187f642a92d88;078b85f0c6;-;-;Mon Jan 8 13:31:25 2018 -0800;1515447085;-;-;Mon Jan 8 13:46:27 2018 -0800;1515447987
4;android.guava.src.com.google.common.collect.HashMultiset#readObject(ObjectInputStream);readObject(ObjectInputStream);android/guava/src/com/google/common/collect/HashMultiset.java:2709:3063:2851:3062;stream;82;False;android.guava.src.com.google.common.collect.AbstractMapBasedMultiset#readObject(ObjectInputStream);readObject(ObjectInputStream);android/guava/src/com/google/common/collect/AbstractMapBasedMultiset.java:7151:7500:7293:7499;stream;248;False;MethodDeclaration;PULL_UP;078b85f0c64040c337f297e7e99187f642a92d88;078b85f0c6;-;-;Mon Jan 8 13:31:25 2018 -0800;1515447085;-;-;Mon Jan 8 13:46:27 2018 -0800;1515447987
5;android.guava.src.com.google.common.collect.LinkedHashMultiset#readObject(ObjectInputStream);readObject(ObjectInputStream);android/guava/src/com/google/common/collect/LinkedHashMultiset.java:3395:3755:3537:3754;stream;91;False;android.guava.src.com.google.common.collect.AbstractMapBasedMultiset#readObject(ObjectInputStream);readObject(ObjectInputStream);android/guava/src/com/google/common/collect/AbstractMapBasedMultiset.java:7151:7500:7293:7499;stream;248;False;MethodDeclaration;PULL_UP;078b85f0c64040c337f297e7e99187f642a92d88;078b85f0c6;-;-;Mon Jan 8 13:31:25 2018 -0800;1515447085;-;-;Mon Jan 8 13:46:27 2018 -0800;1515447987
6;android.guava.src.com.google.common.collect.HashMultiset#writeObject(ObjectOutputStream);writeObject(ObjectOutputStream);android/guava/src/com/google/common/collect/HashMultiset.java:2358:2705:2621:2704;stream;72;False;android.guava.src.com.google.common.collect.AbstractMapBasedMultiset#writeObject(ObjectOutputStream);writeObject(ObjectOutputStream);android/guava/src/com/google/common/collect/AbstractMapBasedMultiset.java:6800:7147:7063:7146;stream;238;False;MethodDeclaration;PULL_UP;078b85f0c64040c337f297e7e99187f642a92d88;078b85f0c6;-;-;Mon Jan 8 13:31:25 2018 -0800;1515447085;-;-;Mon Jan 8 13:46:27 2018 -0800;1515447987
7;android.guava.src.com.google.common.collect.HashBiMap.KeySet#iterator();iterator();android/guava/src/com/google/common/collect/HashBiMap.java:13854:14038:13899:14037;;452;True;android.guava.src.com.google.common.collect.HashBiMap.View#iterator();iterator();android/guava/src/com/google/common/collect/HashBiMap.java:22330:23732:22375:23731;;657;True;MethodDeclaration;PULL_UP;8b4789c403e9f4e6554852228c5a701a098040ef;8b4789c403;-;-;Mon Dec 4 08:05:53 2017 -0800;1512403553;-;-;Mon Dec 4 08:21:11 2017 -0800;1512404471
8;android.guava.src.com.google.common.graph.Graphs.TransposedNetwork#allowsParallelEdges();allowsParallelEdges();android/guava/src/com/google/common/graph/Graphs.java:14229:14331:14281:14330;;437;True;android.guava.src.com.google.common.graph.ForwardingNetwork#allowsParallelEdges();allowsParallelEdges();android/guava/src/com/google/common/graph/ForwardingNetwork.java:1326:1425:1376:1424;;49;False;MethodDeclaration;PULL_UP;4a6ce819542d5fe440bd5d13956bb4e46084325c;4a6ce81954;-;-;Thu Jul 13 13:35:55 2017 -0700;1499978155;-;-;Thu Jul 13 15:31:44 2017 -0700;1499985104
9;android.guava.src.com.google.common.graph.Graphs.TransposedNetwork#isDirected();isDirected();android/guava/src/com/google/common/graph/Graphs.java:14139:14223:14182:14222;;432;True;android.guava.src.com.google.common.graph.ForwardingNetwork#isDirected();isDirected();android/guava/src/com/google/common/graph/ForwardingNetwork.java:1241:1322:1282:1321;;44;False;MethodDeclaration;PULL_UP;4a6ce819542d5fe440bd5d13956bb4e46084325c;4a6ce81954;-;-;Thu Jul 13 13:35:55 2017 -0700;1499978155;-;-;Thu Jul 13 15:31:44 2017 -0700;1499985104
