id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;android.guava.src.com.google.common.reflect.ClassPath.Scanner#scan(File,ClassLoader);scan(File,ClassLoader);android/guava/src/com/google/common/reflect/ClassPath.java:13163:13363:13258:13362;file,classloader;381;True;guava.src.com.google.common.reflect.ClassPath.LocationInfo#scanJar(File,Set,ImmutableSet.Builder);scanJar(File,Set,ImmutableSet.Builder);guava/src/com/google/common/reflect/ClassPath.java:15691:16542:15827:16541;file,scannedUris,builder;448;True;MethodDeclaration;INLINE;013381b7a8a101ad1bb03e01a70bae35eecf161b;013381b7a8;-;-;Wed Oct 28 10:03:20 2020 -0700;1603904600;-;-;Tue Nov 10 11:47:39 2020 -0500;1605026859
1;android.guava.src.com.google.common.net.InetAddresses#parseOctet(String);parseOctet(String);android/guava/src/com/google/common/net/InetAddresses.java:11899:12001:11946:12000;ipPart;298;False;android.guava.src.com.google.common.net.InetAddresses#textToNumericFormatV4(String);textToNumericFormatV4(String);android/guava/src/com/google/common/net/InetAddresses.java:8860:9599:8938:9598;ipString;210;False;MethodDeclaration;INLINE;081c486173032e6096c912e3c297c1d74eddcf93;081c486173;-;-;Fri Aug 7 07:34:20 2020 -0700;1596810860;-;-;Fri Aug 7 11:54:02 2020 -0400;1596815642
2;android.guava.src.com.google.common.io.ByteStreams#copyFileChannel(FileChannel,WritableByteChannel);copyFileChannel(FileChannel,WritableByteChannel);android/guava/src/com/google/common/io/ByteStreams.java:6020:6433:6118:6432;from,to;159;False;android.guava.src.com.google.common.io.ByteStreams#copy(ReadableByteChannel,WritableByteChannel);copy(ReadableByteChannel,WritableByteChannel);android/guava/src/com/google/common/io/ByteStreams.java:4678:5878:5118:5877;from,to;119;False;MethodDeclaration;INLINE;e839f94fb4eb1240f10763586aa92a7f701caa89;e839f94fb4;-;-;Mon Jun 15 11:37:09 2020 -0700;1592246229;-;-;Tue Jun 16 11:32:51 2020 -0400;1592321571
3;guava.src.com.google.common.io.MoreFiles#fileTreeChildren(Path);fileTreeChildren(Path);guava/src/com/google/common/io/MoreFiles.java:13029:13402:13087:13401;dir;332;False;guava.src.com.google.common.io.MoreFiles.DirectoryTreeTraverser#children(Path);children(Path);guava/src/com/google/common/io/MoreFiles.java:11295:11686:11351:11685;dir;292;True;MethodDeclaration;INLINE;1dee5c1bb5dcfec9ea9c7703262638fda07a7e16;1dee5c1bb5;-;-;Tue Nov 7 09:42:00 2017 -0800;1510076520;-;-;Tue Nov 7 11:23:32 2017 -0800;1510082612
4;android.guava.src.com.google.common.hash.AbstractStreamingHasher#putBytesInternal(ByteBuffer);putBytesInternal(ByteBuffer);android/guava/src/com/google/common/hash/AbstractStreamingHasher.java:3973:4752:4029:4751;readBuffer;111;False;android.guava.src.com.google.common.hash.AbstractStreamingHasher#putBytes(ByteBuffer);putBytes(ByteBuffer);android/guava/src/com/google/common/hash/AbstractStreamingHasher.java:3695:4466:3743:4465;readBuffer;100;False;MethodDeclaration;INLINE;69804d7f9f7acd0a92cb73311252df2bc58e8cf7;69804d7f9f;-;-;Tue Jun 6 16:59:08 2017 -0700;1496793548;-;-;Wed Jun 7 07:53:59 2017 -0700;1496847239
5;guava.src.com.google.common.reflect.TypeResolver.WildcardCapturer#capture(Type[]);capture(Type[]);guava/src/com/google/common/reflect/TypeResolver.java:19496:19701:19534:19700;types;464;True;guava.src.com.google.common.reflect.TypeResolver.WildcardCapturer#capture(Type);capture(Type);guava/src/com/google/common/reflect/TypeResolver.java:18003:19567:18034:19566;type;429;True;MethodDeclaration;INLINE;2b8af31fb49ecabdbefe66df8b369e1b137d10f2;2b8af31fb4;-;-;Thu Mar 16 09:21:24 2017 -0700;1489681284;-;-;Thu Mar 16 09:51:05 2017 -0700;1489683065
6;guava.src.com.google.common.graph.Graphs#toString(Network);toString(Network);guava/src/com/google/common/graph/Graphs.java:10262:10607:10439:10606;graph;327;False;guava.src.com.google.common.graph.AbstractNetwork#toString();toString();guava/src/com/google/common/graph/AbstractNetwork.java:2398:2684:2531:2683;;92;False;MethodDeclaration;INLINE;a01998946b92508ab53b3fc8939744c1061dd135;a01998946b;-;-;Thu Jul 14 21:59:15 2016 -0700;1468558755;-;-;Fri Jul 15 04:42:39 2016 -0700;1468582959
7;guava.src.com.google.common.graph.Graphs#toString(Graph);toString(Graph);guava/src/com/google/common/graph/Graphs.java:9864:10258:10036:10257;graph;313;False;guava.src.com.google.common.graph.AbstractGraph#toString();toString();guava/src/com/google/common/graph/AbstractGraph.java:2733:2992:2866:2991;;100;False;MethodDeclaration;INLINE;a01998946b92508ab53b3fc8939744c1061dd135;a01998946b;-;-;Thu Jul 14 21:59:15 2016 -0700;1468558755;-;-;Fri Jul 15 04:42:39 2016 -0700;1468582959
8;guava.src.com.google.common.graph.Graphs#equal(Network,Network);equal(Network,Network);guava/src/com/google/common/graph/Graphs.java:8652:9374:8874:9373;graph1,graph2;266;False;guava.src.com.google.common.graph.AbstractNetwork#equals(Object);equals(Object);guava/src/com/google/common/graph/AbstractNetwork.java:1630:2182:1687:2181;obj;55;False;MethodDeclaration;INLINE;a01998946b92508ab53b3fc8939744c1061dd135;a01998946b;-;-;Thu Jul 14 21:59:15 2016 -0700;1468558755;-;-;Fri Jul 15 04:42:39 2016 -0700;1468582959
9;guava-gwt.src-super.com.google.common.io.super.com.google.common.io.BaseEncoding.StandardBaseEncoding#newInstance(Alphabet,Character);newInstance(Alphabet,Character);guava-gwt/src-super/com/google/common/io/super/com/google/common/io/BaseEncoding.java:23286:23432:23364:23431;alphabet,paddingChar;666;True;guava-gwt.src-super.com.google.common.io.super.com.google.common.io.BaseEncoding.StandardBaseEncoding#withPadChar(char);withPadChar(char);guava-gwt/src-super/com/google/common/io/super/com/google/common/io/BaseEncoding.java:22277:22564:22338:22563;padChar;642;True;MethodDeclaration;INLINE;4b6523ea39b8e476471e98a132335623a63e59f6;4b6523ea39;-;-;Mon Feb 16 11:21:58 2015 -0800;1424114518;-;-;Thu Feb 19 11:22:15 2015 -0500;1424362935
