entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
android.guava.src.com.google.common.collect.Synchronized#nullableSynchronizedEntry(Entry,Object);nullableSynchronizedEntry(Entry,Object);android/guava/src/com/google/common/collect/Synchronized.java:43833:44206:44102:44205;entry,mutex;1653;False;guava.src.com.google.common.collect.Synchronized#nullableSynchronizedEntry(Map.Entry,Object);nullableSynchronizedEntry(Map.Entry,Object);guava/src/com/google/common/collect/Synchronized.java:47539:47920:47816:47919;entry,mutex;1799;False;MethodDeclaration;MOVE;3381ffa023b1937fceb20977aef68aaf5ce84b21;3381ffa023;-;-;Wed Aug 4 19:30:29 2021 -0700;1628130629;-;-;Wed Aug 4 19:32:36 2021 -0700;1628130756
guava.src.com.google.common.collect.Synchronized.SynchronizedEntry#new(Entry,Object);new(Entry,Object);guava/src/com/google/common/collect/Synchronized.java:48043:48148:48112:48147;delegate,mutex;1814;True;guava.src.com.google.common.collect.Synchronized.SynchronizedEntry#new(Map.Entry,Object);new(Map.Entry,Object);guava/src/com/google/common/collect/Synchronized.java:48150:48259:48223:48258;delegate,mutex;1814;True;MethodDeclaration;CHANGE_SIGNATURE;3381ffa023b1937fceb20977aef68aaf5ce84b21;3381ffa023;-;-;Wed Aug 4 19:30:29 2021 -0700;1628130629;-;-;Wed Aug 4 19:32:36 2021 -0700;1628130756
guava.src.com.google.common.collect.Synchronized#nullableSynchronizedEntry(Entry,Object);nullableSynchronizedEntry(Entry,Object);guava/src/com/google/common/collect/Synchronized.java:47444:47817:47713:47816;entry,mutex;1799;False;android.guava.src.com.google.common.collect.Synchronized#nullableSynchronizedEntry(Map.Entry,Object);nullableSynchronizedEntry(Map.Entry,Object);android/guava/src/com/google/common/collect/Synchronized.java:43928:44309:44205:44308;entry,mutex;1653;False;MethodDeclaration;MOVE;3381ffa023b1937fceb20977aef68aaf5ce84b21;3381ffa023;-;-;Wed Aug 4 19:30:29 2021 -0700;1628130629;-;-;Wed Aug 4 19:32:36 2021 -0700;1628130756
android.guava.src.com.google.common.collect.Synchronized.SynchronizedEntry#new(Entry,Object);new(Entry,Object);android/guava/src/com/google/common/collect/Synchronized.java:44432:44537:44501:44536;delegate,mutex;1668;True;android.guava.src.com.google.common.collect.Synchronized.SynchronizedEntry#new(Map.Entry,Object);new(Map.Entry,Object);android/guava/src/com/google/common/collect/Synchronized.java:44539:44648:44612:44647;delegate,mutex;1668;True;MethodDeclaration;CHANGE_SIGNATURE;3381ffa023b1937fceb20977aef68aaf5ce84b21;3381ffa023;-;-;Wed Aug 4 19:30:29 2021 -0700;1628130629;-;-;Wed Aug 4 19:32:36 2021 -0700;1628130756
guava.src.com.google.common.collect.CompactHashing#remove(Object,Object,int,Object,int[],Object[],Object@Nullable[]);remove(Object,Object,int,Object,int[],Object[],Object@Nullable[]);guava/src/com/google/common/collect/CompactHashing.java:5109:6313:5299:6312;key,value,mask,table,entries,keys,values;145;False;guava.src.com.google.common.collect.CompactHashing#remove(Object,Object,int,Object,int[],Object[],Object[]);remove(Object,Object,int,Object,int[],Object[],Object[]);guava/src/com/google/common/collect/CompactHashing.java:5180:6415:5401:6414;key,value,mask,table,entries,keys,values;147;False;MethodDeclaration;CHANGE_SIGNATURE;9851ee47f9e1248ab347c60cd5dbbe47bd43e82f;9851ee47f9;-;-;Sat Jul 24 12:10:47 2021 -0700;1627153847;-;-;Sat Jul 24 12:17:18 2021 -0700;1627154238
android.guava.src.com.google.common.collect.HashBiMap#unsafeNull();unsafeNull();android/guava/src/com/google/common/collect/HashBiMap.java:37126:37376:37355:37375;;1149;False;guava.src.com.google.common.collect.NullnessCasts#unsafeNull();unsafeNull();guava/src/com/google/common/collect/NullnessCasts.java:3188:3518:3497:3517;;59;False;MethodDeclaration;MOVE;9851ee47f9e1248ab347c60cd5dbbe47bd43e82f;9851ee47f9;-;-;Sat Jul 24 12:10:47 2021 -0700;1627153847;-;-;Sat Jul 24 12:17:18 2021 -0700;1627154238
android.guava.src.com.google.common.collect.TreeBasedTable.TreeRow#wholeRow();wholeRow();android/guava/src/com/google/common/collect/TreeBasedTable.java:9026:9240:9054:9239;;252;True;android.guava.src.com.google.common.collect.TreeBasedTable.TreeRow#updateWholeRowField();updateWholeRowField();android/guava/src/com/google/common/collect/TreeBasedTable.java:9238:9429:9266:9428;;255;True;MethodDeclaration;RENAME;ddc7ef00581978f987f7c7b44c1c319f915bbb38;ddc7ef0058;-;-;Thu Jul 15 08:36:07 2021 -0700;1626363367;-;-;Thu Jul 15 08:41:16 2021 -0700;1626363676
guava.src.com.google.common.collect.TreeBasedTable.TreeRow#wholeRow();wholeRow();guava/src/com/google/common/collect/TreeBasedTable.java:8992:9206:9020:9205;;252;True;guava.src.com.google.common.collect.TreeBasedTable.TreeRow#updateWholeRowField();updateWholeRowField();guava/src/com/google/common/collect/TreeBasedTable.java:9238:9429:9266:9428;;255;True;MethodDeclaration;RENAME;ddc7ef00581978f987f7c7b44c1c319f915bbb38;ddc7ef0058;-;-;Thu Jul 15 08:36:07 2021 -0700;1626363367;-;-;Thu Jul 15 08:41:16 2021 -0700;1626363676
guava.src.com.google.common.collect.RegularImmutableMap#get(Object,ImmutableMapEntry@Nullable[],int);get(Object,ImmutableMapEntry@Nullable[],int);guava/src/com/google/common/collect/RegularImmutableMap.java:6234:7035:6348:7034;key,keyTable,mask;157;False;guava.src.com.google.common.collect.RegularImmutableMap#get(Object,ImmutableMapEntry[],int);get(Object,ImmutableMapEntry[],int);guava/src/com/google/common/collect/RegularImmutableMap.java:6786:7622:6935:7621;key,keyTable,mask;165;False;MethodDeclaration;CHANGE_SIGNATURE;0c40611d201488ee016fd132c90a636323f9f42c;0c40611d20;-;-;Wed Jul 7 11:35:31 2021 -0700;1625682931;-;-;Wed Jul 7 11:38:40 2021 -0700;1625683120
android.guava.src.com.google.common.collect.ForwardingSortedSet#unsafeCompare(Object,Object);unsafeCompare(Object,Object);android/guava/src/com/google/common/collect/ForwardingSortedSet.java:3425:3735:3535:3734;o1,o2;94;False;android.guava.src.com.google.common.collect.ForwardingSortedMap#unsafeCompare(Comparator,Object,Object);unsafeCompare(Comparator,Object,Object);android/guava/src/com/google/common/collect/ForwardingSortedMap.java:4133:4494:4303:4493;comparator,o1,o2;115;False;MethodDeclaration;MOVE;6c23d7a636c9fc403053c4660dff55ed567b5740;6c23d7a636;-;-;Tue Jun 29 12:39:27 2021 -0700;1624995567;-;-;Tue Jun 29 12:42:21 2021 -0700;1624995741
guava.src.com.google.common.collect.ForwardingSortedSet#unsafeCompare(Object,Object);unsafeCompare(Object,Object);guava/src/com/google/common/collect/ForwardingSortedSet.java:3415:3717:3517:3716;o1,o2;94;False;guava.src.com.google.common.collect.ForwardingSortedMap#unsafeCompare(Comparator,Object,Object);unsafeCompare(Comparator,Object,Object);guava/src/com/google/common/collect/ForwardingSortedMap.java:4133:4494:4303:4493;comparator,o1,o2;115;False;MethodDeclaration;MOVE;6c23d7a636c9fc403053c4660dff55ed567b5740;6c23d7a636;-;-;Tue Jun 29 12:39:27 2021 -0700;1624995567;-;-;Tue Jun 29 12:42:21 2021 -0700;1624995741
guava.src.com.google.common.collect.LinkedListMultimap#getCopy(Object);getCopy(Object);guava/src/com/google/common/collect/LinkedListMultimap.java:19429:19559:19476:19558;key;641;False;guava.src.com.google.common.collect.LinkedListMultimap#getCopy(K);getCopy(K);guava/src/com/google/common/collect/LinkedListMultimap.java:21305:21440:21357:21439;key;671;False;MethodDeclaration;CHANGE_SIGNATURE;bd26a8c8139d4e65f38dfd3a2ab9753e3e3e35ba;bd26a8c813;-;-;Tue Jun 15 14:05:29 2021 -0700;1623791129;-;-;Tue Jun 15 14:08:00 2021 -0700;1623791280
guava.src.com.google.common.collect.LinkedListMultimap.ValueForKeyIterator#new(Object,int);new(Object,int);guava/src/com/google/common/collect/LinkedListMultimap.java:15281:16261:15742:16260;key,index;470;True;guava.src.com.google.common.collect.LinkedListMultimap.ValueForKeyIterator#new(K,int);new(K,int);guava/src/com/google/common/collect/LinkedListMultimap.java:16908:17893:17374:17892;key,index;495;True;MethodDeclaration;CHANGE_SIGNATURE;bd26a8c8139d4e65f38dfd3a2ab9753e3e3e35ba;bd26a8c813;-;-;Tue Jun 15 14:05:29 2021 -0700;1623791129;-;-;Tue Jun 15 14:08:00 2021 -0700;1623791280
