id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;lottie.src.main.com.airbnb.lottie.LottieDrawable#setProgress(float);setProgress(float);lottie/src/main/java/com/airbnb/lottie/LottieDrawable.java:25403:25915:25482:25914;progress;810;False;lottie.src.main.com.airbnb.lottie.LottieComposition#getFrameForProgress(float);getFrameForProgress(float);lottie/src/main/java/com/airbnb/lottie/LottieComposition.java:4601:4714:4651:4713;progress;154;False;MethodDeclaration;EXTRACT_MOVE;a30a2ab145393f3d19de3409e633fed9df7cf3fd;a30a2ab1;-;-;Sun Jun 27 22:15:00 2021 -0700;1624857300;-;-;Sun Jun 27 22:15:00 2021 -0700;1624857300
1;lottie.src.main.com.airbnb.lottie.parser.KeyframeParser#parseKeyframe(LottieComposition,JsonReader,float,ValueParser);parseKeyframe(LottieComposition,JsonReader,float,ValueParser);lottie/src/main/java/com/airbnb/lottie/parser/KeyframeParser.java:2532:6383:2822:6382;composition,reader,scale,valueParser;74;False;lottie.src.main.com.airbnb.lottie.parser.KeyframeParser#interpolatorFor(PointF,PointF);interpolatorFor(PointF,PointF);lottie/src/main/java/com/airbnb/lottie/parser/KeyframeParser.java:10412:12306:10481:12305;cp1,cp2;313;False;MethodDeclaration;EXTRACT;accd634bd25588e4f0ef90c83194e54291e274a6;accd634b;-;-;Sun Dec 27 01:18:13 2020 -0800;1609060693;-;-;Sun Dec 27 01:18:13 2020 -0800;1609060693
2;lottie.src.main.com.airbnb.lottie.animation.keyframe.PointKeyframeAnimation#getValue(Keyframe,float);getValue(Keyframe,float);lottie/src/main/java/com/airbnb/lottie/animation/keyframe/PointKeyframeAnimation.java:361:1185:446:1184;keyframe,keyframeProgress;16;False;lottie.src.main.com.airbnb.lottie.animation.keyframe.PointKeyframeAnimation#getValue(Keyframe,float,float,float);getValue(Keyframe,float,float,float);lottie/src/main/java/com/airbnb/lottie/animation/keyframe/PointKeyframeAnimation.java:539:1426:683:1425;keyframe,linearKeyframeProgress,xKeyframeProgress,yKeyframeProgress;20;False;MethodDeclaration;EXTRACT;accd634bd25588e4f0ef90c83194e54291e274a6;accd634b;-;-;Sun Dec 27 01:18:13 2020 -0800;1609060693;-;-;Sun Dec 27 01:18:13 2020 -0800;1609060693
3;lottie.src.main.com.airbnb.lottie.network.NetworkFetcher#getResultFromConnection(HttpURLConnection);getResultFromConnection(HttpURLConnection);lottie/src/main/java/com/airbnb/lottie/network/NetworkFetcher.java:4174:5820:4300:5819;connection;140;False;lottie.src.main.com.airbnb.lottie.network.NetworkFetcher#fromJsonStream(String,InputStream,String);fromJsonStream(String,InputStream,String);lottie/src/main/java/com/airbnb/lottie/network/NetworkFetcher.java:4578:5080:4752:5079;url,inputStream,cacheKey;138;False;MethodDeclaration;EXTRACT;81b4e7873bd00312775a34c0ab9a2a3d2a641ae8;81b4e787;-;-;Mon Oct 19 18:40:02 2020 +0300;1603122002;-;-;Mon Oct 19 08:40:02 2020 -0700;1603122002
4;lottie.src.main.com.airbnb.lottie.network.NetworkFetcher#getResultFromConnection(HttpURLConnection);getResultFromConnection(HttpURLConnection);lottie/src/main/java/com/airbnb/lottie/network/NetworkFetcher.java:4174:5820:4300:5819;connection;140;False;lottie.src.main.com.airbnb.lottie.network.NetworkFetcher#fromZipStream(String,InputStream,String);fromZipStream(String,InputStream,String);lottie/src/main/java/com/airbnb/lottie/network/NetworkFetcher.java:4074:4574:4247:4573;url,inputStream,cacheKey;128;False;MethodDeclaration;EXTRACT;81b4e7873bd00312775a34c0ab9a2a3d2a641ae8;81b4e787;-;-;Mon Oct 19 18:40:02 2020 +0300;1603122002;-;-;Mon Oct 19 08:40:02 2020 -0700;1603122002
5;lottie.src.main.com.airbnb.lottie.LottieCompositionFactory#fromUrlSync(Context,String);fromUrlSync(Context,String);lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java:3218:3648:3593:3647;context,url;89;False;lottie.src.main.com.airbnb.lottie.LottieCompositionFactory#fromUrlSync(Context,String,String);fromUrlSync(Context,String,String);lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java:3876:4343:4278:4342;context,url,cacheKey;107;False;MethodDeclaration;EXTRACT;58b6b758b27c0a8388659112eb10e0be22d2a71c;58b6b758;-;-;Sat Feb 15 19:49:02 2020 -0800;1581824942;-;-;Sat Feb 15 19:49:02 2020 -0800;1581824942
6;lottie.src.main.com.airbnb.lottie.LottieCompositionFactory#fromRawResSync(Context,int);fromRawResSync(Context,int);lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java:6013:6773:6552:6772;context,rawRes;149;False;lottie.src.main.com.airbnb.lottie.LottieCompositionFactory#fromRawResSync(Context,int,String);fromRawResSync(Context,int,String);lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java:9380:10198:10000:10197;context,rawRes,cacheKey;220;False;MethodDeclaration;EXTRACT;ee942249214dd6bb1540b746ca0b678a6382b5ee;ee942249;-;-;Sat Nov 30 14:47:35 2019 -0800;1575154055;-;-;Sat Nov 30 14:47:35 2019 -0800;1575154055
7;lottie.src.main.com.airbnb.lottie.LottieCompositionFactory#fromAssetSync(Context,String);fromAssetSync(Context,String);lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java:4025:4910:4548:4909;context,fileName;107;False;lottie.src.main.com.airbnb.lottie.LottieCompositionFactory#fromAssetSync(Context,String,String);fromAssetSync(Context,String,String);lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java:5948:6871:6554:6870;context,fileName,cacheKey;148;False;MethodDeclaration;EXTRACT;ee942249214dd6bb1540b746ca0b678a6382b5ee;ee942249;-;-;Sat Nov 30 14:47:35 2019 -0800;1575154055;-;-;Sat Nov 30 14:47:35 2019 -0800;1575154055
8;lottie.src.main.com.airbnb.lottie.LottieCompositionFactory#fromUrl(Context,String);fromUrl(Context,String);lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java:2119:2748:2484:2747;context,url;64;False;lottie.src.main.com.airbnb.lottie.LottieCompositionFactory#fromUrl(Context,String,String);fromUrl(Context,String,String);lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java:2600:3214:2992:3213;context,url,cacheKey;75;False;MethodDeclaration;EXTRACT;ee942249214dd6bb1540b746ca0b678a6382b5ee;ee942249;-;-;Sat Nov 30 14:47:35 2019 -0800;1575154055;-;-;Sat Nov 30 14:47:35 2019 -0800;1575154055
9;lottie.src.main.com.airbnb.lottie.LottieCompositionFactory#fromRawRes(Context,int);fromRawRes(Context,int);lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java:4915:6009:5438:6008;context,rawRes;128;False;lottie.src.main.com.airbnb.lottie.LottieCompositionFactory#fromRawRes(Context,int,String);fromRawRes(Context,int,String);lottie/src/main/java/com/airbnb/lottie/LottieCompositionFactory.java:7540:8692:8144:8691;context,rawRes,cacheKey;183;False;MethodDeclaration;EXTRACT;ee942249214dd6bb1540b746ca0b678a6382b5ee;ee942249;-;-;Sat Nov 30 14:47:35 2019 -0800;1575154055;-;-;Sat Nov 30 14:47:35 2019 -0800;1575154055
