id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;lottie.src.main.com.airbnb.lottie.network.NetworkFetcher#getErrorFromConnection(HttpURLConnection);getErrorFromConnection(HttpURLConnection);lottie/src/main/java/com/airbnb/lottie/network/NetworkFetcher.java:3574:4170:3662:4169;connection;118;False;lottie.src.main.com.airbnb.lottie.network.DefaultLottieFetchResult#getErrorFromConnection(HttpURLConnection);getErrorFromConnection(HttpURLConnection);lottie/src/main/java/com/airbnb/lottie/network/DefaultLottieFetchResult.java:1363:1906:1451:1905;connection;53;False;MethodDeclaration;MOVE;81b4e7873bd00312775a34c0ab9a2a3d2a641ae8;81b4e787;-;-;Mon Oct 19 18:40:02 2020 +0300;1603122002;-;-;Mon Oct 19 08:40:02 2020 -0700;1603122002
1;lottie.src.main.com.airbnb.lottie.model.layer.BaseLayer#saveLayerCompat(Canvas,RectF,Paint,boolean);saveLayerCompat(Canvas,RectF,Paint,boolean);lottie/src/main/java/com/airbnb/lottie/model/layer/BaseLayer.java:6082:6644:6198:6643;canvas,rect,paint,all;169;False;lottie.src.main.com.airbnb.lottie.utils.Utils#saveLayerCompat(Canvas,RectF,Paint,int);saveLayerCompat(Canvas,RectF,Paint,int);lottie/src/main/java/com/airbnb/lottie/utils/Utils.java:8230:8719:8316:8718;canvas,rect,paint,flag;272;False;MethodDeclaration;MOVE;5e12628a0ded9eb37473a3b7b54d0cccf8ef86be;5e12628a;-;-;Tue Sep 3 23:38:03 2019 +0900;1567521483;-;-;Tue Sep 3 07:38:03 2019 -0700;1567521483
2;lottie.src.main.com.airbnb.lottie.parser.LottieCompositionParser#parseMarkers(JsonReader,LottieComposition,List);parseMarkers(JsonReader,LottieComposition,List);lottie/src/main/java/com/airbnb/lottie/parser/LottieCompositionParser.java:6717:7549:6848:7548;reader,composition,markers;211;False;lottie.src.main.com.airbnb.lottie.parser.LottieCompositionMoshiParser#parseMarkers(JsonReader,LottieComposition,List);parseMarkers(JsonReader,LottieComposition,List);lottie/src/main/java/com/airbnb/lottie/parser/LottieCompositionMoshiParser.java:7446:8314:7577:8313;reader,composition,markers;243;False;MethodDeclaration;MOVE;2354bad616c417aa246ec72a95aa372274d31250;2354bad6;-;-;Thu May 30 13:57:21 2019 -0700;1559249841;-;-;Thu May 30 13:57:21 2019 -0700;1559249841
3;lottie.src.main.com.airbnb.lottie.parser.LottieCompositionParser#parseAssets(JsonReader,LottieComposition,Map,Map);parseAssets(JsonReader,LottieComposition,Map,Map);lottie/src/main/java/com/airbnb/lottie/parser/LottieCompositionParser.java:4077:5804:4258:5803;reader,composition,precomps,images;125;False;lottie.src.main.com.airbnb.lottie.parser.LottieCompositionMoshiParser#parseAssets(JsonReader,LottieComposition,Map,Map);parseAssets(JsonReader,LottieComposition,Map,Map);lottie/src/main/java/com/airbnb/lottie/parser/LottieCompositionMoshiParser.java:4535:6289:4716:6288;reader,composition,precomps,images;147;False;MethodDeclaration;MOVE;2354bad616c417aa246ec72a95aa372274d31250;2354bad6;-;-;Thu May 30 13:57:21 2019 -0700;1559249841;-;-;Thu May 30 13:57:21 2019 -0700;1559249841
4;lottie.src.main.com.airbnb.lottie.parser.LottieCompositionParser#parseChars(JsonReader,LottieComposition,SparseArrayCompat);parseChars(JsonReader,LottieComposition,SparseArrayCompat);lottie/src/main/java/com/airbnb/lottie/parser/LottieCompositionParser.java:6330:6713:6489:6712;reader,composition,characters;200;False;lottie.src.main.com.airbnb.lottie.parser.LottieCompositionMoshiParser#parseChars(JsonReader,LottieComposition,SparseArrayCompat);parseChars(JsonReader,LottieComposition,SparseArrayCompat);lottie/src/main/java/com/airbnb/lottie/parser/LottieCompositionMoshiParser.java:6938:7321:7097:7320;reader,composition,characters;226;False;MethodDeclaration;MOVE;2354bad616c417aa246ec72a95aa372274d31250;2354bad6;-;-;Thu May 30 13:57:21 2019 -0700;1559249841;-;-;Thu May 30 13:57:21 2019 -0700;1559249841
5;lottie.src.main.com.airbnb.lottie.parser.LottieCompositionParser#parseFonts(JsonReader,Map);parseFonts(JsonReader,Map);lottie/src/main/java/com/airbnb/lottie/parser/LottieCompositionParser.java:5808:6326:5903:6325;reader,fonts;181;False;lottie.src.main.com.airbnb.lottie.parser.LottieCompositionMoshiParser#parseFonts(JsonReader,Map);parseFonts(JsonReader,Map);lottie/src/main/java/com/airbnb/lottie/parser/LottieCompositionMoshiParser.java:6380:6934:6475:6933;reader,fonts;206;False;MethodDeclaration;MOVE;2354bad616c417aa246ec72a95aa372274d31250;2354bad6;-;-;Thu May 30 13:57:21 2019 -0700;1559249841;-;-;Thu May 30 13:57:21 2019 -0700;1559249841
6;lottie.src.main.com.airbnb.lottie.model.animatable.AnimatablePathValue#createAnimatablePathOrSplitDimensionPath(JsonReader,LottieComposition);createAnimatablePathOrSplitDimensionPath(JsonReader,LottieComposition);lottie/src/main/java/com/airbnb/lottie/model/animatable/AnimatablePathValue.java:873:2291:1037:2290;reader,composition;24;False;lottie.src.main.com.airbnb.lottie.parser.AnimatablePathValueParser#parseSplitPath(JsonReader,LottieComposition);parseSplitPath(JsonReader,LottieComposition);lottie/src/main/java/com/airbnb/lottie/parser/AnimatablePathValueParser.java:1303:2815:1553:2814;reader,composition;39;False;MethodDeclaration;MOVE_RENAME;afaee424bb0e91e419035de28973df6e514dda2b;afaee424;-;-;Mon Jan 15 15:31:09 2018 -0800;1516059069;-;-;Mon Jan 15 15:31:09 2018 -0800;1516059069
7;lottie.src.main.com.airbnb.lottie.model.CompositionLoader#cancel();cancel();lottie/src/main/java/com/airbnb/lottie/model/CompositionLoader.java:277:331:309:330;;10;False;lottie.src.main.com.airbnb.lottie.parser.AsyncCompositionLoader#cancel();cancel();lottie/src/main/java/com/airbnb/lottie/parser/AsyncCompositionLoader.java:979:1034:1012:1033;;32;False;MethodDeclaration;MOVE;4eda1daf29a9e099b1e30555bad08501d6e2b83e;4eda1daf;-;-;Mon Jan 15 15:24:34 2018 -0800;1516058674;-;-;Mon Jan 15 15:24:34 2018 -0800;1516058674
8;lottie.src.main.com.airbnb.lottie.model.animatable.AnimatableFloatValue.Factory#newInstance(JsonReader,LottieComposition,boolean);newInstance(JsonReader,LottieComposition,boolean);lottie/src/main/java/com/airbnb/lottie/model/animatable/AnimatableFloatValue.java:1560:1891:1700:1890;reader,composition,isDp;57;True;lottie.src.main.com.airbnb.lottie.parser.AnimatableValueParser#parseFloat(JsonReader,LottieComposition,boolean);parseFloat(JsonReader,LottieComposition,boolean);lottie/src/main/java/com/airbnb/lottie/parser/AnimatableValueParser.java:1074:1340:1211:1339;reader,composition,isDp;30;False;MethodDeclaration;MOVE_RENAME;0a9307b239bcdfb9529c99d8d8597b96a42358dd;0a9307b2;-;-;Mon Jan 15 15:12:53 2018 -0800;1516057973;-;-;Mon Jan 15 15:12:53 2018 -0800;1516057973
9;lottie.src.main.com.airbnb.lottie.model.animatable.AnimatableIntegerValue.ValueFactory#valueFromObject(JsonReader,float);valueFromObject(JsonReader,float);lottie/src/main/java/com/airbnb/lottie/model/animatable/AnimatableIntegerValue.java:1477:1644:1570:1643;reader,scale;54;True;lottie.src.main.com.airbnb.lottie.parser.IntegerParser#parse(JsonReader,float);parse(JsonReader,float);lottie/src/main/java/com/airbnb/lottie/parser/IntegerParser.java:302:455:385:454;reader,scale;14;False;MethodDeclaration;MOVE_RENAME;0a9307b239bcdfb9529c99d8d8597b96a42358dd;0a9307b2;-;-;Mon Jan 15 15:12:53 2018 -0800;1516057973;-;-;Mon Jan 15 15:12:53 2018 -0800;1516057973
