id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;retrofit.src.main.retrofit2.ServiceMethod.Builder#parseMethodAnnotation(Annotation);parseMethodAnnotation(Annotation);retrofit/src/main/java/retrofit2/ServiceMethod.java:9252:11181:9311:11180;annotation;249;True;retrofit.src.main.retrofit2.RequestFactory.Builder#methodError(String,Object[]);methodError(String,Object[]);retrofit/src/main/java/retrofit2/RequestFactory.java:29633:29756:29703:29755;message,args;688;True;MethodDeclaration;EXTRACT_MOVE;cd333f70365952602a9ec35ac97cff0c20e3a132;cd333f70;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235
1;retrofit.src.main.retrofit2.ServiceMethod.Builder#parseHttpMethodAndPath(String,String,boolean);parseHttpMethodAndPath(String,String,boolean);retrofit/src/main/java/retrofit2/ServiceMethod.java:11187:12261:11274:12260;httpMethod,value,hasBody;289;True;retrofit.src.main.retrofit2.RequestFactory.Builder#methodError(String,Object[]);methodError(String,Object[]);retrofit/src/main/java/retrofit2/RequestFactory.java:29633:29756:29703:29755;message,args;688;True;MethodDeclaration;EXTRACT_MOVE;cd333f70365952602a9ec35ac97cff0c20e3a132;cd333f70;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235
2;retrofit.src.main.retrofit2.ServiceMethod.Builder#parameterError(int,String,Object[]);parameterError(int,String,Object[]);retrofit/src/main/java/retrofit2/ServiceMethod.java:33167:33328:33247:33327;p,message,args;768;True;retrofit.src.main.retrofit2.RequestFactory.Builder#methodError(String,Object[]);methodError(String,Object[]);retrofit/src/main/java/retrofit2/RequestFactory.java:29633:29756:29703:29755;message,args;688;True;MethodDeclaration;EXTRACT_MOVE;cd333f70365952602a9ec35ac97cff0c20e3a132;cd333f70;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235
3;retrofit.src.main.retrofit2.ServiceMethod#toCall(Object[]);toCall(Object[]);retrofit/src/main/java/retrofit2/ServiceMethod.java:3582:4469:3703:4468;args;100;False;retrofit.src.main.retrofit2.RequestFactory#create(Object[]);create(Object[]);retrofit/src/main/java/retrofit2/RequestFactory.java:2673:3486:2741:3485;args;85;False;MethodDeclaration;EXTRACT_MOVE;cd333f70365952602a9ec35ac97cff0c20e3a132;cd333f70;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235
4;retrofit.src.main.retrofit2.ServiceMethod.Builder#parseHeaders(String[]);parseHeaders(String[]);retrofit/src/main/java/retrofit2/ServiceMethod.java:12267:13155:12315:13154;headers;317;True;retrofit.src.main.retrofit2.RequestFactory.Builder#methodError(String,Object[]);methodError(String,Object[]);retrofit/src/main/java/retrofit2/RequestFactory.java:29633:29756:29703:29755;message,args;688;True;MethodDeclaration;EXTRACT_MOVE;cd333f70365952602a9ec35ac97cff0c20e3a132;cd333f70;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235
5;retrofit-mock.src.main.retrofit2.mock.NetworkBehavior#setVariancePercent(int);setVariancePercent(int);retrofit-mock/src/main/java/retrofit2/mock/NetworkBehavior.java:3583:3922:3720:3921;variancePercent;95;False;retrofit-mock.src.main.retrofit2.mock.NetworkBehavior#checkPercentageValidity(int,String);checkPercentageValidity(int,String);retrofit-mock/src/main/java/retrofit2/mock/NetworkBehavior.java:7556:7740:7633:7739;percentage,message;204;False;MethodDeclaration;EXTRACT;39fcdb46e07f2f14319a4031d86bf8f3dbd1d405;39fcdb46;-;-;Fri Feb 24 23:21:33 2017 +0530;1487958693;-;-;Fri Feb 24 12:51:33 2017 -0500;1487958693
6;retrofit-mock.src.main.retrofit2.mock.NetworkBehavior#setFailurePercent(int);setFailurePercent(int);retrofit-mock/src/main/java/retrofit2/mock/NetworkBehavior.java:4072:4416:4219:4415;failurePercent;108;False;retrofit-mock.src.main.retrofit2.mock.NetworkBehavior#checkPercentageValidity(int,String);checkPercentageValidity(int,String);retrofit-mock/src/main/java/retrofit2/mock/NetworkBehavior.java:7556:7740:7633:7739;percentage,message;204;False;MethodDeclaration;EXTRACT;39fcdb46e07f2f14319a4031d86bf8f3dbd1d405;39fcdb46;-;-;Fri Feb 24 23:21:33 2017 +0530;1487958693;-;-;Fri Feb 24 12:51:33 2017 -0500;1487958693
7;retrofit-mock.src.main.retrofit2.mock.NetworkBehavior#setErrorPercent(int);setErrorPercent(int);retrofit-mock/src/main/java/retrofit2/mock/NetworkBehavior.java:5288:5616:5429:5615;errorPercent;144;False;retrofit-mock.src.main.retrofit2.mock.NetworkBehavior#checkPercentageValidity(int,String);checkPercentageValidity(int,String);retrofit-mock/src/main/java/retrofit2/mock/NetworkBehavior.java:7556:7740:7633:7739;percentage,message;204;False;MethodDeclaration;EXTRACT;39fcdb46e07f2f14319a4031d86bf8f3dbd1d405;39fcdb46;-;-;Fri Feb 24 23:21:33 2017 +0530;1487958693;-;-;Fri Feb 24 12:51:33 2017 -0500;1487958693
8;retrofit-adapters.r.src.main.retrofit2.RxJavaCallAdapterFactory#getCallAdapter(Type);getCallAdapter(Type);retrofit-adapters/rxjava/src/main/java/retrofit2/RxJavaCallAdapterFactory.java:2123:3203:2191:3202;returnType;64;False;retrofit.src.main.retrofit2.CallAdapter.Factory#getRawType(Type);getRawType(Type);retrofit/src/main/java/retrofit2/CallAdapter.java:2834:3098:3055:3097;type;77;True;MethodDeclaration;EXTRACT_MOVE;683b8ec048b040b7d33374a58b8193081165bcd6;683b8ec0;-;-;Mon Jan 25 23:39:33 2016 -0500;1453783173;-;-;Mon Jan 25 23:39:33 2016 -0500;1453783173
9;retrofit.src.main.retrofit2.DefaultCallAdapterFactory#get(Type,Annotation[],Retrofit);get(Type,Annotation[],Retrofit);retrofit/src/main/java/retrofit2/DefaultCallAdapterFactory.java:1107:1577:1208:1576;returnType,annotations,retrofit;29;False;retrofit.src.main.retrofit2.CallAdapter.Factory#getRawType(Type);getRawType(Type);retrofit/src/main/java/retrofit2/CallAdapter.java:2834:3098:3055:3097;type;77;True;MethodDeclaration;EXTRACT_MOVE;683b8ec048b040b7d33374a58b8193081165bcd6;683b8ec0;-;-;Mon Jan 25 23:39:33 2016 -0500;1453783173;-;-;Mon Jan 25 23:39:33 2016 -0500;1453783173
