id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;retrofit.src.main.retrofit2.Utils#getCallResponseType(Type);getCallResponseType(Type);retrofit/src/main/java/retrofit2/Utils.java:14833:15148:14883:15147;returnType;386;False;retrofit.src.main.retrofit2.DefaultCallAdapterFactory#get(Type,Annotation[],Retrofit);get(Type,Annotation[],Retrofit);retrofit/src/main/java/retrofit2/DefaultCallAdapterFactory.java:1148:2090:1267:2089;returnType,annotations,retrofit;35;False;MethodDeclaration;INLINE;0a89fc5e3f61881bd78f7886e40a039faa4230f8;0a89fc5e;-;-;Thu Feb 28 18:33:58 2019 -0500;1551396838;-;-;Thu Feb 28 18:33:58 2019 -0500;1551396838
1;retrofit.src.main.retrofit2.Utils#hashCodeOrZero(Object);hashCodeOrZero(Object);retrofit/src/main/java/retrofit2/Utils.java:6083:6165:6120:6164;o;162;False;retrofit.src.main.retrofit2.Utils.ParameterizedTypeImpl#hashCode();hashCode();retrofit/src/main/java/retrofit2/Utils.java:15156:15330:15189:15329;;400;True;MethodDeclaration;INLINE;0b56d38c45c5e07cb99f883b0b93343bb3fba9bd;0b56d38c;-;-;Wed Mar 7 08:02:28 2018 -0500;1520427748;-;-;Wed Mar 7 08:02:28 2018 -0500;1520427748
2;retrofit.src.main.retrofit2.Utils#equal(Object,Object);equal(Object,Object);retrofit/src/main/java/retrofit2/Utils.java:5976:6079:6026:6078;a,b;158;False;retrofit.src.main.retrofit2.Utils#equals(Type,Type);equals(Type,Type);retrofit/src/main/java/retrofit2/Utils.java:2607:4397:2706:4396;a,b;73;False;MethodDeclaration;INLINE;0b56d38c45c5e07cb99f883b0b93343bb3fba9bd;0b56d38c;-;-;Wed Mar 7 08:02:28 2018 -0500;1520427748;-;-;Wed Mar 7 08:02:28 2018 -0500;1520427748
3;retrofit-adapters.r.src.main.retrofit2.adapter.r.RxJavaCallAdapterFactory#getCallAdapter(Type,Scheduler);getCallAdapter(Type,Scheduler);retrofit-adapters/rxjava/src/main/java/retrofit2/adapter/rxjava/RxJavaCallAdapterFactory.java:4854:5964:4943:5963;returnType,scheduler;121;False;retrofit-adapters.r.src.main.retrofit2.adapter.r.RxJavaCallAdapterFactory#get(Type,Annotation[],Retrofit);get(Type,Annotation[],Retrofit);retrofit-adapters/rxjava/src/main/java/retrofit2/adapter/rxjava/RxJavaCallAdapterFactory.java:3151:5056:3252:5055;returnType,annotations,retrofit;82;False;MethodDeclaration;INLINE;54ccadd0a5428475c3aa89b4478429abb6ea3c67;54ccadd0;-;-;Wed Aug 17 11:22:08 2016 -0400;1471447328;-;-;Wed Aug 17 11:22:08 2016 -0400;1471447328
4;retrofit.src.main.retrofit2.MethodHandler#invoke(Object[]);invoke(Object[]);retrofit/src/main/java/retrofit2/MethodHandler.java:3356:3502:3387:3501;args;80;False;retrofit.src.main.retrofit2.Retrofit#create(Class);create(Class);retrofit/src/main/java/retrofit2/Retrofit.java:2789:6598:5582:6597;service;80;False;MethodDeclaration;INLINE;403573ab56ccf8b364d666b01129391cdccaa011;403573ab;-;-;Sun Mar 6 18:06:09 2016 -0500;1457305569;-;-;Sun Mar 6 18:06:09 2016 -0500;1457305569
5;retrofit-converters.wire.src.main.retrofit.WireConverterFactory#create(Wire);create(Wire);retrofit-converters/wire/src/main/java/retrofit/WireConverterFactory.java:1278:1442:1395:1441;wire;37;False;retrofit-converters.wire.src.main.retrofit.WireConverterFactory#create();create();retrofit-converters/wire/src/main/java/retrofit/WireConverterFactory.java:1090:1178:1135:1177;;31;False;MethodDeclaration;INLINE;588adc3557c4a701fa21f7e2dc22b064a57b0b5f;588adc35;-;-;Sat Oct 24 00:40:37 2015 -0400;1445661637;-;-;Sat Oct 24 00:40:37 2015 -0400;1445661637
6;retrofit.src.main.retrofit.Endpoint#createFixed(String);createFixed(String);retrofit/src/main/java/retrofit/Endpoint.java:159:560:266:559;url;9;False;retrofit.src.main.retrofit.Retrofit.Builder#endpoint(String);endpoint(String);retrofit/src/main/java/retrofit/Retrofit.java:6883:7175:6949:7174;url;181;True;MethodDeclaration;INLINE;00eaae229942686f571aad402890420705742b86;00eaae22;-;-;Thu Jun 11 12:26:48 2015 -0400;1434040008;-;-;Thu Jun 11 12:26:48 2015 -0400;1434040008
7;retrofit.src.main.retrofit.RestAdapter.Builder#ensureSaneDefaults();ensureSaneDefaults();retrofit/src/main/java/retrofit/RestAdapter.java:15690:16112:15725:16111;;414;True;retrofit.src.main.retrofit.RestAdapter.Builder#build();build();retrofit/src/main/java/retrofit/RestAdapter.java:8230:8978:8311:8977;;215;True;MethodDeclaration;INLINE;b7cf30902cbf06565dbc5ca5d1691686a7d2b601;b7cf3090;-;-;Mon Jun 1 01:13:42 2015 -0400;1433135622;-;-;Mon Jun 1 01:13:42 2015 -0400;1433135622
8;retrofit.src.main.retrofit.client.Response#getBody();getBody();retrofit/src/main/java/retrofit/client/Response.java:2091:2186:2165:2185;;76;False;retrofit.src.main.retrofit.RetrofitError#getBodyAs(Type);getBodyAs(Type);retrofit/src/main/java/retrofit/RetrofitError.java:4049:4618:4292:4617;type;117;False;MethodDeclaration;INLINE;763fe1639e3348480214873323caacd00cbd7fa6;763fe163;-;-;Mon Feb 2 20:52:03 2015 -0800;1422939123;-;-;Mon Feb 2 20:52:03 2015 -0800;1422939123
9;retrofit.src.main.retrofit.RequestBuilder#addQueryMapParams(String,Map);addQueryMapParams(String,Map);retrofit/src/main/java/retrofit/RequestBuilder.java:6105:6609:6160:6608;name,values;182;False;retrofit.src.main.retrofit.RequestBuilder#setArguments(Object[]);setArguments(Object[]);retrofit/src/main/java/retrofit/RequestBuilder.java:5868:10009:5902:10008;args;172;False;MethodDeclaration;INLINE;9144512ea51cbc24532f327eac705577cd6aff97;9144512e;-;-;Fri Jan 31 18:07:10 2014 -0800;1391220430;-;-;Fri Jan 31 18:07:10 2014 -0800;1391220430
