id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;retrofit.src.main.retrofit2.HttpServiceMethod.Builder#createCallAdapter();createCallAdapter();retrofit/src/main/java/retrofit2/HttpServiceMethod.java:3053:3566:3114:3565;;83;True;retrofit.src.main.retrofit2.HttpServiceMethod#createCallAdapter(Retrofit,Method);createCallAdapter(Retrofit,Method);retrofit/src/main/java/retrofit2/HttpServiceMethod.java:2254:2816:2382:2815;retrofit,method;53;False;MethodDeclaration;INTERNAL_MOVE;b9e8f5cee8fe8377839e54a61421b6d53e77173b;b9e8f5ce;-;-;Wed Sep 5 22:20:08 2018 -0400;1536200408;-;-;Wed Sep 5 22:20:08 2018 -0400;1536200408
1;retrofit.src.main.retrofit2.HttpServiceMethod.Builder#createResponseConverter();createResponseConverter();retrofit/src/main/java/retrofit2/HttpServiceMethod.java:3572:3983:3642:3982;;94;True;retrofit.src.main.retrofit2.HttpServiceMethod#createResponseConverter(Retrofit,Method,Type);createResponseConverter(Retrofit,Method,Type);retrofit/src/main/java/retrofit2/HttpServiceMethod.java:2820:3294:2967:3293;retrofit,method,responseType;65;False;MethodDeclaration;INTERNAL_MOVE;b9e8f5cee8fe8377839e54a61421b6d53e77173b;b9e8f5ce;-;-;Wed Sep 5 22:20:08 2018 -0400;1536200408;-;-;Wed Sep 5 22:20:08 2018 -0400;1536200408
2;retrofit.src.main.retrofit2.HttpServiceMethod.Builder#methodError(Throwable,String,Object[]);methodError(Throwable,String,Object[]);retrofit/src/main/java/retrofit2/HttpServiceMethod.java:4336:4666:4423:4665;cause,message,args;112;True;retrofit.src.main.retrofit2.Utils#methodError(Method,Throwable,String,Object[]);methodError(Method,Throwable,String,Object[]);retrofit/src/main/java/retrofit2/Utils.java:1407:1753:1524:1752;method,cause,message,args;45;False;MethodDeclaration;MOVE;b42ba989469c79512b4e1955fa6db91f494fa207;b42ba989;-;-;Sun Jun 24 10:54:12 2018 -0400;1529852052;-;-;Sun Jun 24 10:54:12 2018 -0400;1529852052
3;retrofit.src.main.retrofit2.RequestFactory.Builder#parameterError(Throwable,int,String,Object[]);parameterError(Throwable,int,String,Object[]);retrofit/src/main/java/retrofit2/RequestFactory.java:30098:30292:30204:30291;cause,p,message,args;701;True;retrofit.src.main.retrofit2.Utils#parameterError(Method,Throwable,int,String,Object[]);parameterError(Method,Throwable,int,String,Object[]);retrofit/src/main/java/retrofit2/Utils.java:1757:1966:1874:1965;method,cause,p,message,args;55;False;MethodDeclaration;MOVE;b42ba989469c79512b4e1955fa6db91f494fa207;b42ba989;-;-;Sun Jun 24 10:54:12 2018 -0400;1529852052;-;-;Sun Jun 24 10:54:12 2018 -0400;1529852052
4;retrofit.src.main.retrofit2.HttpServiceMethod.Builder#methodError(String,Object[]);methodError(String,Object[]);retrofit/src/main/java/retrofit2/HttpServiceMethod.java:4207:4330:4277:4329;message,args;108;True;retrofit.src.main.retrofit2.Utils#methodError(Method,String,Object[]);methodError(Method,String,Object[]);retrofit/src/main/java/retrofit2/Utils.java:1262:1403:1346:1402;method,message,args;41;False;MethodDeclaration;MOVE;b42ba989469c79512b4e1955fa6db91f494fa207;b42ba989;-;-;Sun Jun 24 10:54:12 2018 -0400;1529852052;-;-;Sun Jun 24 10:54:12 2018 -0400;1529852052
5;retrofit.src.main.retrofit2.RequestFactory.Builder#parameterError(int,String,Object[]);parameterError(int,String,Object[]);retrofit/src/main/java/retrofit2/RequestFactory.java:30298:30459:30378:30458;p,message,args;706;True;retrofit.src.main.retrofit2.Utils#parameterError(Method,int,String,Object[]);parameterError(Method,int,String,Object[]);retrofit/src/main/java/retrofit2/Utils.java:1970:2149:2064:2148;method,p,message,args;60;False;MethodDeclaration;MOVE;b42ba989469c79512b4e1955fa6db91f494fa207;b42ba989;-;-;Sun Jun 24 10:54:12 2018 -0400;1529852052;-;-;Sun Jun 24 10:54:12 2018 -0400;1529852052
6;retrofit.src.main.retrofit2.ServiceMethod#parsePathParameters(String);parsePathParameters(String);retrofit/src/main/java/retrofit2/ServiceMethod.java:33336:33735:33552:33734;path;773;False;retrofit.src.main.retrofit2.RequestFactory.Builder#parsePathParameters(String);parsePathParameters(String);retrofit/src/main/java/retrofit2/RequestFactory.java:30465:30886:30689:30885;path;710;True;MethodDeclaration;MOVE;cd333f70365952602a9ec35ac97cff0c20e3a132;cd333f70;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235
7;retrofit.src.main.retrofit2.ServiceMethod#boxIfPrimitive(Class);boxIfPrimitive(Class);retrofit/src/main/java/retrofit2/ServiceMethod.java:33739:34204:33786:34203;type;786;False;retrofit.src.main.retrofit2.RequestFactory.Builder#boxIfPrimitive(Class);boxIfPrimitive(Class);retrofit/src/main/java/retrofit2/RequestFactory.java:30892:31385:30947:31384;type;723;True;MethodDeclaration;MOVE;cd333f70365952602a9ec35ac97cff0c20e3a132;cd333f70;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235
8;retrofit.src.main.retrofit2.ServiceMethod.Builder#parseHttpMethodAndPath(String,String,boolean);parseHttpMethodAndPath(String,String,boolean);retrofit/src/main/java/retrofit2/ServiceMethod.java:11187:12261:11274:12260;httpMethod,value,hasBody;289;True;retrofit.src.main.retrofit2.RequestFactory.Builder#parseHttpMethodAndPath(String,String,boolean);parseHttpMethodAndPath(String,String,boolean);retrofit/src/main/java/retrofit2/RequestFactory.java:8727:9801:8814:9800;httpMethod,value,hasBody;236;True;MethodDeclaration;MOVE;cd333f70365952602a9ec35ac97cff0c20e3a132;cd333f70;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235
9;retrofit.src.main.retrofit2.ServiceMethod.Builder#parseParameter(int,Type,Annotation[]);parseParameter(int,Type,Annotation[]);retrofit/src/main/java/retrofit2/ServiceMethod.java:13161:13867:13267:13866;p,parameterType,annotations;340;True;retrofit.src.main.retrofit2.RequestFactory.Builder#parseParameter(int,Type,Annotation[]);parseParameter(int,Type,Annotation[]);retrofit/src/main/java/retrofit2/RequestFactory.java:10701:11407:10807:11406;p,parameterType,annotations;287;True;MethodDeclaration;MOVE;cd333f70365952602a9ec35ac97cff0c20e3a132;cd333f70;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235;-;-;Fri Jun 15 11:23:55 2018 -0400;1529076235
