id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;spring-boot-project.spring-boot-actuator-autoconfigure.src.main.org.springframework.boot.actuate.autoconfigure.metrics.JvmMetricsAutoConfiguration#diskSpaceMetrics();diskSpaceMetrics();spring-boot-project/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/metrics/JvmMetricsAutoConfiguration.java:2432:2559:2510:2558;;72;False;spring-boot-project.spring-boot-actuator-autoconfigure.src.main.org.springframework.boot.actuate.autoconfigure.metrics.SystemMetricsAutoConfiguration#diskSpaceMetrics();diskSpaceMetrics();spring-boot-project/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/metrics/SystemMetricsAutoConfiguration.java:2280:2407:2358:2406;;65;False;MethodDeclaration;MOVE;b65cc4d62f4a818e36be8b99b98eba01a28f6f2a;b65cc4d62f;-;-;Mon Aug 16 14:53:42 2021 +0200;1629118422;-;-;Mon Aug 16 14:54:05 2021 +0200;1629118445
1;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.influx.InfluxDbAutoConfiguration.Influx1xConfiguration#influxDb(InfluxDbProperties,ObjectProvider,ObjectProvider);influxDb(InfluxDbProperties,ObjectProvider,ObjectProvider);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/influx/InfluxDbAutoConfiguration.java:2258:2728:2457:2727;properties,builder,customizers;61;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.influx.InfluxDbAutoConfiguration#influxDb(InfluxDbProperties,ObjectProvider,ObjectProvider);influxDb(InfluxDbProperties,ObjectProvider,ObjectProvider);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/influx/InfluxDbAutoConfiguration.java:1689:2203:1937:2202;properties,builder,customizers;45;False;MethodDeclaration;INTERNAL_MOVE;6d50e655729baa4d9e98d5acc94314b78528d4d7;6d50e65572;-;-;Mon Jul 19 13:28:08 2021 +0100;1626697688;-;-;Mon Jul 19 13:28:08 2021 +0100;1626697688
2;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.amqp.RabbitAutoConfiguration.RabbitConnectionFactoryCreator#getRabbitConnectionFactoryBean(RabbitProperties,ResourceLoader,ObjectProvider,ObjectProvider);getRabbitConnectionFactoryBean(RabbitProperties,ResourceLoader,ObjectProvider,ObjectProvider);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/amqp/RabbitAutoConfiguration.java:6261:8804:6523:8803;properties,resourceLoader,credentialsProvider,credentialsRefreshService;126;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.amqp.RabbitConnectionFactoryBeanConfigurer#configure(RabbitConnectionFactoryBean);configure(RabbitConnectionFactoryBean);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/amqp/RabbitConnectionFactoryBeanConfigurer.java:1932:4640:2346:4639;factory;58;False;MethodDeclaration;MOVE_RENAME;659667bb65dfee85a5d85d4fe762901cb7d84e00;659667bb65;-;-;Tue Jul 13 17:45:06 2021 +0100;1626194706;-;-;Tue Jul 13 17:45:06 2021 +0100;1626194706
3;spring-boot-project.spring-boot-actuator.src.main.org.springframework.boot.actuate.metrics.web.jetty.JettyServerThreadPoolMetricsBinder#findThreadPool(ApplicationContext);findThreadPool(ApplicationContext);spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/metrics/web/jetty/JettyServerThreadPoolMetricsBinder.java:2275:2650:2349:2649;applicationContext;64;False;spring-boot-project.spring-boot-actuator.src.main.org.springframework.boot.actuate.metrics.web.jetty.AbstractJettyMetricsBinder#findServer(ApplicationContext);findServer(ApplicationContext);spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/metrics/web/jetty/AbstractJettyMetricsBinder.java:1548:1899:1614:1898;applicationContext;44;False;MethodDeclaration;MOVE_RENAME;4f3fdaed812550107359400525077a77ca787d67;4f3fdaed81;-;-;Tue Jul 13 14:01:23 2021 +0100;1626181283;-;-;Tue Jul 13 14:01:23 2021 +0100;1626181283
4;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.Packager.WritableLibraries#sha1Hash(String);sha1Hash(String);spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/Packager.java:15682:15929:15750:15928;name;484;True;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.Packager.PackagedLibraries.PackagedLibrariesUnpackHandler#sha1Hash(String);sha1Hash(String);spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/Packager.java:17288:17558:17357:17557;name;532;True;MethodDeclaration;INTERNAL_MOVE;5fc0e1ca813e6ef1a3c5b5f24b851a547a44951e;5fc0e1ca81;-;-;Wed Jun 23 17:23:25 2021 -0700;1624494205;-;-;Wed Jun 23 17:23:25 2021 -0700;1624494205
5;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.Packager.WritableLibraries#requiresUnpack(String);requiresUnpack(String);spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/Packager.java:15514:15678:15570:15677;name;478;True;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.Packager.PackagedLibraries.PackagedLibrariesUnpackHandler#requiresUnpack(String);requiresUnpack(String);spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/Packager.java:17097:17283:17154:17282;name;526;True;MethodDeclaration;INTERNAL_MOVE;5fc0e1ca813e6ef1a3c5b5f24b851a547a44951e;5fc0e1ca81;-;-;Wed Jun 23 17:23:25 2021 -0700;1624494205;-;-;Wed Jun 23 17:23:25 2021 -0700;1624494205
6;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.influx.InfluxDbAutoConfiguration#influxDb(InfluxDbProperties,ObjectProvider,ObjectProvider);influxDb(InfluxDbProperties,ObjectProvider,ObjectProvider);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/influx/InfluxDbAutoConfiguration.java:1689:2203:1937:2202;properties,builder,customizers;45;False;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.influx.InfluxDbAutoConfiguration.Influx1xConfiguration#influxDb(InfluxDbProperties,ObjectProvider,ObjectProvider);influxDb(InfluxDbProperties,ObjectProvider,ObjectProvider);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/influx/InfluxDbAutoConfiguration.java:2258:2728:2457:2727;properties,builder,customizers;61;True;MethodDeclaration;INTERNAL_MOVE;52fedb2bb4da081a9c1750f0fea214b50a0db96b;52fedb2bb4;-;-;Tue Feb 23 13:22:18 2021 +0100;1614082938;-;-;Tue Jun 15 08:21:37 2021 +0200;1623738097
7;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration.EnableWebMvcConfiguration#addResourceHandler(ResourceHandlerRegistry,String,Consumer);addResourceHandler(ResourceHandlerRegistry,String,Consumer);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration.java:19451:20125:19588:20124;registry,pattern,customizer;420;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration.WebMvcAutoConfigurationAdapter#addResourceHandler(ResourceHandlerRegistry,String,Consumer);addResourceHandler(ResourceHandlerRegistry,String,Consumer);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration.java:16610:17284:16747:17283;registry,pattern,customizer;351;True;MethodDeclaration;INTERNAL_MOVE;15042e27108c3340237d92886ec7408d371417e0;15042e2710;-;-;Thu May 20 14:43:11 2021 -0700;1621546991;-;-;Thu May 20 14:43:11 2021 -0700;1621546991
8;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration.EnableWebMvcConfiguration#addResourceHandler(ResourceHandlerRegistry,String,String[]);addResourceHandler(ResourceHandlerRegistry,String,String[]);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration.java:19233:19447:19337:19446;registry,pattern,locations;416;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration.WebMvcAutoConfigurationAdapter#addResourceHandler(ResourceHandlerRegistry,String,String[]);addResourceHandler(ResourceHandlerRegistry,String,String[]);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration.java:16392:16606:16496:16605;registry,pattern,locations;347;True;MethodDeclaration;INTERNAL_MOVE;15042e27108c3340237d92886ec7408d371417e0;15042e2710;-;-;Thu May 20 14:43:11 2021 -0700;1621546991;-;-;Thu May 20 14:43:11 2021 -0700;1621546991
9;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration.EnableWebMvcConfiguration#addResourceHandlers(ResourceHandlerRegistry);addResourceHandlers(ResourceHandlerRegistry);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration.java:18504:19229:18586:19228;registry;399;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.servlet.WebMvcAutoConfiguration.WebMvcAutoConfigurationAdapter#addResourceHandlers(ResourceHandlerRegistry);addResourceHandlers(ResourceHandlerRegistry);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/servlet/WebMvcAutoConfiguration.java:15703:16388:15782:16387;registry;331;True;MethodDeclaration;INTERNAL_MOVE;15042e27108c3340237d92886ec7408d371417e0;15042e2710;-;-;Thu May 20 14:43:11 2021 -0700;1621546991;-;-;Thu May 20 14:43:11 2021 -0700;1621546991
