id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.amqp.RabbitProperties.AmqpContainer#isAutoStartup();isAutoStartup();spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/amqp/RabbitProperties.java:16736:16800:16768:16799;;704;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.amqp.RabbitProperties.BaseContainer#isAutoStartup();isAutoStartup();spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/amqp/RabbitProperties.java:16349:16413:16381:16412;;691;True;MethodDeclaration;PULL_UP;fdde40e4fb8f820cdd622e1518f1536e656aa943;fdde40e4fb;-;-;Wed Aug 11 13:35:17 2021 +0100;1628685317;-;-;Wed Aug 11 13:35:17 2021 +0100;1628685317
1;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.amqp.RabbitProperties.AmqpContainer#setAutoStartup(boolean);setAutoStartup(boolean);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/amqp/RabbitProperties.java:16804:16892:16853:16891;autoStartup;708;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.amqp.RabbitProperties.BaseContainer#setAutoStartup(boolean);setAutoStartup(boolean);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/amqp/RabbitProperties.java:16417:16505:16466:16504;autoStartup;695;True;MethodDeclaration;PULL_UP;fdde40e4fb8f820cdd622e1518f1536e656aa943;fdde40e4fb;-;-;Wed Aug 11 13:35:17 2021 +0100;1628685317;-;-;Wed Aug 11 13:35:17 2021 +0100;1628685317
2;spring-boot-project.spring-boot-actuator.src.main.org.springframework.boot.actuate.metrics.web.jetty.JettyServerThreadPoolMetricsBinder#onApplicationEvent(ApplicationStartedEvent);onApplicationEvent(ApplicationStartedEvent);spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/metrics/web/jetty/JettyServerThreadPoolMetricsBinder.java:1941:2272:2015:2271;event;55;False;spring-boot-project.spring-boot-actuator.src.main.org.springframework.boot.actuate.metrics.web.jetty.AbstractJettyMetricsBinder#onApplicationEvent(ApplicationStartedEvent);onApplicationEvent(ApplicationStartedEvent);spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/metrics/web/jetty/AbstractJettyMetricsBinder.java:1355:1545:1429:1544;event;36;False;MethodDeclaration;PULL_UP;4f3fdaed812550107359400525077a77ca787d67;4f3fdaed81;-;-;Tue Jul 13 14:01:23 2021 +0100;1626181283;-;-;Tue Jul 13 14:01:23 2021 +0100;1626181283
3;spring-boot-project.spring-boot-tools.spring-boot-maven-plugin.src.main.org.springframework.boot.maven.RepackageMojo#getArtifact(String);getArtifact(String);spring-boot-project/spring-boot-tools/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/RepackageMojo.java:8993:9354:9042:9353;classifier;253;False;spring-boot-project.spring-boot-tools.spring-boot-maven-plugin.src.main.org.springframework.boot.maven.AbstractPackagerMojo#getArtifact(String);getArtifact(String);spring-boot-project/spring-boot-tools/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/AbstractPackagerMojo.java:7476:7837:7525:7836;classifier;219;False;MethodDeclaration;PULL_UP;269fc68c1d0e0a2875813b2bd6df1e2c7466b3bb;269fc68c1d;-;-;Fri Mar 26 16:43:13 2021 -0500;1616794993;-;-;Fri Mar 26 16:43:13 2021 -0500;1616794993
4;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.RepackagingLayout#getClasspathIndexFileLocation();getClasspathIndexFileLocation();spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/RepackagingLayout.java:1050:1394:1376:1393;;34;False;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.Layout#getClasspathIndexFileLocation();getClasspathIndexFileLocation();spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/Layout.java:1679:2023:2005:2022;;53;False;MethodDeclaration;PULL_UP;152698f2b23168908ce45721cdbb0d1c0e5dd280;152698f2b2;-;-;Thu Jan 28 12:39:19 2021 -0800;1611866359;-;-;Thu Jan 28 12:39:19 2021 -0800;1611866359
5;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.RepackagingLayout#getLayersIndexFileLocation();getLayersIndexFileLocation();spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/RepackagingLayout.java:1397:1730:1712:1729;;45;False;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.Layout#getLayersIndexFileLocation();getLayersIndexFileLocation();spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/Layout.java:2026:2359:2341:2358;;64;False;MethodDeclaration;PULL_UP;152698f2b23168908ce45721cdbb0d1c0e5dd280;152698f2b2;-;-;Thu Jan 28 12:39:19 2021 -0800;1611866359;-;-;Thu Jan 28 12:39:19 2021 -0800;1611866359
6;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.ResourceProperties.Chain#getEnabled(boolean,boolean,Boolean);getEnabled(boolean,boolean,Boolean);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/ResourceProperties.java:4666:4839:4761:4838;fixedEnabled,contentEnabled,chainEnabled;167;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.WebProperties.Resources.Chain#getEnabled(boolean,boolean,Boolean);getEnabled(boolean,boolean,Boolean);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/WebProperties.java:5525:5700:5620:5699;fixedEnabled,contentEnabled,chainEnabled;216;True;MethodDeclaration;PULL_UP;c22e65584828a5c20c4a945e0635fdf36d982987;c22e655848;-;-;Thu Oct 29 12:46:24 2020 +0000;1603975584;-;-;Thu Oct 29 16:08:50 2020 +0000;1603987730
7;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.ResourceProperties.Content#setEnabled(boolean);setEnabled(boolean);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/ResourceProperties.java:5570:5642:5611:5641;enabled;211;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.WebProperties.Resources.Chain.Strategy.Content#setEnabled(boolean);setEnabled(boolean);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/WebProperties.java:6674:6782:6715:6781;enabled;263;True;MethodDeclaration;PULL_UP;c22e65584828a5c20c4a945e0635fdf36d982987;c22e655848;-;-;Thu Oct 29 12:46:24 2020 +0000;1603975584;-;-;Thu Oct 29 16:08:50 2020 +0000;1603987730
8;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.ResourceProperties.Fixed#setPaths(String[]);setPaths(String[]);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/ResourceProperties.java:6396:6461:6434:6460;paths;257;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.WebProperties.Resources.Chain.Strategy.Fixed#setPaths(String[]);setPaths(String[]);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/WebProperties.java:7826:7927:7864:7926;paths;319;True;MethodDeclaration;PULL_UP;c22e65584828a5c20c4a945e0635fdf36d982987;c22e655848;-;-;Thu Oct 29 12:46:24 2020 +0000;1603975584;-;-;Thu Oct 29 16:08:50 2020 +0000;1603987730
9;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.ResourceProperties.Cache.Cachecontrol#setStaleIfError(Duration);setStaleIfError(Duration);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/ResourceProperties.java:10914:11009:10966:11008;staleIfError;451;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.web.WebProperties.Resources.Cache.Cachecontrol#setStaleIfError(Duration);setStaleIfError(Duration);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/web/WebProperties.java:13161:13287:13213:13286;staleIfError;541;True;MethodDeclaration;PULL_UP;c22e65584828a5c20c4a945e0635fdf36d982987;c22e655848;-;-;Thu Oct 29 12:46:24 2020 +0000;1603975584;-;-;Thu Oct 29 16:08:50 2020 +0000;1603987730
