id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.domain.EntityScanPackages.Registrar#addResolvedPackage(String,Set);addResolvedPackage(String,Set);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/domain/EntityScanPackages.java:5607:5766:5688:5765;packageName,packagesToScan;157;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.domain.EntityScanPackages.Registrar#getPackagesToScan(AnnotationMetadata);getPackagesToScan(AnnotationMetadata);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/domain/EntityScanPackages.java:4801:5873:4869:5872;metadata;140;True;MethodDeclaration;INLINE;e61b8707c14fea9c8ddf4588f5c9b8058e3bb80a;e61b8707c1;-;-;Thu Jul 15 15:59:24 2021 -0700;1626389964;-;-;Thu Jul 15 15:59:25 2021 -0700;1626389965
1;spring-boot-project.spring-boot.src.main.org.springframework.boot.availability.ApplicationAvailabilityBean#logStateChange(AvailabilityChangeEvent);logStateChange(AvailabilityChangeEvent);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/availability/ApplicationAvailabilityBean.java:2501:2688:2564:2687;event;72;False;spring-boot-project.spring-boot.src.main.org.springframework.boot.availability.ApplicationAvailabilityBean#onApplicationEvent(AvailabilityChangeEvent);onApplicationEvent(AvailabilityChangeEvent);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/availability/ApplicationAvailabilityBean.java:2275:2543:2352:2542;event;65;False;MethodDeclaration;INLINE;78ac7b38614c84f1ab225ccc24587d258e1c526e;78ac7b3861;-;-;Wed May 26 16:17:21 2021 -0700;1622071041;-;-;Wed May 26 16:19:26 2021 -0700;1622071166
2;spring-boot-project.spring-boot.src.main.org.springframework.boot.context.metrics.buffering.BufferedStartupStep#recordStartTime(long);recordStartTime(long);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/metrics/buffering/BufferedStartupStep.java:2235:2306:2273:2305;startTime;99;False;spring-boot-project.spring-boot.src.main.org.springframework.boot.context.metrics.buffering.BufferingApplicationStartup#start(String);start(String);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/metrics/buffering/BufferingApplicationStartup.java:3745:4179:3795:4178;name;108;False;MethodDeclaration;INLINE;83668f96af321a59ee4f56553e8487cfdcc6d68e;83668f96af;-;-;Thu May 13 23:38:41 2021 -0700;1620974321;-;-;Thu May 13 23:38:41 2021 -0700;1620974321
3;spring-boot-project.spring-boot.src.main.org.springframework.boot.context.metrics.buffering.BufferedStartupStep#recordEndTime(long);recordEndTime(long);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/metrics/buffering/BufferedStartupStep.java:2357:2420:2391:2419;endTime;107;False;spring-boot-project.spring-boot.src.main.org.springframework.boot.context.metrics.buffering.BufferingApplicationStartup#record(BufferedStartupStep);record(BufferedStartupStep);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/metrics/buffering/BufferingApplicationStartup.java:4182:4619:4229:4618;step;122;False;MethodDeclaration;INLINE;83668f96af321a59ee4f56553e8487cfdcc6d68e;83668f96af;-;-;Thu May 13 23:38:41 2021 -0700;1620974321;-;-;Thu May 13 23:38:41 2021 -0700;1620974321
4;buildSrc.src.main.org.springframework.boot.build.AsciidoctorConventions#configureAsciidoctorHtmlTask(AsciidoctorTask);configureAsciidoctorHtmlTask(AsciidoctorTask);buildSrc/src/main/java/org/springframework/boot/build/AsciidoctorConventions.java:6181:6351:6257:6350;asciidoctorTask;149;False;buildSrc.src.main.org.springframework.boot.build.AsciidoctorConventions#configureAsciidoctorTask(Project,AbstractAsciidoctorTask);configureAsciidoctorTask(Project,AbstractAsciidoctorTask);buildSrc/src/main/java/org/springframework/boot/build/AsciidoctorConventions.java:4286:4941:4383:4940;project,asciidoctorTask;109;False;MethodDeclaration;INLINE;87d8aedd3c3944f029d24b7aaa77e310bf38856d;87d8aedd3c;-;-;Mon May 10 18:04:05 2021 -0700;1620695045;-;-;Mon May 10 18:04:05 2021 -0700;1620695045
5;spring-boot-project.spring-boot-actuator.src.main.org.springframework.boot.actuate.metrics.web.servlet.WebMvcMetricsFilter#getTimedAnnotations(Object);getTimedAnnotations(Object);spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/metrics/web/servlet/WebMvcMetricsFilter.java:5408:5605:5464:5604;handler;153;False;spring-boot-project.spring-boot-actuator.src.main.org.springframework.boot.actuate.metrics.web.servlet.WebMvcMetricsFilter#record(TimingContext,HttpServletRequest,HttpServletResponse,Throwable);record(TimingContext,HttpServletRequest,HttpServletResponse,Throwable);spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/metrics/web/servlet/WebMvcMetricsFilter.java:4460:5275:4592:5274;timingContext,request,response,exception;128;False;MethodDeclaration;INLINE;78aa5236a754b4de5f02b46f71addf875fbf89dc;78aa5236a7;-;-;Thu Apr 8 23:04:11 2021 -0700;1617948251;-;-;Thu Apr 8 23:04:11 2021 -0700;1617948251
6;spring-boot-project.spring-boot.src.main.org.springframework.boot.context.config.ConfigDataEnvironmentContributor#isNotIgnoringProfiles();isNotIgnoringProfiles();spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java:5541:5845:5764:5844;;158;False;spring-boot-project.spring-boot.src.main.org.springframework.boot.context.config.InvalidConfigDataPropertyException#throwOrWarn(Log,ConfigDataEnvironmentContributor);throwOrWarn(Log,ConfigDataEnvironmentContributor);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/InvalidConfigDataPropertyException.java:3824:5123:4323:5122;logger,contributor;103;False;MethodDeclaration;INLINE;c6cd5117d4f1c2a04e09dbca0ccb3c8b5b561efb;c6cd5117d4;-;-;Mon Apr 5 17:24:02 2021 -0700;1617668642;-;-;Mon Apr 5 17:24:02 2021 -0700;1617668642
7;spring-boot-project.spring-boot.src.main.org.springframework.boot.context.config.ConfigDataEnvironmentContributor#isNotIgnoringProfiles();isNotIgnoringProfiles();spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironmentContributor.java:5541:5845:5764:5844;;158;False;spring-boot-project.spring-boot.src.main.org.springframework.boot.context.config.ConfigDataEnvironment#getIncludedProfiles(ConfigDataEnvironmentContributors,ConfigDataActivationContext);getIncludedProfiles(ConfigDataEnvironmentContributors,ConfigDataActivationContext);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/context/config/ConfigDataEnvironment.java:12846:13842:13002:13841;contributors,activationContext;288;False;MethodDeclaration;INLINE;c6cd5117d4f1c2a04e09dbca0ccb3c8b5b561efb;c6cd5117d4;-;-;Mon Apr 5 17:24:02 2021 -0700;1617668642;-;-;Mon Apr 5 17:24:02 2021 -0700;1617668642
8;spring-boot-project.spring-boot.src.main.org.springframework.boot.jdbc.DataSourceBuilder.DataSourceSettings#getType();getType();spring-boot-project/spring-boot/src/main/java/org/springframework/boot/jdbc/DataSourceBuilder.java:5552:5616:5591:5615;;158;True;spring-boot-project.spring-boot.src.main.org.springframework.boot.jdbc.DataSourceBuilder#findType(ClassLoader);findType(ClassLoader);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/jdbc/DataSourceBuilder.java:8301:8763:8587:8762;classLoader;239;False;MethodDeclaration;INLINE;85f1e2c9b6a09da5ef512b4afbf906f5b4f74f8b;85f1e2c9b6;-;-;Mon Mar 15 13:59:57 2021 -0700;1615841997;-;-;Wed Mar 17 17:00:44 2021 -0700;1616025644
9;spring-boot-project.spring-boot-tools.spring-boot-configuration-processor.src.main.org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor#processEndpoint(RoundEnvironment);processEndpoint(RoundEnvironment);spring-boot-project/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/ConfigurationMetadataAnnotationProcessor.java:6935:7206:6992:7205;roundEnv;186;False;spring-boot-project.spring-boot-tools.spring-boot-configuration-processor.src.main.org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor#process(Set,RoundEnvironment);process(Set,RoundEnvironment);spring-boot-project/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/ConfigurationMetadataAnnotationProcessor.java:5385:6249:5487:6248;annotations,roundEnv;145;False;MethodDeclaration;INLINE;1296b4dfe687d1f4c6461c05f1a23f86caf199bb;1296b4dfe6;-;-;Tue Oct 6 16:06:10 2020 +0200;1601993170;-;-;Wed Oct 7 10:53:01 2020 +0200;1602060781
10;spring-boot-project.spring-boot-tools.spring-boot-configuration-processor.src.main.org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor#processConfigurationProperties(RoundEnvironment);processConfigurationProperties(RoundEnvironment);spring-boot-project/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/ConfigurationMetadataAnnotationProcessor.java:6613:6932:6685:6931;roundEnv;177;False;spring-boot-project.spring-boot-tools.spring-boot-configuration-processor.src.main.org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor#process(Set,RoundEnvironment);process(Set,RoundEnvironment);spring-boot-project/spring-boot-tools/spring-boot-configuration-processor/src/main/java/org/springframework/boot/configurationprocessor/ConfigurationMetadataAnnotationProcessor.java:5385:6249:5487:6248;annotations,roundEnv;145;False;MethodDeclaration;INLINE;1296b4dfe687d1f4c6461c05f1a23f86caf199bb;1296b4dfe6;-;-;Tue Oct 6 16:06:10 2020 +0200;1601993170;-;-;Wed Oct 7 10:53:01 2020 +0200;1602060781
11;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.mustache.MustacheEnvironmentCollector.PropertyVariableFetcher#getFromEnvironment(String);getFromEnvironment(String);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/mustache/MustacheEnvironmentCollector.java:2719:2846:2767:2845;name;88;True;spring-boot-project.spring-boot-autoconfigure.src.main.org.springframework.boot.autoconfigure.mustache.MustacheEnvironmentCollector.PropertyVariableFetcher#get(Object,String);get(Object,String);spring-boot-project/spring-boot-autoconfigure/src/main/java/org/springframework/boot/autoconfigure/mustache/MustacheEnvironmentCollector.java:1879:2014:1935:2013;ctx,name;59;True;MethodDeclaration;INLINE;4398c71d128f6a6eef4138a74fbebfb413fa0431;4398c71d12;-;-;Thu Aug 13 13:32:27 2020 +0100;1597321947;-;-;Thu Aug 13 13:32:27 2020 +0100;1597321947
12;spring-boot-project.spring-boot-tools.spring-boot-buildpack-platform.src.main.org.springframework.boot.buildpack.platform.docker.type.ImageReferenceParser#of(String);of(String);spring-boot-project/spring-boot-tools/spring-boot-buildpack-platform/src/main/java/org/springframework/boot/buildpack/platform/docker/type/ImageReferenceParser.java:3846:4441:3896:4440;reference;116;False;spring-boot-project.spring-boot-tools.spring-boot-buildpack-platform.src.main.org.springframework.boot.buildpack.platform.docker.type.ImageReference#of(String);of(String);spring-boot-project/spring-boot-tools/spring-boot-buildpack-platform/src/main/java/org/springframework/boot/buildpack/platform/docker/type/ImageReference.java:6066:7075:6550:7074;value;213;False;MethodDeclaration;INLINE;301ec12a0cbc1a62b3c9dbd33ab420c436b5277d;301ec12a0c;-;-;Mon Jun 22 22:37:25 2020 -0700;1592890645;-;-;Mon Jun 22 22:37:25 2020 -0700;1592890645
13;spring-boot-project.spring-boot-tools.spring-boot-buildpack-platform.src.main.org.springframework.boot.buildpack.platform.docker.type.ImageReferenceParser#groupOf(String[]);groupOf(String[]);spring-boot-project/spring-boot-tools/spring-boot-buildpack-platform/src/main/java/org/springframework/boot/buildpack/platform/docker/type/ImageReferenceParser.java:4552:4651:4606:4650;expressions;131;False;spring-boot-project.spring-boot-tools.spring-boot-buildpack-platform.src.main.org.springframework.boot.buildpack.platform.docker.type.Regex#oneOf(CharSequence[]);oneOf(CharSequence[]);spring-boot-project/spring-boot-tools/spring-boot-buildpack-platform/src/main/java/org/springframework/boot/buildpack/platform/docker/type/Regex.java:4150:4275:4207:4274;expressions;135;False;MethodDeclaration;INLINE;301ec12a0cbc1a62b3c9dbd33ab420c436b5277d;301ec12a0c;-;-;Mon Jun 22 22:37:25 2020 -0700;1592890645;-;-;Mon Jun 22 22:37:25 2020 -0700;1592890645
