id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;spring-boot-project.spring-boot.src.main.org.springframework.boot.jdbc.init.ScriptDataSourceInitializer#getDataSource();getDataSource();spring-boot-project/spring-boot/src/main/java/org/springframework/boot/jdbc/init/ScriptDataSourceInitializer.java:2298:2485:2456:2484;;66;False;spring-boot-project.spring-boot.src.main.org.springframework.boot.jdbc.init.DataSourceScriptDatabaseInitializer#getDataSource();getDataSource();spring-boot-project/spring-boot/src/main/java/org/springframework/boot/jdbc/init/DataSourceScriptDatabaseInitializer.java:1874:2061:2032:2060;;53;False;MethodDeclaration;PUSH_DOWN;ee41dbdd8f3404cdd69d48eb5f2d13f1c9ecff20;ee41dbdd8f;-;-;Mon Mar 29 12:01:40 2021 +0100;1617015700;-;-;Mon Mar 29 12:01:40 2021 +0100;1617015700
1;spring-boot-project.spring-boot.src.main.org.springframework.boot.jdbc.init.ScriptDataSourceInitializer#runScripts(List,boolean,String,Charset);runScripts(List,boolean,String,Charset);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/jdbc/init/ScriptDataSourceInitializer.java:5027:5525:5141:5524;resources,continueOnError,separator,encoding;151;False;spring-boot-project.spring-boot.src.main.org.springframework.boot.jdbc.init.DataSourceScriptDatabaseInitializer#runScripts(List,boolean,String,Charset);runScripts(List,boolean,String,Charset);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/jdbc/init/DataSourceScriptDatabaseInitializer.java:2064:2573:2189:2572;resources,continueOnError,separator,encoding;61;False;MethodDeclaration;PUSH_DOWN;ee41dbdd8f3404cdd69d48eb5f2d13f1c9ecff20;ee41dbdd8f;-;-;Mon Mar 29 12:01:40 2021 +0100;1617015700;-;-;Mon Mar 29 12:01:40 2021 +0100;1617015700
2;spring-boot-project.spring-boot.src.main.org.springframework.boot.jdbc.init.ScriptDataSourceInitializer#runScripts(List,boolean,String,Charset);runScripts(List,boolean,String,Charset);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/jdbc/init/ScriptDataSourceInitializer.java:5027:5525:5141:5524;resources,continueOnError,separator,encoding;151;False;spring-boot-project.spring-boot.src.main.org.springframework.boot.r2dbc.init.R2dbcScriptDatabaseInitializer#runScripts(List,boolean,String,Charset);runScripts(List,boolean,String,Charset);spring-boot-project/spring-boot/src/main/java/org/springframework/boot/r2dbc/init/R2dbcScriptDatabaseInitializer.java:1897:2390:2020:2389;scripts,continueOnError,separator,encoding;54;False;MethodDeclaration;PUSH_DOWN;ee41dbdd8f3404cdd69d48eb5f2d13f1c9ecff20;ee41dbdd8f;-;-;Mon Mar 29 12:01:40 2021 +0100;1617015700;-;-;Mon Mar 29 12:01:40 2021 +0100;1617015700
3;spring-boot-project.spring-boot-actuator-autoconfigure.src.main.org.springframework.boot.actuate.autoconfigure.health.HealthProperties#setShowDetails(Show);setShowDetails(Show);spring-boot-project/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/health/HealthProperties.java:1949:2032:1995:2031;showDetails;73;False;spring-boot-project.spring-boot-actuator-autoconfigure.src.main.org.springframework.boot.actuate.autoconfigure.health.HealthEndpointProperties#setShowDetails(Show);setShowDetails(Show);spring-boot-project/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/health/HealthEndpointProperties.java:1412:1495:1458:1494;showDetails;51;False;MethodDeclaration;PUSH_DOWN;efe84356b7615633f8727c64c4611b5fc4df1261;efe84356b7;-;-;Mon Jun 22 23:16:02 2020 -0700;1592892962;-;-;Mon Jun 22 23:16:02 2020 -0700;1592892962
4;spring-boot-project.spring-boot-actuator-autoconfigure.src.main.org.springframework.boot.actuate.autoconfigure.health.HealthProperties#setShowDetails(Show);setShowDetails(Show);spring-boot-project/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/health/HealthProperties.java:1949:2032:1995:2031;showDetails;73;False;spring-boot-project.spring-boot-actuator-autoconfigure.src.main.org.springframework.boot.actuate.autoconfigure.health.HealthEndpointProperties.Group#setShowDetails(Show);setShowDetails(Show);spring-boot-project/spring-boot-actuator-autoconfigure/src/main/java/org/springframework/boot/actuate/autoconfigure/health/HealthEndpointProperties.java:2399:2484:2445:2483;showDetails;101;True;MethodDeclaration;PUSH_DOWN;efe84356b7615633f8727c64c4611b5fc4df1261;efe84356b7;-;-;Mon Jun 22 23:16:02 2020 -0700;1592892962;-;-;Mon Jun 22 23:16:02 2020 -0700;1592892962
5;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.LibraryCoordinates#toString();toString();spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/LibraryCoordinates.java:2230:2669:2352:2668;;84;False;spring-boot-project.spring-boot-tools.spring-boot-gradle-plugin.src.main.org.springframework.boot.gradle.tasks.bundling.LayerResolver.ModuleComponentIdentifierLibraryCoordinates#toString();toString();spring-boot-project/spring-boot-tools/spring-boot-gradle-plugin/src/main/java/org/springframework/boot/gradle/tasks/bundling/LayerResolver.java:6093:6173:6131:6172;;190;True;MethodDeclaration;PUSH_DOWN;7bc7d86ad4a2aae902f032494f9756012cfe94b6;7bc7d86ad4;-;-;Tue Mar 24 17:00:39 2020 -0700;1585094439;-;-;Fri Apr 3 00:03:21 2020 -0700;1585897401
6;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.LibraryCoordinates#toString();toString();spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/LibraryCoordinates.java:2230:2669:2352:2668;;84;False;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.DefaultLibraryCoordinates#toString();toString();spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/DefaultLibraryCoordinates.java:1727:1912:1849:1911;;71;False;MethodDeclaration;PUSH_DOWN;7bc7d86ad4a2aae902f032494f9756012cfe94b6;7bc7d86ad4;-;-;Tue Mar 24 17:00:39 2020 -0700;1585094439;-;-;Fri Apr 3 00:03:21 2020 -0700;1585897401
7;spring-boot-project.spring-boot-tools.spring-boot-loader-tools.src.main.org.springframework.boot.loader.tools.LibraryCoordinates#toString();toString();spring-boot-project/spring-boot-tools/spring-boot-loader-tools/src/main/java/org/springframework/boot/loader/tools/LibraryCoordinates.java:2230:2669:2352:2668;;84;False;spring-boot-project.spring-boot-tools.spring-boot-maven-plugin.src.main.org.springframework.boot.maven.ArtifactsLibraries.ArtifactLibraryCoordinates#toString();toString();spring-boot-project/spring-boot-tools/spring-boot-maven-plugin/src/main/java/org/springframework/boot/maven/ArtifactsLibraries.java:4587:4665:4625:4664;;150;True;MethodDeclaration;PUSH_DOWN;7bc7d86ad4a2aae902f032494f9756012cfe94b6;7bc7d86ad4;-;-;Tue Mar 24 17:00:39 2020 -0700;1585094439;-;-;Fri Apr 3 00:03:21 2020 -0700;1585897401
8;spring-boot-project.spring-boot-actuator.src.main.org.springframework.boot.actuate.logging.LoggersEndpoint.LoggerLevels#getEffectiveLevel();getEffectiveLevel();spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/logging/LoggersEndpoint.java:3918:3988:3953:3987;;118;True;spring-boot-project.spring-boot-actuator.src.main.org.springframework.boot.actuate.logging.LoggersEndpoint.SingleLoggerLevels#getEffectiveLevel();getEffectiveLevel();spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/logging/LoggersEndpoint.java:5431:5501:5466:5500;;167;True;MethodDeclaration;PUSH_DOWN;6e1fb5a1c69ed760b99b69fca70ea2e20d2d8e75;6e1fb5a1c6;-;-;Tue Jul 30 11:58:39 2019 -0700;1564513119;-;-;Tue Jul 30 11:58:39 2019 -0700;1564513119
9;spring-boot-project.spring-boot-actuator.src.main.org.springframework.boot.actuate.endpoint.Operation#isBlocking();isBlocking();spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/endpoint/Operation.java:1778:1978:1951:1977;;64;False;spring-boot-project.spring-boot-actuator.src.main.org.springframework.boot.actuate.endpoint.web.WebOperation#isBlocking();isBlocking();spring-boot-project/spring-boot-actuator/src/main/java/org/springframework/boot/actuate/endpoint/web/WebOperation.java:1035:1173:1173:1173;;36;False;MethodDeclaration;PUSH_DOWN;1d39feffeabf4b94e3f900b941b58e0443d5887a;1d39feffea;-;-;Tue Jan 9 20:57:10 2018 -0800;1515560230;-;-;Fri Jan 19 20:44:24 2018 -0800;1516423464
