id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;spring-context.src.main.org.springframework.scheduling.support.QuartzCronField#cast(Temporal);cast(Temporal);spring-context/src/main/java/org/springframework/scheduling/support/QuartzCronField.java:10853:10998:10972:10997;temporal;329;False;spring-context.src.main.org.springframework.scheduling.support.CronField#cast(Temporal);cast(Temporal);spring-context/src/main/java/org/springframework/scheduling/support/CronField.java:4805:4952:4926:4951;temporal;160;False;MethodDeclaration;PULL_UP;27bfcbbc823897169942ddc9a9ff9538486426c5;27bfcbbc82;-;-;Tue Apr 20 16:25:34 2021 +0200;1618928734;-;-;Wed Apr 21 12:04:21 2021 +0200;1618999461
1;spring-context.src.main.org.springframework.context.event.SourceFilteringListener#supportsEventType(Class);supportsEventType(Class);spring-context/src/main/java/org/springframework/context/event/SourceFilteringListener.java:2950:3106:3040:3105;eventType;87;False;spring-context.src.main.org.springframework.context.event.GenericApplicationListener#supportsEventType(Class);supportsEventType(Class);spring-context/src/main/java/org/springframework/context/event/GenericApplicationListener.java:1555:1862:1795:1861;eventType;41;False;MethodDeclaration;PULL_UP;3c9bd3177e2dc3d3e6b6e581b3933e0f1c6bd969;3c9bd3177e;-;-;Tue Mar 9 12:30:52 2021 +0100;1615289452;-;-;Tue Mar 9 12:30:52 2021 +0100;1615289452
2;spring-context.src.main.org.springframework.context.event.GenericApplicationListenerAdapter#supportsEventType(Class);supportsEventType(Class);spring-context/src/main/java/org/springframework/context/event/GenericApplicationListenerAdapter.java:2897:3054:2987:3053;eventType;84;False;spring-context.src.main.org.springframework.context.event.GenericApplicationListener#supportsEventType(Class);supportsEventType(Class);spring-context/src/main/java/org/springframework/context/event/GenericApplicationListener.java:1555:1862:1795:1861;eventType;41;False;MethodDeclaration;PULL_UP;3c9bd3177e2dc3d3e6b6e581b3933e0f1c6bd969;3c9bd3177e;-;-;Tue Mar 9 12:30:52 2021 +0100;1615289452;-;-;Tue Mar 9 12:30:52 2021 +0100;1615289452
3;spring-tx.src.main.org.springframework.transaction.event.TransactionalApplicationListenerMethodAdapter#getDefaultListenerId();getDefaultListenerId();spring-tx/src/main/java/org/springframework/transaction/event/TransactionalApplicationListenerMethodAdapter.java:3585:4074:3896:4073;;100;False;spring-context.src.main.org.springframework.context.event.ApplicationListenerMethodAdapter#getDefaultListenerId();getDefaultListenerId();spring-context/src/main/java/org/springframework/context/event/ApplicationListenerMethodAdapter.java:6730:7300:7045:7299;;205;False;MethodDeclaration;PULL_UP;86902d27b222b2d5ed11856d7cbce5a0461c46cf;86902d27b2;-;-;Mon Mar 8 19:31:56 2021 +0100;1615228316;-;-;Mon Mar 8 19:31:56 2021 +0100;1615228316
4;spring-tx.src.main.org.springframework.transaction.event.TransactionalApplicationListenerMethodAdapter#getListenerId();getListenerId();spring-tx/src/main/java/org/springframework/transaction/event/TransactionalApplicationListenerMethodAdapter.java:3353:3582:3395:3581;;87;False;spring-context.src.main.org.springframework.context.event.ApplicationListenerMethodAdapter#getListenerId();getListenerId();spring-context/src/main/java/org/springframework/context/event/ApplicationListenerMethodAdapter.java:6557:6727:6599:6726;;195;False;MethodDeclaration;PULL_UP;86902d27b222b2d5ed11856d7cbce5a0461c46cf;86902d27b2;-;-;Mon Mar 8 19:31:56 2021 +0100;1615228316;-;-;Mon Mar 8 19:31:56 2021 +0100;1615228316
5;spring-web.src.main.org.springframework.http.server.reactive.JettyHttpHandlerAdapter.JettyServerHttpResponse#writeToOutputStream(DataBuffer);writeToOutputStream(DataBuffer);spring-web/src/main/java/org/springframework/http/server/reactive/JettyHttpHandlerAdapter.java:4519:4818:4608:4817;dataBuffer;128;True;spring-web.src.main.org.springframework.http.server.reactive.JettyHttpHandlerAdapter.BaseJettyServerHttpResponse#writeToOutputStream(DataBuffer);writeToOutputStream(DataBuffer);spring-web/src/main/java/org/springframework/http/server/reactive/JettyHttpHandlerAdapter.java:4386:4685:4475:4684;dataBuffer;124;True;MethodDeclaration;PULL_UP;aa7584d2522face93a387d24c3fde24c23da3a77;aa7584d252;-;-;Thu Jan 21 20:16:21 2021 +0000;1611260181;-;-;Thu Jan 21 20:16:21 2021 +0000;1611260181
6;spring-webmvc.src.main.org.springframework.web.servlet.mvc.method.annotation.ResponseBodyEmitterReturnValueHandler.StreamingServletServerHttpResponse#getBody();getBody();spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ResponseBodyEmitterReturnValueHandler.java:9898:9999:9960:9998;;279;True;spring-web.src.main.org.springframework.http.server.DelegatingServerHttpResponse#getBody();getBody();spring-web/src/main/java/org/springframework/http/server/DelegatingServerHttpResponse.java:1836:1934:1897:1933;;69;False;MethodDeclaration;PULL_UP;a1320cd450089b88eb689686dbb67bed05bdf8c9;a1320cd450;-;-;Thu Nov 26 14:51:27 2020 +0100;1606398687;-;-;Wed Dec 2 15:14:47 2020 +0100;1606918487
7;spring-webmvc.src.main.org.springframework.web.servlet.mvc.method.annotation.ResponseBodyEmitterReturnValueHandler.StreamingServletServerHttpResponse#flush();flush();spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ResponseBodyEmitterReturnValueHandler.java:10003:10085:10055:10084;;284;True;spring-web.src.main.org.springframework.http.server.DelegatingServerHttpResponse#flush();flush();spring-web/src/main/java/org/springframework/http/server/DelegatingServerHttpResponse.java:1691:1770:1742:1769;;59;False;MethodDeclaration;PULL_UP;a1320cd450089b88eb689686dbb67bed05bdf8c9;a1320cd450;-;-;Thu Nov 26 14:51:27 2020 +0100;1606398687;-;-;Wed Dec 2 15:14:47 2020 +0100;1606918487
8;spring-webmvc.src.main.org.springframework.web.servlet.mvc.method.annotation.ResponseBodyEmitterReturnValueHandler.StreamingServletServerHttpResponse#setStatusCode(HttpStatus);setStatusCode(HttpStatus);spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ResponseBodyEmitterReturnValueHandler.java:9708:9810:9766:9809;status;269;True;spring-web.src.main.org.springframework.http.server.DelegatingServerHttpResponse#setStatusCode(HttpStatus);setStatusCode(HttpStatus);spring-web/src/main/java/org/springframework/http/server/DelegatingServerHttpResponse.java:1589:1688:1646:1687;status;54;False;MethodDeclaration;PULL_UP;a1320cd450089b88eb689686dbb67bed05bdf8c9;a1320cd450;-;-;Thu Nov 26 14:51:27 2020 +0100;1606398687;-;-;Wed Dec 2 15:14:47 2020 +0100;1606918487
9;spring-webmvc.src.main.org.springframework.web.servlet.mvc.method.annotation.ResponseBodyEmitterReturnValueHandler.StreamingServletServerHttpResponse#close();close();spring-webmvc/src/main/java/org/springframework/web/servlet/mvc/method/annotation/ResponseBodyEmitterReturnValueHandler.java:10089:10152:10122:10151;;289;True;spring-web.src.main.org.springframework.http.server.DelegatingServerHttpResponse#close();close();spring-web/src/main/java/org/springframework/http/server/DelegatingServerHttpResponse.java:1773:1833:1805:1832;;64;False;MethodDeclaration;PULL_UP;a1320cd450089b88eb689686dbb67bed05bdf8c9;a1320cd450;-;-;Thu Nov 26 14:51:27 2020 +0100;1606398687;-;-;Wed Dec 2 15:14:47 2020 +0100;1606918487
10;spring-web.src.main.org.springframework.http.codec.multipart.MultipartHttpMessageWriter#setCharset(Charset);setCharset(Charset);spring-web/src/main/java/org/springframework/http/codec/multipart/MultipartHttpMessageWriter.java:5419:5845:5761:5844;charset;149;False;spring-web.src.main.org.springframework.http.codec.multipart.MultipartWriterSupport#setCharset(Charset);setCharset(Charset);spring-web/src/main/java/org/springframework/http/codec/multipart/MultipartWriterSupport.java:2052:2478:2394:2477;charset;68;False;MethodDeclaration;PULL_UP;361299034403ee95baee3eaa1464ef1537552982;3612990344;-;-;Mon Nov 23 16:42:18 2020 +0100;1606146138;-;-;Tue Nov 24 14:41:39 2020 +0100;1606225299
11;spring-core.src.main.org.springframework.core.io.buffer.DataBufferUtils.KnuthMorrisPrattMatcher#match(DataBuffer);match(DataBuffer);spring-core/src/main/java/org/springframework/core/io/buffer/DataBufferUtils.java:32503:32983:32556:32982;dataBuffer;945;True;spring-core.src.main.org.springframework.core.io.buffer.DataBufferUtils.AbstractNestedMatcher#match(DataBuffer);match(DataBuffer);spring-core/src/main/java/org/springframework/core/io/buffer/DataBufferUtils.java:27649:27908:27702:27907;dataBuffer;769;True;MethodDeclaration;PULL_UP;cf988f81b5fb3f810aa3e1b44a199ec8f0866f15;cf988f81b5;-;-;Fri Oct 23 15:14:05 2020 +0100;1603462445;-;-;Fri Oct 23 15:14:05 2020 +0100;1603462445
12;spring-core.src.main.org.springframework.core.io.buffer.DataBufferUtils.KnuthMorrisPrattMatcher#delimiter();delimiter();spring-core/src/main/java/org/springframework/core/io/buffer/DataBufferUtils.java:32987:33094:33026:33093;;965;True;spring-core.src.main.org.springframework.core.io.buffer.DataBufferUtils.AbstractNestedMatcher#delimiter();delimiter();spring-core/src/main/java/org/springframework/core/io/buffer/DataBufferUtils.java:28097:28166:28136:28165;;790;True;MethodDeclaration;PULL_UP;cf988f81b5fb3f810aa3e1b44a199ec8f0866f15;cf988f81b5;-;-;Fri Oct 23 15:14:05 2020 +0100;1603462445;-;-;Fri Oct 23 15:14:05 2020 +0100;1603462445
13;spring-core.src.main.org.springframework.core.io.buffer.DataBufferUtils.KnuthMorrisPrattMatcher#reset();reset();spring-core/src/main/java/org/springframework/core/io/buffer/DataBufferUtils.java:33098:33156:33131:33155;;970;True;spring-core.src.main.org.springframework.core.io.buffer.DataBufferUtils.AbstractNestedMatcher#reset();reset();spring-core/src/main/java/org/springframework/core/io/buffer/DataBufferUtils.java:28170:28228:28203:28227;;795;True;MethodDeclaration;PULL_UP;cf988f81b5fb3f810aa3e1b44a199ec8f0866f15;cf988f81b5;-;-;Fri Oct 23 15:14:05 2020 +0100;1603462445;-;-;Fri Oct 23 15:14:05 2020 +0100;1603462445
14;spring-webmvc.src.main.org.springframework.web.servlet.function.DefaultServerResponseBuilder.AbstractServerResponse#handleError(Throwable,HttpServletRequest,HttpServletResponse,Context);handleError(Throwable,HttpServletRequest,HttpServletResponse,Context);spring-webmvc/src/main/java/org/springframework/web/servlet/function/DefaultServerResponseBuilder.java:10322:11150:10476:11149;t,servletRequest,servletResponse,context;341;True;spring-webmvc.src.main.org.springframework.web.servlet.function.ErrorHandlingServerResponse#handleError(Throwable,HttpServletRequest,HttpServletResponse,Context);handleError(Throwable,HttpServletRequest,HttpServletResponse,Context);spring-webmvc/src/main/java/org/springframework/web/servlet/function/ErrorHandlingServerResponse.java:1877:2475:2066:2474;t,servletRequest,servletResponse,context;57;False;MethodDeclaration;PULL_UP;4e76a4780c4e0f5d496c9c0b75e1f9dab2d0b57c;4e76a4780c;-;-;Tue Sep 29 16:59:23 2020 +0200;1601391563;-;-;Fri Oct 2 10:36:16 2020 +0200;1601627776
