id;entityBeforeFullName;entityBeforeSimpleName;entityBeforeLocation;entityBeforeParameters;entityBeforeLine;entityBeforeParents;entityAfterFullName;entityAfterSimpleName;entityAfterLocation;entityAfterParameters;entityAfterLine;entityAfterParents;refactoringLevel;refactoringType;commitHash;abbreviatedCommitHash;authorName;authorEmail;authorDate;authorDateUnixTimestamp;committerName;committerEmail;committerDate;committerDateUnixTimestamp
0;spring-web.src.main.org.springframework.web.method.annotation.ModelAttributeMethodProcessor#determineValidationHints(Annotation);determineValidationHints(Annotation);spring-web/src/main/java/org/springframework/web/method/annotation/ModelAttributeMethodProcessor.java:16348:17140:16715:17139;ann;409;False;spring-context.src.main.org.springframework.validation.annotation.ValidationAnnotationUtils#determineValidationHints(Annotation);determineValidationHints(Annotation);spring-context/src/main/java/org/springframework/validation/annotation/ValidationAnnotationUtils.java:1028:2177:1603:2176;ann;33;False;MethodDeclaration;MOVE;e4c0ff569b8ed8db1996abc7d3f924083b607b8e;e4c0ff569b;-;-;Thu Apr 22 11:26:15 2021 +0200;1619083575;-;-;Thu Apr 22 11:26:15 2021 +0200;1619083575
1;spring-webmvc.src.main.org.springframework.web.servlet.handler.MappedInterceptor#initPatterns(String[],PathPatternParser);initPatterns(String[],PathPatternParser);spring-webmvc/src/main/java/org/springframework/web/servlet/handler/MappedInterceptor.java:3754:4095:3877:4094;patterns,parser;96;False;spring-webmvc.src.main.org.springframework.web.servlet.handler.MappedInterceptor.PatternAdapter#initPatterns(String[],PathPatternParser);initPatterns(String[],PathPatternParser);spring-webmvc/src/main/java/org/springframework/web/servlet/handler/MappedInterceptor.java:10543:10867:10670:10866;patterns,parser;309;True;MethodDeclaration;INTERNAL_MOVE;a931ff12f6243afcbce5c8e4b97aea302d29a65f;a931ff12f6;-;-;Fri Mar 19 20:11:07 2021 +0000;1616184667;-;-;Mon Mar 22 07:12:10 2021 +0000;1616397130
2;spring-webmvc.src.main.org.springframework.web.servlet.function.DefaultEntityResponseBuilder.PublisherEntityResponse.ProducingSubscriber#onSubscribe(Subscription);onSubscribe(Subscription);spring-webmvc/src/main/java/org/springframework/web/servlet/function/DefaultEntityResponseBuilder.java:13893:14105:13947:14104;s;426;True;spring-webmvc.src.main.org.springframework.web.servlet.function.DefaultEntityResponseBuilder.PublisherEntityResponse.DeferredResultSubscriber#onSubscribe(Subscription);onSubscribe(Subscription);spring-webmvc/src/main/java/org/springframework/web/servlet/function/DefaultEntityResponseBuilder.java:14606:14805:14660:14804;s;445;True;MethodDeclaration;INTERNAL_MOVE;e6324bd578a2deb35cd4049dcffacf66b5ee3aef;e6324bd578;-;-;Thu Nov 19 13:36:49 2020 +0100;1605789409;-;-;Fri Nov 20 15:50:58 2020 +0100;1605883858
3;spring-tx.src.main.org.springframework.transaction.event.ApplicationListenerMethodTransactionalAdapter.TransactionSynchronizationEventAdapter#beforeCommit(boolean);beforeCommit(boolean);spring-tx/src/main/java/org/springframework/transaction/event/ApplicationListenerMethodTransactionalAdapter.java:4049:4189:4105:4188;readOnly;107;True;spring-tx.src.main.org.springframework.transaction.event.TransactionalApplicationListenerSynchronization#beforeCommit(boolean);beforeCommit(boolean);spring-tx/src/main/java/org/springframework/transaction/event/TransactionalApplicationListenerSynchronization.java:1731:1904:1786:1903;readOnly;56;False;MethodDeclaration;MOVE;95110d825715a70dbc7fadc0e3ebd42f44e6bdfb;95110d8257;-;-;Thu Oct 22 15:19:32 2020 +0200;1603372772;-;-;Thu Oct 22 15:19:32 2020 +0200;1603372772
4;spring-tx.src.main.org.springframework.transaction.event.ApplicationListenerMethodTransactionalAdapter.TransactionSynchronizationEventAdapter#afterCompletion(int);afterCompletion(int);spring-tx/src/main/java/org/springframework/transaction/event/ApplicationListenerMethodTransactionalAdapter.java:4193:4565:4246:4564;status;114;True;spring-tx.src.main.org.springframework.transaction.event.TransactionalApplicationListenerSynchronization#afterCompletion(int);afterCompletion(int);spring-tx/src/main/java/org/springframework/transaction/event/TransactionalApplicationListenerSynchronization.java:1907:2356:1959:2355;status;63;False;MethodDeclaration;MOVE;95110d825715a70dbc7fadc0e3ebd42f44e6bdfb;95110d8257;-;-;Thu Oct 22 15:19:32 2020 +0200;1603372772;-;-;Thu Oct 22 15:19:32 2020 +0200;1603372772
5;spring-tx.src.main.org.springframework.transaction.event.ApplicationListenerMethodTransactionalAdapter#onApplicationEvent(ApplicationEvent);onApplicationEvent(ApplicationEvent);spring-tx/src/main/java/org/springframework/transaction/event/ApplicationListenerMethodTransactionalAdapter.java:2468:3305:2535:3304;event;60;False;spring-tx.src.main.org.springframework.transaction.event.TransactionalApplicationListenerMethodAdapter#onApplicationEvent(ApplicationEvent);onApplicationEvent(ApplicationEvent);spring-tx/src/main/java/org/springframework/transaction/event/TransactionalApplicationListenerMethodAdapter.java:4258:5057:4325:5056;event;119;False;MethodDeclaration;MOVE;95110d825715a70dbc7fadc0e3ebd42f44e6bdfb;95110d8257;-;-;Thu Oct 22 15:19:32 2020 +0200;1603372772;-;-;Thu Oct 22 15:19:32 2020 +0200;1603372772
6;spring-tx.src.main.org.springframework.transaction.event.ApplicationListenerMethodTransactionalAdapter.TransactionSynchronizationEventAdapter#getOrder();getOrder();spring-tx/src/main/java/org/springframework/transaction/event/ApplicationListenerMethodTransactionalAdapter.java:3970:4045:4005:4044;;102;True;spring-tx.src.main.org.springframework.transaction.event.TransactionalApplicationListenerSynchronization#getOrder();getOrder();spring-tx/src/main/java/org/springframework/transaction/event/TransactionalApplicationListenerSynchronization.java:1656:1728:1690:1727;;51;False;MethodDeclaration;MOVE;95110d825715a70dbc7fadc0e3ebd42f44e6bdfb;95110d8257;-;-;Thu Oct 22 15:19:32 2020 +0200;1603372772;-;-;Thu Oct 22 15:19:32 2020 +0200;1603372772
7;spring-messaging.src.main.org.springframework.messaging.converter.MappingJackson2MessageConverter#getJavaType(Class,Object);getJavaType(Class,Object);spring-messaging/src/main/java/org/springframework/messaging/converter/MappingJackson2MessageConverter.java:8096:8767:8181:8766;targetClass,conversionHint;239;False;spring-messaging.src.main.org.springframework.messaging.converter.AbstractMessageConverter#getResolvedType(Class,Object);getResolvedType(Class,Object);spring-messaging/src/main/java/org/springframework/messaging/converter/AbstractMessageConverter.java:10624:11190:10708:11189;targetClass,conversionHint;316;False;MethodDeclaration;MOVE_RENAME;214bc407b49f5a6e1351d0ac9295afe99c61ea59;214bc407b4;-;-;Fri Sep 25 10:48:25 2020 +0200;1601023705;-;-;Fri Sep 25 10:48:25 2020 +0200;1601023705
8;spring-context.src.main.org.springframework.scheduling.support.CronField#parseDate(String,Type);parseDate(String,Type);spring-context/src/main/java/org/springframework/scheduling/support/CronField.java:3382:3534:3443:3533;value,type;121;False;spring-context.src.main.org.springframework.scheduling.support.BitsCronField#parseDate(String,BitsCronField.Type);parseDate(String,BitsCronField.Type);spring-context/src/main/java/org/springframework/scheduling/support/BitsCronField.java:3111:3295:3190:3294;value,type;111;False;MethodDeclaration;MOVE;93b53dae2966ee5ab8ca7c0a00f56673f939a18a;93b53dae29;-;-;Sat Jul 25 15:15:07 2020 +0200;1595682907;-;-;Tue Aug 4 08:41:18 2020 +0200;1596523278
9;spring-messaging.src.main.org.springframework.messaging.rsocket.DefaultRSocketRequesterBuilder.RSocketConnectorHelper#getRSocketMono(List,List,MimeType,MimeType,Mono,RSocketStrategies,ClientTransport,Payload);getRSocketMono(List,List,MimeType,MimeType,Mono,RSocketStrategies,ClientTransport,Payload);spring-messaging/src/main/java/org/springframework/messaging/rsocket/DefaultRSocketRequesterBuilder.java:10045:11129:10354:11128;connectorConfigurers,factoryConfigurers,metaMimeType,dataMimeType,setupPayload,rsocketStrategies,transport,payload;296;True;spring-messaging.src.main.org.springframework.messaging.rsocket.DefaultRSocketRequesterBuilder#initConnector(List,List,MimeType,MimeType,Mono,RSocketStrategies);initConnector(List,List,MimeType,MimeType,Mono,RSocketStrategies);spring-messaging/src/main/java/org/springframework/messaging/rsocket/DefaultRSocketRequesterBuilder.java:10508:11538:10818:11537;connectorConfigurers,factoryConfigurers,metaMimeType,dataMimeType,setupPayloadMono,rsocketStrategies;308;False;MethodDeclaration;INTERNAL_MOVE_RENAME;7c982511426eebea3d34730ab128bb39a55a9de6;7c98251142;-;-;Tue Jul 14 12:07:59 2020 +0300;1594717679;-;-;Tue Jul 14 12:07:59 2020 +0300;1594717679
